5ADE77A278C047FA9B8AB707A6212AE5_2024-11-19T13:52:08.304Z
End_Time,2024-11-19T14:04:19.834Z
Block_Order,attractive,dominant,corruptible,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,4,2,4,3,2,2,5,3,4,2,4,2,2,2,3,2,3,2,4,2,2,2,3,3,3,3,2,2,2,2,2,2,5,3,3,5,2,3,5,4,2,2,3,2,2,4,5,3,3,2,2,2,3,3,2,3,4,2,4,2,3,2,5,2,2,3,5,3,2,4,3
Corruptible_RT,1653,1590,1232,1186,1310,2150,998,1688,1325,1442,923,1051,1554,1233,1186,1117,826,2600,2046,2415,1554,1079,1097,1643,945,1627,1332,1284,2227,1251,801,882,743,1131,1692,960,1740,1202,1616,1174,1272,854,2474,1396,1259,1034,1689,2237,1139,1018,2759,1497,1309,985,2367,727,1168,1869,983,1177,938,1034,1070,975,1080,1110,1852,1045,1480,1398,1560,883
Corruptible_ImageOrder,19Warren_Kampf.jpg,8Noel_W_Campbell.JPG,37_Michael Grimm.jpg,58Joe_Armstrong.jpg,18Brian_Crain.jpg,41Mike_Hubbard.jpg,2Ken_Smith.jpg,48Thomas_Gaffey.jpg,60Vic_Kohring.jpg,47Douglas_Bruce.jpg,68Jeffrey_Habay.jpg,13Steven_Sodders.jpg,55Rick_Brinkley.jpg,51Salvatore_Dimasi.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,15Harold_Naughton.jpg,14Fitz_Steele.jpg,3Darrell_lssa.jpg,26Dennis_Egan.jpg,67William_DeWeese.jpg,30Stephen_Ross.jpg,64Joseph_Coniglio.jpg,20Jeffrey_Bradley.jpg,6Brown_KL.jpg,24Dan_Ortiz.jpg,63Daniel_Van_Pelt.jpg,34Niceley_Frank.jpg,57Thad_Viers.jpg,10Scheffel_Mark.jpg,44Paul_Bookout.jpg,69Joseph_Loeper.jpg,9Bill_Gwatney.jpg,43Terry_Spicer.jpg,71Joel_Boniek.jpg,27Joseph_Lagana.jpg,4Louis_Terhar.jpg,66James_Boyce_Black.jpg,33Charles_McIlhinney.jpg,21Bruce_Bannister.jpg,7Bill_Poole.jpg,52Art_Wittich.jpg,16Jon_Sesso.jpg,1John_Katko.jpg,12Frantz_Scott.jpg,40James_Traficant.jpg,32Kevin _Schreiber.jpg,11Daniel_Kagan.jpg,36Neil_D_Breslin.jpg,49Kent_Sorenson.jpg,70Ward_Crutchfield.jpg,42Greg_Wren.jpg,23Scott_Rigell.jpg,53John_Perzel.jpg,17Michael_Ranzenhofer.jpg,59Phil_Hamilton.jpg,65Anthoney_Seminerio.jpg,46Steve_King.jpg,54Carl_Kruger.jpg,56Bobby_Harrell.jpg,35Frank_Garner.jpg,29Thomas_Abinanti.jpg,25Matt_Claman.jpg,72Vincent_Leibell.jpg,22Sanderson_Bill.jpg,31Tim_Hennessey.jpg,5Tuggle_Mark.jpg,61Bruce_Weyhrauch.jpg,45Ben_Arredondo.jpg,50KeithHall.jpg,62John_Cowdery.jpg,28Richard_Codey.jpg
Genuine_Ratings,5,5,4,4,4,3,3,5,5,3,3,2,3,3,3,5,4,5,5,4,4,2,4,3,5,3,2,4,4,5,4,4,3,4,4,2,2,5,5,2,3,4,3,4,4,2,3,5,4,3,5,4,4,5,4,4,2,4,3,4,3,4,3,2,4,4,4,3,3,3,3,5
Genuine_RT,2753,1815,1861,1091,1545,915,2241,956,1038,1390,1070,1325,1297,917,1373,1177,2248,1312,1064,1270,970,990,1196,1492,862,2370,1452,820,2240,1240,779,1234,1165,1153,1100,1369,1201,1543,1214,1372,1364,1175,2027,1890,1045,1598,1073,894,1020,996,1476,1077,1220,1158,1218,1056,1004,891,1007,1045,1442,1101,1061,909,1426,1740,1036,1075,1127,1007,1825,1639
Genuine_ImageOrder,26Dennis_Egan.jpg,38Bob_Ney.jpg,5Tuggle_Mark.jpg,34Niceley_Frank.jpg,30Stephen_Ross.jpg,43Terry_Spicer.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,1John_Katko.jpg,39Duke_Cunningham.jpg,10Scheffel_Mark.jpg,47Douglas_Bruce.jpg,40James_Traficant.jpg,16Jon_Sesso.jpg,18Brian_Crain.jpg,23Scott_Rigell.jpg,72Vincent_Leibell.jpg,51Salvatore_Dimasi.jpg,8Noel_W_Campbell.JPG,62John_Cowdery.jpg,56Bobby_Harrell.jpg,6Brown_KL.jpg,54Carl_Kruger.jpg,13Steven_Sodders.jpg,42Greg_Wren.jpg,14Fitz_Steele.jpg,24Dan_Ortiz.jpg,66James_Boyce_Black.jpg,32Kevin _Schreiber.jpg,25Matt_Claman.jpg,21Bruce_Bannister.jpg,27Joseph_Lagana.jpg,46Steve_King.jpg,57Thad_Viers.jpg,15Harold_Naughton.jpg,50KeithHall.jpg,11Daniel_Kagan.jpg,68Jeffrey_Habay.jpg,35Frank_Garner.jpg,33Charles_McIlhinney.jpg,63Daniel_Van_Pelt.jpg,59Phil_Hamilton.jpg,71Joel_Boniek.jpg,69Joseph_Loeper.jpg,28Richard_Codey.jpg,45Ben_Arredondo.jpg,12Frantz_Scott.jpg,55Rick_Brinkley.jpg,61Bruce_Weyhrauch.jpg,41Mike_Hubbard.jpg,31Tim_Hennessey.jpg,58Joe_Armstrong.jpg,4Louis_Terhar.jpg,7Bill_Poole.jpg,60Vic_Kohring.jpg,52Art_Wittich.jpg,70Ward_Crutchfield.jpg,67William_DeWeese.jpg,53John_Perzel.jpg,29Thomas_Abinanti.jpg,2Ken_Smith.jpg,44Paul_Bookout.jpg,65Anthoney_Seminerio.jpg,36Neil_D_Breslin.jpg,22Sanderson_Bill.jpg,37_Michael Grimm.jpg,17Michael_Ranzenhofer.jpg,3Darrell_lssa.jpg,49Kent_Sorenson.jpg,64Joseph_Coniglio.jpg,9Bill_Gwatney.jpg,48Thomas_Gaffey.jpg
Attractive_Ratings,3,3,3,3,5,2,4,1,4,3,3,5,5,4,4,3,2,3,2,2,3,2,3,2,3,2,3,4,3,2,2,4,4,2,3,2,3,2,2,2,5,3,2,2,2,3,2,3,4,3,3,3,3,2,3,4,3,3,2,3,2,2,3,2,2,1,4,3,1,2,4,2
Attractive_RT,2018,1490,972,3253,1470,1585,1405,1048,1357,1293,1015,1627,2497,1055,1321,1250,2012,1524,834,1402,1153,943,2548,1157,1341,1282,1092,1440,1110,1110,1156,1342,1264,1242,6557,1788,1143,1345,828,1596,1674,1046,902,972,1363,1678,1425,2682,1611,873,1468,2166,1024,1048,1705,969,976,2062,1426,1194,1435,1294,1638,1311,1111,1120,1324,1041,1518,822,1380,1020
Attractive_ImageOrder,35Frank_Garner.jpg,23Scott_Rigell.jpg,7Bill_Poole.jpg,59Phil_Hamilton.jpg,45Ben_Arredondo.jpg,4Louis_Terhar.jpg,10Scheffel_Mark.jpg,13Steven_Sodders.jpg,52Art_Wittich.jpg,41Mike_Hubbard.jpg,67William_DeWeese.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,17Michael_Ranzenhofer.jpg,26Dennis_Egan.jpg,69Joseph_Loeper.jpg,66James_Boyce_Black.jpg,38Bob_Ney.jpg,64Joseph_Coniglio.jpg,18Brian_Crain.jpg,61Bruce_Weyhrauch.jpg,55Rick_Brinkley.jpg,30Stephen_Ross.jpg,12Frantz_Scott.jpg,25Matt_Claman.jpg,28Richard_Codey.jpg,62John_Cowdery.jpg,2Ken_Smith.jpg,15Harold_Naughton.jpg,9Bill_Gwatney.jpg,54Carl_Kruger.jpg,8Noel_W_Campbell.JPG,46Steve_King.jpg,48Thomas_Gaffey.jpg,60Vic_Kohring.jpg,49Kent_Sorenson.jpg,14Fitz_Steele.jpg,44Paul_Bookout.jpg,51Salvatore_Dimasi.jpg,1John_Katko.jpg,72Vincent_Leibell.jpg,47Douglas_Bruce.jpg,40James_Traficant.jpg,63Daniel_Van_Pelt.jpg,65Anthoney_Seminerio.jpg,21Bruce_Bannister.jpg,31Tim_Hennessey.jpg,58Joe_Armstrong.jpg,56Bobby_Harrell.jpg,68Jeffrey_Habay.jpg,22Sanderson_Bill.jpg,33Charles_McIlhinney.jpg,3Darrell_lssa.jpg,20Jeffrey_Bradley.jpg,11Daniel_Kagan.jpg,19Warren_Kampf.jpg,36Neil_D_Breslin.jpg,53John_Perzel.jpg,37_Michael Grimm.jpg,24Dan_Ortiz.jpg,29Thomas_Abinanti.jpg,70Ward_Crutchfield.jpg,57Thad_Viers.jpg,16Jon_Sesso.jpg,50KeithHall.jpg,27Joseph_Lagana.jpg,43Terry_Spicer.jpg,39Duke_Cunningham.jpg,42Greg_Wren.jpg,34Niceley_Frank.jpg,32Kevin _Schreiber.jpg,71Joel_Boniek.jpg
