919FE9C8241B4D9384F98DCD217F87A7_2024-11-19T15:18:22.414Z
End_Time,2024-11-19T15:33:04.540Z
Block_Order,genuine,attractive,dominant,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,5,3,4,4,5,3,4,4,4,4,4,5,4,4,4,2,5,4,4,6,4,3,4,3,5,4,4,4,4,5,5,4,4,4,4,4,4,4,5,5,4,4,5,4,5,4,5,5,5,5,5,4,4,5,5,4,3,4,6,4,4,5,4,4,7,4,5,4,5,4,4,4
Corruptible_RT,2124,1578,1471,1650,1358,1948,976,1531,1468,2583,2037,1452,2007,1725,1418,2280,2619,1947,1186,1911,886,1431,1289,1513,1552,2056,1991,917,1250,1646,1124,2359,1151,1483,3283,976,1512,1155,1305,1653,1024,1112,2125,976,1422,1080,1560,1339,1398,1714,1388,1608,1050,1213,2249,909,1678,1679,2210,1085,1443,2624,1338,1557,2325,1258,1492,1342,2496,3014,1145,1797
Corruptible_ImageOrder,35Frank_Garner.jpg,12Frantz_Scott.jpg,17Michael_Ranzenhofer.jpg,59Phil_Hamilton.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,23Scott_Rigell.jpg,54Carl_Kruger.jpg,26Dennis_Egan.jpg,3Darrell_lssa.jpg,31Tim_Hennessey.jpg,5Tuggle_Mark.jpg,11Daniel_Kagan.jpg,6Brown_KL.jpg,53John_Perzel.jpg,58Joe_Armstrong.jpg,50KeithHall.jpg,20Jeffrey_Bradley.jpg,27Joseph_Lagana.jpg,24Dan_Ortiz.jpg,48Thomas_Gaffey.jpg,4Louis_Terhar.jpg,67William_DeWeese.jpg,7Bill_Poole.jpg,40James_Traficant.jpg,44Paul_Bookout.jpg,72Vincent_Leibell.jpg,64Joseph_Coniglio.jpg,25Matt_Claman.jpg,2Ken_Smith.jpg,56Bobby_Harrell.jpg,16Jon_Sesso.jpg,1John_Katko.jpg,57Thad_Viers.jpg,63Daniel_Van_Pelt.jpg,43Terry_Spicer.jpg,65Anthoney_Seminerio.jpg,70Ward_Crutchfield.jpg,51Salvatore_Dimasi.jpg,36Neil_D_Breslin.jpg,68Jeffrey_Habay.jpg,38Bob_Ney.jpg,13Steven_Sodders.jpg,41Mike_Hubbard.jpg,33Charles_McIlhinney.jpg,62John_Cowdery.jpg,71Joel_Boniek.jpg,42Greg_Wren.jpg,47Douglas_Bruce.jpg,29Thomas_Abinanti.jpg,55Rick_Brinkley.jpg,61Bruce_Weyhrauch.jpg,21Bruce_Bannister.jpg,66James_Boyce_Black.jpg,9Bill_Gwatney.jpg,39Duke_Cunningham.jpg,28Richard_Codey.jpg,69Joseph_Loeper.jpg,45Ben_Arredondo.jpg,34Niceley_Frank.jpg,22Sanderson_Bill.jpg,46Steve_King.jpg,52Art_Wittich.jpg,32Kevin _Schreiber.jpg,30Stephen_Ross.jpg,19Warren_Kampf.jpg,8Noel_W_Campbell.JPG,37_Michael Grimm.jpg,60Vic_Kohring.jpg,18Brian_Crain.jpg,10Scheffel_Mark.jpg,49Kent_Sorenson.jpg
Genuine_Ratings,4,4,3,4,2,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,3,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,3,4,3,4,3,2,4,4,4,4,3,4,4,2,4,4,2,4,4,4,3,4,4,2
Genuine_RT,1134,1477,2580,3349,3533,1666,2087,2692,1500,1319,1362,1327,1859,2643,2264,1105,2432,1495,1575,2775,2570,3162,1810,1477,1341,1410,2335,1246,1640,1254,3245,2517,1163,2865,4868,1127,2371,1167,2696,3140,3325,1637,2543,1407,1897,1338,2297,1673,1894,1039,2308,2131,3290,1179,1683,2397,4369,3242,2199,1464,1963,2549,1311,3640,4770,1409,1326,1471,1739,4875,1272,4712
Genuine_ImageOrder,65Anthoney_Seminerio.jpg,57Thad_Viers.jpg,56Bobby_Harrell.jpg,55Rick_Brinkley.jpg,68Jeffrey_Habay.jpg,35Frank_Garner.jpg,23Scott_Rigell.jpg,72Vincent_Leibell.jpg,54Carl_Kruger.jpg,34Niceley_Frank.jpg,66James_Boyce_Black.jpg,3Darrell_lssa.jpg,27Joseph_Lagana.jpg,61Bruce_Weyhrauch.jpg,49Kent_Sorenson.jpg,31Tim_Hennessey.jpg,4Louis_Terhar.jpg,51Salvatore_Dimasi.jpg,45Ben_Arredondo.jpg,5Tuggle_Mark.jpg,13Steven_Sodders.jpg,58Joe_Armstrong.jpg,11Daniel_Kagan.jpg,47Douglas_Bruce.jpg,62John_Cowdery.jpg,14Fitz_Steele.jpg,42Greg_Wren.jpg,17Michael_Ranzenhofer.jpg,39Duke_Cunningham.jpg,25Matt_Claman.jpg,9Bill_Gwatney.jpg,15Harold_Naughton.jpg,41Mike_Hubbard.jpg,32Kevin _Schreiber.jpg,30Stephen_Ross.jpg,26Dennis_Egan.jpg,21Bruce_Bannister.jpg,33Charles_McIlhinney.jpg,64Joseph_Coniglio.jpg,8Noel_W_Campbell.JPG,18Brian_Crain.jpg,10Scheffel_Mark.jpg,67William_DeWeese.jpg,24Dan_Ortiz.jpg,20Jeffrey_Bradley.jpg,7Bill_Poole.jpg,38Bob_Ney.jpg,29Thomas_Abinanti.jpg,19Warren_Kampf.jpg,63Daniel_Van_Pelt.jpg,48Thomas_Gaffey.jpg,22Sanderson_Bill.jpg,16Jon_Sesso.jpg,2Ken_Smith.jpg,53John_Perzel.jpg,71Joel_Boniek.jpg,40James_Traficant.jpg,46Steve_King.jpg,69Joseph_Loeper.jpg,1John_Katko.jpg,28Richard_Codey.jpg,50KeithHall.jpg,52Art_Wittich.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,60Vic_Kohring.jpg,6Brown_KL.jpg,37_Michael Grimm.jpg,70Ward_Crutchfield.jpg,36Neil_D_Breslin.jpg,59Phil_Hamilton.jpg,12Frantz_Scott.jpg
Attractive_Ratings,4,4,4,4,3,1,4,1,5,3,3,4,4,5,4,5,4,4,4,3,3,3,3,1,3,3,2,4,2,3,3,4,5,3,4,3,1,4,3,2,4,4,2,4,2,4,3,3,1,3,2,4,4,1,3,5,2,2,2,4,3,2,4,2,2,2,4,4,1,3,4,4
Attractive_RT,2006,1976,1073,1723,2406,2002,1293,3917,2420,1480,2153,1348,1042,1905,929,2336,1257,1771,1537,1778,1434,2240,1511,3726,2933,2339,2534,2157,1533,1839,1167,1304,1476,2891,1305,4143,3878,1577,1298,1974,988,1081,1404,1869,1760,1946,3015,1452,1708,1836,1789,1272,1138,2100,3981,1670,1756,1861,2623,1245,1423,1939,1055,2367,2096,1590,1270,1296,1867,2323,1386,2834
Attractive_ImageOrder,24Dan_Ortiz.jpg,47Douglas_Bruce.jpg,54Carl_Kruger.jpg,22Sanderson_Bill.jpg,72Vincent_Leibell.jpg,61Bruce_Weyhrauch.jpg,43Terry_Spicer.jpg,8Noel_W_Campbell.JPG,57Thad_Viers.jpg,44Paul_Bookout.jpg,4Louis_Terhar.jpg,36Neil_D_Breslin.jpg,55Rick_Brinkley.jpg,9Bill_Gwatney.jpg,68Jeffrey_Habay.jpg,33Charles_McIlhinney.jpg,7Bill_Poole.jpg,17Michael_Ranzenhofer.jpg,1John_Katko.jpg,48Thomas_Gaffey.jpg,18Brian_Crain.jpg,27Joseph_Lagana.jpg,37_Michael Grimm.jpg,29Thomas_Abinanti.jpg,6Brown_KL.jpg,58Joe_Armstrong.jpg,14Fitz_Steele.jpg,70Ward_Crutchfield.jpg,5Tuggle_Mark.jpg,23Scott_Rigell.jpg,40James_Traficant.jpg,49Kent_Sorenson.jpg,26Dennis_Egan.jpg,63Daniel_Van_Pelt.jpg,31Tim_Hennessey.jpg,65Anthoney_Seminerio.jpg,59Phil_Hamilton.jpg,21Bruce_Bannister.jpg,67William_DeWeese.jpg,2Ken_Smith.jpg,34Niceley_Frank.jpg,41Mike_Hubbard.jpg,46Steve_King.jpg,71Joel_Boniek.jpg,50KeithHall.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,28Richard_Codey.jpg,12Frantz_Scott.jpg,56Bobby_Harrell.jpg,20Jeffrey_Bradley.jpg,45Ben_Arredondo.jpg,66James_Boyce_Black.jpg,64Joseph_Coniglio.jpg,16Jon_Sesso.jpg,35Frank_Garner.jpg,32Kevin _Schreiber.jpg,39Duke_Cunningham.jpg,42Greg_Wren.jpg,62John_Cowdery.jpg,25Matt_Claman.jpg,30Stephen_Ross.jpg,10Scheffel_Mark.jpg,51Salvatore_Dimasi.jpg,69Joseph_Loeper.jpg,11Daniel_Kagan.jpg,13Steven_Sodders.jpg,60Vic_Kohring.jpg,38Bob_Ney.jpg,15Harold_Naughton.jpg,19Warren_Kampf.jpg,3Darrell_lssa.jpg
