A04D95DEA6604EE98CF27F20FD2D620F_2024-11-19T15:10:51.902Z
End_Time,2024-11-19T15:42:45.379Z
Block_Order,genuine,dominant,attractive,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,4,3,3,2,3,5,5,5,3,3,3,3,3,4,5,2,4,3,2,5,3,3,3,3,3,4,4,4,5,2,4,4,3,4,3,3,4,4,3,5,3,2,4,4,4,4,2,5,2,6,4,3,5,4,5,2,5,2,5,3,3,5,3,3,2,3,3,4,5,4,6,4
Corruptible_RT,2026,1146,1744,2203,1093,1697,914,2260,1365,2289,2197,2175,1815,1336,2544,2019,1147,2162,2207,1292,2528,2798,4450,1691,2408,2633,2223,1039,1436,2629,1285,3159,1529,2025,1625,1602,9371,1009,1696,1187,2630,3060,1747,3099,2983,2246,1915,1100,3156,1582,1396,1463,3189,1881,2321,1622,2406,2901,2342,1203,1595,5330,1127,1876,1559,1378,1556,2015,1741,2315,2158,1987
Corruptible_ImageOrder,37_Michael Grimm.jpg,43Terry_Spicer.jpg,48Thomas_Gaffey.jpg,7Bill_Poole.jpg,29Thomas_Abinanti.jpg,53John_Perzel.jpg,50KeithHall.jpg,21Bruce_Bannister.jpg,72Vincent_Leibell.jpg,59Phil_Hamilton.jpg,35Frank_Garner.jpg,64Joseph_Coniglio.jpg,58Joe_Armstrong.jpg,55Rick_Brinkley.jpg,10Scheffel_Mark.jpg,26Dennis_Egan.jpg,28Richard_Codey.jpg,44Paul_Bookout.jpg,33Charles_McIlhinney.jpg,49Kent_Sorenson.jpg,16Jon_Sesso.jpg,41Mike_Hubbard.jpg,9Bill_Gwatney.jpg,8Noel_W_Campbell.JPG,11Daniel_Kagan.jpg,19Warren_Kampf.jpg,25Matt_Claman.jpg,70Ward_Crutchfield.jpg,24Dan_Ortiz.jpg,15Harold_Naughton.jpg,69Joseph_Loeper.jpg,34Niceley_Frank.jpg,1John_Katko.jpg,71Joel_Boniek.jpg,13Steven_Sodders.jpg,12Frantz_Scott.jpg,14Fitz_Steele.jpg,36Neil_D_Breslin.jpg,62John_Cowdery.jpg,17Michael_Ranzenhofer.jpg,51Salvatore_Dimasi.jpg,20Jeffrey_Bradley.jpg,6Brown_KL.jpg,39Duke_Cunningham.jpg,67William_DeWeese.jpg,30Stephen_Ross.jpg,4Louis_Terhar.jpg,65Anthoney_Seminerio.jpg,32Kevin _Schreiber.jpg,23Scott_Rigell.jpg,47Douglas_Bruce.jpg,22Sanderson_Bill.jpg,3Darrell_lssa.jpg,52Art_Wittich.jpg,2Ken_Smith.jpg,45Ben_Arredondo.jpg,61Bruce_Weyhrauch.jpg,42Greg_Wren.jpg,56Bobby_Harrell.jpg,18Brian_Crain.jpg,5Tuggle_Mark.jpg,57Thad_Viers.jpg,40James_Traficant.jpg,68Jeffrey_Habay.jpg,38Bob_Ney.jpg,63Daniel_Van_Pelt.jpg,60Vic_Kohring.jpg,66James_Boyce_Black.jpg,46Steve_King.jpg,27Joseph_Lagana.jpg,31Tim_Hennessey.jpg,54Carl_Kruger.jpg
Genuine_Ratings,4,3,5,4,3,2,4,2,3,4,2,2,4,2,2,4,3,3,3,1,2,3,4,3,3,2,4,2,3,2,3,3,3,3,2,2,3,3,3,1,4,4,2,4,3,2,3,3,3,1,2,3,2,3,2,3,2,2,1,4,1,1,2,2,4,2,4,3,2,2,2,4
Genuine_RT,1388,1340,2352,1408,1629,3144,1281,1323,2430,1275,1324,1287,1436,1678,1666,1738,865,1427,1942,3104,2114,2876,1871,2718,1371,1902,1765,1287,2972,1720,1212,3345,2590,2399,1698,1632,3828,1495,991,1430,1646,3790,2619,2771,2509,1192,2008,1464,1789,2022,1779,1941,3114,1813,3439,1990,1082,1544,1395,1544,1518,1331,1524,2002,3800,1217,1430,2300,1010,2034,2132,1348
Genuine_ImageOrder,53John_Perzel.jpg,42Greg_Wren.jpg,20Jeffrey_Bradley.jpg,3Darrell_lssa.jpg,32Kevin _Schreiber.jpg,9Bill_Gwatney.jpg,45Ben_Arredondo.jpg,47Douglas_Bruce.jpg,29Thomas_Abinanti.jpg,67William_DeWeese.jpg,24Dan_Ortiz.jpg,60Vic_Kohring.jpg,72Vincent_Leibell.jpg,54Carl_Kruger.jpg,41Mike_Hubbard.jpg,71Joel_Boniek.jpg,12Frantz_Scott.jpg,27Joseph_Lagana.jpg,50KeithHall.jpg,37_Michael Grimm.jpg,31Tim_Hennessey.jpg,23Scott_Rigell.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,18Brian_Crain.jpg,49Kent_Sorenson.jpg,22Sanderson_Bill.jpg,66James_Boyce_Black.jpg,14Fitz_Steele.jpg,36Neil_D_Breslin.jpg,17Michael_Ranzenhofer.jpg,4Louis_Terhar.jpg,44Paul_Bookout.jpg,46Steve_King.jpg,10Scheffel_Mark.jpg,64Joseph_Coniglio.jpg,1John_Katko.jpg,40James_Traficant.jpg,58Joe_Armstrong.jpg,70Ward_Crutchfield.jpg,26Dennis_Egan.jpg,52Art_Wittich.jpg,19Warren_Kampf.jpg,28Richard_Codey.jpg,15Harold_Naughton.jpg,63Daniel_Van_Pelt.jpg,25Matt_Claman.jpg,43Terry_Spicer.jpg,68Jeffrey_Habay.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,51Salvatore_Dimasi.jpg,30Stephen_Ross.jpg,59Phil_Hamilton.jpg,57Thad_Viers.jpg,38Bob_Ney.jpg,56Bobby_Harrell.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,5Tuggle_Mark.jpg,65Anthoney_Seminerio.jpg,16Jon_Sesso.jpg,39Duke_Cunningham.jpg,33Charles_McIlhinney.jpg,48Thomas_Gaffey.jpg,11Daniel_Kagan.jpg,69Joseph_Loeper.jpg,8Noel_W_Campbell.JPG,55Rick_Brinkley.jpg,2Ken_Smith.jpg,21Bruce_Bannister.jpg,13Steven_Sodders.jpg
Attractive_Ratings,3,2,4,3,3,1,3,1,3,3,2,2,3,3,3,3,3,3,3,1,2,1,1,2,3,1,3,2,2,2,2,4,3,3,2,2,5,2,2,1,3,3,2,2,1,2,3,2,2,1,2,3,2,1,2,2,2,2,1,3,2,2,3,4,3,2,2,2,1,2,1,2
Attractive_RT,957,1049,2161,1049,1121,1228,1009,978,897,2183,1185,1183,1062,1207,1681,1683,1851,2309,1117,3897,2818,894,848,1394,1093,1819,1466,1402,1185,1135,1348,1374,1495,1035,1787,1768,3175,1998,859,1004,1102,1439,1181,852,1555,1421,1318,1385,777,2348,2099,1188,919,1016,1300,2192,1341,889,1196,958,1410,939,1341,2317,1464,931,1007,1829,983,982,940,1462
Attractive_ImageOrder,20Jeffrey_Bradley.jpg,36Neil_D_Breslin.jpg,59Phil_Hamilton.jpg,63Daniel_Van_Pelt.jpg,40James_Traficant.jpg,46Steve_King.jpg,3Darrell_lssa.jpg,41Mike_Hubbard.jpg,35Frank_Garner.jpg,54Carl_Kruger.jpg,18Brian_Crain.jpg,68Jeffrey_Habay.jpg,71Joel_Boniek.jpg,26Dennis_Egan.jpg,23Scott_Rigell.jpg,55Rick_Brinkley.jpg,47Douglas_Bruce.jpg,31Tim_Hennessey.jpg,45Ben_Arredondo.jpg,22Sanderson_Bill.jpg,53John_Perzel.jpg,38Bob_Ney.jpg,17Michael_Ranzenhofer.jpg,11Daniel_Kagan.jpg,44Paul_Bookout.jpg,27Joseph_Lagana.jpg,8Noel_W_Campbell.JPG,66James_Boyce_Black.jpg,14Fitz_Steele.jpg,56Bobby_Harrell.jpg,16Jon_Sesso.jpg,19Warren_Kampf.jpg,9Bill_Gwatney.jpg,30Stephen_Ross.jpg,72Vincent_Leibell.jpg,1John_Katko.jpg,48Thomas_Gaffey.jpg,21Bruce_Bannister.jpg,33Charles_McIlhinney.jpg,43Terry_Spicer.jpg,24Dan_Ortiz.jpg,10Scheffel_Mark.jpg,34Niceley_Frank.jpg,52Art_Wittich.jpg,65Anthoney_Seminerio.jpg,32Kevin _Schreiber.jpg,13Steven_Sodders.jpg,15Harold_Naughton.jpg,28Richard_Codey.jpg,37_Michael Grimm.jpg,62John_Cowdery.jpg,69Joseph_Loeper.jpg,61Bruce_Weyhrauch.jpg,70Ward_Crutchfield.jpg,51Salvatore_Dimasi.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,2Ken_Smith.jpg,7Bill_Poole.jpg,64Joseph_Coniglio.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,50KeithHall.jpg,29Thomas_Abinanti.jpg,39Duke_Cunningham.jpg,67William_DeWeese.jpg,49Kent_Sorenson.jpg,25Matt_Claman.jpg,60Vic_Kohring.jpg,12Frantz_Scott.jpg,42Greg_Wren.jpg,6Brown_KL.jpg
Dominant_Ratings,4,4,5,5,4,3,5,2,4,4,2,2,3,4,3,2,4,3,3,4,2,3,3,3,5,4,2,4,2,4,5,3,4,5,4,3,4,4,3,1,5,5,4,3,4,3,5,5,3,2,3,5,5,4,4,4,3,4,4,5,3,5,3,5,6,3,4,3,3,4,2,5
