DFBA597C1B2247CC9A20C9A22CF8B2DD_2024-11-20T16:23:06.855Z
End_Time,2024-11-20T16:42:20.284Z
Block_Order,corruptible,genuine,attractive,dominant
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,3,4,3,6,3,4,6,4,4,3,3,3,3,5,2,5,3,4,4,6,5,5,3,3,4,3,4,5,4,3,4,3,3,4,4,4,2,3,3,4,4,5,4,5,3,4,3,6,5,3,3,3,5,2,5,3,4,3,5,6,5,4,3,3,3,5,4,4,5,5,5
Corruptible_RT,1470,1294,762,635,378,1282,680,362,769,2376,277,1186,395,241,1250,1615,130,2021,1506,244,1097,1716,2372,875,1474,969,523,239,753,528,1155,523,292,674,712,1041,2038,648,1894,377,1365,1232,2789,588,593,1030,820,1710,1474,1867,786,1186,675,777,335,531,559,609,884,1333,103,3540,424,1071,411,15983,24,625,1375,1561,2004,354
Corruptible_ImageOrder,49Kent_Sorenson.jpg,54Carl_Kruger.jpg,17Michael_Ranzenhofer.jpg,70Ward_Crutchfield.jpg,20Jeffrey_Bradley.jpg,40James_Traficant.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,72Vincent_Leibell.jpg,65Anthoney_Seminerio.jpg,29Thomas_Abinanti.jpg,28Richard_Codey.jpg,56Bobby_Harrell.jpg,41Mike_Hubbard.jpg,8Noel_W_Campbell.JPG,67William_DeWeese.jpg,47Douglas_Bruce.jpg,34Niceley_Frank.jpg,33Charles_McIlhinney.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,32Kevin _Schreiber.jpg,69Joseph_Loeper.jpg,63Daniel_Van_Pelt.jpg,30Stephen_Ross.jpg,64Joseph_Coniglio.jpg,42Greg_Wren.jpg,27Joseph_Lagana.jpg,3Darrell_lssa.jpg,53John_Perzel.jpg,38Bob_Ney.jpg,55Rick_Brinkley.jpg,13Steven_Sodders.jpg,24Dan_Ortiz.jpg,2Ken_Smith.jpg,11Daniel_Kagan.jpg,59Phil_Hamilton.jpg,46Steve_King.jpg,48Thomas_Gaffey.jpg,25Matt_Claman.jpg,6Brown_KL.jpg,16Jon_Sesso.jpg,14Fitz_Steele.jpg,35Frank_Garner.jpg,26Dennis_Egan.jpg,10Scheffel_Mark.jpg,52Art_Wittich.jpg,68Jeffrey_Habay.jpg,4Louis_Terhar.jpg,1John_Katko.jpg,18Brian_Crain.jpg,12Frantz_Scott.jpg,66James_Boyce_Black.jpg,9Bill_Gwatney.jpg,39Duke_Cunningham.jpg,37_Michael Grimm.jpg,60Vic_Kohring.jpg,21Bruce_Bannister.jpg,7Bill_Poole.jpg,51Salvatore_Dimasi.jpg,19Warren_Kampf.jpg,61Bruce_Weyhrauch.jpg,5Tuggle_Mark.jpg,15Harold_Naughton.jpg,36Neil_D_Breslin.jpg,31Tim_Hennessey.jpg,23Scott_Rigell.jpg,50KeithHall.jpg,71Joel_Boniek.jpg,43Terry_Spicer.jpg,22Sanderson_Bill.jpg,62John_Cowdery.jpg
Genuine_Ratings,5,6,5,5,6,4,6,6,6,5,5,1,6,5,6,6,5,6,3,5,6,6,5,5,5,6,3,7,7,4,3,6,6,6,3,3,5,2,5,5,2,5,5,2,6,7,3,6,4,5,6,6,5,3,1,3,5,5,1,3,6,4,5,2,6,7,6,5,5,5,6,1
Genuine_RT,2984,1166,287,1311,1107,116,555,3472,858,324,1365,1176,2096,4829,353,849,1510,3438,12511,1039,732,835,12447,132,3928,146,38083,262,926,515,1184,1632,1829,1370,3333,872,3283,107,611,261,1509,1060,535,96,1021,945,945,1076,5956,1355,244,1136,252,5178,954,391,540,138,72,1428,1529,692,1497,134,429,697,1020,3712,1260,804,773,483
Genuine_ImageOrder,27Joseph_Lagana.jpg,49Kent_Sorenson.jpg,54Carl_Kruger.jpg,56Bobby_Harrell.jpg,41Mike_Hubbard.jpg,31Tim_Hennessey.jpg,47Douglas_Bruce.jpg,38Bob_Ney.jpg,36Neil_D_Breslin.jpg,62John_Cowdery.jpg,44Paul_Bookout.jpg,55Rick_Brinkley.jpg,35Frank_Garner.jpg,72Vincent_Leibell.jpg,12Frantz_Scott.jpg,60Vic_Kohring.jpg,59Phil_Hamilton.jpg,19Warren_Kampf.jpg,6Brown_KL.jpg,64Joseph_Coniglio.jpg,66James_Boyce_Black.jpg,8Noel_W_Campbell.JPG,22Sanderson_Bill.jpg,13Steven_Sodders.jpg,32Kevin _Schreiber.jpg,51Salvatore_Dimasi.jpg,7Bill_Poole.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,29Thomas_Abinanti.jpg,48Thomas_Gaffey.jpg,71Joel_Boniek.jpg,16Jon_Sesso.jpg,61Bruce_Weyhrauch.jpg,67William_DeWeese.jpg,15Harold_Naughton.jpg,28Richard_Codey.jpg,2Ken_Smith.jpg,70Ward_Crutchfield.jpg,65Anthoney_Seminerio.jpg,33Charles_McIlhinney.jpg,39Duke_Cunningham.jpg,26Dennis_Egan.jpg,46Steve_King.jpg,1John_Katko.jpg,23Scott_Rigell.jpg,68Jeffrey_Habay.jpg,25Matt_Claman.jpg,50KeithHall.jpg,4Louis_Terhar.jpg,37_Michael Grimm.jpg,14Fitz_Steele.jpg,17Michael_Ranzenhofer.jpg,69Joseph_Loeper.jpg,30Stephen_Ross.jpg,3Darrell_lssa.jpg,21Bruce_Bannister.jpg,10Scheffel_Mark.jpg,20Jeffrey_Bradley.jpg,57Thad_Viers.jpg,63Daniel_Van_Pelt.jpg,9Bill_Gwatney.jpg,18Brian_Crain.jpg,43Terry_Spicer.jpg,24Dan_Ortiz.jpg,58Joe_Armstrong.jpg,5Tuggle_Mark.jpg,40James_Traficant.jpg,34Niceley_Frank.jpg,11Daniel_Kagan.jpg,45Ben_Arredondo.jpg,42Greg_Wren.jpg
Attractive_Ratings,3,5,6,7,6,7,7,7,4,5,5,4,6,7,6,6,6,7,6,6,6,5,6,6,6,5,6,6,7,6,5,5,6,6,4,5,6,6,5,7,5,6,6,6,5,5,4,6,6,6,6,7,6,5,5,6,7,4,4,6,6,3,7,6,5,5,6,4,6,5,6,4
Attractive_RT,778,1857,1171,1241,1646,1165,822,2041,298,703,906,2098,2473,393,963,1028,405,2453,690,1250,2901,890,81,1299,1745,836,1276,686,1251,781,805,362,2965,1553,1041,1052,371,372,1541,1755,802,913,1981,1262,1524,2648,660,442,1186,1086,108,2393,1108,986,562,1263,628,1069,445,1992,1496,1130,568,1534,2037,2928,777,2137,92,1776,1004,1169
Attractive_ImageOrder,39Duke_Cunningham.jpg,8Noel_W_Campbell.JPG,29Thomas_Abinanti.jpg,17Michael_Ranzenhofer.jpg,57Thad_Viers.jpg,63Daniel_Van_Pelt.jpg,24Dan_Ortiz.jpg,6Brown_KL.jpg,27Joseph_Lagana.jpg,56Bobby_Harrell.jpg,4Louis_Terhar.jpg,58Joe_Armstrong.jpg,67William_DeWeese.jpg,71Joel_Boniek.jpg,28Richard_Codey.jpg,59Phil_Hamilton.jpg,14Fitz_Steele.jpg,7Bill_Poole.jpg,52Art_Wittich.jpg,40James_Traficant.jpg,18Brian_Crain.jpg,42Greg_Wren.jpg,33Charles_McIlhinney.jpg,50KeithHall.jpg,69Joseph_Loeper.jpg,13Steven_Sodders.jpg,34Niceley_Frank.jpg,3Darrell_lssa.jpg,12Frantz_Scott.jpg,36Neil_D_Breslin.jpg,44Paul_Bookout.jpg,20Jeffrey_Bradley.jpg,5Tuggle_Mark.jpg,60Vic_Kohring.jpg,2Ken_Smith.jpg,43Terry_Spicer.jpg,16Jon_Sesso.jpg,21Bruce_Bannister.jpg,65Anthoney_Seminerio.jpg,25Matt_Claman.jpg,22Sanderson_Bill.jpg,15Harold_Naughton.jpg,49Kent_Sorenson.jpg,53John_Perzel.jpg,48Thomas_Gaffey.jpg,45Ben_Arredondo.jpg,66James_Boyce_Black.jpg,19Warren_Kampf.jpg,10Scheffel_Mark.jpg,38Bob_Ney.jpg,41Mike_Hubbard.jpg,31Tim_Hennessey.jpg,64Joseph_Coniglio.jpg,68Jeffrey_Habay.jpg,70Ward_Crutchfield.jpg,55Rick_Brinkley.jpg,11Daniel_Kagan.jpg,35Frank_Garner.jpg,46Steve_King.jpg,54Carl_Kruger.jpg,47Douglas_Bruce.jpg,61Bruce_Weyhrauch.jpg,37_Michael Grimm.jpg,9Bill_Gwatney.jpg,72Vincent_Leibell.jpg,26Dennis_Egan.jpg,32Kevin _Schreiber.jpg,30Stephen_Ross.jpg,51Salvatore_Dimasi.jpg,23Scott_Rigell.jpg,62John_Cowdery.jpg,1John_Katko.jpg
