D5DE0F46EEF341A383C94F3271F02925_2024-11-19T19:12:49.055Z
End_Time,2024-11-19T19:27:44.694Z
Block_Order,dominant,corruptible,genuine,attractive
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,5,6,5,6,5,6,6,6,5,6,5,5,6,5,4,6,5,5,5,6,5,5,5,6,4,5,6,6,5,5,6,6,5,6,5,6,7,5,6,6,5,6,5,5,6,5,5,7,6,5,6,6,6,6,5,5,6,7,5,5,6,6,6,6,7,5,5,6,6,5,6,5
Corruptible_RT,1226,1686,729,1453,1296,1574,1532,1345,961,1382,1041,1777,1324,781,2852,2004,1403,1277,1764,1605,2093,1112,1222,1356,2386,1110,2018,2054,4724,1813,1394,1342,2266,1418,2259,1382,1730,1876,1202,1670,965,1722,1447,1122,1105,1919,1290,1530,1561,2590,1393,1772,1494,1195,1013,1583,1730,2270,1666,1640,1395,1945,1874,1164,1775,1368,911,1337,1518,2357,1512,1151
Corruptible_ImageOrder,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,15Harold_Naughton.jpg,35Frank_Garner.jpg,72Vincent_Leibell.jpg,47Douglas_Bruce.jpg,25Matt_Claman.jpg,17Michael_Ranzenhofer.jpg,28Richard_Codey.jpg,50KeithHall.jpg,27Joseph_Lagana.jpg,38Bob_Ney.jpg,11Daniel_Kagan.jpg,44Paul_Bookout.jpg,46Steve_King.jpg,14Fitz_Steele.jpg,22Sanderson_Bill.jpg,41Mike_Hubbard.jpg,6Brown_KL.jpg,23Scott_Rigell.jpg,3Darrell_lssa.jpg,63Daniel_Van_Pelt.jpg,2Ken_Smith.jpg,66James_Boyce_Black.jpg,36Neil_D_Breslin.jpg,12Frantz_Scott.jpg,34Niceley_Frank.jpg,20Jeffrey_Bradley.jpg,60Vic_Kohring.jpg,71Joel_Boniek.jpg,64Joseph_Coniglio.jpg,31Tim_Hennessey.jpg,37_Michael Grimm.jpg,33Charles_McIlhinney.jpg,51Salvatore_Dimasi.jpg,4Louis_Terhar.jpg,52Art_Wittich.jpg,58Joe_Armstrong.jpg,21Bruce_Bannister.jpg,54Carl_Kruger.jpg,53John_Perzel.jpg,9Bill_Gwatney.jpg,8Noel_W_Campbell.JPG,42Greg_Wren.jpg,65Anthoney_Seminerio.jpg,69Joseph_Loeper.jpg,59Phil_Hamilton.jpg,70Ward_Crutchfield.jpg,5Tuggle_Mark.jpg,61Bruce_Weyhrauch.jpg,26Dennis_Egan.jpg,16Jon_Sesso.jpg,19Warren_Kampf.jpg,40James_Traficant.jpg,7Bill_Poole.jpg,10Scheffel_Mark.jpg,49Kent_Sorenson.jpg,55Rick_Brinkley.jpg,67William_DeWeese.jpg,13Steven_Sodders.jpg,56Bobby_Harrell.jpg,24Dan_Ortiz.jpg,18Brian_Crain.jpg,68Jeffrey_Habay.jpg,48Thomas_Gaffey.jpg,62John_Cowdery.jpg,43Terry_Spicer.jpg,32Kevin _Schreiber.jpg,57Thad_Viers.jpg,1John_Katko.jpg,45Ben_Arredondo.jpg,39Duke_Cunningham.jpg
Genuine_Ratings,4,4,2,4,2,2,3,1,4,4,3,2,2,3,3,1,4,4,4,1,4,3,4,2,2,3,3,3,2,3,3,2,4,2,3,2,2,4,1,1,2,4,3,2,2,4,3,2,1,4,1,2,2,2,2,3,3,1,2,3,2,2,2,2,2,2,4,2,1,2,2,2
Genuine_RT,1974,6895,1713,1875,2154,1357,1292,1985,1314,1954,1824,3141,1305,1354,1608,3242,3010,1725,2080,1213,3347,1653,1881,2474,1226,1634,3007,1741,1597,2063,2130,1538,2077,1446,1362,1233,1535,3214,1702,1908,1240,2069,1872,1654,1563,896,2123,1563,1622,1977,1892,1394,1949,1574,1475,1879,1961,1662,1384,1895,2148,1623,1611,1568,2115,1612,1315,1672,1664,2737,1369,3024
Genuine_ImageOrder,2Ken_Smith.jpg,18Brian_Crain.jpg,35Frank_Garner.jpg,65Anthoney_Seminerio.jpg,38Bob_Ney.jpg,9Bill_Gwatney.jpg,5Tuggle_Mark.jpg,31Tim_Hennessey.jpg,24Dan_Ortiz.jpg,40James_Traficant.jpg,48Thomas_Gaffey.jpg,39Duke_Cunningham.jpg,17Michael_Ranzenhofer.jpg,27Joseph_Lagana.jpg,7Bill_Poole.jpg,61Bruce_Weyhrauch.jpg,37_Michael Grimm.jpg,56Bobby_Harrell.jpg,60Vic_Kohring.jpg,33Charles_McIlhinney.jpg,72Vincent_Leibell.jpg,54Carl_Kruger.jpg,41Mike_Hubbard.jpg,13Steven_Sodders.jpg,42Greg_Wren.jpg,47Douglas_Bruce.jpg,62John_Cowdery.jpg,34Niceley_Frank.jpg,6Brown_KL.jpg,63Daniel_Van_Pelt.jpg,30Stephen_Ross.jpg,51Salvatore_Dimasi.jpg,12Frantz_Scott.jpg,4Louis_Terhar.jpg,22Sanderson_Bill.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,58Joe_Armstrong.jpg,50KeithHall.jpg,67William_DeWeese.jpg,55Rick_Brinkley.jpg,71Joel_Boniek.jpg,10Scheffel_Mark.jpg,52Art_Wittich.jpg,32Kevin _Schreiber.jpg,11Daniel_Kagan.jpg,43Terry_Spicer.jpg,64Joseph_Coniglio.jpg,21Bruce_Bannister.jpg,70Ward_Crutchfield.jpg,59Phil_Hamilton.jpg,26Dennis_Egan.jpg,8Noel_W_Campbell.JPG,68Jeffrey_Habay.jpg,19Warren_Kampf.jpg,57Thad_Viers.jpg,45Ben_Arredondo.jpg,28Richard_Codey.jpg,69Joseph_Loeper.jpg,66James_Boyce_Black.jpg,23Scott_Rigell.jpg,46Steve_King.jpg,53John_Perzel.jpg,16Jon_Sesso.jpg,44Paul_Bookout.jpg,36Neil_D_Breslin.jpg,3Darrell_lssa.jpg,29Thomas_Abinanti.jpg,1John_Katko.jpg,49Kent_Sorenson.jpg,20Jeffrey_Bradley.jpg,25Matt_Claman.jpg
Attractive_Ratings,4,2,2,4,2,1,2,1,2,3,4,3,2,2,4,2,2,4,3,1,2,2,1,1,3,2,2,2,4,2,4,1,3,3,1,1,2,4,2,1,3,4,2,2,2,3,2,2,3,4,1,2,1,1,1,4,2,1,1,2,1,1,4,2,1,2,2,2,1,2,2,1
Attractive_RT,2890,1665,1011,1713,1349,1331,1133,1153,1430,1676,1724,1176,2848,1270,2052,1209,1595,1926,1354,1314,1313,1315,1052,1359,1838,1715,5613,1394,1833,2078,1652,2585,1943,2640,1244,1360,2110,1542,1518,1437,1647,1395,1528,1746,1552,2212,1409,1712,1904,1813,1319,1641,1178,2402,2088,1154,1820,1230,1109,1623,1654,1399,1846,1527,1318,1432,1498,1266,1624,1446,1463,1306
Attractive_ImageOrder,27Joseph_Lagana.jpg,1John_Katko.jpg,54Carl_Kruger.jpg,50KeithHall.jpg,45Ben_Arredondo.jpg,52Art_Wittich.jpg,29Thomas_Abinanti.jpg,16Jon_Sesso.jpg,56Bobby_Harrell.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,69Joseph_Loeper.jpg,32Kevin _Schreiber.jpg,21Bruce_Bannister.jpg,61Bruce_Weyhrauch.jpg,59Phil_Hamilton.jpg,18Brian_Crain.jpg,31Tim_Hennessey.jpg,6Brown_KL.jpg,51Salvatore_Dimasi.jpg,63Daniel_Van_Pelt.jpg,60Vic_Kohring.jpg,4Louis_Terhar.jpg,40James_Traficant.jpg,55Rick_Brinkley.jpg,8Noel_W_Campbell.JPG,57Thad_Viers.jpg,58Joe_Armstrong.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,49Kent_Sorenson.jpg,26Dennis_Egan.jpg,34Niceley_Frank.jpg,15Harold_Naughton.jpg,9Bill_Gwatney.jpg,35Frank_Garner.jpg,53John_Perzel.jpg,38Bob_Ney.jpg,71Joel_Boniek.jpg,39Duke_Cunningham.jpg,37_Michael Grimm.jpg,5Tuggle_Mark.jpg,20Jeffrey_Bradley.jpg,23Scott_Rigell.jpg,46Steve_King.jpg,19Warren_Kampf.jpg,64Joseph_Coniglio.jpg,72Vincent_Leibell.jpg,13Steven_Sodders.jpg,10Scheffel_Mark.jpg,66James_Boyce_Black.jpg,22Sanderson_Bill.jpg,62John_Cowdery.jpg,17Michael_Ranzenhofer.jpg,3Darrell_lssa.jpg,65Anthoney_Seminerio.jpg,48Thomas_Gaffey.jpg,67William_DeWeese.jpg,25Matt_Claman.jpg,70Ward_Crutchfield.jpg,2Ken_Smith.jpg,44Paul_Bookout.jpg,14Fitz_Steele.jpg,43Terry_Spicer.jpg,7Bill_Poole.jpg,24Dan_Ortiz.jpg,33Charles_McIlhinney.jpg,68Jeffrey_Habay.jpg,30Stephen_Ross.jpg,28Richard_Codey.jpg,47Douglas_Bruce.jpg,36Neil_D_Breslin.jpg
Dominant_Ratings,4,4,4,4,4,3,3,3,4,4,3,3,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,4,3,3,3,2,4,4,4,4,4,3,3,5,4,3,3,4,3,4,4,5,3,4,4,5,4,5,5,4,4,3,4,3,3,4,3,3,3,4,4,3,3,5,3,5
Dominant_RT,1117,2081,726,2176,1407,1275,1121,1736,1525,1679,1795,1839,1255,2387,1407,1182,932,1543,971,1303,1342,1477,1279,1497,2038,1739,1689,1566,2478,1991,1434,2045,6090,2175,1965,1295,1627,1299,3542,1450,2488,1412,1341,2011,1507,1304,1961,2340,1679,1101,1544,1533,3154,2000,2898,2372,2116,1908,2577,2058,4133,3172,2359,1392,1440,1978,2210,1910,2044,1655,2286,2322
Dominant_ImageOrder,33Charles_McIlhinney.jpg,55Rick_Brinkley.jpg,53John_Perzel.jpg,71Joel_Boniek.jpg,18Brian_Crain.jpg,39Duke_Cunningham.jpg,4Louis_Terhar.jpg,63Daniel_Van_Pelt.jpg,56Bobby_Harrell.jpg,11Daniel_Kagan.jpg,42Greg_Wren.jpg,41Mike_Hubbard.jpg,2Ken_Smith.jpg,60Vic_Kohring.jpg,67William_DeWeese.jpg,20Jeffrey_Bradley.jpg,26Dennis_Egan.jpg,66James_Boyce_Black.jpg,7Bill_Poole.jpg,24Dan_Ortiz.jpg,69Joseph_Loeper.jpg,23Scott_Rigell.jpg,30Stephen_Ross.jpg,54Carl_Kruger.jpg,8Noel_W_Campbell.JPG,46Steve_King.jpg,29Thomas_Abinanti.jpg,48Thomas_Gaffey.jpg,22Sanderson_Bill.jpg,45Ben_Arredondo.jpg,51Salvatore_Dimasi.jpg,28Richard_Codey.jpg,57Thad_Viers.jpg,43Terry_Spicer.jpg,40James_Traficant.jpg,3Darrell_lssa.jpg,19Warren_Kampf.jpg,31Tim_Hennessey.jpg,47Douglas_Bruce.jpg,52Art_Wittich.jpg,68Jeffrey_Habay.jpg,6Brown_KL.jpg,70Ward_Crutchfield.jpg,12Frantz_Scott.jpg,65Anthoney_Seminerio.jpg,15Harold_Naughton.jpg,34Niceley_Frank.jpg,10Scheffel_Mark.jpg,5Tuggle_Mark.jpg,38Bob_Ney.jpg,37_Michael Grimm.jpg,58Joe_Armstrong.jpg,13Steven_Sodders.jpg,17Michael_Ranzenhofer.jpg,62John_Cowdery.jpg,21Bruce_Bannister.jpg,61Bruce_Weyhrauch.jpg,32Kevin _Schreiber.jpg,59Phil_Hamilton.jpg,50KeithHall.jpg,16Jon_Sesso.jpg,44Paul_Bookout.jpg,1John_Katko.jpg,14Fitz_Steele.jpg,25Matt_Claman.jpg,9Bill_Gwatney.jpg,36Neil_D_Breslin.jpg,64Joseph_Coniglio.jpg,35Frank_Garner.jpg,72Vincent_Leibell.jpg,49Kent_Sorenson.jpg,27Joseph_Lagana.jpg
Survey_Items,Age,Gender,Race,Education,First_Languages
Survey_Responses,59,0,1,4,3
