E37F9CB7A2D241588A408F3C42A682A1_2024-11-20T13:50:00.225Z
End_Time,2024-11-20T15:08:00.687Z
Block_Order,corruptible,dominant,genuine,attractive
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,4,7,4,5,5,6,4,6,5,5,6,6,4,5,6,5,3,6,4,6,4,6,7,7,5,5,6,4,6,6,5,5,4,6,6,5,7,6,6,7,5,5,5,4,5,4,5,4,5,5,6,6,5,6,4,5,4,5,7,6,6,5,5,6,5,6,4,4,6,5,5,6
Corruptible_RT,1493,1702,3056,1213,1844,1163,1999,1775,837,876,1610,1863,1573,1103,1605,1878,12751,944,2858,1548,2698,1715,2102,1622,1010,1523,1415,2111,1474,1167,1108,1936,1619,1559,1318,1388,1941,970,1905,8441,1538,1542,1923,2132,1615,2108,1243,1627,1882,1720,1820,1518,832,1354,2878,1743,2001,2683,2208,1437,1718,1139,1066,1516,972,1404,1477,1754,1528,943,1988,1144
Corruptible_ImageOrder,17Michael_Ranzenhofer.jpg,55Rick_Brinkley.jpg,39Duke_Cunningham.jpg,19Warren_Kampf.jpg,59Phil_Hamilton.jpg,34Niceley_Frank.jpg,22Sanderson_Bill.jpg,64Joseph_Coniglio.jpg,21Bruce_Bannister.jpg,72Vincent_Leibell.jpg,38Bob_Ney.jpg,3Darrell_lssa.jpg,30Stephen_Ross.jpg,29Thomas_Abinanti.jpg,58Joe_Armstrong.jpg,18Brian_Crain.jpg,40James_Traficant.jpg,7Bill_Poole.jpg,5Tuggle_Mark.jpg,61Bruce_Weyhrauch.jpg,11Daniel_Kagan.jpg,46Steve_King.jpg,33Charles_McIlhinney.jpg,67William_DeWeese.jpg,48Thomas_Gaffey.jpg,54Carl_Kruger.jpg,45Ben_Arredondo.jpg,50KeithHall.jpg,16Jon_Sesso.jpg,13Steven_Sodders.jpg,20Jeffrey_Bradley.jpg,47Douglas_Bruce.jpg,37_Michael Grimm.jpg,24Dan_Ortiz.jpg,28Richard_Codey.jpg,1John_Katko.jpg,43Terry_Spicer.jpg,69Joseph_Loeper.jpg,60Vic_Kohring.jpg,6Brown_KL.jpg,49Kent_Sorenson.jpg,14Fitz_Steele.jpg,71Joel_Boniek.jpg,26Dennis_Egan.jpg,52Art_Wittich.jpg,56Bobby_Harrell.jpg,4Louis_Terhar.jpg,23Scott_Rigell.jpg,15Harold_Naughton.jpg,66James_Boyce_Black.jpg,41Mike_Hubbard.jpg,12Frantz_Scott.jpg,27Joseph_Lagana.jpg,42Greg_Wren.jpg,2Ken_Smith.jpg,35Frank_Garner.jpg,62John_Cowdery.jpg,51Salvatore_Dimasi.jpg,9Bill_Gwatney.jpg,57Thad_Viers.jpg,36Neil_D_Breslin.jpg,53John_Perzel.jpg,10Scheffel_Mark.jpg,8Noel_W_Campbell.JPG,44Paul_Bookout.jpg,70Ward_Crutchfield.jpg,63Daniel_Van_Pelt.jpg,25Matt_Claman.jpg,65Anthoney_Seminerio.jpg,68Jeffrey_Habay.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg
Genuine_Ratings,7,4,6,5,6,4,6,3,5,5,4,4,6,5,6,4,5,5,4,4,5,4,4,3,5,4,5,5,4,3,6,5,6,5,4,5,5,5,6,4,6,6,5,6,5,7,6,6,6,4,4,4,4,6,5,5,5,6,4,4,4,4,5,4,5,4,6,5,4,5,6,6
Genuine_RT,1847,1817,1142,1374,1180,908,1029,1844,1124,2095,1318,1046,835,1019,995,1844,1484,1169,1016,1058,1216,1102,923,1702,1147,1408,2158,1172,862,1341,1160,1264,1061,1467,1983,1182,1473,1346,1353,1203,1519,1441,1780,1193,1007,2695,1215,1648,1668,1740,1083,1027,1531,1706,1486,1279,1448,1482,1011,1472,3944,1056,1098,955,1603,947,1232,1284,839,1140,1003,1365
Genuine_ImageOrder,61Bruce_Weyhrauch.jpg,72Vincent_Leibell.jpg,54Carl_Kruger.jpg,71Joel_Boniek.jpg,12Frantz_Scott.jpg,60Vic_Kohring.jpg,55Rick_Brinkley.jpg,35Frank_Garner.jpg,68Jeffrey_Habay.jpg,39Duke_Cunningham.jpg,65Anthoney_Seminerio.jpg,56Bobby_Harrell.jpg,29Thomas_Abinanti.jpg,25Matt_Claman.jpg,53John_Perzel.jpg,27Joseph_Lagana.jpg,49Kent_Sorenson.jpg,38Bob_Ney.jpg,34Niceley_Frank.jpg,63Daniel_Van_Pelt.jpg,46Steve_King.jpg,1John_Katko.jpg,15Harold_Naughton.jpg,62John_Cowdery.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,11Daniel_Kagan.jpg,47Douglas_Bruce.jpg,33Charles_McIlhinney.jpg,44Paul_Bookout.jpg,48Thomas_Gaffey.jpg,67William_DeWeese.jpg,5Tuggle_Mark.jpg,40James_Traficant.jpg,3Darrell_lssa.jpg,59Phil_Hamilton.jpg,69Joseph_Loeper.jpg,66James_Boyce_Black.jpg,6Brown_KL.jpg,57Thad_Viers.jpg,26Dennis_Egan.jpg,51Salvatore_Dimasi.jpg,50KeithHall.jpg,20Jeffrey_Bradley.jpg,18Brian_Crain.jpg,64Joseph_Coniglio.jpg,36Neil_D_Breslin.jpg,22Sanderson_Bill.jpg,14Fitz_Steele.jpg,4Louis_Terhar.jpg,31Tim_Hennessey.jpg,43Terry_Spicer.jpg,17Michael_Ranzenhofer.jpg,58Joe_Armstrong.jpg,2Ken_Smith.jpg,9Bill_Gwatney.jpg,37_Michael Grimm.jpg,32Kevin _Schreiber.jpg,42Greg_Wren.jpg,10Scheffel_Mark.jpg,52Art_Wittich.jpg,24Dan_Ortiz.jpg,30Stephen_Ross.jpg,16Jon_Sesso.jpg,23Scott_Rigell.jpg,70Ward_Crutchfield.jpg,45Ben_Arredondo.jpg,28Richard_Codey.jpg,19Warren_Kampf.jpg,41Mike_Hubbard.jpg,13Steven_Sodders.jpg,21Bruce_Bannister.jpg
Attractive_Ratings,4,3,5,5,5,2,5,2,3,5,3,3,5,4,5,4,4,4,3,3,5,3,3,2,5,4,3,5,3,3,5,5,4,4,3,5,5,5,3,2,5,5,5,3,5,5,5,5,5,4,4,5,3,2,4,5,5,5,2,5,4,2,3,2,3,3,5,4,2,5,4,4
Attractive_RT,1089,845,1106,801,1232,871,1035,856,1188,829,1969,1449,1043,1146,1039,1054,1571,1199,1305,889,1490,1003,877,2270,1078,1576,1087,1502,822,2362,846,979,1245,2149,1055,956,1163,1959,1023,1595,2935,803,937,942,949,861,1224,955,1196,1426,1840,797,2206,5270,1462,1044,1270,849,1050,975,1260,1089,1664,1173,1299,1017,862,908,1380,1246,1172,983
Attractive_ImageOrder,54Carl_Kruger.jpg,41Mike_Hubbard.jpg,56Bobby_Harrell.jpg,30Stephen_Ross.jpg,38Bob_Ney.jpg,11Daniel_Kagan.jpg,69Joseph_Loeper.jpg,64Joseph_Coniglio.jpg,7Bill_Poole.jpg,13Steven_Sodders.jpg,6Brown_KL.jpg,60Vic_Kohring.jpg,31Tim_Hennessey.jpg,43Terry_Spicer.jpg,4Louis_Terhar.jpg,62John_Cowdery.jpg,70Ward_Crutchfield.jpg,67William_DeWeese.jpg,36Neil_D_Breslin.jpg,8Noel_W_Campbell.JPG,45Ben_Arredondo.jpg,34Niceley_Frank.jpg,59Phil_Hamilton.jpg,26Dennis_Egan.jpg,12Frantz_Scott.jpg,51Salvatore_Dimasi.jpg,39Duke_Cunningham.jpg,49Kent_Sorenson.jpg,33Charles_McIlhinney.jpg,22Sanderson_Bill.jpg,72Vincent_Leibell.jpg,20Jeffrey_Bradley.jpg,65Anthoney_Seminerio.jpg,14Fitz_Steele.jpg,27Joseph_Lagana.jpg,9Bill_Gwatney.jpg,37_Michael Grimm.jpg,3Darrell_lssa.jpg,23Scott_Rigell.jpg,55Rick_Brinkley.jpg,19Warren_Kampf.jpg,71Joel_Boniek.jpg,68Jeffrey_Habay.jpg,66James_Boyce_Black.jpg,29Thomas_Abinanti.jpg,35Frank_Garner.jpg,32Kevin _Schreiber.jpg,25Matt_Claman.jpg,52Art_Wittich.jpg,58Joe_Armstrong.jpg,48Thomas_Gaffey.jpg,50KeithHall.jpg,5Tuggle_Mark.jpg,17Michael_Ranzenhofer.jpg,24Dan_Ortiz.jpg,53John_Perzel.jpg,40James_Traficant.jpg,21Bruce_Bannister.jpg,61Bruce_Weyhrauch.jpg,47Douglas_Bruce.jpg,28Richard_Codey.jpg,63Daniel_Van_Pelt.jpg,15Harold_Naughton.jpg,18Brian_Crain.jpg,57Thad_Viers.jpg,1John_Katko.jpg,42Greg_Wren.jpg,44Paul_Bookout.jpg,2Ken_Smith.jpg,16Jon_Sesso.jpg,46Steve_King.jpg,10Scheffel_Mark.jpg
