F7F2D10EA8134594A9CA0E75686743C4_2024-11-20T13:54:00.108Z
End_Time,2024-11-20T14:23:42.480Z
Block_Order,attractive,genuine,dominant,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,2,6,2,1,3,3,4,6,6,5,3,5,2,6,5,7,6,6,3,1,5,4,6,7,6,5,6,4,3,3,6,3,6,6,6,2,2,5,4,4,6,6,4,7,3,6,2,6,7,5,7,5,4,7,6,7,1,1,5,6,1,7,6,6,6,5,6,6,6,5,1,5
Corruptible_RT,6948,2983,1960,1103,2793,3560,3320,4109,2589,3603,2221,2043,1830,1724,2807,1751,4013,6684,2106,3223,2662,3077,4305,3171,3113,2623,5770,2193,1908,2221,9598,3426,1325,2885,2844,1876,2109,2017,4006,1673,2640,1722,1562,7073,2688,3873,1435,1225,1495,4189,2738,2364,4932,5255,2016,2847,1870,3607,2806,2615,1692,1578,2208,4140,3722,2280,8613,7306,3282,3073,1194,3504
Corruptible_ImageOrder,57Thad_Viers.jpg,9Bill_Gwatney.jpg,48Thomas_Gaffey.jpg,55Rick_Brinkley.jpg,6Brown_KL.jpg,8Noel_W_Campbell.JPG,5Tuggle_Mark.jpg,32Kevin _Schreiber.jpg,22Sanderson_Bill.jpg,7Bill_Poole.jpg,70Ward_Crutchfield.jpg,20Jeffrey_Bradley.jpg,66James_Boyce_Black.jpg,2Ken_Smith.jpg,16Jon_Sesso.jpg,19Warren_Kampf.jpg,39Duke_Cunningham.jpg,61Bruce_Weyhrauch.jpg,30Stephen_Ross.jpg,53John_Perzel.jpg,25Matt_Claman.jpg,36Neil_D_Breslin.jpg,12Frantz_Scott.jpg,65Anthoney_Seminerio.jpg,13Steven_Sodders.jpg,52Art_Wittich.jpg,41Mike_Hubbard.jpg,72Vincent_Leibell.jpg,21Bruce_Bannister.jpg,10Scheffel_Mark.jpg,46Steve_King.jpg,62John_Cowdery.jpg,54Carl_Kruger.jpg,50KeithHall.jpg,68Jeffrey_Habay.jpg,42Greg_Wren.jpg,49Kent_Sorenson.jpg,63Daniel_Van_Pelt.jpg,3Darrell_lssa.jpg,51Salvatore_Dimasi.jpg,15Harold_Naughton.jpg,40James_Traficant.jpg,37_Michael Grimm.jpg,59Phil_Hamilton.jpg,56Bobby_Harrell.jpg,4Louis_Terhar.jpg,60Vic_Kohring.jpg,29Thomas_Abinanti.jpg,33Charles_McIlhinney.jpg,26Dennis_Egan.jpg,38Bob_Ney.jpg,43Terry_Spicer.jpg,47Douglas_Bruce.jpg,14Fitz_Steele.jpg,34Niceley_Frank.jpg,31Tim_Hennessey.jpg,27Joseph_Lagana.jpg,64Joseph_Coniglio.jpg,17Michael_Ranzenhofer.jpg,67William_DeWeese.jpg,24Dan_Ortiz.jpg,1John_Katko.jpg,18Brian_Crain.jpg,23Scott_Rigell.jpg,44Paul_Bookout.jpg,69Joseph_Loeper.jpg,58Joe_Armstrong.jpg,35Frank_Garner.jpg,71Joel_Boniek.jpg,28Richard_Codey.jpg,11Daniel_Kagan.jpg,45Ben_Arredondo.jpg
Genuine_Ratings,4,3,6,7,5,6,3,2,6,6,5,6,7,4,3,6,2,5,6,2,7,7,5,5,2,3,7,6,4,5,6,6,6,3,4,3,6,4,1,6,3,3,3,2,6,4,5,2,2,4,5,2,2,3,2,5,5,4,2,6,6,3,1,6,6,5,4,6,1,3,5,3
Genuine_RT,3710,2302,4180,2579,1974,2629,2001,1785,2539,7073,2288,1934,1561,4566,2037,2232,1722,1245,1816,3262,2466,2543,2923,3823,4008,6240,1591,3110,2437,3195,1390,6625,1499,3133,2039,4217,1228,2398,1519,2114,1550,2050,4684,2304,1499,1981,5186,2574,2462,1546,2365,1591,2815,2482,1569,2182,2451,2717,2370,3665,7900,2359,3200,1729,4176,3732,1619,1722,1385,2369,3108,2503
Genuine_ImageOrder,29Thomas_Abinanti.jpg,32Kevin _Schreiber.jpg,68Jeffrey_Habay.jpg,55Rick_Brinkley.jpg,33Charles_McIlhinney.jpg,53John_Perzel.jpg,58Joe_Armstrong.jpg,24Dan_Ortiz.jpg,20Jeffrey_Bradley.jpg,64Joseph_Coniglio.jpg,34Niceley_Frank.jpg,48Thomas_Gaffey.jpg,47Douglas_Bruce.jpg,9Bill_Gwatney.jpg,63Daniel_Van_Pelt.jpg,42Greg_Wren.jpg,23Scott_Rigell.jpg,30Stephen_Ross.jpg,14Fitz_Steele.jpg,71Joel_Boniek.jpg,56Bobby_Harrell.jpg,70Ward_Crutchfield.jpg,15Harold_Naughton.jpg,41Mike_Hubbard.jpg,12Frantz_Scott.jpg,62John_Cowdery.jpg,45Ben_Arredondo.jpg,19Warren_Kampf.jpg,40James_Traficant.jpg,54Carl_Kruger.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,10Scheffel_Mark.jpg,18Brian_Crain.jpg,65Anthoney_Seminerio.jpg,22Sanderson_Bill.jpg,46Steve_King.jpg,39Duke_Cunningham.jpg,2Ken_Smith.jpg,44Paul_Bookout.jpg,36Neil_D_Breslin.jpg,25Matt_Claman.jpg,1John_Katko.jpg,11Daniel_Kagan.jpg,35Frank_Garner.jpg,50KeithHall.jpg,67William_DeWeese.jpg,38Bob_Ney.jpg,6Brown_KL.jpg,72Vincent_Leibell.jpg,43Terry_Spicer.jpg,17Michael_Ranzenhofer.jpg,49Kent_Sorenson.jpg,27Joseph_Lagana.jpg,31Tim_Hennessey.jpg,37_Michael Grimm.jpg,16Jon_Sesso.jpg,26Dennis_Egan.jpg,57Thad_Viers.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,59Phil_Hamilton.jpg,21Bruce_Bannister.jpg,51Salvatore_Dimasi.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,28Richard_Codey.jpg,13Steven_Sodders.jpg,52Art_Wittich.jpg,3Darrell_lssa.jpg,66James_Boyce_Black.jpg,69Joseph_Loeper.jpg
Attractive_Ratings,6,6,3,2,6,1,6,2,6,5,6,6,6,4,3,6,2,6,7,3,6,2,5,4,6,6,6,6,5,1,6,6,7,4,4,5,6,5,1,4,6,6,4,4,4,6,6,6,1,6,2,3,2,3,2,6,1,3,1,3,4,3,5,3,1,3,6,6,2,3,6,6
Attractive_RT,2220,4178,5626,4347,2765,2597,1904,2938,2521,2058,2685,1551,2443,3353,3040,1350,2565,1677,3879,3329,3802,1565,5603,3773,1713,3258,1259,1342,3637,3781,1296,1826,3062,3328,3329,3795,2074,2250,1782,4272,1559,2080,3849,16020,4531,2177,3303,2543,1652,3307,3046,2457,2566,3327,2453,3286,1909,1925,4955,1254,4903,4696,2680,3606,1615,4495,3107,3171,2401,3147,1877,4018
Attractive_ImageOrder,44Paul_Bookout.jpg,4Louis_Terhar.jpg,57Thad_Viers.jpg,6Brown_KL.jpg,22Sanderson_Bill.jpg,64Joseph_Coniglio.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,49Kent_Sorenson.jpg,53John_Perzel.jpg,3Darrell_lssa.jpg,19Warren_Kampf.jpg,21Bruce_Bannister.jpg,14Fitz_Steele.jpg,24Dan_Ortiz.jpg,33Charles_McIlhinney.jpg,35Frank_Garner.jpg,1John_Katko.jpg,34Niceley_Frank.jpg,42Greg_Wren.jpg,15Harold_Naughton.jpg,7Bill_Poole.jpg,28Richard_Codey.jpg,65Anthoney_Seminerio.jpg,59Phil_Hamilton.jpg,67William_DeWeese.jpg,27Joseph_Lagana.jpg,50KeithHall.jpg,10Scheffel_Mark.jpg,56Bobby_Harrell.jpg,54Carl_Kruger.jpg,13Steven_Sodders.jpg,52Art_Wittich.jpg,20Jeffrey_Bradley.jpg,68Jeffrey_Habay.jpg,23Scott_Rigell.jpg,72Vincent_Leibell.jpg,38Bob_Ney.jpg,51Salvatore_Dimasi.jpg,5Tuggle_Mark.jpg,32Kevin _Schreiber.jpg,12Frantz_Scott.jpg,55Rick_Brinkley.jpg,47Douglas_Bruce.jpg,30Stephen_Ross.jpg,58Joe_Armstrong.jpg,18Brian_Crain.jpg,37_Michael Grimm.jpg,16Jon_Sesso.jpg,70Ward_Crutchfield.jpg,45Ben_Arredondo.jpg,11Daniel_Kagan.jpg,31Tim_Hennessey.jpg,36Neil_D_Breslin.jpg,9Bill_Gwatney.jpg,2Ken_Smith.jpg,63Daniel_Van_Pelt.jpg,39Duke_Cunningham.jpg,46Steve_King.jpg,8Noel_W_Campbell.JPG,26Dennis_Egan.jpg,29Thomas_Abinanti.jpg,17Michael_Ranzenhofer.jpg,71Joel_Boniek.jpg,40James_Traficant.jpg,48Thomas_Gaffey.jpg,41Mike_Hubbard.jpg,25Matt_Claman.jpg,66James_Boyce_Black.jpg,43Terry_Spicer.jpg,69Joseph_Loeper.jpg,62John_Cowdery.jpg
