5f23c8b2be6a4e1a1481ba56_2024-11-26T00:29:48.320Z
End_Time,2024-11-26T00:42:13.492Z
Block_Order,dominant,corruptible,attractive,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,1,5,1,1,1,4,3,6,3,1,3,5,2,3,6,1,1,3,1,6,3,2,1,5,1,3,6,1,3,1,3,1,6,1,4,3,6,2,6,5,1,3,3,1,1,5,1,4,6,5,6,1,5,4,3,3,2,4,5,5,6,1,4,6,6,6,1,3,5,3,3,1
Corruptible_RT,1130,1352,1196,4103,1065,1352,1093,1503,2321,1072,569,2502,1563,1789,1364,1140,1517,864,1200,1012,998,1340,920,2395,1560,1254,985,1275,1795,912,1973,1210,1286,1343,1564,836,1575,1236,1351,917,1329,1002,1312,1174,1237,825,1168,1320,1008,1185,1767,1233,1252,1416,1519,672,1603,2468,1031,1351,3731,1827,853,1029,1405,979,977,1338,905,1246,1240,1071
Corruptible_ImageOrder,4Louis_Terhar.jpg,38Bob_Ney.jpg,45Ben_Arredondo.jpg,9Bill_Gwatney.jpg,30Stephen_Ross.jpg,19Warren_Kampf.jpg,71Joel_Boniek.jpg,63Daniel_Van_Pelt.jpg,1John_Katko.jpg,52Art_Wittich.jpg,31Tim_Hennessey.jpg,67William_DeWeese.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,57Thad_Viers.jpg,61Bruce_Weyhrauch.jpg,35Frank_Garner.jpg,14Fitz_Steele.jpg,68Jeffrey_Habay.jpg,21Bruce_Bannister.jpg,56Bobby_Harrell.jpg,36Neil_D_Breslin.jpg,55Rick_Brinkley.jpg,7Bill_Poole.jpg,18Brian_Crain.jpg,11Daniel_Kagan.jpg,42Greg_Wren.jpg,70Ward_Crutchfield.jpg,26Dennis_Egan.jpg,24Dan_Ortiz.jpg,34Niceley_Frank.jpg,69Joseph_Loeper.jpg,17Michael_Ranzenhofer.jpg,2Ken_Smith.jpg,50KeithHall.jpg,60Vic_Kohring.jpg,23Scott_Rigell.jpg,22Sanderson_Bill.jpg,59Phil_Hamilton.jpg,46Steve_King.jpg,28Richard_Codey.jpg,53John_Perzel.jpg,40James_Traficant.jpg,25Matt_Claman.jpg,65Anthoney_Seminerio.jpg,29Thomas_Abinanti.jpg,43Terry_Spicer.jpg,58Joe_Armstrong.jpg,44Paul_Bookout.jpg,10Scheffel_Mark.jpg,8Noel_W_Campbell.JPG,66James_Boyce_Black.jpg,51Salvatore_Dimasi.jpg,47Douglas_Bruce.jpg,64Joseph_Coniglio.jpg,49Kent_Sorenson.jpg,32Kevin _Schreiber.jpg,41Mike_Hubbard.jpg,20Jeffrey_Bradley.jpg,37_Michael Grimm.jpg,27Joseph_Lagana.jpg,15Harold_Naughton.jpg,72Vincent_Leibell.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,3Darrell_lssa.jpg,62John_Cowdery.jpg,48Thomas_Gaffey.jpg,54Carl_Kruger.jpg,33Charles_McIlhinney.jpg,16Jon_Sesso.jpg,39Duke_Cunningham.jpg
Genuine_Ratings,5,6,6,6,5,2,6,5,6,4,2,2,6,6,6,6,6,6,4,3,6,6,6,5,5,6,6,6,6,6,6,5,5,6,6,6,5,2,6,1,6,6,6,6,6,2,6,3,6,1,3,3,1,6,6,6,6,6,5,2,1,6,4,5,6,6,6,4,6,6,1,5
Genuine_RT,667,660,920,1915,1194,876,785,2697,658,3052,1122,1044,968,546,1898,3043,650,862,1064,1157,1190,1085,960,2751,2822,603,1639,307,881,912,853,1230,3134,868,586,1908,1243,1552,1034,2094,970,791,1033,803,1184,828,535,2521,942,1122,778,1046,1371,1233,690,855,3691,1181,1029,997,1194,1003,1518,1455,671,1493,651,2007,2088,622,2018,3714
Genuine_ImageOrder,10Scheffel_Mark.jpg,19Warren_Kampf.jpg,68Jeffrey_Habay.jpg,72Vincent_Leibell.jpg,71Joel_Boniek.jpg,24Dan_Ortiz.jpg,53John_Perzel.jpg,16Jon_Sesso.jpg,8Noel_W_Campbell.JPG,57Thad_Viers.jpg,69Joseph_Loeper.jpg,50KeithHall.jpg,27Joseph_Lagana.jpg,66James_Boyce_Black.jpg,61Bruce_Weyhrauch.jpg,63Daniel_Van_Pelt.jpg,15Harold_Naughton.jpg,33Charles_McIlhinney.jpg,25Matt_Claman.jpg,32Kevin _Schreiber.jpg,64Joseph_Coniglio.jpg,5Tuggle_Mark.jpg,1John_Katko.jpg,59Phil_Hamilton.jpg,37_Michael Grimm.jpg,30Stephen_Ross.jpg,48Thomas_Gaffey.jpg,51Salvatore_Dimasi.jpg,56Bobby_Harrell.jpg,52Art_Wittich.jpg,20Jeffrey_Bradley.jpg,40James_Traficant.jpg,4Louis_Terhar.jpg,39Duke_Cunningham.jpg,31Tim_Hennessey.jpg,41Mike_Hubbard.jpg,3Darrell_lssa.jpg,23Scott_Rigell.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,18Brian_Crain.jpg,34Niceley_Frank.jpg,29Thomas_Abinanti.jpg,7Bill_Poole.jpg,9Bill_Gwatney.jpg,17Michael_Ranzenhofer.jpg,14Fitz_Steele.jpg,47Douglas_Bruce.jpg,70Ward_Crutchfield.jpg,65Anthoney_Seminerio.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,62John_Cowdery.jpg,55Rick_Brinkley.jpg,38Bob_Ney.jpg,6Brown_KL.jpg,43Terry_Spicer.jpg,21Bruce_Bannister.jpg,2Ken_Smith.jpg,28Richard_Codey.jpg,26Dennis_Egan.jpg,46Steve_King.jpg,22Sanderson_Bill.jpg,67William_DeWeese.jpg,58Joe_Armstrong.jpg,60Vic_Kohring.jpg,11Daniel_Kagan.jpg,42Greg_Wren.jpg,54Carl_Kruger.jpg,13Steven_Sodders.jpg,49Kent_Sorenson.jpg,12Frantz_Scott.jpg
Attractive_Ratings,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,4,3,2,1,1,1,1,1,1,1,3,1,1,2,1,4,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Attractive_RT,897,655,633,790,904,715,3105,700,865,942,696,729,723,748,504,1483,3250,942,1398,643,696,934,707,744,818,937,1238,709,694,2428,773,1016,650,1466,741,1319,2336,929,1104,598,4130,1168,1029,742,748,936,678,773,735,803,913,616,705,724,1058,1100,1433,666,724,926,726,921,815,1409,784,536,662,848,821,664,682,768
Attractive_ImageOrder,41Mike_Hubbard.jpg,17Michael_Ranzenhofer.jpg,19Warren_Kampf.jpg,26Dennis_Egan.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,23Scott_Rigell.jpg,3Darrell_lssa.jpg,10Scheffel_Mark.jpg,16Jon_Sesso.jpg,62John_Cowdery.jpg,20Jeffrey_Bradley.jpg,52Art_Wittich.jpg,36Neil_D_Breslin.jpg,61Bruce_Weyhrauch.jpg,44Paul_Bookout.jpg,24Dan_Ortiz.jpg,59Phil_Hamilton.jpg,50KeithHall.jpg,46Steve_King.jpg,55Rick_Brinkley.jpg,64Joseph_Coniglio.jpg,28Richard_Codey.jpg,70Ward_Crutchfield.jpg,42Greg_Wren.jpg,1John_Katko.jpg,72Vincent_Leibell.jpg,25Matt_Claman.jpg,56Bobby_Harrell.jpg,5Tuggle_Mark.jpg,68Jeffrey_Habay.jpg,39Duke_Cunningham.jpg,2Ken_Smith.jpg,31Tim_Hennessey.jpg,4Louis_Terhar.jpg,30Stephen_Ross.jpg,13Steven_Sodders.jpg,27Joseph_Lagana.jpg,63Daniel_Van_Pelt.jpg,7Bill_Poole.jpg,9Bill_Gwatney.jpg,40James_Traficant.jpg,21Bruce_Bannister.jpg,29Thomas_Abinanti.jpg,49Kent_Sorenson.jpg,58Joe_Armstrong.jpg,35Frank_Garner.jpg,15Harold_Naughton.jpg,11Daniel_Kagan.jpg,66James_Boyce_Black.jpg,71Joel_Boniek.jpg,22Sanderson_Bill.jpg,8Noel_W_Campbell.JPG,43Terry_Spicer.jpg,54Carl_Kruger.jpg,57Thad_Viers.jpg,14Fitz_Steele.jpg,53John_Perzel.jpg,33Charles_McIlhinney.jpg,65Anthoney_Seminerio.jpg,37_Michael Grimm.jpg,32Kevin _Schreiber.jpg,45Ben_Arredondo.jpg,51Salvatore_Dimasi.jpg,6Brown_KL.jpg,67William_DeWeese.jpg,60Vic_Kohring.jpg,69Joseph_Loeper.jpg,34Niceley_Frank.jpg,18Brian_Crain.jpg,38Bob_Ney.jpg,12Frantz_Scott.jpg
