65fad6c874ac75642ffc254b_2024-11-26T02:45:45.714Z
End_Time,2024-11-26T03:03:03.752Z
Block_Order,attractive,corruptible,genuine,dominant
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,4,5,1,5,3,2,4,3,1,3,1,1,4,4,2,5,5,1,6,5,5,1,1,4,5,1,1,5,1,1,5,3,6,4,3,6,4,4,2,3,4,4,2,3,3,1,5,5,2,4,5,1,3,5,5,2,4,2,2,4,4,5,4,3,4,3,3,5,4,6,5
Corruptible_RT,1810,1600,2494,1393,2015,2718,3008,2627,1126,1434,3855,1823,1231,1519,3250,2207,741,875,2128,4488,1644,2483,783,1042,1118,1666,2368,2573,1400,1668,5629,2852,2450,1683,1177,1353,2294,1246,1245,4066,3066,1191,1999,1828,1786,1492,2413,1178,1048,2126,2616,3106,2194,4450,1264,2477,2660,1435,2447,4594,2212,3505,1613,1946,3604,2761,1971,4850,2501,1863,2154,1886
Corruptible_ImageOrder,68Jeffrey_Habay.jpg,72Vincent_Leibell.jpg,71Joel_Boniek.jpg,64Joseph_Coniglio.jpg,57Thad_Viers.jpg,41Mike_Hubbard.jpg,20Jeffrey_Bradley.jpg,16Jon_Sesso.jpg,52Art_Wittich.jpg,66James_Boyce_Black.jpg,14Fitz_Steele.jpg,3Darrell_lssa.jpg,61Bruce_Weyhrauch.jpg,43Terry_Spicer.jpg,2Ken_Smith.jpg,60Vic_Kohring.jpg,54Carl_Kruger.jpg,40James_Traficant.jpg,15Harold_Naughton.jpg,31Tim_Hennessey.jpg,6Brown_KL.jpg,46Steve_King.jpg,28Richard_Codey.jpg,27Joseph_Lagana.jpg,45Ben_Arredondo.jpg,53John_Perzel.jpg,50KeithHall.jpg,44Paul_Bookout.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,24Dan_Ortiz.jpg,23Scott_Rigell.jpg,56Bobby_Harrell.jpg,17Michael_Ranzenhofer.jpg,51Salvatore_Dimasi.jpg,55Rick_Brinkley.jpg,65Anthoney_Seminerio.jpg,5Tuggle_Mark.jpg,30Stephen_Ross.jpg,21Bruce_Bannister.jpg,48Thomas_Gaffey.jpg,1John_Katko.jpg,10Scheffel_Mark.jpg,29Thomas_Abinanti.jpg,22Sanderson_Bill.jpg,49Kent_Sorenson.jpg,18Brian_Crain.jpg,63Daniel_Van_Pelt.jpg,47Douglas_Bruce.jpg,39Duke_Cunningham.jpg,33Charles_McIlhinney.jpg,38Bob_Ney.jpg,69Joseph_Loeper.jpg,42Greg_Wren.jpg,58Joe_Armstrong.jpg,67William_DeWeese.jpg,4Louis_Terhar.jpg,36Neil_D_Breslin.jpg,9Bill_Gwatney.jpg,26Dennis_Egan.jpg,13Steven_Sodders.jpg,7Bill_Poole.jpg,62John_Cowdery.jpg,70Ward_Crutchfield.jpg,32Kevin _Schreiber.jpg,35Frank_Garner.jpg,8Noel_W_Campbell.JPG,59Phil_Hamilton.jpg,25Matt_Claman.jpg,19Warren_Kampf.jpg,37_Michael Grimm.jpg,34Niceley_Frank.jpg
Genuine_Ratings,2,3,2,6,5,1,2,1,2,1,5,1,5,2,4,2,2,4,6,2,3,5,3,1,3,2,6,5,2,5,2,6,5,3,2,1,2,3,5,2,3,2,1,2,2,5,1,3,5,2,4,3,1,2,3,1,5,1,2,1,3,1,3,1,6,1,3,3,2,3,1,1
Genuine_RT,913,912,2642,415,2540,603,790,968,1709,2261,1438,1563,1132,1504,4674,998,889,2349,888,2263,8479,2435,1416,1007,2638,869,2360,1119,726,2137,3327,5340,2051,1121,1803,831,986,2379,2056,3354,918,1064,1433,823,1830,1900,1669,1656,1768,1237,349,8013,1062,3037,657,1017,1764,646,618,931,4247,579,2320,2561,2468,402,852,4189,1680,672,1910,868
Genuine_ImageOrder,21Bruce_Bannister.jpg,63Daniel_Van_Pelt.jpg,25Matt_Claman.jpg,54Carl_Kruger.jpg,14Fitz_Steele.jpg,44Paul_Bookout.jpg,55Rick_Brinkley.jpg,65Anthoney_Seminerio.jpg,39Duke_Cunningham.jpg,71Joel_Boniek.jpg,52Art_Wittich.jpg,22Sanderson_Bill.jpg,61Bruce_Weyhrauch.jpg,20Jeffrey_Bradley.jpg,35Frank_Garner.jpg,68Jeffrey_Habay.jpg,18Brian_Crain.jpg,9Bill_Gwatney.jpg,3Darrell_lssa.jpg,30Stephen_Ross.jpg,28Richard_Codey.jpg,32Kevin _Schreiber.jpg,38Bob_Ney.jpg,23Scott_Rigell.jpg,31Tim_Hennessey.jpg,42Greg_Wren.jpg,17Michael_Ranzenhofer.jpg,46Steve_King.jpg,69Joseph_Loeper.jpg,36Neil_D_Breslin.jpg,27Joseph_Lagana.jpg,15Harold_Naughton.jpg,48Thomas_Gaffey.jpg,5Tuggle_Mark.jpg,40James_Traficant.jpg,64Joseph_Coniglio.jpg,10Scheffel_Mark.jpg,67William_DeWeese.jpg,29Thomas_Abinanti.jpg,51Salvatore_Dimasi.jpg,2Ken_Smith.jpg,34Niceley_Frank.jpg,70Ward_Crutchfield.jpg,41Mike_Hubbard.jpg,7Bill_Poole.jpg,66James_Boyce_Black.jpg,33Charles_McIlhinney.jpg,24Dan_Ortiz.jpg,12Frantz_Scott.jpg,62John_Cowdery.jpg,58Joe_Armstrong.jpg,6Brown_KL.jpg,47Douglas_Bruce.jpg,19Warren_Kampf.jpg,49Kent_Sorenson.jpg,13Steven_Sodders.jpg,11Daniel_Kagan.jpg,60Vic_Kohring.jpg,72Vincent_Leibell.jpg,59Phil_Hamilton.jpg,56Bobby_Harrell.jpg,8Noel_W_Campbell.JPG,4Louis_Terhar.jpg,43Terry_Spicer.jpg,53John_Perzel.jpg,50KeithHall.jpg,45Ben_Arredondo.jpg,57Thad_Viers.jpg,16Jon_Sesso.jpg,37_Michael Grimm.jpg,1John_Katko.jpg,26Dennis_Egan.jpg
Attractive_Ratings,4,4,5,5,2,2,2,2,4,2,2,3,2,3,4,2,2,5,2,2,2,3,5,2,2,2,3,3,2,3,2,2,3,2,4,2,2,3,2,2,5,5,4,2,2,2,2,2,2,5,2,2,2,4,2,2,2,2,5,5,3,2,2,2,2,2,2,3,2,2,2,2
Attractive_RT,1903,1338,1406,2344,1155,1141,1350,929,1324,1218,1185,1113,1334,1011,1145,681,1418,1958,1298,691,847,1513,1148,921,837,1659,2815,1369,861,1588,750,1028,1808,2002,5203,1084,912,2504,723,789,1058,1398,1384,1036,955,784,768,900,882,2103,813,824,1309,1229,2785,1598,1437,1935,30012,1583,2063,676,1194,775,2545,1514,1311,961,1342,1950,1305,614
Attractive_ImageOrder,59Phil_Hamilton.jpg,35Frank_Garner.jpg,38Bob_Ney.jpg,55Rick_Brinkley.jpg,66James_Boyce_Black.jpg,33Charles_McIlhinney.jpg,65Anthoney_Seminerio.jpg,71Joel_Boniek.jpg,57Thad_Viers.jpg,22Sanderson_Bill.jpg,12Frantz_Scott.jpg,44Paul_Bookout.jpg,10Scheffel_Mark.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,30Stephen_Ross.jpg,14Fitz_Steele.jpg,7Bill_Poole.jpg,19Warren_Kampf.jpg,51Salvatore_Dimasi.jpg,63Daniel_Van_Pelt.jpg,8Noel_W_Campbell.JPG,70Ward_Crutchfield.jpg,1John_Katko.jpg,34Niceley_Frank.jpg,53John_Perzel.jpg,67William_DeWeese.jpg,37_Michael Grimm.jpg,58Joe_Armstrong.jpg,18Brian_Crain.jpg,13Steven_Sodders.jpg,2Ken_Smith.jpg,43Terry_Spicer.jpg,9Bill_Gwatney.jpg,45Ben_Arredondo.jpg,40James_Traficant.jpg,42Greg_Wren.jpg,23Scott_Rigell.jpg,39Duke_Cunningham.jpg,54Carl_Kruger.jpg,52Art_Wittich.jpg,17Michael_Ranzenhofer.jpg,20Jeffrey_Bradley.jpg,62John_Cowdery.jpg,4Louis_Terhar.jpg,48Thomas_Gaffey.jpg,41Mike_Hubbard.jpg,36Neil_D_Breslin.jpg,27Joseph_Lagana.jpg,11Daniel_Kagan.jpg,49Kent_Sorenson.jpg,64Joseph_Coniglio.jpg,6Brown_KL.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,24Dan_Ortiz.jpg,60Vic_Kohring.jpg,5Tuggle_Mark.jpg,50KeithHall.jpg,3Darrell_lssa.jpg,69Joseph_Loeper.jpg,15Harold_Naughton.jpg,61Bruce_Weyhrauch.jpg,68Jeffrey_Habay.jpg,28Richard_Codey.jpg,56Bobby_Harrell.jpg,47Douglas_Bruce.jpg,21Bruce_Bannister.jpg,46Steve_King.jpg,72Vincent_Leibell.jpg,29Thomas_Abinanti.jpg,16Jon_Sesso.jpg
