666c4e2736959872a22def3d_2024-11-27T05:18:20.597Z
End_Time,2024-11-27T05:31:57.467Z
Block_Order,dominant,attractive,corruptible,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,6,3,3,5,5,2,2,3,4,3,5,2,4,4,1,1,2,2,5,5,3,4,1,1,2,2,4,3,4,2,3,3,2,2,2,2,4,5,4,6,6,4,1,4,5,3,4,4,3,2,3,1,3,6,2,5,4,1,1,2,2,5,1,2,3,2,5,1,5,3,4,2
Corruptible_RT,1243,454,1547,815,1260,963,1191,1859,1231,1111,1862,763,1436,787,1782,1432,942,1917,705,2417,1670,1078,1205,1546,553,1116,1740,1178,1482,1220,557,1404,799,1163,607,770,1494,1146,1379,1698,1518,794,1172,971,1610,2637,1149,1503,1610,1155,795,1590,988,588,936,828,1120,1323,1432,860,574,1089,1142,798,1205,1498,2355,1768,883,1001,1860,900
Corruptible_ImageOrder,15Harold_Naughton.jpg,17Michael_Ranzenhofer.jpg,59Phil_Hamilton.jpg,26Dennis_Egan.jpg,24Dan_Ortiz.jpg,60Vic_Kohring.jpg,63Daniel_Van_Pelt.jpg,29Thomas_Abinanti.jpg,46Steve_King.jpg,22Sanderson_Bill.jpg,37_Michael Grimm.jpg,28Richard_Codey.jpg,32Kevin _Schreiber.jpg,30Stephen_Ross.jpg,43Terry_Spicer.jpg,34Niceley_Frank.jpg,58Joe_Armstrong.jpg,64Joseph_Coniglio.jpg,35Frank_Garner.jpg,68Jeffrey_Habay.jpg,3Darrell_lssa.jpg,72Vincent_Leibell.jpg,71Joel_Boniek.jpg,67William_DeWeese.jpg,44Paul_Bookout.jpg,47Douglas_Bruce.jpg,31Tim_Hennessey.jpg,66James_Boyce_Black.jpg,10Scheffel_Mark.jpg,52Art_Wittich.jpg,6Brown_KL.jpg,53John_Perzel.jpg,41Mike_Hubbard.jpg,56Bobby_Harrell.jpg,20Jeffrey_Bradley.jpg,1John_Katko.jpg,8Noel_W_Campbell.JPG,2Ken_Smith.jpg,33Charles_McIlhinney.jpg,14Fitz_Steele.jpg,4Louis_Terhar.jpg,57Thad_Viers.jpg,19Warren_Kampf.jpg,27Joseph_Lagana.jpg,38Bob_Ney.jpg,40James_Traficant.jpg,69Joseph_Loeper.jpg,54Carl_Kruger.jpg,11Daniel_Kagan.jpg,62John_Cowdery.jpg,49Kent_Sorenson.jpg,51Salvatore_Dimasi.jpg,55Rick_Brinkley.jpg,36Neil_D_Breslin.jpg,61Bruce_Weyhrauch.jpg,21Bruce_Bannister.jpg,50KeithHall.jpg,12Frantz_Scott.jpg,39Duke_Cunningham.jpg,16Jon_Sesso.jpg,45Ben_Arredondo.jpg,13Steven_Sodders.jpg,70Ward_Crutchfield.jpg,42Greg_Wren.jpg,5Tuggle_Mark.jpg,9Bill_Gwatney.jpg,18Brian_Crain.jpg,7Bill_Poole.jpg,25Matt_Claman.jpg,23Scott_Rigell.jpg,48Thomas_Gaffey.jpg,65Anthoney_Seminerio.jpg
Genuine_Ratings,5,4,6,5,2,3,2,3,4,5,3,3,3,4,5,6,5,5,5,3,3,3,4,2,2,5,3,3,3,4,3,4,3,5,4,4,2,3,3,3,3,5,5,3,2,4,3,3,3,2,3,5,3,2,3,3,3,4,3,5,3,3,4,2,3,3,4,3,2,3,3,3
Genuine_RT,931,2202,1521,1123,1003,669,831,808,1366,986,755,1073,717,579,1912,1229,1086,778,1484,795,958,713,1419,1415,1106,1634,1308,841,918,928,885,1347,880,1491,1094,1106,1076,928,2566,1442,731,945,1214,1270,1540,1238,787,1102,824,1089,1146,1101,764,1536,597,1071,996,925,1426,696,870,1032,1470,1033,964,906,925,786,2016,1706,930,1098
Genuine_ImageOrder,39Duke_Cunningham.jpg,30Stephen_Ross.jpg,38Bob_Ney.jpg,56Bobby_Harrell.jpg,44Paul_Bookout.jpg,46Steve_King.jpg,61Bruce_Weyhrauch.jpg,43Terry_Spicer.jpg,29Thomas_Abinanti.jpg,20Jeffrey_Bradley.jpg,40James_Traficant.jpg,36Neil_D_Breslin.jpg,33Charles_McIlhinney.jpg,59Phil_Hamilton.jpg,18Brian_Crain.jpg,12Frantz_Scott.jpg,60Vic_Kohring.jpg,55Rick_Brinkley.jpg,32Kevin _Schreiber.jpg,21Bruce_Bannister.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,24Dan_Ortiz.jpg,45Ben_Arredondo.jpg,17Michael_Ranzenhofer.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,9Bill_Gwatney.jpg,8Noel_W_Campbell.JPG,57Thad_Viers.jpg,34Niceley_Frank.jpg,72Vincent_Leibell.jpg,42Greg_Wren.jpg,67William_DeWeese.jpg,16Jon_Sesso.jpg,6Brown_KL.jpg,35Frank_Garner.jpg,65Anthoney_Seminerio.jpg,53John_Perzel.jpg,68Jeffrey_Habay.jpg,50KeithHall.jpg,27Joseph_Lagana.jpg,7Bill_Poole.jpg,64Joseph_Coniglio.jpg,37_Michael Grimm.jpg,23Scott_Rigell.jpg,48Thomas_Gaffey.jpg,2Ken_Smith.jpg,13Steven_Sodders.jpg,62John_Cowdery.jpg,31Tim_Hennessey.jpg,49Kent_Sorenson.jpg,11Daniel_Kagan.jpg,47Douglas_Bruce.jpg,71Joel_Boniek.jpg,14Fitz_Steele.jpg,1John_Katko.jpg,51Salvatore_Dimasi.jpg,54Carl_Kruger.jpg,15Harold_Naughton.jpg,58Joe_Armstrong.jpg,22Sanderson_Bill.jpg,26Dennis_Egan.jpg,41Mike_Hubbard.jpg,66James_Boyce_Black.jpg,28Richard_Codey.jpg,5Tuggle_Mark.jpg,25Matt_Claman.jpg,63Daniel_Van_Pelt.jpg,52Art_Wittich.jpg,10Scheffel_Mark.jpg,19Warren_Kampf.jpg
Attractive_Ratings,2,1,3,2,3,1,3,1,1,1,1,1,3,1,1,3,1,2,2,1,2,1,1,1,1,1,2,2,1,1,2,3,1,2,2,2,3,1,1,1,2,2,2,2,1,3,2,2,1,1,1,3,1,1,1,1,3,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1
Attractive_RT,1557,973,1352,1599,1401,1021,877,831,746,724,767,1209,1819,863,1681,1019,1115,2122,914,874,1082,1286,904,1032,1195,1419,1198,1135,609,1010,932,1128,865,696,918,1073,1531,776,970,767,1262,1177,1629,1011,899,1120,1037,1452,726,1192,537,1412,885,1012,1434,1306,1430,1044,982,947,861,536,1073,1563,798,612,908,829,959,934,1120,731
Attractive_ImageOrder,64Joseph_Coniglio.jpg,12Frantz_Scott.jpg,6Brown_KL.jpg,39Duke_Cunningham.jpg,17Michael_Ranzenhofer.jpg,56Bobby_Harrell.jpg,14Fitz_Steele.jpg,33Charles_McIlhinney.jpg,68Jeffrey_Habay.jpg,4Louis_Terhar.jpg,48Thomas_Gaffey.jpg,2Ken_Smith.jpg,28Richard_Codey.jpg,24Dan_Ortiz.jpg,59Phil_Hamilton.jpg,18Brian_Crain.jpg,38Bob_Ney.jpg,31Tim_Hennessey.jpg,35Frank_Garner.jpg,19Warren_Kampf.jpg,30Stephen_Ross.jpg,27Joseph_Lagana.jpg,71Joel_Boniek.jpg,11Daniel_Kagan.jpg,13Steven_Sodders.jpg,8Noel_W_Campbell.JPG,62John_Cowdery.jpg,42Greg_Wren.jpg,61Bruce_Weyhrauch.jpg,26Dennis_Egan.jpg,37_Michael Grimm.jpg,52Art_Wittich.jpg,54Carl_Kruger.jpg,46Steve_King.jpg,40James_Traficant.jpg,70Ward_Crutchfield.jpg,5Tuggle_Mark.jpg,66James_Boyce_Black.jpg,57Thad_Viers.jpg,29Thomas_Abinanti.jpg,72Vincent_Leibell.jpg,1John_Katko.jpg,20Jeffrey_Bradley.jpg,43Terry_Spicer.jpg,10Scheffel_Mark.jpg,51Salvatore_Dimasi.jpg,22Sanderson_Bill.jpg,21Bruce_Bannister.jpg,55Rick_Brinkley.jpg,65Anthoney_Seminerio.jpg,25Matt_Claman.jpg,41Mike_Hubbard.jpg,36Neil_D_Breslin.jpg,67William_DeWeese.jpg,58Joe_Armstrong.jpg,34Niceley_Frank.jpg,63Daniel_Van_Pelt.jpg,3Darrell_lssa.jpg,69Joseph_Loeper.jpg,15Harold_Naughton.jpg,23Scott_Rigell.jpg,50KeithHall.jpg,47Douglas_Bruce.jpg,45Ben_Arredondo.jpg,7Bill_Poole.jpg,53John_Perzel.jpg,49Kent_Sorenson.jpg,9Bill_Gwatney.jpg,44Paul_Bookout.jpg,60Vic_Kohring.jpg,32Kevin _Schreiber.jpg,16Jon_Sesso.jpg
