66e30138831c3c51aa21e3a1_2024-11-27T02:43:22.100Z
End_Time,2024-11-27T03:07:02.291Z
Block_Order,corruptible,attractive,dominant,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,4,5,2,1,4,5,5,5,2,5,2,2,5,5,4,4,5,1,4,5,3,1,4,4,5,3,1,2,3,6,2,6,5,6,2,4,5,7,6,6,3,2,4,1,2,1,7,5,4,3,4,2,5,6,5,2,3,4,4,3,6,3,5,6,2,5,1,3,5,3,7
Corruptible_RT,2379,1754,9984,2978,21661,5653,2240,2164,3190,1441,1973,1826,1968,5695,11221,6551,2093,6808,2625,3078,4490,2644,4337,2583,8244,1906,8904,1462,5070,5578,2396,6892,3664,6848,4186,1468,3095,4104,2779,3292,2423,6256,5567,10183,3758,2452,1572,3570,6037,4466,3824,5530,2936,6366,3781,5701,4581,1474,23599,37279,4518,2469,6272,3588,19676,2077,4422,2698,2293,11738,3316,1960
Corruptible_ImageOrder,5Tuggle_Mark.jpg,23Scott_Rigell.jpg,68Jeffrey_Habay.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,25Matt_Claman.jpg,54Carl_Kruger.jpg,43Terry_Spicer.jpg,52Art_Wittich.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,45Ben_Arredondo.jpg,32Kevin _Schreiber.jpg,6Brown_KL.jpg,30Stephen_Ross.jpg,42Greg_Wren.jpg,35Frank_Garner.jpg,48Thomas_Gaffey.jpg,13Steven_Sodders.jpg,67William_DeWeese.jpg,7Bill_Poole.jpg,40James_Traficant.jpg,46Steve_King.jpg,11Daniel_Kagan.jpg,72Vincent_Leibell.jpg,39Duke_Cunningham.jpg,20Jeffrey_Bradley.jpg,60Vic_Kohring.jpg,51Salvatore_Dimasi.jpg,64Joseph_Coniglio.jpg,55Rick_Brinkley.jpg,33Charles_McIlhinney.jpg,69Joseph_Loeper.jpg,8Noel_W_Campbell.JPG,66James_Boyce_Black.jpg,31Tim_Hennessey.jpg,1John_Katko.jpg,44Paul_Bookout.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,10Scheffel_Mark.jpg,53John_Perzel.jpg,61Bruce_Weyhrauch.jpg,19Warren_Kampf.jpg,12Frantz_Scott.jpg,71Joel_Boniek.jpg,50KeithHall.jpg,41Mike_Hubbard.jpg,26Dennis_Egan.jpg,24Dan_Ortiz.jpg,2Ken_Smith.jpg,36Neil_D_Breslin.jpg,47Douglas_Bruce.jpg,17Michael_Ranzenhofer.jpg,14Fitz_Steele.jpg,65Anthoney_Seminerio.jpg,49Kent_Sorenson.jpg,15Harold_Naughton.jpg,27Joseph_Lagana.jpg,3Darrell_lssa.jpg,58Joe_Armstrong.jpg,70Ward_Crutchfield.jpg,59Phil_Hamilton.jpg,18Brian_Crain.jpg,9Bill_Gwatney.jpg,34Niceley_Frank.jpg,4Louis_Terhar.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,38Bob_Ney.jpg,16Jon_Sesso.jpg,37_Michael Grimm.jpg
Genuine_Ratings,2,3,3,7,6,2,5,1,3,4,6,3,7,6,4,5,3,6,4,3,6,7,6,3,3,1,2,2,3,3,5,5,3,3,4,7,3,4,2,3,4,5,5,2,5,7,4,5,4,3,4,4,4,5,3,3,6,2,6,4,2,1,5,1,1,4,2,7,2,2,4,3
Genuine_RT,956,1735,2202,2563,4491,1113,1218,1111,1780,1390,3338,1938,1456,1275,1122,1782,1439,683,8081,1124,1353,1272,1328,1164,1065,5727,417,1461,1313,3441,3100,1484,1806,2249,1405,5270,1107,2013,1847,894,1219,827,1499,1452,1328,1270,1616,3924,1605,327,1441,861,1078,845,1556,1983,4541,2269,1129,1464,827,1538,1331,1863,1759,1111,1742,1519,1292,3111,1015,826
Genuine_ImageOrder,19Warren_Kampf.jpg,31Tim_Hennessey.jpg,36Neil_D_Breslin.jpg,5Tuggle_Mark.jpg,70Ward_Crutchfield.jpg,26Dennis_Egan.jpg,4Louis_Terhar.jpg,57Thad_Viers.jpg,3Darrell_lssa.jpg,62John_Cowdery.jpg,58Joe_Armstrong.jpg,9Bill_Gwatney.jpg,12Frantz_Scott.jpg,60Vic_Kohring.jpg,67William_DeWeese.jpg,30Stephen_Ross.jpg,38Bob_Ney.jpg,11Daniel_Kagan.jpg,49Kent_Sorenson.jpg,56Bobby_Harrell.jpg,48Thomas_Gaffey.jpg,10Scheffel_Mark.jpg,25Matt_Claman.jpg,18Brian_Crain.jpg,55Rick_Brinkley.jpg,6Brown_KL.jpg,50KeithHall.jpg,29Thomas_Abinanti.jpg,37_Michael Grimm.jpg,61Bruce_Weyhrauch.jpg,27Joseph_Lagana.jpg,16Jon_Sesso.jpg,66James_Boyce_Black.jpg,63Daniel_Van_Pelt.jpg,52Art_Wittich.jpg,13Steven_Sodders.jpg,59Phil_Hamilton.jpg,64Joseph_Coniglio.jpg,68Jeffrey_Habay.jpg,46Steve_King.jpg,65Anthoney_Seminerio.jpg,34Niceley_Frank.jpg,8Noel_W_Campbell.JPG,7Bill_Poole.jpg,2Ken_Smith.jpg,47Douglas_Bruce.jpg,24Dan_Ortiz.jpg,1John_Katko.jpg,20Jeffrey_Bradley.jpg,45Ben_Arredondo.jpg,40James_Traficant.jpg,15Harold_Naughton.jpg,44Paul_Bookout.jpg,41Mike_Hubbard.jpg,54Carl_Kruger.jpg,33Charles_McIlhinney.jpg,71Joel_Boniek.jpg,17Michael_Ranzenhofer.jpg,28Richard_Codey.jpg,69Joseph_Loeper.jpg,32Kevin _Schreiber.jpg,23Scott_Rigell.jpg,51Salvatore_Dimasi.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,39Duke_Cunningham.jpg,53John_Perzel.jpg,14Fitz_Steele.jpg,35Frank_Garner.jpg,72Vincent_Leibell.jpg,43Terry_Spicer.jpg,42Greg_Wren.jpg
Attractive_Ratings,2,3,3,3,4,2,3,1,2,3,3,1,3,3,1,2,1,5,5,1,1,1,5,2,2,1,6,1,4,1,1,6,1,4,5,1,2,3,1,1,2,4,2,3,1,5,1,2,2,1,2,2,2,1,1,2,3,2,3,1,1,1,4,2,2,2,3,3,1,2,1,3
Attractive_RT,1562,1421,1713,2448,1265,897,2097,1558,1050,3310,1122,1173,1521,1281,1329,1237,1141,1550,1661,1196,1128,4437,1562,1282,6826,1317,1570,888,1614,981,996,4352,1779,2073,1417,1458,1880,1295,567,1050,1578,1045,743,1254,1055,3817,736,1410,1223,1732,3282,1411,1516,1154,2734,1683,2880,991,1921,1498,1431,1284,1395,1047,1109,1100,969,1286,3993,2143,1462,1726
Attractive_ImageOrder,69Joseph_Loeper.jpg,8Noel_W_Campbell.JPG,71Joel_Boniek.jpg,55Rick_Brinkley.jpg,25Matt_Claman.jpg,53John_Perzel.jpg,72Vincent_Leibell.jpg,26Dennis_Egan.jpg,56Bobby_Harrell.jpg,13Steven_Sodders.jpg,32Kevin _Schreiber.jpg,27Joseph_Lagana.jpg,2Ken_Smith.jpg,51Salvatore_Dimasi.jpg,20Jeffrey_Bradley.jpg,12Frantz_Scott.jpg,15Harold_Naughton.jpg,45Ben_Arredondo.jpg,1John_Katko.jpg,17Michael_Ranzenhofer.jpg,41Mike_Hubbard.jpg,4Louis_Terhar.jpg,54Carl_Kruger.jpg,28Richard_Codey.jpg,43Terry_Spicer.jpg,50KeithHall.jpg,31Tim_Hennessey.jpg,3Darrell_lssa.jpg,44Paul_Bookout.jpg,7Bill_Poole.jpg,46Steve_King.jpg,16Jon_Sesso.jpg,23Scott_Rigell.jpg,60Vic_Kohring.jpg,14Fitz_Steele.jpg,33Charles_McIlhinney.jpg,18Brian_Crain.jpg,63Daniel_Van_Pelt.jpg,49Kent_Sorenson.jpg,22Sanderson_Bill.jpg,19Warren_Kampf.jpg,24Dan_Ortiz.jpg,37_Michael Grimm.jpg,30Stephen_Ross.jpg,34Niceley_Frank.jpg,42Greg_Wren.jpg,35Frank_Garner.jpg,29Thomas_Abinanti.jpg,38Bob_Ney.jpg,48Thomas_Gaffey.jpg,59Phil_Hamilton.jpg,57Thad_Viers.jpg,67William_DeWeese.jpg,66James_Boyce_Black.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,52Art_Wittich.jpg,47Douglas_Bruce.jpg,68Jeffrey_Habay.jpg,10Scheffel_Mark.jpg,36Neil_D_Breslin.jpg,9Bill_Gwatney.jpg,6Brown_KL.jpg,5Tuggle_Mark.jpg,11Daniel_Kagan.jpg,65Anthoney_Seminerio.jpg,21Bruce_Bannister.jpg,39Duke_Cunningham.jpg,58Joe_Armstrong.jpg,64Joseph_Coniglio.jpg,40James_Traficant.jpg,70Ward_Crutchfield.jpg
Dominant_Ratings,7,6,6,6,6,5,5,3,3,4,4,4,4,5,3,3,7,5,5,7,5,6,5,5,6,6,4,5,4,4,5,4,5,3,4,7,7,5,5,6,7,6,4,6,5,2,4,5,5,4,6,7,6,6,6,7,1,6,5,4,6,2,4,4,7,3,6,4,3,7,5,6
