66c5f76d9a214b469f6476c8_2024-11-26T01:14:30.597Z
End_Time,2024-11-26T01:46:26.561Z
Block_Order,dominant,attractive,genuine,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,3,2,3,3,5,4,2,4,3,3,5,4,5,4,2,3,4,2,5,3,4,2,4,4,2,2,6,3,4,2,4,4,2,3,4,2,3,4,5,4,2,3,3,3,5,4,4,5,6,4,5,3,5,4,4,5,3,5,2,3,6,4,3,4,4,5,5,6,3,4,4
Corruptible_RT,1422,2918,2163,987,109,2406,2185,1098,1803,720,4365,731,1211,1683,1288,9128,2308,2075,1643,1916,1868,706,2229,1141,2512,5834,4295,3151,599,1117,1070,1653,683,2025,850,887,1177,1284,1265,1377,1654,2908,1209,2123,1001,1485,950,1715,2030,2375,3854,3505,2246,1984,1066,1507,1429,844,1807,2419,1836,2257,1271,1840,3109,1445,1917,2154,1126,3434,1391,2182
Corruptible_ImageOrder,53John_Perzel.jpg,26Dennis_Egan.jpg,65Anthoney_Seminerio.jpg,49Kent_Sorenson.jpg,64Joseph_Coniglio.jpg,42Greg_Wren.jpg,70Ward_Crutchfield.jpg,7Bill_Poole.jpg,59Phil_Hamilton.jpg,69Joseph_Loeper.jpg,57Thad_Viers.jpg,55Rick_Brinkley.jpg,3Darrell_lssa.jpg,37_Michael Grimm.jpg,54Carl_Kruger.jpg,50KeithHall.jpg,19Warren_Kampf.jpg,41Mike_Hubbard.jpg,51Salvatore_Dimasi.jpg,13Steven_Sodders.jpg,44Paul_Bookout.jpg,56Bobby_Harrell.jpg,38Bob_Ney.jpg,8Noel_W_Campbell.JPG,18Brian_Crain.jpg,32Kevin _Schreiber.jpg,61Bruce_Weyhrauch.jpg,20Jeffrey_Bradley.jpg,9Bill_Gwatney.jpg,66James_Boyce_Black.jpg,36Neil_D_Breslin.jpg,28Richard_Codey.jpg,67William_DeWeese.jpg,14Fitz_Steele.jpg,63Daniel_Van_Pelt.jpg,15Harold_Naughton.jpg,47Douglas_Bruce.jpg,27Joseph_Lagana.jpg,34Niceley_Frank.jpg,48Thomas_Gaffey.jpg,17Michael_Ranzenhofer.jpg,24Dan_Ortiz.jpg,35Frank_Garner.jpg,72Vincent_Leibell.jpg,23Scott_Rigell.jpg,52Art_Wittich.jpg,21Bruce_Bannister.jpg,60Vic_Kohring.jpg,6Brown_KL.jpg,11Daniel_Kagan.jpg,16Jon_Sesso.jpg,58Joe_Armstrong.jpg,5Tuggle_Mark.jpg,68Jeffrey_Habay.jpg,33Charles_McIlhinney.jpg,12Frantz_Scott.jpg,39Duke_Cunningham.jpg,25Matt_Claman.jpg,2Ken_Smith.jpg,45Ben_Arredondo.jpg,22Sanderson_Bill.jpg,1John_Katko.jpg,43Terry_Spicer.jpg,46Steve_King.jpg,29Thomas_Abinanti.jpg,71Joel_Boniek.jpg,4Louis_Terhar.jpg,62John_Cowdery.jpg,30Stephen_Ross.jpg,40James_Traficant.jpg,10Scheffel_Mark.jpg,31Tim_Hennessey.jpg
Genuine_Ratings,4,4,6,2,4,1,5,5,6,3,3,2,4,3,3,5,4,4,6,4,5,4,5,5,6,5,5,3,4,6,4,5,4,5,5,5,6,3,3,2,3,4,4,5,5,4,4,4,2,2,4,4,5,3,3,6,3,3,3,4,4,3,3,3,4,5,4,2,2,4,3,3
Genuine_RT,1727,589,2239,1599,1620,1643,1578,891,2554,1053,1759,1461,1498,1495,1542,903,1699,1235,1061,3486,1854,1223,2056,1766,862,1704,3132,1523,1862,2813,1012,2038,1929,1724,1938,1673,1648,798,1638,1699,642,783,455,812,1580,825,1619,2387,1536,1252,1867,1610,711,1616,2273,1562,1223,1254,777,1166,1633,1768,759,1323,1298,1488,945,1018,1549,2266,1405,1064
Genuine_ImageOrder,55Rick_Brinkley.jpg,38Bob_Ney.jpg,65Anthoney_Seminerio.jpg,46Steve_King.jpg,54Carl_Kruger.jpg,40James_Traficant.jpg,2Ken_Smith.jpg,45Ben_Arredondo.jpg,16Jon_Sesso.jpg,25Matt_Claman.jpg,19Warren_Kampf.jpg,62John_Cowdery.jpg,70Ward_Crutchfield.jpg,15Harold_Naughton.jpg,42Greg_Wren.jpg,18Brian_Crain.jpg,21Bruce_Bannister.jpg,60Vic_Kohring.jpg,37_Michael Grimm.jpg,64Joseph_Coniglio.jpg,29Thomas_Abinanti.jpg,63Daniel_Van_Pelt.jpg,26Dennis_Egan.jpg,39Duke_Cunningham.jpg,66James_Boyce_Black.jpg,56Bobby_Harrell.jpg,5Tuggle_Mark.jpg,1John_Katko.jpg,20Jeffrey_Bradley.jpg,10Scheffel_Mark.jpg,41Mike_Hubbard.jpg,72Vincent_Leibell.jpg,36Neil_D_Breslin.jpg,31Tim_Hennessey.jpg,58Joe_Armstrong.jpg,30Stephen_Ross.jpg,14Fitz_Steele.jpg,3Darrell_lssa.jpg,34Niceley_Frank.jpg,28Richard_Codey.jpg,4Louis_Terhar.jpg,43Terry_Spicer.jpg,57Thad_Viers.jpg,24Dan_Ortiz.jpg,13Steven_Sodders.jpg,12Frantz_Scott.jpg,32Kevin _Schreiber.jpg,71Joel_Boniek.jpg,59Phil_Hamilton.jpg,23Scott_Rigell.jpg,11Daniel_Kagan.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,61Bruce_Weyhrauch.jpg,27Joseph_Lagana.jpg,9Bill_Gwatney.jpg,52Art_Wittich.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,35Frank_Garner.jpg,22Sanderson_Bill.jpg,44Paul_Bookout.jpg,67William_DeWeese.jpg,53John_Perzel.jpg,33Charles_McIlhinney.jpg,49Kent_Sorenson.jpg,17Michael_Ranzenhofer.jpg,69Joseph_Loeper.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,6Brown_KL.jpg,68Jeffrey_Habay.jpg
Attractive_Ratings,5,5,5,2,4,1,5,4,6,4,3,3,4,3,5,6,4,5,5,3,5,3,5,5,6,4,5,3,2,4,4,5,6,5,4,5,5,4,2,2,3,3,4,5,2,4,3,5,3,3,4,4,5,3,3,5,3,3,3,4,4,3,4,2,3,4,5,2,2,4,2,3
Attractive_RT,2107,1242,1398,1448,1350,1661,807,1548,2265,1611,1023,2311,1118,2023,1234,1980,892,959,1909,1440,2067,795,1375,2539,2056,1732,2934,1273,2191,2110,1376,1845,2944,1731,2733,1833,1703,795,1594,1978,1438,1596,2712,1107,919,841,4629,2327,1292,2789,1326,2149,1593,2944,936,2009,1509,3284,1869,1493,3821,1500,1055,1590,1402,1614,969,1788,1332,2737,1339,1043
Attractive_ImageOrder,47Douglas_Bruce.jpg,45Ben_Arredondo.jpg,50KeithHall.jpg,71Joel_Boniek.jpg,12Frantz_Scott.jpg,19Warren_Kampf.jpg,23Scott_Rigell.jpg,29Thomas_Abinanti.jpg,3Darrell_lssa.jpg,68Jeffrey_Habay.jpg,61Bruce_Weyhrauch.jpg,26Dennis_Egan.jpg,10Scheffel_Mark.jpg,62John_Cowdery.jpg,24Dan_Ortiz.jpg,52Art_Wittich.jpg,6Brown_KL.jpg,21Bruce_Bannister.jpg,32Kevin _Schreiber.jpg,14Fitz_Steele.jpg,17Michael_Ranzenhofer.jpg,56Bobby_Harrell.jpg,54Carl_Kruger.jpg,72Vincent_Leibell.jpg,59Phil_Hamilton.jpg,9Bill_Gwatney.jpg,15Harold_Naughton.jpg,40James_Traficant.jpg,20Jeffrey_Bradley.jpg,35Frank_Garner.jpg,39Duke_Cunningham.jpg,70Ward_Crutchfield.jpg,67William_DeWeese.jpg,57Thad_Viers.jpg,34Niceley_Frank.jpg,1John_Katko.jpg,64Joseph_Coniglio.jpg,22Sanderson_Bill.jpg,36Neil_D_Breslin.jpg,44Paul_Bookout.jpg,51Salvatore_Dimasi.jpg,49Kent_Sorenson.jpg,58Joe_Armstrong.jpg,27Joseph_Lagana.jpg,69Joseph_Loeper.jpg,16Jon_Sesso.jpg,43Terry_Spicer.jpg,41Mike_Hubbard.jpg,11Daniel_Kagan.jpg,28Richard_Codey.jpg,4Louis_Terhar.jpg,66James_Boyce_Black.jpg,63Daniel_Van_Pelt.jpg,2Ken_Smith.jpg,31Tim_Hennessey.jpg,18Brian_Crain.jpg,8Noel_W_Campbell.JPG,53John_Perzel.jpg,38Bob_Ney.jpg,7Bill_Poole.jpg,46Steve_King.jpg,25Matt_Claman.jpg,5Tuggle_Mark.jpg,37_Michael Grimm.jpg,60Vic_Kohring.jpg,13Steven_Sodders.jpg,65Anthoney_Seminerio.jpg,48Thomas_Gaffey.jpg,33Charles_McIlhinney.jpg,42Greg_Wren.jpg,30Stephen_Ross.jpg,55Rick_Brinkley.jpg
