66631cdc7065f2abcd813973_2024-11-26T01:01:29.897Z
End_Time,2024-11-26T01:15:09.456Z
Block_Order,corruptible,attractive,dominant,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,1,2,1,2,5,1,1,1,1,4,1,1,2,1,3,1,3,2,2,2,1,1,1,1,1,2,1,2,4,3,2,2,3,1,1,1,2,1,1,2,1,2,1,2,1,2,6,3,3,3,3,2,1,1,2,4,1,3,1,1,1,1,4,1,3,1,1,1,5,2,1,1
Corruptible_RT,1340,1110,455,1028,1207,419,264,465,318,2276,313,126,1639,552,23736,1205,522,1872,380,523,378,225,957,1653,3438,381,439,613,1490,1028,331,728,1392,423,471,358,849,583,576,995,462,492,770,2041,394,702,3365,880,370,4965,679,2390,1375,1075,1200,1400,308,2061,478,518,343,1473,2359,336,491,407,348,286,1607,311,590,806
Corruptible_ImageOrder,15Harold_Naughton.jpg,63Daniel_Van_Pelt.jpg,50KeithHall.jpg,10Scheffel_Mark.jpg,52Art_Wittich.jpg,58Joe_Armstrong.jpg,44Paul_Bookout.jpg,62John_Cowdery.jpg,18Brian_Crain.jpg,47Douglas_Bruce.jpg,25Matt_Claman.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,37_Michael Grimm.jpg,3Darrell_lssa.jpg,69Joseph_Loeper.jpg,56Bobby_Harrell.jpg,33Charles_McIlhinney.jpg,40James_Traficant.jpg,16Jon_Sesso.jpg,4Louis_Terhar.jpg,65Anthoney_Seminerio.jpg,2Ken_Smith.jpg,30Stephen_Ross.jpg,19Warren_Kampf.jpg,66James_Boyce_Black.jpg,9Bill_Gwatney.jpg,60Vic_Kohring.jpg,11Daniel_Kagan.jpg,24Dan_Ortiz.jpg,72Vincent_Leibell.jpg,57Thad_Viers.jpg,21Bruce_Bannister.jpg,53John_Perzel.jpg,14Fitz_Steele.jpg,13Steven_Sodders.jpg,20Jeffrey_Bradley.jpg,48Thomas_Gaffey.jpg,35Frank_Garner.jpg,17Michael_Ranzenhofer.jpg,67William_DeWeese.jpg,31Tim_Hennessey.jpg,6Brown_KL.jpg,68Jeffrey_Habay.jpg,64Joseph_Coniglio.jpg,55Rick_Brinkley.jpg,7Bill_Poole.jpg,70Ward_Crutchfield.jpg,32Kevin _Schreiber.jpg,22Sanderson_Bill.jpg,27Joseph_Lagana.jpg,29Thomas_Abinanti.jpg,5Tuggle_Mark.jpg,1John_Katko.jpg,54Carl_Kruger.jpg,49Kent_Sorenson.jpg,61Bruce_Weyhrauch.jpg,28Richard_Codey.jpg,38Bob_Ney.jpg,23Scott_Rigell.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,41Mike_Hubbard.jpg,51Salvatore_Dimasi.jpg,39Duke_Cunningham.jpg,26Dennis_Egan.jpg,34Niceley_Frank.jpg,36Neil_D_Breslin.jpg,8Noel_W_Campbell.JPG,71Joel_Boniek.jpg,59Phil_Hamilton.jpg,12Frantz_Scott.jpg
Genuine_Ratings,6,7,5,6,6,5,5,7,5,5,5,6,5,5,6,5,6,7,6,7,6,4,6,7,6,6,6,5,5,7,5,7,6,7,5,7,5,6,6,6,7,5,7,7,6,7,7,5,6,6,6,5,7,7,7,7,6,5,6,6,6,5,6,7,6,5,5,7,4,5,7,6
Genuine_RT,914,578,817,661,564,528,756,622,610,813,656,604,1088,1184,1052,328,518,425,1033,825,595,840,487,836,731,478,831,556,398,1057,405,372,397,8124,1001,727,805,1275,1256,486,3649,844,421,531,560,1069,605,1686,487,505,519,335,639,889,933,419,369,949,911,597,466,782,600,646,873,635,429,345,842,345,459,396
Genuine_ImageOrder,34Niceley_Frank.jpg,27Joseph_Lagana.jpg,6Brown_KL.jpg,15Harold_Naughton.jpg,8Noel_W_Campbell.JPG,12Frantz_Scott.jpg,4Louis_Terhar.jpg,31Tim_Hennessey.jpg,69Joseph_Loeper.jpg,28Richard_Codey.jpg,72Vincent_Leibell.jpg,44Paul_Bookout.jpg,41Mike_Hubbard.jpg,59Phil_Hamilton.jpg,42Greg_Wren.jpg,26Dennis_Egan.jpg,1John_Katko.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,35Frank_Garner.jpg,53John_Perzel.jpg,40James_Traficant.jpg,3Darrell_lssa.jpg,25Matt_Claman.jpg,66James_Boyce_Black.jpg,18Brian_Crain.jpg,11Daniel_Kagan.jpg,23Scott_Rigell.jpg,43Terry_Spicer.jpg,13Steven_Sodders.jpg,21Bruce_Bannister.jpg,36Neil_D_Breslin.jpg,20Jeffrey_Bradley.jpg,60Vic_Kohring.jpg,52Art_Wittich.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,17Michael_Ranzenhofer.jpg,14Fitz_Steele.jpg,46Steve_King.jpg,16Jon_Sesso.jpg,47Douglas_Bruce.jpg,51Salvatore_Dimasi.jpg,37_Michael Grimm.jpg,68Jeffrey_Habay.jpg,19Warren_Kampf.jpg,9Bill_Gwatney.jpg,55Rick_Brinkley.jpg,61Bruce_Weyhrauch.jpg,48Thomas_Gaffey.jpg,54Carl_Kruger.jpg,63Daniel_Van_Pelt.jpg,7Bill_Poole.jpg,45Ben_Arredondo.jpg,24Dan_Ortiz.jpg,39Duke_Cunningham.jpg,67William_DeWeese.jpg,49Kent_Sorenson.jpg,2Ken_Smith.jpg,38Bob_Ney.jpg,29Thomas_Abinanti.jpg,5Tuggle_Mark.jpg,71Joel_Boniek.jpg,22Sanderson_Bill.jpg,50KeithHall.jpg,62John_Cowdery.jpg,65Anthoney_Seminerio.jpg,64Joseph_Coniglio.jpg,10Scheffel_Mark.jpg,30Stephen_Ross.jpg,70Ward_Crutchfield.jpg
Attractive_Ratings,3,7,7,6,5,5,6,6,7,1,3,5,7,3,4,6,5,7,5,6,1,2,5,1,6,5,7,6,1,1,5,7,4,6,1,5,7,5,1,4,5,6,1,7,6,6,6,6,6,1,4,1,7,7,2,1,7,7,1,2,4,5,7,1,3,4,7,1,6,5,6,7
Attractive_RT,1181,310,867,713,888,1155,777,824,610,820,519,913,4407,1093,434,278,373,666,727,246,417,949,371,885,475,431,764,526,2126,444,932,484,837,537,710,390,310,673,1732,990,1151,1111,1126,730,368,10010,386,474,193,915,1412,1042,163,1020,1066,609,1226,356,1385,478,810,649,340,918,2709,811,658,1149,702,443,868,301
Attractive_ImageOrder,59Phil_Hamilton.jpg,22Sanderson_Bill.jpg,50KeithHall.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,35Frank_Garner.jpg,52Art_Wittich.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,68Jeffrey_Habay.jpg,10Scheffel_Mark.jpg,1John_Katko.jpg,21Bruce_Bannister.jpg,51Salvatore_Dimasi.jpg,30Stephen_Ross.jpg,60Vic_Kohring.jpg,39Duke_Cunningham.jpg,43Terry_Spicer.jpg,24Dan_Ortiz.jpg,29Thomas_Abinanti.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,4Louis_Terhar.jpg,16Jon_Sesso.jpg,72Vincent_Leibell.jpg,2Ken_Smith.jpg,37_Michael Grimm.jpg,53John_Perzel.jpg,18Brian_Crain.jpg,7Bill_Poole.jpg,9Bill_Gwatney.jpg,32Kevin _Schreiber.jpg,23Scott_Rigell.jpg,57Thad_Viers.jpg,34Niceley_Frank.jpg,27Joseph_Lagana.jpg,8Noel_W_Campbell.JPG,44Paul_Bookout.jpg,48Thomas_Gaffey.jpg,63Daniel_Van_Pelt.jpg,45Ben_Arredondo.jpg,62John_Cowdery.jpg,66James_Boyce_Black.jpg,5Tuggle_Mark.jpg,20Jeffrey_Bradley.jpg,67William_DeWeese.jpg,13Steven_Sodders.jpg,71Joel_Boniek.jpg,19Warren_Kampf.jpg,15Harold_Naughton.jpg,11Daniel_Kagan.jpg,33Charles_McIlhinney.jpg,6Brown_KL.jpg,17Michael_Ranzenhofer.jpg,70Ward_Crutchfield.jpg,25Matt_Claman.jpg,58Joe_Armstrong.jpg,49Kent_Sorenson.jpg,36Neil_D_Breslin.jpg,69Joseph_Loeper.jpg,31Tim_Hennessey.jpg,54Carl_Kruger.jpg,42Greg_Wren.jpg,41Mike_Hubbard.jpg,40James_Traficant.jpg,14Fitz_Steele.jpg,12Frantz_Scott.jpg,28Richard_Codey.jpg,38Bob_Ney.jpg,3Darrell_lssa.jpg,26Dennis_Egan.jpg,61Bruce_Weyhrauch.jpg
