65f333dce4a9a4bfc2308f40_2024-11-26T01:10:55.164Z
End_Time,2024-11-26T01:37:20.429Z
Block_Order,corruptible,genuine,attractive,dominant
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,2,4,1,1,2,2,3,2,2,3,2,4,4,2,5,2,3,2,4,4,2,3,3,4,4,3,1,4,5,3,5,5,3,5,3,5,5,5,5,6,4,3,3,3,4,4,4,5,4,4,1,4,3,5,3,3,2,5,5,5,2,6,5,5,4,3,3,2,6,3,4,6
Corruptible_RT,1927,1832,3245,5308,5618,5525,5752,6037,3209,3439,3947,2000,4193,4673,6015,3212,5690,6106,5663,1862,3440,1835,3960,4916,4812,4156,4104,4583,4256,6105,1870,4266,6286,4677,2561,2730,5806,3076,7603,5017,34760,1773,4684,4255,7316,3929,1803,3000,5750,4382,6774,3787,3972,2272,7857,6610,5048,4000,2879,6664,6251,4806,2276,2956,5061,8823,3039,5155,2117,7202,5736,6033
Corruptible_ImageOrder,41Mike_Hubbard.jpg,72Vincent_Leibell.jpg,53John_Perzel.jpg,62John_Cowdery.jpg,8Noel_W_Campbell.JPG,15Harold_Naughton.jpg,4Louis_Terhar.jpg,49Kent_Sorenson.jpg,7Bill_Poole.jpg,57Thad_Viers.jpg,55Rick_Brinkley.jpg,43Terry_Spicer.jpg,6Brown_KL.jpg,24Dan_Ortiz.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,51Salvatore_Dimasi.jpg,3Darrell_lssa.jpg,21Bruce_Bannister.jpg,27Joseph_Lagana.jpg,19Warren_Kampf.jpg,52Art_Wittich.jpg,30Stephen_Ross.jpg,67William_DeWeese.jpg,16Jon_Sesso.jpg,33Charles_McIlhinney.jpg,46Steve_King.jpg,59Phil_Hamilton.jpg,25Matt_Claman.jpg,39Duke_Cunningham.jpg,35Frank_Garner.jpg,68Jeffrey_Habay.jpg,18Brian_Crain.jpg,14Fitz_Steele.jpg,45Ben_Arredondo.jpg,23Scott_Rigell.jpg,28Richard_Codey.jpg,20Jeffrey_Bradley.jpg,32Kevin _Schreiber.jpg,17Michael_Ranzenhofer.jpg,58Joe_Armstrong.jpg,54Carl_Kruger.jpg,40James_Traficant.jpg,11Daniel_Kagan.jpg,48Thomas_Gaffey.jpg,26Dennis_Egan.jpg,29Thomas_Abinanti.jpg,66James_Boyce_Black.jpg,65Anthoney_Seminerio.jpg,44Paul_Bookout.jpg,63Daniel_Van_Pelt.jpg,37_Michael Grimm.jpg,34Niceley_Frank.jpg,69Joseph_Loeper.jpg,38Bob_Ney.jpg,22Sanderson_Bill.jpg,36Neil_D_Breslin.jpg,31Tim_Hennessey.jpg,2Ken_Smith.jpg,47Douglas_Bruce.jpg,71Joel_Boniek.jpg,64Joseph_Coniglio.jpg,56Bobby_Harrell.jpg,70Ward_Crutchfield.jpg,50KeithHall.jpg,42Greg_Wren.jpg,13Steven_Sodders.jpg,12Frantz_Scott.jpg,10Scheffel_Mark.jpg,9Bill_Gwatney.jpg,5Tuggle_Mark.jpg,1John_Katko.jpg
Genuine_Ratings,5,4,5,4,5,4,5,4,5,3,5,3,5,5,4,5,4,5,4,3,5,4,5,5,5,3,2,3,3,3,3,3,4,3,5,2,4,4,4,1,4,4,2,6,2,3,4,3,3,2,4,4,4,4,4,3,5,2,3,2,4,4,4,4,4,5,4,5,3,4,5,2
Genuine_RT,1973,2069,1634,1796,1810,4079,2822,1704,2668,1332,1840,1209,1497,2568,1843,4064,5258,3130,5286,1945,5801,1724,2454,4099,4480,2098,3762,2551,2178,4661,8698,3848,1651,1597,3337,2229,1691,4098,12112,6949,2437,1307,5060,2623,2773,7306,1909,1686,2728,1820,3562,3794,2638,2251,3895,1992,2191,3367,3784,1666,4155,3130,2197,2053,4866,2918,1772,5052,3006,1902,1615,3015
Genuine_ImageOrder,31Tim_Hennessey.jpg,27Joseph_Lagana.jpg,39Duke_Cunningham.jpg,38Bob_Ney.jpg,7Bill_Poole.jpg,47Douglas_Bruce.jpg,44Paul_Bookout.jpg,1John_Katko.jpg,26Dennis_Egan.jpg,28Richard_Codey.jpg,50KeithHall.jpg,72Vincent_Leibell.jpg,51Salvatore_Dimasi.jpg,17Michael_Ranzenhofer.jpg,54Carl_Kruger.jpg,30Stephen_Ross.jpg,68Jeffrey_Habay.jpg,23Scott_Rigell.jpg,37_Michael Grimm.jpg,46Steve_King.jpg,43Terry_Spicer.jpg,45Ben_Arredondo.jpg,32Kevin _Schreiber.jpg,58Joe_Armstrong.jpg,56Bobby_Harrell.jpg,36Neil_D_Breslin.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,59Phil_Hamilton.jpg,66James_Boyce_Black.jpg,6Brown_KL.jpg,53John_Perzel.jpg,29Thomas_Abinanti.jpg,63Daniel_Van_Pelt.jpg,9Bill_Gwatney.jpg,15Harold_Naughton.jpg,55Rick_Brinkley.jpg,18Brian_Crain.jpg,60Vic_Kohring.jpg,67William_DeWeese.jpg,13Steven_Sodders.jpg,65Anthoney_Seminerio.jpg,61Bruce_Weyhrauch.jpg,22Sanderson_Bill.jpg,57Thad_Viers.jpg,24Dan_Ortiz.jpg,20Jeffrey_Bradley.jpg,34Niceley_Frank.jpg,16Jon_Sesso.jpg,70Ward_Crutchfield.jpg,25Matt_Claman.jpg,5Tuggle_Mark.jpg,14Fitz_Steele.jpg,11Daniel_Kagan.jpg,69Joseph_Loeper.jpg,62John_Cowdery.jpg,3Darrell_lssa.jpg,71Joel_Boniek.jpg,33Charles_McIlhinney.jpg,21Bruce_Bannister.jpg,42Greg_Wren.jpg,10Scheffel_Mark.jpg,12Frantz_Scott.jpg,4Louis_Terhar.jpg,49Kent_Sorenson.jpg,2Ken_Smith.jpg,8Noel_W_Campbell.JPG,48Thomas_Gaffey.jpg,52Art_Wittich.jpg,64Joseph_Coniglio.jpg,19Warren_Kampf.jpg,35Frank_Garner.jpg
Attractive_Ratings,5,5,5,4,5,4,5,2,5,4,5,4,5,5,3,5,5,5,4,3,5,3,5,4,5,3,6,4,4,3,3,4,5,4,5,2,4,3,2,3,4,4,3,5,4,5,2,4,3,5,4,4,4,3,3,3,5,3,3,2,5,3,4,3,4,4,3,5,4,3,4,2
Attractive_RT,1667,3759,1355,1311,2605,2769,1118,1345,1259,1273,1304,2588,1244,2104,2543,4331,1329,4019,3235,3391,2089,1380,1419,1778,1421,1444,2853,2738,1713,1305,1328,1786,1950,1199,1643,1361,1391,1517,1675,1131,1457,1876,2310,1405,2019,1659,1210,1449,2539,1674,1554,2581,3272,1231,1748,1346,1600,1589,1688,2708,4511,1325,2224,2572,1366,2453,1124,1535,6517,1173,1915,1711
Attractive_ImageOrder,18Brian_Crain.jpg,20Jeffrey_Bradley.jpg,28Richard_Codey.jpg,1John_Katko.jpg,42Greg_Wren.jpg,14Fitz_Steele.jpg,25Matt_Claman.jpg,3Darrell_lssa.jpg,32Kevin _Schreiber.jpg,43Terry_Spicer.jpg,71Joel_Boniek.jpg,23Scott_Rigell.jpg,41Mike_Hubbard.jpg,52Art_Wittich.jpg,45Ben_Arredondo.jpg,15Harold_Naughton.jpg,2Ken_Smith.jpg,68Jeffrey_Habay.jpg,34Niceley_Frank.jpg,21Bruce_Bannister.jpg,13Steven_Sodders.jpg,35Frank_Garner.jpg,6Brown_KL.jpg,59Phil_Hamilton.jpg,38Bob_Ney.jpg,27Joseph_Lagana.jpg,17Michael_Ranzenhofer.jpg,63Daniel_Van_Pelt.jpg,36Neil_D_Breslin.jpg,8Noel_W_Campbell.JPG,49Kent_Sorenson.jpg,24Dan_Ortiz.jpg,16Jon_Sesso.jpg,22Sanderson_Bill.jpg,47Douglas_Bruce.jpg,56Bobby_Harrell.jpg,37_Michael Grimm.jpg,26Dennis_Egan.jpg,64Joseph_Coniglio.jpg,67William_DeWeese.jpg,19Warren_Kampf.jpg,44Paul_Bookout.jpg,62John_Cowdery.jpg,51Salvatore_Dimasi.jpg,57Thad_Viers.jpg,40James_Traficant.jpg,53John_Perzel.jpg,31Tim_Hennessey.jpg,12Frantz_Scott.jpg,55Rick_Brinkley.jpg,50KeithHall.jpg,65Anthoney_Seminerio.jpg,9Bill_Gwatney.jpg,7Bill_Poole.jpg,72Vincent_Leibell.jpg,33Charles_McIlhinney.jpg,48Thomas_Gaffey.jpg,58Joe_Armstrong.jpg,54Carl_Kruger.jpg,5Tuggle_Mark.jpg,11Daniel_Kagan.jpg,10Scheffel_Mark.jpg,70Ward_Crutchfield.jpg,69Joseph_Loeper.jpg,39Duke_Cunningham.jpg,60Vic_Kohring.jpg,46Steve_King.jpg,4Louis_Terhar.jpg,66James_Boyce_Black.jpg,61Bruce_Weyhrauch.jpg,30Stephen_Ross.jpg,29Thomas_Abinanti.jpg
Dominant_Ratings,3,4,2,5,3,4,3,5,2,4,4,3,4,3,2,3,3,2,4,5,2,4,3,3,2,4,2,5,4,5,3,4,3,4,3,5,5,4,6,6,5,5,5,3,5,4,5,4,2,3,3,5,5,5,4,3,2,5,4,6,4,5,4,5,5,3,4,2,4,5,4,6
Dominant_RT,1773,1836,1770,2483,3710,1785,1222,2113,3681,1707,1759,1612,2719,1658,2367,1422,3613,1498,2289,1676,6519,3148,1436,1256,1353,1893,3752,2194,1648,1344,3445,3601,2382,2202,2192,2740,3458,3369,1778,3232,1589,1483,1247,3863,2100,1546,3007,1932,1633,2650,2231,1773,1964,2851,3026,1432,1831,1750,1744,3237,2073,1517,1960,1238,1424,1477,3840,3324,3192,1432,3428,1425
