65f45a87d68ec9b74898401d_2024-11-27T03:04:19.206Z
End_Time,2024-11-27T03:19:29.052Z
Block_Order,genuine,dominant,attractive,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,2,3,3,4,3,4,3,2,3,3,2,3,2,5,4,3,4,2,1,4,3,2,2,3,4,3,2,3,5,6,3,2,2,5,2,3,5,2,3,3,3,6,3,2,6,3,2,3,5,2,3,2,4,5,4,2,2,4,3,5,3,2,2,5,3,2,4,2,5,3,6,3
Corruptible_RT,868,2311,1691,647,716,642,1455,1241,1080,2038,1133,2005,4138,309,1254,1303,2157,1505,1915,1548,5782,1421,985,1837,739,1384,1463,1673,497,2336,876,1859,1470,5205,1061,1210,2011,1390,1299,1590,1102,1539,2769,2008,3924,1266,635,2406,1522,1299,1727,1831,2061,1381,1473,1740,1402,1972,2619,2086,2524,7265,1113,730,1671,905,1008,1381,1369,1575,1154,2144
Corruptible_ImageOrder,62John_Cowdery.jpg,34Niceley_Frank.jpg,45Ben_Arredondo.jpg,53John_Perzel.jpg,19Warren_Kampf.jpg,41Mike_Hubbard.jpg,10Scheffel_Mark.jpg,2Ken_Smith.jpg,13Steven_Sodders.jpg,63Daniel_Van_Pelt.jpg,22Sanderson_Bill.jpg,66James_Boyce_Black.jpg,12Frantz_Scott.jpg,30Stephen_Ross.jpg,71Joel_Boniek.jpg,42Greg_Wren.jpg,60Vic_Kohring.jpg,21Bruce_Bannister.jpg,20Jeffrey_Bradley.jpg,55Rick_Brinkley.jpg,1John_Katko.jpg,68Jeffrey_Habay.jpg,11Daniel_Kagan.jpg,23Scott_Rigell.jpg,28Richard_Codey.jpg,67William_DeWeese.jpg,31Tim_Hennessey.jpg,47Douglas_Bruce.jpg,51Salvatore_Dimasi.jpg,26Dennis_Egan.jpg,16Jon_Sesso.jpg,39Duke_Cunningham.jpg,44Paul_Bookout.jpg,61Bruce_Weyhrauch.jpg,32Kevin _Schreiber.jpg,5Tuggle_Mark.jpg,25Matt_Claman.jpg,72Vincent_Leibell.jpg,58Joe_Armstrong.jpg,52Art_Wittich.jpg,38Bob_Ney.jpg,50KeithHall.jpg,57Thad_Viers.jpg,48Thomas_Gaffey.jpg,35Frank_Garner.jpg,56Bobby_Harrell.jpg,59Phil_Hamilton.jpg,36Neil_D_Breslin.jpg,27Joseph_Lagana.jpg,33Charles_McIlhinney.jpg,49Kent_Sorenson.jpg,54Carl_Kruger.jpg,17Michael_Ranzenhofer.jpg,24Dan_Ortiz.jpg,6Brown_KL.jpg,46Steve_King.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,3Darrell_lssa.jpg,64Joseph_Coniglio.jpg,4Louis_Terhar.jpg,29Thomas_Abinanti.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,9Bill_Gwatney.jpg,43Terry_Spicer.jpg,8Noel_W_Campbell.JPG,65Anthoney_Seminerio.jpg,37_Michael Grimm.jpg,7Bill_Poole.jpg,40James_Traficant.jpg,18Brian_Crain.jpg
Genuine_Ratings,3,5,7,4,4,5,4,7,5,5,3,5,5,2,4,4,7,5,6,6,3,3,5,5,4,4,5,5,4,3,3,3,3,3,4,5,3,5,4,5,4,6,4,4,3,5,4,2,4,4,5,6,7,6,4,6,2,5,6,5,4,3,5,5,3,3,7,3,3,6,2,4
Genuine_RT,2172,1980,2941,1761,3449,3270,1374,2650,2524,4183,3188,1634,2099,3135,1974,4140,2252,1615,3610,6240,3980,4341,1440,1165,654,1689,4072,1533,1026,2185,1958,2201,863,1203,1798,823,2681,2302,1316,2737,3665,2576,1592,2884,2330,2634,4309,3286,2913,794,3657,3188,4520,3904,639,5638,1544,17839,828,1196,8629,2025,2374,2879,2942,596,3370,1226,2081,9581,3780,4432
Genuine_ImageOrder,58Joe_Armstrong.jpg,27Joseph_Lagana.jpg,70Ward_Crutchfield.jpg,20Jeffrey_Bradley.jpg,53John_Perzel.jpg,67William_DeWeese.jpg,72Vincent_Leibell.jpg,54Carl_Kruger.jpg,52Art_Wittich.jpg,8Noel_W_Campbell.JPG,3Darrell_lssa.jpg,56Bobby_Harrell.jpg,47Douglas_Bruce.jpg,63Daniel_Van_Pelt.jpg,10Scheffel_Mark.jpg,61Bruce_Weyhrauch.jpg,5Tuggle_Mark.jpg,64Joseph_Coniglio.jpg,2Ken_Smith.jpg,26Dennis_Egan.jpg,13Steven_Sodders.jpg,16Jon_Sesso.jpg,21Bruce_Bannister.jpg,46Steve_King.jpg,42Greg_Wren.jpg,18Brian_Crain.jpg,17Michael_Ranzenhofer.jpg,38Bob_Ney.jpg,7Bill_Poole.jpg,50KeithHall.jpg,60Vic_Kohring.jpg,48Thomas_Gaffey.jpg,44Paul_Bookout.jpg,22Sanderson_Bill.jpg,15Harold_Naughton.jpg,51Salvatore_Dimasi.jpg,71Joel_Boniek.jpg,57Thad_Viers.jpg,1John_Katko.jpg,4Louis_Terhar.jpg,43Terry_Spicer.jpg,68Jeffrey_Habay.jpg,9Bill_Gwatney.jpg,23Scott_Rigell.jpg,25Matt_Claman.jpg,33Charles_McIlhinney.jpg,59Phil_Hamilton.jpg,28Richard_Codey.jpg,65Anthoney_Seminerio.jpg,37_Michael Grimm.jpg,14Fitz_Steele.jpg,11Daniel_Kagan.jpg,62John_Cowdery.jpg,49Kent_Sorenson.jpg,40James_Traficant.jpg,29Thomas_Abinanti.jpg,66James_Boyce_Black.jpg,24Dan_Ortiz.jpg,12Frantz_Scott.jpg,35Frank_Garner.jpg,34Niceley_Frank.jpg,36Neil_D_Breslin.jpg,55Rick_Brinkley.jpg,30Stephen_Ross.jpg,39Duke_Cunningham.jpg,69Joseph_Loeper.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,45Ben_Arredondo.jpg,41Mike_Hubbard.jpg,19Warren_Kampf.jpg,6Brown_KL.jpg
Attractive_Ratings,6,7,6,7,5,5,5,6,6,6,5,5,5,5,5,6,5,6,7,5,7,5,5,7,6,6,5,6,5,5,4,5,6,6,6,6,6,6,5,4,5,6,5,7,6,7,5,5,6,5,5,4,6,4,6,7,5,4,6,6,6,5,6,5,5,6,6,4,6,6,4,5
Attractive_RT,1427,2309,407,1331,717,593,1029,1679,323,797,1123,1634,975,1245,331,452,596,1338,2060,1572,554,665,1120,431,9231,547,1521,1236,2211,2361,2080,754,879,1263,548,1788,397,1261,2115,3443,1009,1456,555,1241,1290,1588,595,6494,1058,1264,321,2753,1274,1621,1084,788,633,479,1300,71,682,1301,1061,2185,737,1188,1166,1249,1036,4717,5723,1205
Attractive_ImageOrder,2Ken_Smith.jpg,42Greg_Wren.jpg,1John_Katko.jpg,12Frantz_Scott.jpg,7Bill_Poole.jpg,54Carl_Kruger.jpg,31Tim_Hennessey.jpg,52Art_Wittich.jpg,40James_Traficant.jpg,50KeithHall.jpg,28Richard_Codey.jpg,19Warren_Kampf.jpg,35Frank_Garner.jpg,15Harold_Naughton.jpg,58Joe_Armstrong.jpg,5Tuggle_Mark.jpg,60Vic_Kohring.jpg,25Matt_Claman.jpg,48Thomas_Gaffey.jpg,71Joel_Boniek.jpg,29Thomas_Abinanti.jpg,27Joseph_Lagana.jpg,18Brian_Crain.jpg,70Ward_Crutchfield.jpg,64Joseph_Coniglio.jpg,39Duke_Cunningham.jpg,66James_Boyce_Black.jpg,30Stephen_Ross.jpg,34Niceley_Frank.jpg,59Phil_Hamilton.jpg,55Rick_Brinkley.jpg,45Ben_Arredondo.jpg,36Neil_D_Breslin.jpg,20Jeffrey_Bradley.jpg,8Noel_W_Campbell.JPG,16Jon_Sesso.jpg,62John_Cowdery.jpg,10Scheffel_Mark.jpg,13Steven_Sodders.jpg,63Daniel_Van_Pelt.jpg,32Kevin _Schreiber.jpg,49Kent_Sorenson.jpg,65Anthoney_Seminerio.jpg,26Dennis_Egan.jpg,46Steve_King.jpg,44Paul_Bookout.jpg,38Bob_Ney.jpg,53John_Perzel.jpg,11Daniel_Kagan.jpg,23Scott_Rigell.jpg,68Jeffrey_Habay.jpg,41Mike_Hubbard.jpg,72Vincent_Leibell.jpg,9Bill_Gwatney.jpg,43Terry_Spicer.jpg,37_Michael Grimm.jpg,24Dan_Ortiz.jpg,3Darrell_lssa.jpg,14Fitz_Steele.jpg,57Thad_Viers.jpg,51Salvatore_Dimasi.jpg,17Michael_Ranzenhofer.jpg,47Douglas_Bruce.jpg,6Brown_KL.jpg,33Charles_McIlhinney.jpg,4Louis_Terhar.jpg,56Bobby_Harrell.jpg,69Joseph_Loeper.jpg,67William_DeWeese.jpg,22Sanderson_Bill.jpg,61Bruce_Weyhrauch.jpg,21Bruce_Bannister.jpg
Dominant_Ratings,5,5,5,6,5,6,6,5,6,5,5,4,6,5,5,5,5,4,7,4,5,4,5,5,7,6,4,6,6,7,5,4,4,6,5,5,4,5,6,6,5,5,6,4,6,5,6,5,4,6,6,4,6,4,4,5,5,4,4,5,6,6,4,5,6,4,6,5,6,5,6,6
