664b3ea5896bf020d4a4dba5_2024-11-26T03:33:45.534Z
End_Time,2024-11-26T03:55:57.350Z
Block_Order,corruptible,genuine,attractive,dominant
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,1,2,4,4,6,3,6,2,3,6,1,1,1,2,5,4,2,2,7,4,1,1,3,1,7,2,5,4,3,2,3,1,2,3,2,6,4,7,6,3,3,1,3,7,4,2,3,5,3,4,6,4,5,2,2,1,7,3,4,3,5,2,3,4,1,5,1,4,3,6,5
Corruptible_RT,2419,2579,2964,1774,2299,3272,2359,3477,3978,1720,3055,1481,2076,5072,5000,3563,1489,1453,2546,2249,16386,2941,1994,2543,1803,1983,2711,2737,1629,2957,953,3898,2145,2974,1198,1308,2213,3750,3297,1697,2483,1838,2053,3286,2692,2048,1890,2630,4449,6756,2547,2245,3300,3133,5478,2049,1417,2068,2311,2920,4814,2069,4639,2124,2870,2004,2100,2223,1471,2803,2879,1914
Corruptible_ImageOrder,55Rick_Brinkley.jpg,63Daniel_Van_Pelt.jpg,21Bruce_Bannister.jpg,48Thomas_Gaffey.jpg,23Scott_Rigell.jpg,34Niceley_Frank.jpg,70Ward_Crutchfield.jpg,66James_Boyce_Black.jpg,54Carl_Kruger.jpg,65Anthoney_Seminerio.jpg,44Paul_Bookout.jpg,47Douglas_Bruce.jpg,56Bobby_Harrell.jpg,36Neil_D_Breslin.jpg,51Salvatore_Dimasi.jpg,41Mike_Hubbard.jpg,15Harold_Naughton.jpg,10Scheffel_Mark.jpg,17Michael_Ranzenhofer.jpg,62John_Cowdery.jpg,61Bruce_Weyhrauch.jpg,39Duke_Cunningham.jpg,64Joseph_Coniglio.jpg,5Tuggle_Mark.jpg,29Thomas_Abinanti.jpg,25Matt_Claman.jpg,35Frank_Garner.jpg,8Noel_W_Campbell.JPG,43Terry_Spicer.jpg,71Joel_Boniek.jpg,38Bob_Ney.jpg,68Jeffrey_Habay.jpg,59Phil_Hamilton.jpg,46Steve_King.jpg,40James_Traficant.jpg,67William_DeWeese.jpg,30Stephen_Ross.jpg,13Steven_Sodders.jpg,31Tim_Hennessey.jpg,52Art_Wittich.jpg,27Joseph_Lagana.jpg,1John_Katko.jpg,3Darrell_lssa.jpg,69Joseph_Loeper.jpg,11Daniel_Kagan.jpg,33Charles_McIlhinney.jpg,50KeithHall.jpg,19Warren_Kampf.jpg,53John_Perzel.jpg,45Ben_Arredondo.jpg,49Kent_Sorenson.jpg,28Richard_Codey.jpg,42Greg_Wren.jpg,14Fitz_Steele.jpg,60Vic_Kohring.jpg,57Thad_Viers.jpg,9Bill_Gwatney.jpg,72Vincent_Leibell.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,12Frantz_Scott.jpg,20Jeffrey_Bradley.jpg,16Jon_Sesso.jpg,24Dan_Ortiz.jpg,18Brian_Crain.jpg,37_Michael Grimm.jpg,58Joe_Armstrong.jpg,4Louis_Terhar.jpg,32Kevin _Schreiber.jpg,22Sanderson_Bill.jpg,26Dennis_Egan.jpg,2Ken_Smith.jpg
Genuine_Ratings,7,4,6,4,4,1,5,5,5,3,6,6,5,3,7,6,4,5,7,1,2,2,7,4,7,2,5,4,5,1,1,5,5,4,3,5,1,6,2,5,3,3,4,5,1,6,2,3,3,6,3,1,4,1,4,5,5,3,5,3,3,4,5,3,3,4,5,5,5,2,3,2
Genuine_RT,2771,3119,2963,1963,2418,2778,1774,1445,3060,2922,1568,1850,2231,9191,1945,1773,1679,2736,4385,2051,2366,1644,1715,2303,3596,4365,3203,1687,2971,3152,5118,2696,4078,2058,4105,4652,1711,1553,2112,1801,4251,4028,3804,7041,2458,1868,2028,2658,3521,3249,3766,3094,6271,4508,2194,2981,3321,3710,1750,2043,2746,2743,2018,1835,2509,2578,4351,1340,2692,1719,4575,3206
Genuine_ImageOrder,71Joel_Boniek.jpg,1John_Katko.jpg,57Thad_Viers.jpg,10Scheffel_Mark.jpg,59Phil_Hamilton.jpg,45Ben_Arredondo.jpg,36Neil_D_Breslin.jpg,26Dennis_Egan.jpg,24Dan_Ortiz.jpg,56Bobby_Harrell.jpg,28Richard_Codey.jpg,38Bob_Ney.jpg,12Frantz_Scott.jpg,37_Michael Grimm.jpg,69Joseph_Loeper.jpg,41Mike_Hubbard.jpg,55Rick_Brinkley.jpg,51Salvatore_Dimasi.jpg,9Bill_Gwatney.jpg,46Steve_King.jpg,15Harold_Naughton.jpg,13Steven_Sodders.jpg,63Daniel_Van_Pelt.jpg,62John_Cowdery.jpg,11Daniel_Kagan.jpg,58Joe_Armstrong.jpg,20Jeffrey_Bradley.jpg,16Jon_Sesso.jpg,50KeithHall.jpg,8Noel_W_Campbell.JPG,42Greg_Wren.jpg,43Terry_Spicer.jpg,54Carl_Kruger.jpg,53John_Perzel.jpg,32Kevin _Schreiber.jpg,44Paul_Bookout.jpg,31Tim_Hennessey.jpg,64Joseph_Coniglio.jpg,19Warren_Kampf.jpg,25Matt_Claman.jpg,39Duke_Cunningham.jpg,68Jeffrey_Habay.jpg,66James_Boyce_Black.jpg,47Douglas_Bruce.jpg,49Kent_Sorenson.jpg,6Brown_KL.jpg,27Joseph_Lagana.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,29Thomas_Abinanti.jpg,17Michael_Ranzenhofer.jpg,70Ward_Crutchfield.jpg,35Frank_Garner.jpg,22Sanderson_Bill.jpg,18Brian_Crain.jpg,2Ken_Smith.jpg,30Stephen_Ross.jpg,40James_Traficant.jpg,48Thomas_Gaffey.jpg,72Vincent_Leibell.jpg,67William_DeWeese.jpg,3Darrell_lssa.jpg,34Niceley_Frank.jpg,21Bruce_Bannister.jpg,33Charles_McIlhinney.jpg,23Scott_Rigell.jpg,52Art_Wittich.jpg,4Louis_Terhar.jpg,14Fitz_Steele.jpg,7Bill_Poole.jpg,65Anthoney_Seminerio.jpg,5Tuggle_Mark.jpg
Attractive_Ratings,5,2,2,2,2,1,5,4,5,4,1,6,4,5,4,6,2,2,4,1,1,2,7,4,4,1,4,2,4,1,1,1,2,1,5,6,1,2,1,1,2,4,4,2,1,4,4,5,1,2,2,1,1,1,1,2,5,1,2,1,1,4,2,2,4,1,4,4,1,1,1,1
Attractive_RT,1863,2242,1849,2295,1200,1119,2403,3597,2519,2515,1154,2705,1725,2242,2432,3810,1102,2859,2595,867,1749,1372,1756,2066,1412,1203,1922,3330,4051,793,1060,1813,1315,1044,1538,2444,1265,1944,1618,1752,2244,1313,1584,1421,1500,3191,1321,6669,1787,9446,1316,1719,1185,1550,907,1206,1664,1275,1196,1490,1004,1433,840,1836,2451,1946,2217,3426,1236,2918,1098,2253
Attractive_ImageOrder,4Louis_Terhar.jpg,28Richard_Codey.jpg,14Fitz_Steele.jpg,39Duke_Cunningham.jpg,6Brown_KL.jpg,45Ben_Arredondo.jpg,18Brian_Crain.jpg,10Scheffel_Mark.jpg,46Steve_King.jpg,53John_Perzel.jpg,37_Michael Grimm.jpg,67William_DeWeese.jpg,40James_Traficant.jpg,52Art_Wittich.jpg,23Scott_Rigell.jpg,36Neil_D_Breslin.jpg,3Darrell_lssa.jpg,60Vic_Kohring.jpg,71Joel_Boniek.jpg,44Paul_Bookout.jpg,32Kevin _Schreiber.jpg,58Joe_Armstrong.jpg,33Charles_McIlhinney.jpg,49Kent_Sorenson.jpg,27Joseph_Lagana.jpg,35Frank_Garner.jpg,2Ken_Smith.jpg,59Phil_Hamilton.jpg,63Daniel_Van_Pelt.jpg,68Jeffrey_Habay.jpg,34Niceley_Frank.jpg,30Stephen_Ross.jpg,54Carl_Kruger.jpg,57Thad_Viers.jpg,24Dan_Ortiz.jpg,61Bruce_Weyhrauch.jpg,15Harold_Naughton.jpg,64Joseph_Coniglio.jpg,47Douglas_Bruce.jpg,17Michael_Ranzenhofer.jpg,70Ward_Crutchfield.jpg,66James_Boyce_Black.jpg,16Jon_Sesso.jpg,42Greg_Wren.jpg,38Bob_Ney.jpg,55Rick_Brinkley.jpg,25Matt_Claman.jpg,43Terry_Spicer.jpg,69Joseph_Loeper.jpg,50KeithHall.jpg,5Tuggle_Mark.jpg,8Noel_W_Campbell.JPG,62John_Cowdery.jpg,22Sanderson_Bill.jpg,48Thomas_Gaffey.jpg,31Tim_Hennessey.jpg,56Bobby_Harrell.jpg,65Anthoney_Seminerio.jpg,21Bruce_Bannister.jpg,72Vincent_Leibell.jpg,26Dennis_Egan.jpg,51Salvatore_Dimasi.jpg,7Bill_Poole.jpg,9Bill_Gwatney.jpg,19Warren_Kampf.jpg,1John_Katko.jpg,12Frantz_Scott.jpg,11Daniel_Kagan.jpg,29Thomas_Abinanti.jpg,41Mike_Hubbard.jpg,20Jeffrey_Bradley.jpg,13Steven_Sodders.jpg
