65f056a9ed0466f8384dff4a_2024-11-27T01:34:10.208Z
End_Time,2024-11-27T01:55:28.002Z
Block_Order,corruptible,dominant,attractive,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,2,2,2,6,2,1,2,7,2,6,2,1,2,2,2,1,2,5,2,6,2,4,4,1,2,7,4,5,2,2,3,2,4,7,4,5,3,3,7,5,6,3,5,3,4,4,5,5,3,6,6,2,4,4,2,2,3,4,5,2,2,6,4,6,7,2,5,2,7,4,2,5
Corruptible_RT,3745,3585,3255,5658,1977,2973,2520,2876,2274,2957,2921,2053,1733,5613,2331,2416,2612,3161,1671,1910,4182,1911,2236,4514,2028,2477,2668,2335,3249,7655,5883,1729,8707,2691,2501,2693,3217,2970,1691,3471,5410,3211,2108,1929,4679,2068,2777,2085,3218,6547,2380,2653,3434,2486,5101,2679,1704,2491,2375,4547,3124,4165,2944,4444,5078,2424,3484,13717,4594,2085,2476,3283
Corruptible_ImageOrder,68Jeffrey_Habay.jpg,14Fitz_Steele.jpg,66James_Boyce_Black.jpg,17Michael_Ranzenhofer.jpg,59Phil_Hamilton.jpg,27Joseph_Lagana.jpg,60Vic_Kohring.jpg,4Louis_Terhar.jpg,45Ben_Arredondo.jpg,65Anthoney_Seminerio.jpg,7Bill_Poole.jpg,43Terry_Spicer.jpg,30Stephen_Ross.jpg,53John_Perzel.jpg,67William_DeWeese.jpg,64Joseph_Coniglio.jpg,6Brown_KL.jpg,35Frank_Garner.jpg,28Richard_Codey.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,47Douglas_Bruce.jpg,37_Michael Grimm.jpg,55Rick_Brinkley.jpg,72Vincent_Leibell.jpg,5Tuggle_Mark.jpg,15Harold_Naughton.jpg,12Frantz_Scott.jpg,56Bobby_Harrell.jpg,40James_Traficant.jpg,11Daniel_Kagan.jpg,44Paul_Bookout.jpg,48Thomas_Gaffey.jpg,26Dennis_Egan.jpg,22Sanderson_Bill.jpg,13Steven_Sodders.jpg,52Art_Wittich.jpg,61Bruce_Weyhrauch.jpg,51Salvatore_Dimasi.jpg,46Steve_King.jpg,70Ward_Crutchfield.jpg,57Thad_Viers.jpg,41Mike_Hubbard.jpg,69Joseph_Loeper.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,71Joel_Boniek.jpg,20Jeffrey_Bradley.jpg,18Brian_Crain.jpg,10Scheffel_Mark.jpg,2Ken_Smith.jpg,42Greg_Wren.jpg,49Kent_Sorenson.jpg,29Thomas_Abinanti.jpg,34Niceley_Frank.jpg,58Joe_Armstrong.jpg,8Noel_W_Campbell.JPG,62John_Cowdery.jpg,31Tim_Hennessey.jpg,50KeithHall.jpg,54Carl_Kruger.jpg,24Dan_Ortiz.jpg,9Bill_Gwatney.jpg,25Matt_Claman.jpg,19Warren_Kampf.jpg,63Daniel_Van_Pelt.jpg,21Bruce_Bannister.jpg,36Neil_D_Breslin.jpg,16Jon_Sesso.jpg,3Darrell_lssa.jpg,23Scott_Rigell.jpg,1John_Katko.jpg
Genuine_Ratings,4,7,3,2,6,5,6,2,5,2,6,7,5,6,5,7,4,6,7,2,5,6,6,6,5,2,3,2,6,6,5,7,6,2,4,6,6,5,3,2,5,5,3,4,2,2,4,2,7,2,2,7,5,2,6,6,6,7,4,4,6,2,5,5,2,6,6,6,2,2,2,2
Genuine_RT,2450,2438,5090,3112,3109,6120,1335,1386,2870,1908,1922,2563,2034,1858,972,1123,5923,1885,2411,1316,2218,1629,2149,1897,1763,2492,3823,1207,1446,2475,2352,2127,1946,924,2676,1586,1286,1945,2528,2182,1669,4011,2376,3154,1902,1370,1967,1107,2013,2270,1075,2389,2281,1920,1620,2526,2178,2325,1957,2482,1497,1297,1978,1942,1322,2184,894,1777,1466,1298,1693,2036
Genuine_ImageOrder,42Greg_Wren.jpg,4Louis_Terhar.jpg,30Stephen_Ross.jpg,23Scott_Rigell.jpg,55Rick_Brinkley.jpg,59Phil_Hamilton.jpg,62John_Cowdery.jpg,64Joseph_Coniglio.jpg,31Tim_Hennessey.jpg,54Carl_Kruger.jpg,50KeithHall.jpg,48Thomas_Gaffey.jpg,5Tuggle_Mark.jpg,68Jeffrey_Habay.jpg,9Bill_Gwatney.jpg,58Joe_Armstrong.jpg,21Bruce_Bannister.jpg,12Frantz_Scott.jpg,36Neil_D_Breslin.jpg,26Dennis_Egan.jpg,22Sanderson_Bill.jpg,8Noel_W_Campbell.JPG,67William_DeWeese.jpg,6Brown_KL.jpg,2Ken_Smith.jpg,35Frank_Garner.jpg,57Thad_Viers.jpg,40James_Traficant.jpg,18Brian_Crain.jpg,60Vic_Kohring.jpg,11Daniel_Kagan.jpg,72Vincent_Leibell.jpg,14Fitz_Steele.jpg,70Ward_Crutchfield.jpg,20Jeffrey_Bradley.jpg,51Salvatore_Dimasi.jpg,71Joel_Boniek.jpg,46Steve_King.jpg,56Bobby_Harrell.jpg,65Anthoney_Seminerio.jpg,25Matt_Claman.jpg,19Warren_Kampf.jpg,24Dan_Ortiz.jpg,27Joseph_Lagana.jpg,1John_Katko.jpg,47Douglas_Bruce.jpg,69Joseph_Loeper.jpg,3Darrell_lssa.jpg,66James_Boyce_Black.jpg,37_Michael Grimm.jpg,15Harold_Naughton.jpg,45Ben_Arredondo.jpg,49Kent_Sorenson.jpg,17Michael_Ranzenhofer.jpg,38Bob_Ney.jpg,63Daniel_Van_Pelt.jpg,28Richard_Codey.jpg,13Steven_Sodders.jpg,7Bill_Poole.jpg,29Thomas_Abinanti.jpg,39Duke_Cunningham.jpg,52Art_Wittich.jpg,16Jon_Sesso.jpg,32Kevin _Schreiber.jpg,10Scheffel_Mark.jpg,34Niceley_Frank.jpg,44Paul_Bookout.jpg,41Mike_Hubbard.jpg,53John_Perzel.jpg,61Bruce_Weyhrauch.jpg,33Charles_McIlhinney.jpg,43Terry_Spicer.jpg
Attractive_Ratings,5,5,6,3,6,2,6,2,6,4,5,2,6,2,5,5,4,5,6,2,6,6,5,3,5,2,6,2,1,1,2,3,5,6,6,6,5,6,1,6,5,5,5,5,2,5,6,5,5,2,2,3,6,2,5,4,2,5,4,5,6,1,6,4,2,4,2,6,1,3,1,4
Attractive_RT,2433,1621,1791,3365,1940,5956,2408,1829,1085,2278,3295,2424,2396,1613,2094,2463,1213,2457,969,1533,3480,4463,3484,2472,2501,1833,1787,2597,1621,1658,872,1596,2101,4457,2419,2177,2310,1145,1668,2294,2014,2823,2111,2128,1677,1312,1782,3613,2011,1546,2656,1565,2153,2390,2416,1743,2753,2839,2040,4980,2758,4408,1786,2311,1859,3469,3964,2226,1676,2271,1875,2202
Attractive_ImageOrder,60Vic_Kohring.jpg,29Thomas_Abinanti.jpg,57Thad_Viers.jpg,14Fitz_Steele.jpg,30Stephen_Ross.jpg,67William_DeWeese.jpg,36Neil_D_Breslin.jpg,48Thomas_Gaffey.jpg,69Joseph_Loeper.jpg,13Steven_Sodders.jpg,3Darrell_lssa.jpg,12Frantz_Scott.jpg,61Bruce_Weyhrauch.jpg,28Richard_Codey.jpg,18Brian_Crain.jpg,42Greg_Wren.jpg,24Dan_Ortiz.jpg,68Jeffrey_Habay.jpg,39Duke_Cunningham.jpg,55Rick_Brinkley.jpg,66James_Boyce_Black.jpg,53John_Perzel.jpg,4Louis_Terhar.jpg,33Charles_McIlhinney.jpg,20Jeffrey_Bradley.jpg,71Joel_Boniek.jpg,45Ben_Arredondo.jpg,43Terry_Spicer.jpg,47Douglas_Bruce.jpg,59Phil_Hamilton.jpg,41Mike_Hubbard.jpg,70Ward_Crutchfield.jpg,34Niceley_Frank.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,16Jon_Sesso.jpg,49Kent_Sorenson.jpg,54Carl_Kruger.jpg,40James_Traficant.jpg,15Harold_Naughton.jpg,23Scott_Rigell.jpg,10Scheffel_Mark.jpg,50KeithHall.jpg,65Anthoney_Seminerio.jpg,1John_Katko.jpg,64Joseph_Coniglio.jpg,26Dennis_Egan.jpg,35Frank_Garner.jpg,22Sanderson_Bill.jpg,6Brown_KL.jpg,52Art_Wittich.jpg,62John_Cowdery.jpg,44Paul_Bookout.jpg,72Vincent_Leibell.jpg,5Tuggle_Mark.jpg,58Joe_Armstrong.jpg,11Daniel_Kagan.jpg,63Daniel_Van_Pelt.jpg,38Bob_Ney.jpg,25Matt_Claman.jpg,51Salvatore_Dimasi.jpg,7Bill_Poole.jpg,27Joseph_Lagana.jpg,9Bill_Gwatney.jpg,19Warren_Kampf.jpg,2Ken_Smith.jpg,56Bobby_Harrell.jpg,17Michael_Ranzenhofer.jpg,46Steve_King.jpg,8Noel_W_Campbell.JPG,21Bruce_Bannister.jpg,37_Michael Grimm.jpg
