645b519f108c046164a6d232_2024-11-26T00:39:30.828Z
End_Time,2024-11-26T00:55:00.538Z
Block_Order,attractive,dominant,genuine,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,2,4,3,2,2,4,3,3,3,3,4,2,2,2,3,1,3,2,2,4,2,3,3,3,3,4,3,4,2,3,3,3,4,2,2,3,5,4,5,4,3,3,4,2,4,3,4,3,2,3,4,4,3,3,4,3,2,2,3,4,3,2,3,3,3,2,3,2,4,3,4,5
Corruptible_RT,2808,2406,1696,1462,2834,1883,887,1285,982,2085,1158,1748,6018,2408,2819,3048,1069,2132,1293,1305,1313,2216,2473,1106,3028,2234,1595,1157,2510,2252,1710,1701,2404,2165,1314,2085,2104,1452,1649,1034,2581,1960,1522,1942,2485,1623,1264,1597,1325,4196,2773,1438,1528,1077,1205,1144,1846,2377,2312,1804,1743,1662,3237,1274,1366,1999,1260,1261,1590,1486,1310,1924
Corruptible_ImageOrder,13Steven_Sodders.jpg,48Thomas_Gaffey.jpg,63Daniel_Van_Pelt.jpg,34Niceley_Frank.jpg,67William_DeWeese.jpg,66James_Boyce_Black.jpg,62John_Cowdery.jpg,50KeithHall.jpg,1John_Katko.jpg,7Bill_Poole.jpg,37_Michael Grimm.jpg,26Dennis_Egan.jpg,57Thad_Viers.jpg,25Matt_Claman.jpg,29Thomas_Abinanti.jpg,58Joe_Armstrong.jpg,68Jeffrey_Habay.jpg,49Kent_Sorenson.jpg,54Carl_Kruger.jpg,16Jon_Sesso.jpg,41Mike_Hubbard.jpg,21Bruce_Bannister.jpg,31Tim_Hennessey.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,35Frank_Garner.jpg,23Scott_Rigell.jpg,65Anthoney_Seminerio.jpg,12Frantz_Scott.jpg,44Paul_Bookout.jpg,20Jeffrey_Bradley.jpg,24Dan_Ortiz.jpg,40James_Traficant.jpg,15Harold_Naughton.jpg,6Brown_KL.jpg,55Rick_Brinkley.jpg,22Sanderson_Bill.jpg,43Terry_Spicer.jpg,28Richard_Codey.jpg,9Bill_Gwatney.jpg,36Neil_D_Breslin.jpg,53John_Perzel.jpg,61Bruce_Weyhrauch.jpg,30Stephen_Ross.jpg,69Joseph_Loeper.jpg,52Art_Wittich.jpg,72Vincent_Leibell.jpg,70Ward_Crutchfield.jpg,42Greg_Wren.jpg,71Joel_Boniek.jpg,47Douglas_Bruce.jpg,2Ken_Smith.jpg,17Michael_Ranzenhofer.jpg,39Duke_Cunningham.jpg,33Charles_McIlhinney.jpg,10Scheffel_Mark.jpg,14Fitz_Steele.jpg,45Ben_Arredondo.jpg,60Vic_Kohring.jpg,4Louis_Terhar.jpg,64Joseph_Coniglio.jpg,59Phil_Hamilton.jpg,46Steve_King.jpg,11Daniel_Kagan.jpg,56Bobby_Harrell.jpg,5Tuggle_Mark.jpg,8Noel_W_Campbell.JPG,38Bob_Ney.jpg,32Kevin _Schreiber.jpg,27Joseph_Lagana.jpg,51Salvatore_Dimasi.jpg,3Darrell_lssa.jpg
Genuine_Ratings,4,4,4,5,5,3,4,2,3,4,4,3,5,4,5,2,3,4,4,4,4,4,4,3,4,3,4,4,4,2,4,4,3,4,4,4,3,3,3,2,3,2,3,4,4,3,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,3,3,3,3,4,3,4,4,4,3,4
Genuine_RT,1089,3008,1022,1230,2907,2411,2493,2165,1835,1097,1232,3402,836,3922,2443,2905,2859,1037,1483,3330,1013,1012,1651,1568,1781,1071,3175,1294,3080,1872,742,1727,1514,2317,3984,901,2869,2094,3093,1463,1221,3208,2336,3535,3953,1269,3323,2628,1036,1350,2286,1956,2138,2220,2035,2407,4099,2012,1462,1135,1939,1809,1836,1349,1338,1557,2683,972,1495,964,1080,2396
Genuine_ImageOrder,42Greg_Wren.jpg,52Art_Wittich.jpg,8Noel_W_Campbell.JPG,33Charles_McIlhinney.jpg,61Bruce_Weyhrauch.jpg,20Jeffrey_Bradley.jpg,19Warren_Kampf.jpg,71Joel_Boniek.jpg,26Dennis_Egan.jpg,60Vic_Kohring.jpg,29Thomas_Abinanti.jpg,54Carl_Kruger.jpg,2Ken_Smith.jpg,24Dan_Ortiz.jpg,18Brian_Crain.jpg,66James_Boyce_Black.jpg,30Stephen_Ross.jpg,48Thomas_Gaffey.jpg,21Bruce_Bannister.jpg,70Ward_Crutchfield.jpg,35Frank_Garner.jpg,38Bob_Ney.jpg,22Sanderson_Bill.jpg,32Kevin _Schreiber.jpg,23Scott_Rigell.jpg,28Richard_Codey.jpg,39Duke_Cunningham.jpg,36Neil_D_Breslin.jpg,67William_DeWeese.jpg,59Phil_Hamilton.jpg,72Vincent_Leibell.jpg,57Thad_Viers.jpg,10Scheffel_Mark.jpg,7Bill_Poole.jpg,46Steve_King.jpg,16Jon_Sesso.jpg,40James_Traficant.jpg,37_Michael Grimm.jpg,50KeithHall.jpg,4Louis_Terhar.jpg,27Joseph_Lagana.jpg,6Brown_KL.jpg,49Kent_Sorenson.jpg,56Bobby_Harrell.jpg,9Bill_Gwatney.jpg,69Joseph_Loeper.jpg,45Ben_Arredondo.jpg,25Matt_Claman.jpg,34Niceley_Frank.jpg,47Douglas_Bruce.jpg,12Frantz_Scott.jpg,58Joe_Armstrong.jpg,13Steven_Sodders.jpg,5Tuggle_Mark.jpg,1John_Katko.jpg,17Michael_Ranzenhofer.jpg,3Darrell_lssa.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,68Jeffrey_Habay.jpg,55Rick_Brinkley.jpg,15Harold_Naughton.jpg,11Daniel_Kagan.jpg,44Paul_Bookout.jpg,51Salvatore_Dimasi.jpg,41Mike_Hubbard.jpg,43Terry_Spicer.jpg,63Daniel_Van_Pelt.jpg,31Tim_Hennessey.jpg,14Fitz_Steele.jpg,53John_Perzel.jpg,62John_Cowdery.jpg
Attractive_Ratings,4,3,4,3,4,2,3,3,3,3,4,3,4,4,3,3,2,3,4,2,5,3,3,2,3,2,4,2,2,2,2,4,2,2,3,2,5,3,2,3,4,3,2,3,2,3,3,2,4,2,2,3,2,2,3,3,3,3,3,3,2,2,3,2,2,2,3,3,2,2,3,2
Attractive_RT,2749,1248,1547,1599,1279,1694,2687,1306,1324,1051,1266,1223,1147,2597,1533,1014,1112,1248,1698,1128,2858,1014,1482,1282,1362,929,1669,2512,1535,1586,2153,2148,1591,1317,1261,1372,2162,1340,1305,1777,1268,1220,1962,1317,2102,1240,1408,1019,1443,1287,1126,973,1004,1505,1806,1607,1289,1745,1395,1152,10339,1505,1378,958,2273,1082,1769,1629,1343,1009,1298,1086
Attractive_ImageOrder,61Bruce_Weyhrauch.jpg,58Joe_Armstrong.jpg,43Terry_Spicer.jpg,28Richard_Codey.jpg,1John_Katko.jpg,14Fitz_Steele.jpg,65Anthoney_Seminerio.jpg,4Louis_Terhar.jpg,40James_Traficant.jpg,69Joseph_Loeper.jpg,71Joel_Boniek.jpg,39Duke_Cunningham.jpg,54Carl_Kruger.jpg,21Bruce_Bannister.jpg,37_Michael Grimm.jpg,6Brown_KL.jpg,42Greg_Wren.jpg,44Paul_Bookout.jpg,27Joseph_Lagana.jpg,45Ben_Arredondo.jpg,35Frank_Garner.jpg,2Ken_Smith.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,19Warren_Kampf.jpg,62John_Cowdery.jpg,68Jeffrey_Habay.jpg,67William_DeWeese.jpg,56Bobby_Harrell.jpg,25Matt_Claman.jpg,23Scott_Rigell.jpg,63Daniel_Van_Pelt.jpg,49Kent_Sorenson.jpg,59Phil_Hamilton.jpg,51Salvatore_Dimasi.jpg,15Harold_Naughton.jpg,26Dennis_Egan.jpg,20Jeffrey_Bradley.jpg,46Steve_King.jpg,12Frantz_Scott.jpg,5Tuggle_Mark.jpg,38Bob_Ney.jpg,41Mike_Hubbard.jpg,47Douglas_Bruce.jpg,8Noel_W_Campbell.JPG,11Daniel_Kagan.jpg,36Neil_D_Breslin.jpg,33Charles_McIlhinney.jpg,70Ward_Crutchfield.jpg,34Niceley_Frank.jpg,52Art_Wittich.jpg,29Thomas_Abinanti.jpg,57Thad_Viers.jpg,7Bill_Poole.jpg,3Darrell_lssa.jpg,22Sanderson_Bill.jpg,60Vic_Kohring.jpg,53John_Perzel.jpg,48Thomas_Gaffey.jpg,72Vincent_Leibell.jpg,64Joseph_Coniglio.jpg,50KeithHall.jpg,18Brian_Crain.jpg,17Michael_Ranzenhofer.jpg,16Jon_Sesso.jpg,30Stephen_Ross.jpg,9Bill_Gwatney.jpg,24Dan_Ortiz.jpg,13Steven_Sodders.jpg,55Rick_Brinkley.jpg,10Scheffel_Mark.jpg,66James_Boyce_Black.jpg
Dominant_Ratings,4,3,4,3,3,2,3,2,2,3,5,4,4,4,2,1,4,2,3,3,4,4,3,2,2,3,3,4,4,1,3,3,4,3,4,4,4,2,3,5,4,3,1,3,3,1,4,4,4,3,4,3,2,5,3,5,3,4,2,5,4,2,3,4,2,2,4,2,3,2,3,4
