66811091cdd1090850549b96_2024-11-26T01:08:15.614Z
End_Time,2024-11-26T01:21:07.780Z
Block_Order,dominant,attractive,corruptible,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,2,4,7,4,5,1,5,3,3,4,4,3,3,5,5,2,4,3,1,3,4,3,2,3,5,7,4,7,7,2,5,4,4,5,5,4,5,4,6,7,4,4,7,5,6,5,4,4,4,3,6,6,3,5,5,3,3,4,6,4,5,7,2,3,5,3,7,4,6,7,5,6
Corruptible_RT,1553,954,2019,1516,2498,1714,1218,2410,2765,1676,2153,1690,1103,2612,2226,2024,1258,2167,2752,1718,1466,1535,1384,1384,3152,838,2358,1272,737,1481,1286,955,1474,1397,1942,1340,2544,1222,1298,1018,1096,1312,1044,1316,1192,3203,1745,1725,1335,2614,1120,2540,2734,3994,1292,3991,1662,2538,1126,2898,1231,985,2107,1265,1539,1824,1147,1810,1226,1089,1637,1122
Corruptible_ImageOrder,54Carl_Kruger.jpg,24Dan_Ortiz.jpg,50KeithHall.jpg,18Brian_Crain.jpg,61Bruce_Weyhrauch.jpg,21Bruce_Bannister.jpg,56Bobby_Harrell.jpg,69Joseph_Loeper.jpg,32Kevin _Schreiber.jpg,57Thad_Viers.jpg,66James_Boyce_Black.jpg,23Scott_Rigell.jpg,3Darrell_lssa.jpg,71Joel_Boniek.jpg,20Jeffrey_Bradley.jpg,42Greg_Wren.jpg,53John_Perzel.jpg,16Jon_Sesso.jpg,26Dennis_Egan.jpg,44Paul_Bookout.jpg,17Michael_Ranzenhofer.jpg,41Mike_Hubbard.jpg,25Matt_Claman.jpg,8Noel_W_Campbell.JPG,70Ward_Crutchfield.jpg,12Frantz_Scott.jpg,65Anthoney_Seminerio.jpg,60Vic_Kohring.jpg,39Duke_Cunningham.jpg,47Douglas_Bruce.jpg,13Steven_Sodders.jpg,7Bill_Poole.jpg,40James_Traficant.jpg,10Scheffel_Mark.jpg,59Phil_Hamilton.jpg,62John_Cowdery.jpg,14Fitz_Steele.jpg,48Thomas_Gaffey.jpg,5Tuggle_Mark.jpg,22Sanderson_Bill.jpg,33Charles_McIlhinney.jpg,72Vincent_Leibell.jpg,35Frank_Garner.jpg,58Joe_Armstrong.jpg,28Richard_Codey.jpg,37_Michael Grimm.jpg,49Kent_Sorenson.jpg,2Ken_Smith.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,46Steve_King.jpg,36Neil_D_Breslin.jpg,30Stephen_Ross.jpg,68Jeffrey_Habay.jpg,43Terry_Spicer.jpg,38Bob_Ney.jpg,67William_DeWeese.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,1John_Katko.jpg,31Tim_Hennessey.jpg,9Bill_Gwatney.jpg,19Warren_Kampf.jpg,6Brown_KL.jpg,34Niceley_Frank.jpg,29Thomas_Abinanti.jpg,4Louis_Terhar.jpg,55Rick_Brinkley.jpg,11Daniel_Kagan.jpg,45Ben_Arredondo.jpg,27Joseph_Lagana.jpg,15Harold_Naughton.jpg
Genuine_Ratings,7,5,3,5,5,7,2,7,5,4,2,4,6,6,4,7,5,6,7,1,4,3,6,5,5,1,6,5,5,7,2,6,5,4,4,3,5,3,6,1,5,3,4,6,5,1,5,3,4,3,5,6,2,3,2,6,6,3,4,3,5,3,5,2,1,5,3,6,5,3,2,1
Genuine_RT,1470,901,3411,1589,2677,1650,1612,1700,1841,977,1531,1772,1651,1241,4753,1173,1841,2106,1972,1788,1124,4679,1460,1229,3959,1780,1122,1802,1238,1182,1006,1822,1479,1987,2132,1841,1971,2691,3222,1050,1240,2186,3285,934,1153,1194,1214,1208,1449,1340,1266,1356,1259,2003,3185,1601,1462,4520,1502,1332,1606,1307,1560,1028,2402,1612,1569,1207,2290,1146,2068,1572
Genuine_ImageOrder,22Sanderson_Bill.jpg,56Bobby_Harrell.jpg,41Mike_Hubbard.jpg,27Joseph_Lagana.jpg,23Scott_Rigell.jpg,8Noel_W_Campbell.JPG,37_Michael Grimm.jpg,51Salvatore_Dimasi.jpg,70Ward_Crutchfield.jpg,72Vincent_Leibell.jpg,3Darrell_lssa.jpg,66James_Boyce_Black.jpg,2Ken_Smith.jpg,13Steven_Sodders.jpg,61Bruce_Weyhrauch.jpg,17Michael_Ranzenhofer.jpg,1John_Katko.jpg,62John_Cowdery.jpg,39Duke_Cunningham.jpg,14Fitz_Steele.jpg,34Niceley_Frank.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,46Steve_King.jpg,50KeithHall.jpg,16Jon_Sesso.jpg,32Kevin _Schreiber.jpg,60Vic_Kohring.jpg,52Art_Wittich.jpg,49Kent_Sorenson.jpg,43Terry_Spicer.jpg,47Douglas_Bruce.jpg,44Paul_Bookout.jpg,10Scheffel_Mark.jpg,4Louis_Terhar.jpg,31Tim_Hennessey.jpg,65Anthoney_Seminerio.jpg,58Joe_Armstrong.jpg,30Stephen_Ross.jpg,28Richard_Codey.jpg,57Thad_Viers.jpg,15Harold_Naughton.jpg,68Jeffrey_Habay.jpg,53John_Perzel.jpg,38Bob_Ney.jpg,35Frank_Garner.jpg,9Bill_Gwatney.jpg,63Daniel_Van_Pelt.jpg,25Matt_Claman.jpg,55Rick_Brinkley.jpg,64Joseph_Coniglio.jpg,59Phil_Hamilton.jpg,5Tuggle_Mark.jpg,71Joel_Boniek.jpg,12Frantz_Scott.jpg,26Dennis_Egan.jpg,40James_Traficant.jpg,48Thomas_Gaffey.jpg,20Jeffrey_Bradley.jpg,24Dan_Ortiz.jpg,19Warren_Kampf.jpg,36Neil_D_Breslin.jpg,45Ben_Arredondo.jpg,67William_DeWeese.jpg,29Thomas_Abinanti.jpg,11Daniel_Kagan.jpg,18Brian_Crain.jpg,21Bruce_Bannister.jpg,54Carl_Kruger.jpg,42Greg_Wren.jpg,69Joseph_Loeper.jpg,33Charles_McIlhinney.jpg
Attractive_Ratings,4,1,3,4,2,1,3,2,3,3,1,2,3,1,1,1,1,3,3,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,4,2,1,2,2,2,1,1,1,1,2,1,1,4,1,2,1,2,1,1,2,1,1,1,4,1,1,1,1,1
Attractive_RT,1977,967,1822,1848,990,646,1683,1329,1763,3475,1910,1783,1103,715,1107,1201,707,1396,1931,845,1187,765,811,877,2067,1159,1523,753,769,1165,1008,1197,1572,1266,1383,747,909,1292,1501,726,2444,655,2934,2342,3326,1609,837,1053,607,1256,886,983,1647,607,941,1969,1055,1112,659,1110,692,679,1264,843,660,1905,2509,1042,827,863,870,1106
Attractive_ImageOrder,45Ben_Arredondo.jpg,34Niceley_Frank.jpg,15Harold_Naughton.jpg,48Thomas_Gaffey.jpg,19Warren_Kampf.jpg,32Kevin _Schreiber.jpg,27Joseph_Lagana.jpg,43Terry_Spicer.jpg,20Jeffrey_Bradley.jpg,57Thad_Viers.jpg,9Bill_Gwatney.jpg,58Joe_Armstrong.jpg,21Bruce_Bannister.jpg,61Bruce_Weyhrauch.jpg,25Matt_Claman.jpg,52Art_Wittich.jpg,64Joseph_Coniglio.jpg,38Bob_Ney.jpg,72Vincent_Leibell.jpg,13Steven_Sodders.jpg,37_Michael Grimm.jpg,56Bobby_Harrell.jpg,46Steve_King.jpg,30Stephen_Ross.jpg,41Mike_Hubbard.jpg,69Joseph_Loeper.jpg,63Daniel_Van_Pelt.jpg,50KeithHall.jpg,26Dennis_Egan.jpg,16Jon_Sesso.jpg,51Salvatore_Dimasi.jpg,4Louis_Terhar.jpg,18Brian_Crain.jpg,29Thomas_Abinanti.jpg,6Brown_KL.jpg,49Kent_Sorenson.jpg,60Vic_Kohring.jpg,42Greg_Wren.jpg,11Daniel_Kagan.jpg,65Anthoney_Seminerio.jpg,8Noel_W_Campbell.JPG,28Richard_Codey.jpg,62John_Cowdery.jpg,12Frantz_Scott.jpg,1John_Katko.jpg,66James_Boyce_Black.jpg,3Darrell_lssa.jpg,10Scheffel_Mark.jpg,14Fitz_Steele.jpg,59Phil_Hamilton.jpg,5Tuggle_Mark.jpg,67William_DeWeese.jpg,71Joel_Boniek.jpg,40James_Traficant.jpg,44Paul_Bookout.jpg,39Duke_Cunningham.jpg,33Charles_McIlhinney.jpg,55Rick_Brinkley.jpg,68Jeffrey_Habay.jpg,47Douglas_Bruce.jpg,35Frank_Garner.jpg,54Carl_Kruger.jpg,70Ward_Crutchfield.jpg,36Neil_D_Breslin.jpg,22Sanderson_Bill.jpg,24Dan_Ortiz.jpg,31Tim_Hennessey.jpg,2Ken_Smith.jpg,23Scott_Rigell.jpg,17Michael_Ranzenhofer.jpg,7Bill_Poole.jpg,53John_Perzel.jpg
Dominant_Ratings,2,3,4,6,3,2,3,3,3,5,3,1,2,1,4,1,4,3,2,3,2,3,2,1,2,2,2,4,5,2,4,2,4,3,5,3,5,4,5,7,5,5,4,3,2,4,4,3,5,5,4,3,3,5,4,4,4,5,5,5,4,3,4,3,3,2,4,3,6,5,4,4
