664b44d8a11f1bcbba9e0494_2024-11-26T03:59:53.961Z
End_Time,2024-11-26T04:13:45.916Z
Block_Order,corruptible,genuine,dominant,attractive
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,3,5,4,4,3,4,6,2,5,4,4,5,4,4,2,4,4,4,5,4,3,3,5,4,4,4,4,4,3,7,5,5,6,5,5,4,3,7,4,6,5,5,2,7,3,4,4,7,4,4,2,6,5,5,4,3,7,7,7,3,5,5,3,7,3,6,2,6,5,6,5
Corruptible_RT,4713,5780,1090,1233,2406,2261,1568,2011,4133,965,1697,12173,1297,2134,1880,2747,1071,1649,2230,1050,1482,2777,2350,5000,1250,1735,1007,2597,1901,4158,2613,1607,1106,3537,1474,960,1679,2139,1936,2635,2578,2462,1720,2093,1369,1424,1207,1946,1742,1077,1472,1638,1843,1288,1379,1887,4838,1121,2627,1404,2258,4791,1187,1677,2318,1668,1618,3049,1337,1550,3740,2320
Corruptible_ImageOrder,24Dan_Ortiz.jpg,71Joel_Boniek.jpg,31Tim_Hennessey.jpg,40James_Traficant.jpg,1John_Katko.jpg,30Stephen_Ross.jpg,9Bill_Gwatney.jpg,22Sanderson_Bill.jpg,28Richard_Codey.jpg,38Bob_Ney.jpg,68Jeffrey_Habay.jpg,23Scott_Rigell.jpg,72Vincent_Leibell.jpg,42Greg_Wren.jpg,5Tuggle_Mark.jpg,34Niceley_Frank.jpg,18Brian_Crain.jpg,65Anthoney_Seminerio.jpg,15Harold_Naughton.jpg,57Thad_Viers.jpg,19Warren_Kampf.jpg,41Mike_Hubbard.jpg,7Bill_Poole.jpg,61Bruce_Weyhrauch.jpg,64Joseph_Coniglio.jpg,48Thomas_Gaffey.jpg,26Dennis_Egan.jpg,62John_Cowdery.jpg,16Jon_Sesso.jpg,2Ken_Smith.jpg,11Daniel_Kagan.jpg,43Terry_Spicer.jpg,29Thomas_Abinanti.jpg,14Fitz_Steele.jpg,12Frantz_Scott.jpg,49Kent_Sorenson.jpg,52Art_Wittich.jpg,55Rick_Brinkley.jpg,35Frank_Garner.jpg,8Noel_W_Campbell.JPG,46Steve_King.jpg,59Phil_Hamilton.jpg,63Daniel_Van_Pelt.jpg,33Charles_McIlhinney.jpg,32Kevin _Schreiber.jpg,67William_DeWeese.jpg,4Louis_Terhar.jpg,20Jeffrey_Bradley.jpg,56Bobby_Harrell.jpg,51Salvatore_Dimasi.jpg,44Paul_Bookout.jpg,6Brown_KL.jpg,37_Michael Grimm.jpg,66James_Boyce_Black.jpg,50KeithHall.jpg,53John_Perzel.jpg,21Bruce_Bannister.jpg,36Neil_D_Breslin.jpg,60Vic_Kohring.jpg,58Joe_Armstrong.jpg,54Carl_Kruger.jpg,47Douglas_Bruce.jpg,3Darrell_lssa.jpg,13Steven_Sodders.jpg,25Matt_Claman.jpg,39Duke_Cunningham.jpg,17Michael_Ranzenhofer.jpg,70Ward_Crutchfield.jpg,27Joseph_Lagana.jpg,69Joseph_Loeper.jpg,45Ben_Arredondo.jpg,10Scheffel_Mark.jpg
Genuine_Ratings,5,5,4,2,4,3,4,4,4,2,4,3,3,5,4,4,3,4,4,5,5,4,5,4,3,3,3,6,4,4,5,2,5,4,3,3,4,4,3,2,3,3,4,4,1,3,3,3,1,3,5,4,4,5,4,4,2,1,4,3,5,1,5,3,2,4,3,4,5,4,4,3
Genuine_RT,1349,872,1408,1905,1412,2231,1600,2796,1286,4545,936,901,2457,1554,1161,950,1374,1248,1287,1688,1467,2559,4597,1295,856,2042,1055,2961,605,1271,3997,3465,1327,1251,1160,1565,2344,1580,1361,2044,1281,1058,1250,1722,1613,1871,999,2146,1928,2079,1424,1313,3859,1827,1634,1351,2398,1443,822,1140,2574,1985,1458,1122,1719,904,767,942,4457,1474,1051,1511
Genuine_ImageOrder,8Noel_W_Campbell.JPG,10Scheffel_Mark.jpg,48Thomas_Gaffey.jpg,31Tim_Hennessey.jpg,30Stephen_Ross.jpg,23Scott_Rigell.jpg,69Joseph_Loeper.jpg,32Kevin _Schreiber.jpg,28Richard_Codey.jpg,53John_Perzel.jpg,38Bob_Ney.jpg,61Bruce_Weyhrauch.jpg,33Charles_McIlhinney.jpg,57Thad_Viers.jpg,22Sanderson_Bill.jpg,37_Michael Grimm.jpg,7Bill_Poole.jpg,50KeithHall.jpg,54Carl_Kruger.jpg,21Bruce_Bannister.jpg,43Terry_Spicer.jpg,36Neil_D_Breslin.jpg,44Paul_Bookout.jpg,26Dennis_Egan.jpg,49Kent_Sorenson.jpg,19Warren_Kampf.jpg,72Vincent_Leibell.jpg,55Rick_Brinkley.jpg,46Steve_King.jpg,63Daniel_Van_Pelt.jpg,51Salvatore_Dimasi.jpg,2Ken_Smith.jpg,70Ward_Crutchfield.jpg,35Frank_Garner.jpg,60Vic_Kohring.jpg,1John_Katko.jpg,11Daniel_Kagan.jpg,62John_Cowdery.jpg,3Darrell_lssa.jpg,13Steven_Sodders.jpg,17Michael_Ranzenhofer.jpg,27Joseph_Lagana.jpg,6Brown_KL.jpg,15Harold_Naughton.jpg,40James_Traficant.jpg,12Frantz_Scott.jpg,64Joseph_Coniglio.jpg,68Jeffrey_Habay.jpg,65Anthoney_Seminerio.jpg,47Douglas_Bruce.jpg,18Brian_Crain.jpg,58Joe_Armstrong.jpg,4Louis_Terhar.jpg,52Art_Wittich.jpg,14Fitz_Steele.jpg,45Ben_Arredondo.jpg,24Dan_Ortiz.jpg,20Jeffrey_Bradley.jpg,34Niceley_Frank.jpg,56Bobby_Harrell.jpg,16Jon_Sesso.jpg,9Bill_Gwatney.jpg,39Duke_Cunningham.jpg,71Joel_Boniek.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,59Phil_Hamilton.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,25Matt_Claman.jpg,29Thomas_Abinanti.jpg,5Tuggle_Mark.jpg
Attractive_Ratings,4,3,4,2,3,1,4,3,4,3,4,3,3,3,4,4,4,3,4,2,4,4,3,2,4,2,6,3,3,2,3,4,4,4,3,2,5,4,2,4,4,4,3,3,1,3,3,3,2,3,4,4,3,3,3,4,4,1,4,3,3,3,4,3,1,3,4,3,2,2,2,3
Attractive_RT,1129,1487,716,1026,1071,2333,1800,858,1104,762,1100,777,1149,875,816,1306,864,1146,1749,997,1251,1389,865,1111,1292,1549,2660,767,988,1335,1113,1158,1611,1177,769,1642,1246,1450,1094,1289,835,1106,880,1017,1137,1423,1168,2015,1652,1209,651,952,857,1252,1250,1231,1355,1347,2062,961,1232,1314,861,933,1108,1386,1877,1130,1255,1395,1190,965
Attractive_ImageOrder,7Bill_Poole.jpg,6Brown_KL.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,26Dennis_Egan.jpg,2Ken_Smith.jpg,36Neil_D_Breslin.jpg,58Joe_Armstrong.jpg,67William_DeWeese.jpg,38Bob_Ney.jpg,44Paul_Bookout.jpg,19Warren_Kampf.jpg,42Greg_Wren.jpg,55Rick_Brinkley.jpg,27Joseph_Lagana.jpg,59Phil_Hamilton.jpg,62John_Cowdery.jpg,66James_Boyce_Black.jpg,22Sanderson_Bill.jpg,40James_Traficant.jpg,70Ward_Crutchfield.jpg,20Jeffrey_Bradley.jpg,71Joel_Boniek.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,18Brian_Crain.jpg,52Art_Wittich.jpg,72Vincent_Leibell.jpg,47Douglas_Bruce.jpg,24Dan_Ortiz.jpg,50KeithHall.jpg,68Jeffrey_Habay.jpg,60Vic_Kohring.jpg,9Bill_Gwatney.jpg,69Joseph_Loeper.jpg,4Louis_Terhar.jpg,65Anthoney_Seminerio.jpg,29Thomas_Abinanti.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,53John_Perzel.jpg,14Fitz_Steele.jpg,16Jon_Sesso.jpg,21Bruce_Bannister.jpg,11Daniel_Kagan.jpg,8Noel_W_Campbell.JPG,37_Michael Grimm.jpg,39Duke_Cunningham.jpg,17Michael_Ranzenhofer.jpg,63Daniel_Van_Pelt.jpg,54Carl_Kruger.jpg,61Bruce_Weyhrauch.jpg,64Joseph_Coniglio.jpg,10Scheffel_Mark.jpg,32Kevin _Schreiber.jpg,43Terry_Spicer.jpg,51Salvatore_Dimasi.jpg,12Frantz_Scott.jpg,1John_Katko.jpg,13Steven_Sodders.jpg,31Tim_Hennessey.jpg,25Matt_Claman.jpg,35Frank_Garner.jpg,28Richard_Codey.jpg,5Tuggle_Mark.jpg,41Mike_Hubbard.jpg,57Thad_Viers.jpg,15Harold_Naughton.jpg,23Scott_Rigell.jpg,30Stephen_Ross.jpg,56Bobby_Harrell.jpg,3Darrell_lssa.jpg
Dominant_Ratings,5,4,4,6,4,5,4,6,5,6,4,4,4,3,6,3,6,6,6,6,4,7,5,5,4,5,2,6,3,4,5,3,3,5,4,6,4,4,7,7,6,6,3,2,7,5,5,5,7,4,5,5,6,6,5,4,3,7,6,5,4,6,5,3,6,5,5,2,6,6,5,5
