"image","male_politician_image","convicted","Corruptible","Genuine","Attractive","Dominant","wiki","gov","news","age","glasses","beard","mustache","hair_blond","hair_white","hair_black","hair_brown","pixels","AU06","AU12","clothing_r","clothing_g","clothing_b"
1,"1john_katko.jpg",0,3.57758620689655,4.46086956521739,3.80172413793103,4.0695652173913,1,0,0,62,0,0,0,0,2,3,0,934648,0.83058816,0.9413051,17.45476013,17.52252115,20.4402957
2,"2ken_smith.jpg",0,3.7304347826087,4.09565217391304,3.09649122807018,3.6551724137931,1,0,0,58,1,0,0,0,2,2,0,391460,0.8899826,0.9495555,11.04432042,11.52342489,13.7338066
3,"3darrell_lssa.jpg",0,3.45689655172414,4.27826086956522,3.87931034482759,3.97391304347826,1,0,0,71,0,0,0,0,1,3,0,321409,0.93382853,0.9630643,15.76936128,14.22770324,15.29320843
4,"4louis_terhar.jpg",0,4.06194690265487,4.18103448275862,3.16666666666667,4.47368421052632,1,0,0,75,0,0,0,0,3,0,0,1026344,0.819334,0.91359,10.65127662,13.64132813,14.08460149
5,"5tuggle_mark.jpg",0,3.56140350877193,4.08771929824561,3.39130434782609,3.88793103448276,0,1,0,59,0,0,0,0,0,3,0,550506,0.85651195,0.93888533,11.00061552,12.99131746,15.25221164
6,"6brown_kl.jpg",0,3.95689655172414,3.59649122807018,2.3859649122807,3.7304347826087,0,1,0,65,1,0,0,0,3,0,0,1016436,0.88223726,0.9013153,25.50925551,21.77344314,20.72239158
7,"7bill_poole.jpg",0,3.55652173913043,4.22608695652174,4.08620689655172,4.1551724137931,0,0,1,47,0,0,0,0,0,0,3,595276,0.7716275,0.89107645,15.98404818,13.64732635,15.87917089
8,"8noel_w_campbell.jpg",0,4.12068965517241,3.95652173913043,2.85087719298246,4.13157894736842,1,0,0,82,1,0,0,0,3,0,0,1134000,0.9139398,0.9549971,16.42021131,16.15503482,16.18864189
9,"9bill_gwatney.jpg",0,3.87931034482759,4.21929824561404,3.96521739130435,3.87931034482759,0,0,1,65,0,0,0,0,2,1,0,1028400,0.8584516,0.95859027,13.84030982,12.65142942,14.67782667
10,"10scheffel_mark.jpg",0,3.96551724137931,4.13913043478261,3.71052631578947,4.54310344827586,1,0,0,65,0,0,0,0,0,0,3,355320,0.88347876,0.9216946,15.21604203,14.52836602,15.18413
11,"11daniel_kagan.jpg",0,3.73275862068966,3.85344827586207,3.11304347826087,3.48695652173913,0,1,0,71,0,0,0,0,0,2,3,422181,0.90400445,0.95867765,16.61243324,16.9462714,17.64709152
12,"12frantz_scott.jpg",0,3.09649122807018,3.93859649122807,3.53508771929825,3.48695652173913,0,1,0,64,0,0,0,0,0,2,2,566040,0.44602385,0.71937746,20.02907102,19.808909,19.70636289
13,"13steven_sodders.jpg",0,3.30172413793103,4.14912280701754,3.93965517241379,3.4695652173913,1,0,0,56,0,0,0,0,0,3,1,375550,0.6687501,0.7467116,16.77588047,16.48216727,15.87009235
14,"14fitz_steele.jpg",0,3.73913043478261,4.16521739130435,3,3.20869565217391,0,0,1,59,0,0,0,0,0,3,0,1425717,0.89607435,0.96571445,28.71129401,26.81241535,21.48044941
15,"15harold_naughton.jpg",0,3.83035714285714,3.97391304347826,3.36206896551724,4.03478260869565,0,0,1,64,0,0,0,0,1,3,0,760584,0.8848257,0.9223434,13.98159154,12.99834444,14.06107806
16,"16jon_sesso.jpg",0,3.14655172413793,4.69298245614035,4.31858407079646,3.37391304347826,0,0,1,70,0,1,1,0,2,2,0,464832,0.9028365,0.9831691,15.23744109,14.57449341,17.61633604
17,"17michael_ranzenhofer.jpg",0,3.71551724137931,4.20689655172414,3.17241379310345,4.35344827586207,0,1,0,70,0,0,0,0,2,2,0,967284,0.9104856,0.9724142,17.17740603,18.05344296,19.54812707
18,"18brian_crain.jpg",0,3.59649122807018,4.47413793103448,3.5304347826087,4.01739130434783,1,0,0,63,0,0,0,0,3,1,0,309260,0.8077734,0.9008081,26.17885161,25.25409082,29.44398872
19,"19warren_kampf.jpg",0,3.43965517241379,4.67543859649123,4.24137931034483,3.96551724137931,0,1,0,57,1,0,0,0,2,2,0,985825,0.90751356,0.96093994,10.02713766,9.831909406,10.92150201
20,"20jeffrey_bradley.jpg",0,4.60869565217391,3.49122807017544,2.46551724137931,4.16379310344828,0,1,0,67,0,0,0,0,2,2,0,229635,0.89713395,0.9424989,14.78146944,13.40037898,14.12072215
21,"21bruce_bannister.jpg",0,3.8859649122807,4.00869565217391,3.26086956521739,3.70434782608696,0,0,1,52,0,0,0,0,0,3,0,645729,0.9191669,0.97421455,10.42672576,11.56211027,14.94750604
22,"22sanderson_bill.jpg",0,3.38793103448276,4.42608695652174,3.41379310344828,3.68103448275862,0,1,0,65,1,0,0,0,1,3,0,626853,0.89918315,0.9450938,13.21434668,12.87236222,14.20869768
23,"23scott_rigell.jpg",0,3.13793103448276,4.63793103448276,3.81896551724138,3.46086956521739,0,0,1,64,0,0,0,0,2,2,0,976115,0.89620125,0.90519357,12.17793703,12.4784549,14.24620665
24,"24dan_ortiz.jpg",0,3.82608695652174,3.92035398230089,2.72413793103448,3.70434782608696,0,1,0,68,0,0,0,0,3,0,0,1487733,0.91463244,0.94726986,10.93604827,12.24522394,13.88217957
25,"25matt_claman.jpg",0,3.47413793103448,4.13793103448276,3.42608695652174,4.00869565217391,0,1,0,65,0,0,0,0,1,3,0,843512,0.9318565,0.9759212,17.64257332,17.54040351,18.62595468
26,"26dennis_egan.jpg",0,4.70689655172414,3.54782608695652,2.73913043478261,4.75221238938053,0,1,0,75,1,0,0,0,3,2,0,630069,0.90245897,0.96277624,11.25390261,10.84248477,10.80400344
27,"27joseph_lagana.jpg",0,3.34210526315789,4.26724137931035,4.11304347826087,3.18260869565217,0,1,0,45,0,0,0,0,0,3,0,849889,0.90379834,0.94514775,18.0742534,14.96167325,19.16279086
28,"28richard_codey.jpg",0,4.10526315789474,3.8448275862069,2.8,4.15652173913043,0,1,0,77,0,0,0,0,2,0,3,574977,0.90733975,0.95622325,20.9928147,18.44485092,17.63114124
29,"29thomas_abinanti.jpg",0,4.14782608695652,3.97413793103448,2.86206896551724,3.59649122807018,0,1,0,78,0,0,0,0,1,3,0,744309,0.9150334,0.9595761,22.18426184,21.8778847,22.69967399
30,"30stephen_ross.jpg",0,3.20689655172414,4.46086956521739,3.01724137931034,3.85344827586207,1,0,0,73,1,0,0,0,2,1,1,944150,0.81768656,0.9047475,20.82677668,19.88200072,18.79586676
31,"31tim_hennessey.jpg",0,4.41228070175439,3.81034482758621,2.68103448275862,4.31304347826087,0,1,0,77,0,0,0,0,3,0,0,391460,0.8528418,0.9031819,6.144441825,6.070261043,5.894534386
32,"32kevin _schreiber.jpg",0,3.66086956521739,4.24347826086957,4.18103448275862,3.38793103448276,0,1,0,44,0,0,0,3,0,0,1,381582,0.9145877,0.9329342,19.97927148,18.1162218,18.66344931
33,"33charles_mcilhinney.jpg",0,3.86086956521739,3.88695652173913,3.19827586206897,3.74782608695652,0,1,0,57,0,0,0,0,0,3,0,1382654,0.87385976,0.9564368,14.00153875,13.94495753,16.11653256
34,"34niceley_frank.jpg",0,3.89565217391304,4.25,3.46086956521739,4.18260869565217,0,1,0,77,0,0,0,0,2,2,0,1026344,0.6751234,0.7501845,7.79010584,8.76504968,13.08483901
