Male_Images,image,convicted,wiki,gov,news,age,glasses,beard,mustache,hair_blond,hair_white,hair_black,hair_brown,pixels,AU06,AU12,clothing_r,clothing_g,clothing_b,photo_source
1John_Katko.jpg,1,0,1,0,0,62,0,0,0,0,2,3,0,934648,0.83058816,0.9413051,17.45476013,17.52252115,20.4402957,
2Ken_Smith.jpg,2,0,1,0,0,58,1,0,0,0,2,2,0,391460,0.8899826,0.9495555,11.04432042,11.52342489,13.7338066,
3Darrell_lssa.jpg,3,0,1,0,0,71,0,0,0,0,1,3,0,321409,0.93382853,0.9630643,15.76936128,14.22770324,15.29320843,
4Louis_Terhar.jpg,4,0,1,0,0,75,0,0,0,0,3,0,0,1026344,0.819334,0.91359,10.65127662,13.64132813,14.08460149,
5Tuggle_Mark.jpg,5,0,0,1,0,59,0,0,0,0,0,3,0,550506,0.85651195,0.93888533,11.00061552,12.99131746,15.25221164,
6Brown_KL.jpg,6,0,0,1,0,65,1,0,0,0,3,0,0,1016436,0.88223726,0.9013153,25.50925551,21.77344314,20.72239158,
7Bill_Poole.jpg,7,0,0,0,1,47,0,0,0,0,0,0,3,595276,0.7716275,0.89107645,15.98404818,13.64732635,15.87917089,
8Noel_W_Campbell.jpg,8,0,1,0,0,82,1,0,0,0,3,0,0,1134000,0.9139398,0.9549971,16.42021131,16.15503482,16.18864189,
9Bill_Gwatney.jpg,9,0,0,0,1,65,0,0,0,0,2,1,0,1028400,0.8584516,0.95859027,13.84030982,12.65142942,14.67782667,
10Scheffel_Mark.jpg,10,0,1,0,0,65,0,0,0,0,0,0,3,355320,0.88347876,0.9216946,15.21604203,14.52836602,15.18413,
11Daniel_Kagan.jpg,11,0,0,1,0,71,0,0,0,0,0,2,3,422181,0.90400445,0.95867765,16.61243324,16.9462714,17.64709152,
12Frantz_Scott.jpg,12,0,0,1,0,64,0,0,0,0,0,2,2,566040,0.44602385,0.71937746,20.02907102,19.808909,19.70636289,
13Steven_Sodders.jpg,13,0,1,0,0,56,0,0,0,0,0,3,1,375550,0.6687501,0.7467116,16.77588047,16.48216727,15.87009235,
14Fitz_Steele.jpg,14,0,0,0,1,59,0,0,0,0,0,3,0,1425717,0.89607435,0.96571445,28.71129401,26.81241535,21.48044941,
15Harold_Naughton.jpg,15,0,0,0,1,64,0,0,0,0,1,3,0,760584,0.8848257,0.9223434,13.98159154,12.99834444,14.06107806,
16Jon_Sesso.jpg,16,0,0,0,1,70,0,1,1,0,2,2,0,464832,0.9028365,0.9831691,15.23744109,14.57449341,17.61633604,
17Michael_Ranzenhofer.jpg,17,0,0,1,0,70,0,0,0,0,2,2,0,967284,0.9104856,0.9724142,17.17740603,18.05344296,19.54812707,
18Brian_Crain.jpg,18,0,1,0,0,63,0,0,0,0,3,1,0,309260,0.8077734,0.9008081,26.17885161,25.25409082,29.44398872,
19Warren_Kampf.jpg,19,0,0,1,0,57,1,0,0,0,2,2,0,985825,0.90751356,0.96093994,10.02713766,9.831909406,10.92150201,
20Jeffrey_Bradley.jpg,20,0,0,1,0,67,0,0,0,0,2,2,0,229635,0.89713395,0.9424989,14.78146944,13.40037898,14.12072215,
21Bruce_Bannister.jpg,21,0,0,0,1,52,0,0,0,0,0,3,0,645729,0.9191669,0.97421455,10.42672576,11.56211027,14.94750604,
22Sanderson_Bill.jpg,22,0,0,1,0,65,1,0,0,0,1,3,0,626853,0.89918315,0.9450938,13.21434668,12.87236222,14.20869768,
23Scott_Rigell.jpg,23,0,0,0,1,64,0,0,0,0,2,2,0,976115,0.89620125,0.90519357,12.17793703,12.4784549,14.24620665,
24Dan_Ortiz.jpg,24,0,0,1,0,68,0,0,0,0,3,0,0,1487733,0.91463244,0.94726986,10.93604827,12.24522394,13.88217957,
