0FC1C733889948C58A4EC5E342BFDFE4_2024-11-20T13:55:50.288Z
End_Time,2024-11-20T14:11:58.731Z
Block_Order,dominant,genuine,corruptible,attractive
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,3,5,3,3,3,3,5,2,3,2,6,4,2,3,1,4,2,1,5,2,4,3,1,2,5,1,3,3,5,5,3,3,5,2,2,2,2,7,7,6,4,3,3,3,2,4,6,2,3,6,1,3,7,3,4,2,3,4,3,3,4,2,2,5,2,5,3,4,5,6,5
Corruptible_RT,1790,1946,3469,1765,1145,1953,3734,2102,1383,2523,3212,2243,2393,1262,1549,1465,2798,2193,3488,1610,1828,2983,1793,2083,2525,2494,2607,1821,1651,2361,2870,1503,1222,1743,1328,1021,2770,1545,2143,1926,1621,1719,2207,2162,1910,1685,1485,4753,2650,2666,4156,3022,3120,5677,1431,2135,1173,2041,1461,1596,1278,4124,1742,1099,2434,3122,1777,2601,2141,1840,2290,1897
Corruptible_ImageOrder,26Dennis_Egan.jpg,41Mike_Hubbard.jpg,44Paul_Bookout.jpg,11Daniel_Kagan.jpg,34Niceley_Frank.jpg,22Sanderson_Bill.jpg,17Michael_Ranzenhofer.jpg,71Joel_Boniek.jpg,13Steven_Sodders.jpg,67William_DeWeese.jpg,39Duke_Cunningham.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,37_Michael Grimm.jpg,72Vincent_Leibell.jpg,54Carl_Kruger.jpg,70Ward_Crutchfield.jpg,12Frantz_Scott.jpg,20Jeffrey_Bradley.jpg,52Art_Wittich.jpg,60Vic_Kohring.jpg,3Darrell_lssa.jpg,47Douglas_Bruce.jpg,69Joseph_Loeper.jpg,40James_Traficant.jpg,48Thomas_Gaffey.jpg,68Jeffrey_Habay.jpg,63Daniel_Van_Pelt.jpg,50KeithHall.jpg,66James_Boyce_Black.jpg,9Bill_Gwatney.jpg,33Charles_McIlhinney.jpg,56Bobby_Harrell.jpg,28Richard_Codey.jpg,42Greg_Wren.jpg,45Ben_Arredondo.jpg,15Harold_Naughton.jpg,1John_Katko.jpg,18Brian_Crain.jpg,8Noel_W_Campbell.JPG,29Thomas_Abinanti.jpg,10Scheffel_Mark.jpg,25Matt_Claman.jpg,14Fitz_Steele.jpg,53John_Perzel.jpg,62John_Cowdery.jpg,55Rick_Brinkley.jpg,46Steve_King.jpg,65Anthoney_Seminerio.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,5Tuggle_Mark.jpg,2Ken_Smith.jpg,64Joseph_Coniglio.jpg,31Tim_Hennessey.jpg,19Warren_Kampf.jpg,24Dan_Ortiz.jpg,57Thad_Viers.jpg,30Stephen_Ross.jpg,32Kevin _Schreiber.jpg,23Scott_Rigell.jpg,16Jon_Sesso.jpg,21Bruce_Bannister.jpg,4Louis_Terhar.jpg,36Neil_D_Breslin.jpg,27Joseph_Lagana.jpg,49Kent_Sorenson.jpg,35Frank_Garner.jpg,51Salvatore_Dimasi.jpg,38Bob_Ney.jpg,61Bruce_Weyhrauch.jpg,43Terry_Spicer.jpg
Genuine_Ratings,5,5,2,5,5,3,4,2,4,3,2,2,4,3,3,6,3,6,6,3,4,5,4,5,3,5,5,3,4,2,3,5,2,3,3,4,4,3,4,1,3,3,2,3,3,6,4,3,6,4,2,6,4,2,4,3,3,6,4,4,3,1,5,3,2,2,5,3,3,5,3,2
Genuine_RT,3656,1401,1749,3352,3357,2053,1089,1657,1535,1405,1368,1869,1365,1362,2439,2037,2762,2850,1876,1378,2763,1751,1275,1723,1169,2507,2151,2090,1526,2738,2468,1571,2549,1705,1075,1643,1961,2656,2359,1776,1250,1296,1124,1555,1143,1535,1888,1524,1904,1046,3200,2888,2280,1352,1944,1476,6303,2030,2992,1596,4527,2007,4943,1070,1617,1439,1229,1364,2100,2609,2457,2847
Genuine_ImageOrder,18Brian_Crain.jpg,51Salvatore_Dimasi.jpg,21Bruce_Bannister.jpg,61Bruce_Weyhrauch.jpg,16Jon_Sesso.jpg,15Harold_Naughton.jpg,9Bill_Gwatney.jpg,37_Michael Grimm.jpg,40James_Traficant.jpg,43Terry_Spicer.jpg,48Thomas_Gaffey.jpg,31Tim_Hennessey.jpg,65Anthoney_Seminerio.jpg,44Paul_Bookout.jpg,55Rick_Brinkley.jpg,3Darrell_lssa.jpg,57Thad_Viers.jpg,70Ward_Crutchfield.jpg,23Scott_Rigell.jpg,69Joseph_Loeper.jpg,50KeithHall.jpg,38Bob_Ney.jpg,22Sanderson_Bill.jpg,46Steve_King.jpg,24Dan_Ortiz.jpg,39Duke_Cunningham.jpg,72Vincent_Leibell.jpg,41Mike_Hubbard.jpg,26Dennis_Egan.jpg,28Richard_Codey.jpg,25Matt_Claman.jpg,33Charles_McIlhinney.jpg,29Thomas_Abinanti.jpg,58Joe_Armstrong.jpg,53John_Perzel.jpg,45Ben_Arredondo.jpg,62John_Cowdery.jpg,11Daniel_Kagan.jpg,14Fitz_Steele.jpg,4Louis_Terhar.jpg,32Kevin _Schreiber.jpg,60Vic_Kohring.jpg,49Kent_Sorenson.jpg,47Douglas_Bruce.jpg,64Joseph_Coniglio.jpg,67William_DeWeese.jpg,71Joel_Boniek.jpg,5Tuggle_Mark.jpg,34Niceley_Frank.jpg,63Daniel_Van_Pelt.jpg,27Joseph_Lagana.jpg,6Brown_KL.jpg,8Noel_W_Campbell.JPG,30Stephen_Ross.jpg,20Jeffrey_Bradley.jpg,52Art_Wittich.jpg,13Steven_Sodders.jpg,42Greg_Wren.jpg,56Bobby_Harrell.jpg,19Warren_Kampf.jpg,66James_Boyce_Black.jpg,59Phil_Hamilton.jpg,12Frantz_Scott.jpg,1John_Katko.jpg,7Bill_Poole.jpg,68Jeffrey_Habay.jpg,36Neil_D_Breslin.jpg,2Ken_Smith.jpg,10Scheffel_Mark.jpg,35Frank_Garner.jpg,54Carl_Kruger.jpg,17Michael_Ranzenhofer.jpg
Attractive_Ratings,2,2,2,1,3,1,5,1,3,3,2,2,3,1,1,5,1,3,3,2,2,2,3,1,3,1,4,1,4,1,1,5,2,2,2,2,3,2,1,1,3,2,1,2,1,5,2,2,3,3,2,3,1,1,2,3,4,4,1,2,1,1,3,1,2,1,1,2,1,1,1,1
Attractive_RT,1391,1682,2131,1477,1304,1534,3011,887,2980,1597,1233,990,1587,1278,1354,1693,1173,1375,1531,7755,1328,1426,2711,1126,1193,1546,2003,1240,2168,3809,1230,2035,1127,1801,1584,1796,1273,1467,893,1279,1418,1872,1024,968,2080,8385,3713,1184,2202,1379,2179,1475,2191,1435,1283,2260,1938,2776,1466,1495,2201,887,1080,1510,1120,1468,1535,1662,749,1245,1031,1035
Attractive_ImageOrder,47Douglas_Bruce.jpg,35Frank_Garner.jpg,6Brown_KL.jpg,51Salvatore_Dimasi.jpg,63Daniel_Van_Pelt.jpg,37_Michael Grimm.jpg,66James_Boyce_Black.jpg,26Dennis_Egan.jpg,57Thad_Viers.jpg,34Niceley_Frank.jpg,30Stephen_Ross.jpg,38Bob_Ney.jpg,18Brian_Crain.jpg,42Greg_Wren.jpg,56Bobby_Harrell.jpg,10Scheffel_Mark.jpg,46Steve_King.jpg,20Jeffrey_Bradley.jpg,23Scott_Rigell.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,54Carl_Kruger.jpg,61Bruce_Weyhrauch.jpg,19Warren_Kampf.jpg,60Vic_Kohring.jpg,64Joseph_Coniglio.jpg,32Kevin _Schreiber.jpg,28Richard_Codey.jpg,58Joe_Armstrong.jpg,41Mike_Hubbard.jpg,25Matt_Claman.jpg,45Ben_Arredondo.jpg,33Charles_McIlhinney.jpg,9Bill_Gwatney.jpg,24Dan_Ortiz.jpg,4Louis_Terhar.jpg,53John_Perzel.jpg,12Frantz_Scott.jpg,43Terry_Spicer.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg,2Ken_Smith.jpg,16Jon_Sesso.jpg,40James_Traficant.jpg,48Thomas_Gaffey.jpg,55Rick_Brinkley.jpg,39Duke_Cunningham.jpg,17Michael_Ranzenhofer.jpg,1John_Katko.jpg,5Tuggle_Mark.jpg,8Noel_W_Campbell.JPG,14Fitz_Steele.jpg,62John_Cowdery.jpg,52Art_Wittich.jpg,7Bill_Poole.jpg,29Thomas_Abinanti.jpg,36Neil_D_Breslin.jpg,21Bruce_Bannister.jpg,49Kent_Sorenson.jpg,70Ward_Crutchfield.jpg,69Joseph_Loeper.jpg,50KeithHall.jpg,65Anthoney_Seminerio.jpg,59Phil_Hamilton.jpg,27Joseph_Lagana.jpg,15Harold_Naughton.jpg,11Daniel_Kagan.jpg,13Steven_Sodders.jpg,31Tim_Hennessey.jpg,3Darrell_lssa.jpg,22Sanderson_Bill.jpg,44Paul_Bookout.jpg
