793F4EA5961D45F29E68D1C22D34C67E_2024-11-19T19:12:20.817Z
End_Time,2024-11-19T19:26:12.872Z
Block_Order,corruptible,dominant,attractive,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,5,3,2,4,3,3,4,2,2,3,3,4,3,3,3,3,4,3,2,5,4,3,2,4,4,3,3,3,3,3,3,5,4,5,4,3,5,4,6,5,5,3,3,3,6,5,4,5,4,5,5,4,5,4,4,3,3,5,5,4,5,3,2,6,3,2,4,3,4,4,5,4
Corruptible_RT,1012,921,1416,1144,1332,2437,1116,1356,1209,1742,2051,1211,2703,1124,948,1205,1148,1181,1551,1175,1347,1098,1401,1791,1161,1009,2067,1253,1099,1920,997,1102,1079,1221,1490,1989,1873,1589,2864,1158,1071,1183,1548,1541,1682,1025,1117,1007,1472,1247,1279,1216,1141,901,914,1219,1139,1597,945,1058,1866,2242,1152,1157,1360,1469,1405,1126,1295,1407,1409,1632
Corruptible_ImageOrder,13Steven_Sodders.jpg,6Brown_KL.jpg,70Ward_Crutchfield.jpg,39Duke_Cunningham.jpg,64Joseph_Coniglio.jpg,34Niceley_Frank.jpg,45Ben_Arredondo.jpg,58Joe_Armstrong.jpg,11Daniel_Kagan.jpg,36Neil_D_Breslin.jpg,66James_Boyce_Black.jpg,19Warren_Kampf.jpg,26Dennis_Egan.jpg,61Bruce_Weyhrauch.jpg,40James_Traficant.jpg,4Louis_Terhar.jpg,30Stephen_Ross.jpg,28Richard_Codey.jpg,71Joel_Boniek.jpg,53John_Perzel.jpg,12Frantz_Scott.jpg,1John_Katko.jpg,25Matt_Claman.jpg,67William_DeWeese.jpg,46Steve_King.jpg,37_Michael Grimm.jpg,62John_Cowdery.jpg,69Joseph_Loeper.jpg,27Joseph_Lagana.jpg,29Thomas_Abinanti.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,10Scheffel_Mark.jpg,72Vincent_Leibell.jpg,59Phil_Hamilton.jpg,32Kevin _Schreiber.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,41Mike_Hubbard.jpg,48Thomas_Gaffey.jpg,44Paul_Bookout.jpg,35Frank_Garner.jpg,42Greg_Wren.jpg,49Kent_Sorenson.jpg,20Jeffrey_Bradley.jpg,18Brian_Crain.jpg,33Charles_McIlhinney.jpg,21Bruce_Bannister.jpg,5Tuggle_Mark.jpg,3Darrell_lssa.jpg,68Jeffrey_Habay.jpg,38Bob_Ney.jpg,55Rick_Brinkley.jpg,16Jon_Sesso.jpg,2Ken_Smith.jpg,60Vic_Kohring.jpg,7Bill_Poole.jpg,65Anthoney_Seminerio.jpg,57Thad_Viers.jpg,47Douglas_Bruce.jpg,54Carl_Kruger.jpg,22Sanderson_Bill.jpg,56Bobby_Harrell.jpg,8Noel_W_Campbell.JPG,63Daniel_Van_Pelt.jpg,17Michael_Ranzenhofer.jpg,31Tim_Hennessey.jpg,9Bill_Gwatney.jpg,15Harold_Naughton.jpg,43Terry_Spicer.jpg,14Fitz_Steele.jpg,52Art_Wittich.jpg
Genuine_Ratings,2,5,2,4,3,3,2,3,4,1,3,5,4,4,3,4,2,2,4,3,2,4,6,1,2,3,3,4,4,3,2,5,4,2,2,4,1,3,1,1,1,4,3,4,1,2,2,2,2,3,2,3,3,1,3,3,4,2,4,4,1,2,4,1,3,4,3,3,2,3,3,2
Genuine_RT,985,1117,1269,1271,962,1140,924,1274,1258,1081,796,1776,1047,1363,1254,1040,938,951,1034,983,1131,1115,1813,954,910,999,1086,1236,1345,830,1171,1311,1055,1007,1001,1224,998,1082,2544,1669,1073,1673,1204,1180,1355,1298,1023,1128,1891,968,839,1082,845,1102,1497,1497,1136,866,998,1374,960,1335,824,1356,1223,993,899,1108,839,997,1287,992
Genuine_ImageOrder,39Duke_Cunningham.jpg,34Niceley_Frank.jpg,44Paul_Bookout.jpg,38Bob_Ney.jpg,45Ben_Arredondo.jpg,27Joseph_Lagana.jpg,52Art_Wittich.jpg,17Michael_Ranzenhofer.jpg,29Thomas_Abinanti.jpg,25Matt_Claman.jpg,50KeithHall.jpg,60Vic_Kohring.jpg,67William_DeWeese.jpg,46Steve_King.jpg,54Carl_Kruger.jpg,62John_Cowdery.jpg,15Harold_Naughton.jpg,58Joe_Armstrong.jpg,18Brian_Crain.jpg,57Thad_Viers.jpg,2Ken_Smith.jpg,66James_Boyce_Black.jpg,56Bobby_Harrell.jpg,61Bruce_Weyhrauch.jpg,7Bill_Poole.jpg,3Darrell_lssa.jpg,43Terry_Spicer.jpg,1John_Katko.jpg,11Daniel_Kagan.jpg,22Sanderson_Bill.jpg,21Bruce_Bannister.jpg,51Salvatore_Dimasi.jpg,6Brown_KL.jpg,8Noel_W_Campbell.JPG,19Warren_Kampf.jpg,5Tuggle_Mark.jpg,42Greg_Wren.jpg,71Joel_Boniek.jpg,40James_Traficant.jpg,69Joseph_Loeper.jpg,59Phil_Hamilton.jpg,9Bill_Gwatney.jpg,14Fitz_Steele.jpg,53John_Perzel.jpg,37_Michael Grimm.jpg,31Tim_Hennessey.jpg,64Joseph_Coniglio.jpg,68Jeffrey_Habay.jpg,70Ward_Crutchfield.jpg,13Steven_Sodders.jpg,65Anthoney_Seminerio.jpg,10Scheffel_Mark.jpg,41Mike_Hubbard.jpg,32Kevin _Schreiber.jpg,36Neil_D_Breslin.jpg,63Daniel_Van_Pelt.jpg,30Stephen_Ross.jpg,24Dan_Ortiz.jpg,20Jeffrey_Bradley.jpg,28Richard_Codey.jpg,49Kent_Sorenson.jpg,55Rick_Brinkley.jpg,4Louis_Terhar.jpg,47Douglas_Bruce.jpg,72Vincent_Leibell.jpg,35Frank_Garner.jpg,16Jon_Sesso.jpg,33Charles_McIlhinney.jpg,26Dennis_Egan.jpg,23Scott_Rigell.jpg,12Frantz_Scott.jpg,48Thomas_Gaffey.jpg
Attractive_Ratings,4,2,4,2,4,2,3,1,4,2,3,4,5,2,3,3,3,2,3,1,4,5,4,1,5,2,6,3,2,2,2,3,4,3,2,2,3,3,2,1,2,3,2,3,2,5,2,2,3,3,3,2,2,1,2,3,4,2,1,5,2,1,4,1,2,2,4,3,1,2,3,1
Attractive_RT,1572,924,1144,1139,1044,1006,1000,976,1501,856,956,834,2038,1054,998,1992,1184,2155,1307,807,1199,1552,1307,1131,1805,904,1976,973,1010,1621,715,1454,1478,1027,1451,1139,1023,1695,1085,808,1086,944,698,1014,938,1217,929,1144,1341,1230,1191,1269,1045,732,928,1011,1446,892,954,1613,1017,807,1144,1294,832,1231,5128,1160,1035,1203,1245,1058
Attractive_ImageOrder,18Brian_Crain.jpg,42Greg_Wren.jpg,12Frantz_Scott.jpg,44Paul_Bookout.jpg,3Darrell_lssa.jpg,38Bob_Ney.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,58Joe_Armstrong.jpg,45Ben_Arredondo.jpg,57Thad_Viers.jpg,4Louis_Terhar.jpg,34Niceley_Frank.jpg,65Anthoney_Seminerio.jpg,54Carl_Kruger.jpg,29Thomas_Abinanti.jpg,6Brown_KL.jpg,33Charles_McIlhinney.jpg,70Ward_Crutchfield.jpg,68Jeffrey_Habay.jpg,28Richard_Codey.jpg,24Dan_Ortiz.jpg,1John_Katko.jpg,71Joel_Boniek.jpg,2Ken_Smith.jpg,31Tim_Hennessey.jpg,55Rick_Brinkley.jpg,20Jeffrey_Bradley.jpg,36Neil_D_Breslin.jpg,21Bruce_Bannister.jpg,46Steve_King.jpg,17Michael_Ranzenhofer.jpg,66James_Boyce_Black.jpg,64Joseph_Coniglio.jpg,25Matt_Claman.jpg,22Sanderson_Bill.jpg,11Daniel_Kagan.jpg,37_Michael Grimm.jpg,39Duke_Cunningham.jpg,52Art_Wittich.jpg,9Bill_Gwatney.jpg,7Bill_Poole.jpg,51Salvatore_Dimasi.jpg,13Steven_Sodders.jpg,49Kent_Sorenson.jpg,30Stephen_Ross.jpg,63Daniel_Van_Pelt.jpg,53John_Perzel.jpg,8Noel_W_Campbell.JPG,50KeithHall.jpg,27Joseph_Lagana.jpg,67William_DeWeese.jpg,35Frank_Garner.jpg,32Kevin _Schreiber.jpg,56Bobby_Harrell.jpg,72Vincent_Leibell.jpg,69Joseph_Loeper.jpg,59Phil_Hamilton.jpg,19Warren_Kampf.jpg,5Tuggle_Mark.jpg,61Bruce_Weyhrauch.jpg,43Terry_Spicer.jpg,15Harold_Naughton.jpg,14Fitz_Steele.jpg,60Vic_Kohring.jpg,10Scheffel_Mark.jpg,26Dennis_Egan.jpg,23Scott_Rigell.jpg,62John_Cowdery.jpg,41Mike_Hubbard.jpg,40James_Traficant.jpg,16Jon_Sesso.jpg
