8A768CE9089847EF984F0CC67E29CE0C_2024-11-19T15:15:49.699Z
End_Time,2024-11-19T15:31:05.715Z
Block_Order,corruptible,dominant,genuine,attractive
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,4,2,4,3,3,2,3,2,3,6,3,4,3,3,3,5,3,3,4,3,4,4,3,3,3,4,3,3,3,4,3,3,3,4,3,2,3,4,3,3,4,3,3,4,2,3,3,4,4,4,5,4,3,3,4,3,4,3,3,4,3,3,3,3,4,4,3,3,3,2,3,3
Corruptible_RT,1080,2133,1174,1672,1278,2698,1135,3281,467,1771,4147,1289,1414,945,1216,1633,2282,852,1057,950,2699,1031,1519,2635,882,662,2001,863,4796,1171,797,968,659,1020,5407,2994,912,1252,1175,1822,1881,810,1244,1250,1824,1052,1870,879,1007,1430,2102,1397,1901,6211,923,1540,898,1078,1834,1611,6988,984,1473,2902,1021,1182,968,1426,1476,1980,1436,3504
Corruptible_ImageOrder,54Carl_Kruger.jpg,72Vincent_Leibell.jpg,45Ben_Arredondo.jpg,6Brown_KL.jpg,63Daniel_Van_Pelt.jpg,2Ken_Smith.jpg,70Ward_Crutchfield.jpg,27Joseph_Lagana.jpg,43Terry_Spicer.jpg,36Neil_D_Breslin.jpg,68Jeffrey_Habay.jpg,8Noel_W_Campbell.JPG,52Art_Wittich.jpg,34Niceley_Frank.jpg,10Scheffel_Mark.jpg,64Joseph_Coniglio.jpg,3Darrell_lssa.jpg,15Harold_Naughton.jpg,47Douglas_Bruce.jpg,44Paul_Bookout.jpg,66James_Boyce_Black.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,55Rick_Brinkley.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,58Joe_Armstrong.jpg,35Frank_Garner.jpg,56Bobby_Harrell.jpg,46Steve_King.jpg,11Daniel_Kagan.jpg,41Mike_Hubbard.jpg,31Tim_Hennessey.jpg,69Joseph_Loeper.jpg,20Jeffrey_Bradley.jpg,61Bruce_Weyhrauch.jpg,18Brian_Crain.jpg,50KeithHall.jpg,24Dan_Ortiz.jpg,38Bob_Ney.jpg,14Fitz_Steele.jpg,7Bill_Poole.jpg,48Thomas_Gaffey.jpg,4Louis_Terhar.jpg,62John_Cowdery.jpg,51Salvatore_Dimasi.jpg,30Stephen_Ross.jpg,33Charles_McIlhinney.jpg,25Matt_Claman.jpg,5Tuggle_Mark.jpg,21Bruce_Bannister.jpg,39Duke_Cunningham.jpg,22Sanderson_Bill.jpg,28Richard_Codey.jpg,71Joel_Boniek.jpg,23Scott_Rigell.jpg,42Greg_Wren.jpg,49Kent_Sorenson.jpg,32Kevin _Schreiber.jpg,67William_DeWeese.jpg,65Anthoney_Seminerio.jpg,29Thomas_Abinanti.jpg,57Thad_Viers.jpg,19Warren_Kampf.jpg,9Bill_Gwatney.jpg,12Frantz_Scott.jpg,37_Michael Grimm.jpg,1John_Katko.jpg,26Dennis_Egan.jpg,40James_Traficant.jpg,13Steven_Sodders.jpg,53John_Perzel.jpg
Genuine_Ratings,6,5,5,6,6,5,4,6,4,5,5,5,3,6,6,6,5,6,5,4,5,5,6,5,5,6,6,5,5,4,5,5,6,5,6,4,4,5,6,3,4,4,3,6,4,6,6,4,3,4,4,4,6,4,6,6,5,5,4,6,5,6,5,5,5,5,6,5,4,6,5,6
Genuine_RT,440,1146,489,895,596,1090,1606,580,1273,1129,902,1700,1318,623,791,602,555,500,850,998,409,734,421,1730,425,699,616,1410,743,1454,503,470,1518,1156,945,1739,1739,958,665,1478,1053,1054,716,656,1391,612,839,1407,5258,2809,2011,1490,344,1076,522,861,1140,1163,1689,1326,1260,791,1268,1528,1291,752,1077,678,1782,784,1251,613
Genuine_ImageOrder,49Kent_Sorenson.jpg,43Terry_Spicer.jpg,9Bill_Gwatney.jpg,2Ken_Smith.jpg,11Daniel_Kagan.jpg,48Thomas_Gaffey.jpg,63Daniel_Van_Pelt.jpg,66James_Boyce_Black.jpg,17Michael_Ranzenhofer.jpg,20Jeffrey_Bradley.jpg,25Matt_Claman.jpg,32Kevin _Schreiber.jpg,3Darrell_lssa.jpg,7Bill_Poole.jpg,41Mike_Hubbard.jpg,29Thomas_Abinanti.jpg,45Ben_Arredondo.jpg,57Thad_Viers.jpg,22Sanderson_Bill.jpg,31Tim_Hennessey.jpg,44Paul_Bookout.jpg,6Brown_KL.jpg,15Harold_Naughton.jpg,12Frantz_Scott.jpg,62John_Cowdery.jpg,33Charles_McIlhinney.jpg,55Rick_Brinkley.jpg,50KeithHall.jpg,27Joseph_Lagana.jpg,16Jon_Sesso.jpg,14Fitz_Steele.jpg,5Tuggle_Mark.jpg,34Niceley_Frank.jpg,18Brian_Crain.jpg,59Phil_Hamilton.jpg,58Joe_Armstrong.jpg,47Douglas_Bruce.jpg,46Steve_King.jpg,28Richard_Codey.jpg,56Bobby_Harrell.jpg,24Dan_Ortiz.jpg,52Art_Wittich.jpg,38Bob_Ney.jpg,26Dennis_Egan.jpg,72Vincent_Leibell.jpg,69Joseph_Loeper.jpg,65Anthoney_Seminerio.jpg,64Joseph_Coniglio.jpg,70Ward_Crutchfield.jpg,1John_Katko.jpg,39Duke_Cunningham.jpg,53John_Perzel.jpg,21Bruce_Bannister.jpg,35Frank_Garner.jpg,23Scott_Rigell.jpg,10Scheffel_Mark.jpg,8Noel_W_Campbell.JPG,60Vic_Kohring.jpg,4Louis_Terhar.jpg,67William_DeWeese.jpg,71Joel_Boniek.jpg,51Salvatore_Dimasi.jpg,30Stephen_Ross.jpg,54Carl_Kruger.jpg,13Steven_Sodders.jpg,37_Michael Grimm.jpg,42Greg_Wren.jpg,61Bruce_Weyhrauch.jpg,68Jeffrey_Habay.jpg,40James_Traficant.jpg,19Warren_Kampf.jpg,36Neil_D_Breslin.jpg
Attractive_Ratings,4,3,2,3,3,2,2,3,3,4,4,2,4,3,3,4,2,3,3,2,2,3,3,2,2,2,4,4,4,2,3,2,3,2,4,3,2,3,2,2,2,4,3,4,2,4,4,3,2,3,2,2,3,2,2,5,2,1,3,2,3,3,3,3,2,3,3,2,2,4,2,2
Attractive_RT,589,1052,1347,1181,1066,1272,1100,1260,1372,4469,728,864,1867,1137,883,2360,817,1070,1282,931,973,1983,1156,573,2273,1446,919,1203,1062,1067,1032,956,1105,1290,898,1005,1028,1050,1052,1107,1306,1160,3931,1813,10181,742,2204,1154,1252,6225,827,1105,1394,892,714,3139,1181,1576,1580,1245,1102,695,1073,1976,1116,748,952,1201,1607,2818,776,865
Attractive_ImageOrder,50KeithHall.jpg,16Jon_Sesso.jpg,11Daniel_Kagan.jpg,35Frank_Garner.jpg,56Bobby_Harrell.jpg,8Noel_W_Campbell.JPG,29Thomas_Abinanti.jpg,48Thomas_Gaffey.jpg,28Richard_Codey.jpg,1John_Katko.jpg,43Terry_Spicer.jpg,70Ward_Crutchfield.jpg,47Douglas_Bruce.jpg,45Ben_Arredondo.jpg,66James_Boyce_Black.jpg,23Scott_Rigell.jpg,59Phil_Hamilton.jpg,27Joseph_Lagana.jpg,24Dan_Ortiz.jpg,41Mike_Hubbard.jpg,13Steven_Sodders.jpg,19Warren_Kampf.jpg,44Paul_Bookout.jpg,26Dennis_Egan.jpg,49Kent_Sorenson.jpg,69Joseph_Loeper.jpg,72Vincent_Leibell.jpg,55Rick_Brinkley.jpg,18Brian_Crain.jpg,63Daniel_Van_Pelt.jpg,60Vic_Kohring.jpg,25Matt_Claman.jpg,7Bill_Poole.jpg,71Joel_Boniek.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,3Darrell_lssa.jpg,54Carl_Kruger.jpg,38Bob_Ney.jpg,64Joseph_Coniglio.jpg,39Duke_Cunningham.jpg,67William_DeWeese.jpg,57Thad_Viers.jpg,37_Michael Grimm.jpg,65Anthoney_Seminerio.jpg,58Joe_Armstrong.jpg,9Bill_Gwatney.jpg,17Michael_Ranzenhofer.jpg,15Harold_Naughton.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,10Scheffel_Mark.jpg,14Fitz_Steele.jpg,68Jeffrey_Habay.jpg,12Frantz_Scott.jpg,2Ken_Smith.jpg,42Greg_Wren.jpg,46Steve_King.jpg,40James_Traficant.jpg,33Charles_McIlhinney.jpg,53John_Perzel.jpg,6Brown_KL.jpg,52Art_Wittich.jpg,31Tim_Hennessey.jpg,30Stephen_Ross.jpg,51Salvatore_Dimasi.jpg,62John_Cowdery.jpg,36Neil_D_Breslin.jpg,32Kevin _Schreiber.jpg,22Sanderson_Bill.jpg,34Niceley_Frank.jpg,61Bruce_Weyhrauch.jpg
Dominant_Ratings,4,2,3,4,3,2,4,2,2,4,3,5,3,3,4,4,5,3,2,4,3,3,3,2,4,3,3,3,2,3,2,3,3,5,3,3,4,2,4,6,5,4,5,3,2,3,3,4,5,2,5,4,3,5,3,3,2,3,3,5,3,4,3,2,2,3,5,3,2,3,4,3
