5ea734aec721ae103213635a_2024-11-26T08:32:51.145Z
End_Time,2024-11-26T08:48:11.397Z
Block_Order,genuine,attractive,dominant,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,4,3,5,5,5,4,3,6,4,2,4,3,2,4,4,3,5,5,3,5,5,3,2,2,6,3,3,2,5,2,5,5,3,1,5,5,5,4,6,3,5,3,3,4,2,6,3,4,6,5,2,4,4,1,4,3,5,5,6,5,5,4,4,4,3,2,4,3,2,2,5,6
Corruptible_RT,2288,3285,2294,2536,5014,2132,1321,2166,3587,2260,1299,1738,1246,1294,1321,3098,3497,2026,1936,1749,2212,2144,2442,3274,1968,4769,3715,2612,1364,2419,3159,1697,1723,2284,3175,2595,2620,3309,1928,1935,1699,1790,1962,1351,2530,1903,4584,3371,2645,2583,3886,3678,891,3424,1692,1530,3292,4051,2124,2219,1512,2954,3372,1446,1476,1623,1383,3062,1853,1489,2465,1656
Corruptible_ImageOrder,5Tuggle_Mark.jpg,68Jeffrey_Habay.jpg,61Bruce_Weyhrauch.jpg,64Joseph_Coniglio.jpg,72Vincent_Leibell.jpg,52Art_Wittich.jpg,25Matt_Claman.jpg,4Louis_Terhar.jpg,30Stephen_Ross.jpg,3Darrell_lssa.jpg,15Harold_Naughton.jpg,50KeithHall.jpg,26Dennis_Egan.jpg,24Dan_Ortiz.jpg,58Joe_Armstrong.jpg,49Kent_Sorenson.jpg,44Paul_Bookout.jpg,33Charles_McIlhinney.jpg,38Bob_Ney.jpg,42Greg_Wren.jpg,51Salvatore_Dimasi.jpg,70Ward_Crutchfield.jpg,63Daniel_Van_Pelt.jpg,19Warren_Kampf.jpg,29Thomas_Abinanti.jpg,27Joseph_Lagana.jpg,23Scott_Rigell.jpg,66James_Boyce_Black.jpg,55Rick_Brinkley.jpg,35Frank_Garner.jpg,40James_Traficant.jpg,16Jon_Sesso.jpg,14Fitz_Steele.jpg,54Carl_Kruger.jpg,45Ben_Arredondo.jpg,28Richard_Codey.jpg,34Niceley_Frank.jpg,59Phil_Hamilton.jpg,32Kevin _Schreiber.jpg,22Sanderson_Bill.jpg,71Joel_Boniek.jpg,18Brian_Crain.jpg,48Thomas_Gaffey.jpg,65Anthoney_Seminerio.jpg,57Thad_Viers.jpg,1John_Katko.jpg,10Scheffel_Mark.jpg,37_Michael Grimm.jpg,67William_DeWeese.jpg,31Tim_Hennessey.jpg,12Frantz_Scott.jpg,9Bill_Gwatney.jpg,13Steven_Sodders.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,36Neil_D_Breslin.jpg,8Noel_W_Campbell.JPG,7Bill_Poole.jpg,11Daniel_Kagan.jpg,43Terry_Spicer.jpg,62John_Cowdery.jpg,60Vic_Kohring.jpg,39Duke_Cunningham.jpg,21Bruce_Bannister.jpg,69Joseph_Loeper.jpg,6Brown_KL.jpg,2Ken_Smith.jpg,20Jeffrey_Bradley.jpg,53John_Perzel.jpg,17Michael_Ranzenhofer.jpg,41Mike_Hubbard.jpg,56Bobby_Harrell.jpg
Genuine_Ratings,5,2,5,5,5,2,4,3,4,4,3,4,3,3,5,3,4,4,6,5,5,6,3,5,3,5,3,5,3,2,3,4,4,6,4,4,4,4,3,5,3,4,5,4,2,3,6,2,3,2,4,5,5,6,5,5,3,5,3,3,4,2,4,4,5,3,5,2,2,4,4,2
Genuine_RT,5437,2605,1750,1565,1968,2073,1370,4113,2250,1769,1887,2174,1998,1036,1852,1666,1832,908,1740,1909,1178,2146,1380,3965,3434,3217,1255,2237,3515,2051,1941,1488,1831,2483,1893,2437,2363,3106,2009,1920,2275,1941,1910,2615,1202,1966,3276,2226,3938,2125,2138,2511,2534,2482,2152,2672,2355,1585,3287,2587,2288,2568,4394,1854,2794,2835,4327,2823,3152,3108,1713,3161
Genuine_ImageOrder,53John_Perzel.jpg,67William_DeWeese.jpg,25Matt_Claman.jpg,44Paul_Bookout.jpg,48Thomas_Gaffey.jpg,30Stephen_Ross.jpg,26Dennis_Egan.jpg,59Phil_Hamilton.jpg,34Niceley_Frank.jpg,39Duke_Cunningham.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,17Michael_Ranzenhofer.jpg,43Terry_Spicer.jpg,51Salvatore_Dimasi.jpg,47Douglas_Bruce.jpg,1John_Katko.jpg,72Vincent_Leibell.jpg,36Neil_D_Breslin.jpg,29Thomas_Abinanti.jpg,15Harold_Naughton.jpg,69Joseph_Loeper.jpg,57Thad_Viers.jpg,32Kevin _Schreiber.jpg,37_Michael Grimm.jpg,40James_Traficant.jpg,13Steven_Sodders.jpg,33Charles_McIlhinney.jpg,5Tuggle_Mark.jpg,38Bob_Ney.jpg,41Mike_Hubbard.jpg,60Vic_Kohring.jpg,63Daniel_Van_Pelt.jpg,49Kent_Sorenson.jpg,20Jeffrey_Bradley.jpg,11Daniel_Kagan.jpg,19Warren_Kampf.jpg,58Joe_Armstrong.jpg,22Sanderson_Bill.jpg,24Dan_Ortiz.jpg,10Scheffel_Mark.jpg,12Frantz_Scott.jpg,28Richard_Codey.jpg,31Tim_Hennessey.jpg,7Bill_Poole.jpg,56Bobby_Harrell.jpg,68Jeffrey_Habay.jpg,14Fitz_Steele.jpg,61Bruce_Weyhrauch.jpg,54Carl_Kruger.jpg,23Scott_Rigell.jpg,3Darrell_lssa.jpg,18Brian_Crain.jpg,6Brown_KL.jpg,71Joel_Boniek.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,21Bruce_Bannister.jpg,66James_Boyce_Black.jpg,35Frank_Garner.jpg,62John_Cowdery.jpg,4Louis_Terhar.jpg,16Jon_Sesso.jpg,50KeithHall.jpg,42Greg_Wren.jpg,52Art_Wittich.jpg,65Anthoney_Seminerio.jpg,70Ward_Crutchfield.jpg,27Joseph_Lagana.jpg,2Ken_Smith.jpg,64Joseph_Coniglio.jpg,55Rick_Brinkley.jpg
Attractive_Ratings,6,3,4,4,5,2,6,2,5,3,4,5,5,4,4,4,4,5,4,2,3,7,6,3,6,1,4,2,2,1,3,4,5,3,4,3,3,3,1,5,4,5,3,2,2,1,4,2,1,2,2,3,2,2,1,6,5,2,2,3,3,2,4,1,1,1,3,3,2,3,2,2
Attractive_RT,1408,1745,1738,1393,1302,1175,1523,1359,1224,1367,1153,1650,1694,1325,1611,1048,1279,1386,2206,1400,1772,1425,1420,1287,1454,1516,1266,930,1746,1442,972,1855,4155,1651,1329,1656,1233,998,2711,1578,1224,1436,1368,1084,1237,2030,1823,1636,1478,1288,1190,1172,1967,2181,1453,1590,1204,1299,1243,1717,1354,1368,1135,1346,966,978,2381,3598,1346,2772,1447,4015
Attractive_ImageOrder,72Vincent_Leibell.jpg,33Charles_McIlhinney.jpg,43Terry_Spicer.jpg,53John_Perzel.jpg,3Darrell_lssa.jpg,39Duke_Cunningham.jpg,66James_Boyce_Black.jpg,34Niceley_Frank.jpg,60Vic_Kohring.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,50KeithHall.jpg,54Carl_Kruger.jpg,64Joseph_Coniglio.jpg,61Bruce_Weyhrauch.jpg,19Warren_Kampf.jpg,36Neil_D_Breslin.jpg,70Ward_Crutchfield.jpg,12Frantz_Scott.jpg,47Douglas_Bruce.jpg,4Louis_Terhar.jpg,68Jeffrey_Habay.jpg,21Bruce_Bannister.jpg,27Joseph_Lagana.jpg,20Jeffrey_Bradley.jpg,26Dennis_Egan.jpg,65Anthoney_Seminerio.jpg,35Frank_Garner.jpg,31Tim_Hennessey.jpg,49Kent_Sorenson.jpg,42Greg_Wren.jpg,14Fitz_Steele.jpg,13Steven_Sodders.jpg,59Phil_Hamilton.jpg,44Paul_Bookout.jpg,46Steve_King.jpg,15Harold_Naughton.jpg,32Kevin _Schreiber.jpg,24Dan_Ortiz.jpg,69Joseph_Loeper.jpg,71Joel_Boniek.jpg,18Brian_Crain.jpg,7Bill_Poole.jpg,17Michael_Ranzenhofer.jpg,37_Michael Grimm.jpg,6Brown_KL.jpg,57Thad_Viers.jpg,63Daniel_Van_Pelt.jpg,40James_Traficant.jpg,38Bob_Ney.jpg,41Mike_Hubbard.jpg,51Salvatore_Dimasi.jpg,45Ben_Arredondo.jpg,48Thomas_Gaffey.jpg,30Stephen_Ross.jpg,55Rick_Brinkley.jpg,8Noel_W_Campbell.JPG,58Joe_Armstrong.jpg,56Bobby_Harrell.jpg,67William_DeWeese.jpg,62John_Cowdery.jpg,9Bill_Gwatney.jpg,1John_Katko.jpg,5Tuggle_Mark.jpg,25Matt_Claman.jpg,23Scott_Rigell.jpg,22Sanderson_Bill.jpg,11Daniel_Kagan.jpg,2Ken_Smith.jpg,52Art_Wittich.jpg,10Scheffel_Mark.jpg,16Jon_Sesso.jpg
