5ecd2230b3956a034ebcc660_2024-11-26T08:26:34.344Z
End_Time,2024-11-26T08:43:06.463Z
Block_Order,genuine,corruptible,dominant,attractive
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,3,3,4,3,5,4,3,4,5,2,3,2,3,3,5,4,4,2,4,4,3,2,5,3,6,6,5,4,2,2,5,5,2,3,4,6,5,7,5,3,5,2,3,5,4,3,4,4,3,2,4,4,6,4,2,3,5,6,4,5,6,2,3,6,5,3,5,6,3,6,6
Corruptible_RT,1419,1991,2653,2113,2060,2204,1382,3182,2887,2101,1774,1164,3060,1033,2317,1489,1603,1362,4524,1901,3906,2419,2955,2888,1285,1851,2131,3393,3112,2073,2739,1771,1911,2201,1424,1653,1337,4261,2263,2856,4297,3862,4612,2661,6566,4859,2157,3,1581,1051,1887,4903,34039,3005,6880,1278,1270,3075,1546,2206,5323,2483,2343,1563,4401,2013,6484,1340,2732,2612,1971,1162
Corruptible_ImageOrder,40James_Traficant.jpg,54Carl_Kruger.jpg,7Bill_Poole.jpg,10Scheffel_Mark.jpg,1John_Katko.jpg,71Joel_Boniek.jpg,34Niceley_Frank.jpg,23Scott_Rigell.jpg,48Thomas_Gaffey.jpg,19Warren_Kampf.jpg,62John_Cowdery.jpg,39Duke_Cunningham.jpg,29Thomas_Abinanti.jpg,32Kevin _Schreiber.jpg,25Matt_Claman.jpg,61Bruce_Weyhrauch.jpg,24Dan_Ortiz.jpg,53John_Perzel.jpg,11Daniel_Kagan.jpg,8Noel_W_Campbell.JPG,6Brown_KL.jpg,37_Michael Grimm.jpg,35Frank_Garner.jpg,14Fitz_Steele.jpg,51Salvatore_Dimasi.jpg,64Joseph_Coniglio.jpg,13Steven_Sodders.jpg,65Anthoney_Seminerio.jpg,21Bruce_Bannister.jpg,42Greg_Wren.jpg,44Paul_Bookout.jpg,52Art_Wittich.jpg,38Bob_Ney.jpg,56Bobby_Harrell.jpg,5Tuggle_Mark.jpg,66James_Boyce_Black.jpg,69Joseph_Loeper.jpg,41Mike_Hubbard.jpg,4Louis_Terhar.jpg,57Thad_Viers.jpg,45Ben_Arredondo.jpg,9Bill_Gwatney.jpg,59Phil_Hamilton.jpg,20Jeffrey_Bradley.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,49Kent_Sorenson.jpg,22Sanderson_Bill.jpg,67William_DeWeese.jpg,63Daniel_Van_Pelt.jpg,3Darrell_lssa.jpg,43Terry_Spicer.jpg,47Douglas_Bruce.jpg,12Frantz_Scott.jpg,36Neil_D_Breslin.jpg,72Vincent_Leibell.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,70Ward_Crutchfield.jpg,28Richard_Codey.jpg,55Rick_Brinkley.jpg,68Jeffrey_Habay.jpg,2Ken_Smith.jpg,27Joseph_Lagana.jpg,50KeithHall.jpg,58Joe_Armstrong.jpg,46Steve_King.jpg,15Harold_Naughton.jpg,60Vic_Kohring.jpg,33Charles_McIlhinney.jpg,26Dennis_Egan.jpg,18Brian_Crain.jpg
Genuine_Ratings,4,6,3,2,3,2,3,6,6,3,4,3,4,5,3,7,2,5,3,4,3,5,3,1,3,1,5,5,2,6,2,5,3,7,2,2,4,3,3,2,3,2,6,5,5,3,3,1,6,5,3,4,3,2,4,3,6,2,6,2,5,1,5,4,2,5,6,5,5,4,1,2
Genuine_RT,767,925,1943,1194,1513,1294,3128,1125,2508,1399,1025,1290,2405,4632,1296,1756,3084,3145,1811,1302,2607,2161,1435,1853,5321,2114,2454,1699,2916,2148,1291,1318,1747,2947,879,2263,2156,2133,954,1351,1885,1512,1463,1966,2819,1686,1958,1647,1643,2459,1300,2021,1912,1815,4534,2840,2301,1717,1309,1372,3351,1445,2028,1111,2183,912,3742,1714,2330,8045,2043,1259
Genuine_ImageOrder,14Fitz_Steele.jpg,25Matt_Claman.jpg,18Brian_Crain.jpg,29Thomas_Abinanti.jpg,48Thomas_Gaffey.jpg,38Bob_Ney.jpg,54Carl_Kruger.jpg,36Neil_D_Breslin.jpg,30Stephen_Ross.jpg,55Rick_Brinkley.jpg,12Frantz_Scott.jpg,63Daniel_Van_Pelt.jpg,17Michael_Ranzenhofer.jpg,19Warren_Kampf.jpg,13Steven_Sodders.jpg,52Art_Wittich.jpg,62John_Cowdery.jpg,3Darrell_lssa.jpg,37_Michael Grimm.jpg,31Tim_Hennessey.jpg,58Joe_Armstrong.jpg,65Anthoney_Seminerio.jpg,45Ben_Arredondo.jpg,20Jeffrey_Bradley.jpg,26Dennis_Egan.jpg,21Bruce_Bannister.jpg,53John_Perzel.jpg,69Joseph_Loeper.jpg,9Bill_Gwatney.jpg,15Harold_Naughton.jpg,27Joseph_Lagana.jpg,50KeithHall.jpg,5Tuggle_Mark.jpg,60Vic_Kohring.jpg,7Bill_Poole.jpg,4Louis_Terhar.jpg,22Sanderson_Bill.jpg,59Phil_Hamilton.jpg,61Bruce_Weyhrauch.jpg,47Douglas_Bruce.jpg,6Brown_KL.jpg,11Daniel_Kagan.jpg,28Richard_Codey.jpg,1John_Katko.jpg,39Duke_Cunningham.jpg,42Greg_Wren.jpg,49Kent_Sorenson.jpg,64Joseph_Coniglio.jpg,16Jon_Sesso.jpg,41Mike_Hubbard.jpg,68Jeffrey_Habay.jpg,40James_Traficant.jpg,10Scheffel_Mark.jpg,67William_DeWeese.jpg,44Paul_Bookout.jpg,23Scott_Rigell.jpg,72Vincent_Leibell.jpg,43Terry_Spicer.jpg,70Ward_Crutchfield.jpg,56Bobby_Harrell.jpg,2Ken_Smith.jpg,66James_Boyce_Black.jpg,8Noel_W_Campbell.JPG,35Frank_Garner.jpg,33Charles_McIlhinney.jpg,71Joel_Boniek.jpg,57Thad_Viers.jpg,32Kevin _Schreiber.jpg,51Salvatore_Dimasi.jpg,34Niceley_Frank.jpg,24Dan_Ortiz.jpg,46Steve_King.jpg
Attractive_Ratings,4,2,3,3,3,3,3,2,2,4,2,4,4,3,3,5,3,3,2,2,5,2,4,2,4,2,5,2,3,6,2,5,3,6,4,2,4,2,1,4,5,2,4,2,2,5,3,2,2,3,2,2,3,2,2,4,5,4,3,3,3,1,3,3,2,2,3,3,3,3,4,2
Attractive_RT,1721,615,1635,1043,867,1934,1023,470,1093,1118,864,1569,1585,1147,2886,1364,900,204,4375,744,1628,956,1006,1137,2140,1574,1168,1181,1460,1858,673,2441,2017,2375,1752,994,1399,804,1579,2970,1480,2210,756,854,905,2957,1036,765,1053,1743,576,782,1381,714,752,1109,1477,2268,1629,867,904,1254,449,1007,1671,474,1550,1255,1578,1558,1667,834
Attractive_ImageOrder,19Warren_Kampf.jpg,54Carl_Kruger.jpg,15Harold_Naughton.jpg,70Ward_Crutchfield.jpg,40James_Traficant.jpg,58Joe_Armstrong.jpg,9Bill_Gwatney.jpg,44Paul_Bookout.jpg,29Thomas_Abinanti.jpg,49Kent_Sorenson.jpg,25Matt_Claman.jpg,53John_Perzel.jpg,35Frank_Garner.jpg,10Scheffel_Mark.jpg,28Richard_Codey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,39Duke_Cunningham.jpg,72Vincent_Leibell.jpg,52Art_Wittich.jpg,6Brown_KL.jpg,36Neil_D_Breslin.jpg,65Anthoney_Seminerio.jpg,50KeithHall.jpg,56Bobby_Harrell.jpg,12Frantz_Scott.jpg,42Greg_Wren.jpg,64Joseph_Coniglio.jpg,62John_Cowdery.jpg,18Brian_Crain.jpg,37_Michael Grimm.jpg,34Niceley_Frank.jpg,24Dan_Ortiz.jpg,59Phil_Hamilton.jpg,38Bob_Ney.jpg,46Steve_King.jpg,1John_Katko.jpg,27Joseph_Lagana.jpg,7Bill_Poole.jpg,68Jeffrey_Habay.jpg,20Jeffrey_Bradley.jpg,8Noel_W_Campbell.JPG,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,14Fitz_Steele.jpg,63Daniel_Van_Pelt.jpg,43Terry_Spicer.jpg,22Sanderson_Bill.jpg,51Salvatore_Dimasi.jpg,13Steven_Sodders.jpg,17Michael_Ranzenhofer.jpg,23Scott_Rigell.jpg,55Rick_Brinkley.jpg,11Daniel_Kagan.jpg,5Tuggle_Mark.jpg,61Bruce_Weyhrauch.jpg,16Jon_Sesso.jpg,4Louis_Terhar.jpg,41Mike_Hubbard.jpg,30Stephen_Ross.jpg,57Thad_Viers.jpg,3Darrell_lssa.jpg,69Joseph_Loeper.jpg,26Dennis_Egan.jpg,45Ben_Arredondo.jpg,31Tim_Hennessey.jpg,66James_Boyce_Black.jpg,2Ken_Smith.jpg,60Vic_Kohring.jpg,67William_DeWeese.jpg,21Bruce_Bannister.jpg,71Joel_Boniek.jpg
Dominant_Ratings,2,4,4,3,3,6,5,4,3,6,5,3,2,2,3,5,5,4,5,5,3,5,4,4,4,5,3,4,4,4,2,2,3,4,6,4,6,5,5,6,5,5,6,4,6,3,3,7,3,4,7,6,4,6,4,3,1,6,4,2,4,6,3,3,5,3,3,2,3,4,5,2
