5faacca24cd0384c1fa08be1_2024-11-27T07:22:32.228Z
End_Time,2024-11-27T07:41:05.968Z
Block_Order,genuine,attractive,dominant,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,5,5,3,5,5,7,5,3,4,4,3,2,3,2,3,1,4,5,6,5,4,2,4,2,3,6,6,5,4,4,6,4,4,2,5,4,4,3,7,6,4,5,3,3,6,5,2,5,3,4,3,6,4,7,5,5,3,5,7,5,5,4,4,3,6,4,3,4,7,5,5,6
Corruptible_RT,1356,3165,2572,2200,727,1769,2163,2871,2681,869,1295,3124,1441,3731,1159,1752,1178,774,3165,1533,2052,1991,3259,2200,3553,2324,2431,1721,872,2054,1748,2490,2145,1949,879,789,1514,3188,2408,1862,3529,1247,3182,2055,1641,1591,2396,1768,2213,1692,1315,1633,1380,2165,1919,1749,1192,2766,3123,757,2978,3181,1161,2346,1305,817,1671,1321,1664,1721,6976,1173
Corruptible_ImageOrder,71Joel_Boniek.jpg,30Stephen_Ross.jpg,59Phil_Hamilton.jpg,23Scott_Rigell.jpg,3Darrell_lssa.jpg,69Joseph_Loeper.jpg,25Matt_Claman.jpg,24Dan_Ortiz.jpg,33Charles_McIlhinney.jpg,50KeithHall.jpg,62John_Cowdery.jpg,20Jeffrey_Bradley.jpg,11Daniel_Kagan.jpg,57Thad_Viers.jpg,13Steven_Sodders.jpg,26Dennis_Egan.jpg,70Ward_Crutchfield.jpg,1John_Katko.jpg,58Joe_Armstrong.jpg,37_Michael Grimm.jpg,45Ben_Arredondo.jpg,43Terry_Spicer.jpg,14Fitz_Steele.jpg,54Carl_Kruger.jpg,41Mike_Hubbard.jpg,10Scheffel_Mark.jpg,4Louis_Terhar.jpg,60Vic_Kohring.jpg,16Jon_Sesso.jpg,49Kent_Sorenson.jpg,32Kevin _Schreiber.jpg,46Steve_King.jpg,9Bill_Gwatney.jpg,7Bill_Poole.jpg,56Bobby_Harrell.jpg,42Greg_Wren.jpg,44Paul_Bookout.jpg,40James_Traficant.jpg,36Neil_D_Breslin.jpg,15Harold_Naughton.jpg,51Salvatore_Dimasi.jpg,34Niceley_Frank.jpg,27Joseph_Lagana.jpg,35Frank_Garner.jpg,68Jeffrey_Habay.jpg,29Thomas_Abinanti.jpg,2Ken_Smith.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,22Sanderson_Bill.jpg,48Thomas_Gaffey.jpg,64Joseph_Coniglio.jpg,38Bob_Ney.jpg,52Art_Wittich.jpg,17Michael_Ranzenhofer.jpg,12Frantz_Scott.jpg,28Richard_Codey.jpg,67William_DeWeese.jpg,8Noel_W_Campbell.JPG,19Warren_Kampf.jpg,21Bruce_Bannister.jpg,63Daniel_Van_Pelt.jpg,55Rick_Brinkley.jpg,18Brian_Crain.jpg,53John_Perzel.jpg,47Douglas_Bruce.jpg,31Tim_Hennessey.jpg,5Tuggle_Mark.jpg,39Duke_Cunningham.jpg,72Vincent_Leibell.jpg,6Brown_KL.jpg,61Bruce_Weyhrauch.jpg
Genuine_Ratings,5,4,5,5,5,2,5,5,5,5,5,6,5,5,4,7,4,4,5,4,3,6,6,4,5,4,3,5,5,4,4,6,6,5,6,4,4,4,3,3,4,4,6,5,4,4,4,5,3,5,4,5,4,3,5,4,5,5,4,5,4,4,4,5,5,6,4,5,4,5,3,4
Genuine_RT,1358,1713,2785,2376,2841,4325,3117,4071,2381,2642,1981,2235,940,1405,1368,1889,1375,2645,2427,2068,1611,1995,2566,2523,3754,1588,1641,2843,4579,4435,6917,3573,3394,3405,927,1196,2874,1570,4491,2722,1736,2485,4445,944,1924,2424,1794,2404,2186,2797,3979,2054,3000,2239,2071,4712,3467,891,7310,9879,4692,1740,1971,3962,2542,7643,6655,2064,2353,2927,3058,3847
Genuine_ImageOrder,60Vic_Kohring.jpg,30Stephen_Ross.jpg,39Duke_Cunningham.jpg,18Brian_Crain.jpg,46Steve_King.jpg,57Thad_Viers.jpg,8Noel_W_Campbell.JPG,22Sanderson_Bill.jpg,29Thomas_Abinanti.jpg,23Scott_Rigell.jpg,69Joseph_Loeper.jpg,59Phil_Hamilton.jpg,3Darrell_lssa.jpg,19Warren_Kampf.jpg,5Tuggle_Mark.jpg,24Dan_Ortiz.jpg,37_Michael Grimm.jpg,32Kevin _Schreiber.jpg,70Ward_Crutchfield.jpg,51Salvatore_Dimasi.jpg,6Brown_KL.jpg,56Bobby_Harrell.jpg,53John_Perzel.jpg,12Frantz_Scott.jpg,28Richard_Codey.jpg,61Bruce_Weyhrauch.jpg,1John_Katko.jpg,48Thomas_Gaffey.jpg,66James_Boyce_Black.jpg,7Bill_Poole.jpg,43Terry_Spicer.jpg,50KeithHall.jpg,45Ben_Arredondo.jpg,20Jeffrey_Bradley.jpg,44Paul_Bookout.jpg,16Jon_Sesso.jpg,31Tim_Hennessey.jpg,33Charles_McIlhinney.jpg,52Art_Wittich.jpg,62John_Cowdery.jpg,42Greg_Wren.jpg,38Bob_Ney.jpg,9Bill_Gwatney.jpg,13Steven_Sodders.jpg,35Frank_Garner.jpg,4Louis_Terhar.jpg,55Rick_Brinkley.jpg,63Daniel_Van_Pelt.jpg,40James_Traficant.jpg,67William_DeWeese.jpg,15Harold_Naughton.jpg,65Anthoney_Seminerio.jpg,14Fitz_Steele.jpg,58Joe_Armstrong.jpg,71Joel_Boniek.jpg,27Joseph_Lagana.jpg,21Bruce_Bannister.jpg,36Neil_D_Breslin.jpg,41Mike_Hubbard.jpg,34Niceley_Frank.jpg,64Joseph_Coniglio.jpg,54Carl_Kruger.jpg,10Scheffel_Mark.jpg,72Vincent_Leibell.jpg,25Matt_Claman.jpg,68Jeffrey_Habay.jpg,17Michael_Ranzenhofer.jpg,47Douglas_Bruce.jpg,26Dennis_Egan.jpg,2Ken_Smith.jpg,11Daniel_Kagan.jpg,49Kent_Sorenson.jpg
Attractive_Ratings,5,4,5,3,4,3,5,4,6,5,5,6,4,3,5,6,5,3,5,3,5,5,5,3,4,2,4,4,4,5,4,4,4,3,3,3,3,4,3,4,4,4,3,4,3,3,4,4,3,4,3,4,4,2,3,4,3,2,2,5,4,2,3,4,3,3,4,4,2,4,4,3
Attractive_RT,2059,2409,2911,2740,2831,1264,3533,5979,1812,1821,1546,3070,2849,1390,5100,5070,1686,1875,2476,858,3756,4120,1792,1955,2181,1245,1737,7487,1405,3430,4670,1757,4979,2551,1135,4451,1345,1145,2699,1646,1426,1095,1939,2241,1188,1818,4125,5348,1479,2004,1795,2679,2485,1912,3455,1148,1315,1844,4247,2778,1085,9212,1860,2202,2155,1342,3697,1004,1911,3042,2449,1119
Attractive_ImageOrder,62John_Cowdery.jpg,7Bill_Poole.jpg,21Bruce_Bannister.jpg,47Douglas_Bruce.jpg,32Kevin _Schreiber.jpg,64Joseph_Coniglio.jpg,16Jon_Sesso.jpg,3Darrell_lssa.jpg,15Harold_Naughton.jpg,13Steven_Sodders.jpg,30Stephen_Ross.jpg,65Anthoney_Seminerio.jpg,55Rick_Brinkley.jpg,5Tuggle_Mark.jpg,17Michael_Ranzenhofer.jpg,12Frantz_Scott.jpg,2Ken_Smith.jpg,42Greg_Wren.jpg,23Scott_Rigell.jpg,28Richard_Codey.jpg,70Ward_Crutchfield.jpg,22Sanderson_Bill.jpg,60Vic_Kohring.jpg,9Bill_Gwatney.jpg,41Mike_Hubbard.jpg,66James_Boyce_Black.jpg,18Brian_Crain.jpg,67William_DeWeese.jpg,40James_Traficant.jpg,19Warren_Kampf.jpg,39Duke_Cunningham.jpg,37_Michael Grimm.jpg,53John_Perzel.jpg,10Scheffel_Mark.jpg,50KeithHall.jpg,57Thad_Viers.jpg,48Thomas_Gaffey.jpg,8Noel_W_Campbell.JPG,63Daniel_Van_Pelt.jpg,49Kent_Sorenson.jpg,27Joseph_Lagana.jpg,31Tim_Hennessey.jpg,20Jeffrey_Bradley.jpg,59Phil_Hamilton.jpg,26Dennis_Egan.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,72Vincent_Leibell.jpg,1John_Katko.jpg,11Daniel_Kagan.jpg,52Art_Wittich.jpg,44Paul_Bookout.jpg,29Thomas_Abinanti.jpg,6Brown_KL.jpg,43Terry_Spicer.jpg,58Joe_Armstrong.jpg,54Carl_Kruger.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,14Fitz_Steele.jpg,4Louis_Terhar.jpg,51Salvatore_Dimasi.jpg,45Ben_Arredondo.jpg,56Bobby_Harrell.jpg,38Bob_Ney.jpg,24Dan_Ortiz.jpg,71Joel_Boniek.jpg,68Jeffrey_Habay.jpg,46Steve_King.jpg,61Bruce_Weyhrauch.jpg,69Joseph_Loeper.jpg,25Matt_Claman.jpg
