5f857edcc4d42502bec40821_2024-11-27T07:39:17.321Z
End_Time,2024-11-27T07:52:19.257Z
Block_Order,attractive,dominant,genuine,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,6,5,6,6,6,5,6,5,6,7,6,5,7,5,4,6,7,6,6,4,5,4,4,5,5,5,6,4,6,4,6,7,5,5,4,5,6,4,4,6,7,5,6,6,5,5,6,5,4,6,4,7,6,5,5,5,5,4,4,5,4,6,6,4,5,4,5,5,4,5,6,6
Corruptible_RT,818,1060,987,955,2272,708,886,799,987,1729,772,1190,1196,837,1330,849,1131,996,1260,899,1193,826,1087,843,1087,867,1995,840,1060,826,1019,1836,889,1047,890,808,1054,840,832,930,1520,1019,1035,1114,739,926,1097,783,977,1166,1144,1780,1186,1099,962,931,1849,939,802,843,880,944,1169,775,726,873,1223,973,857,760,2008,1760
Corruptible_ImageOrder,5Tuggle_Mark.jpg,52Art_Wittich.jpg,48Thomas_Gaffey.jpg,1John_Katko.jpg,55Rick_Brinkley.jpg,51Salvatore_Dimasi.jpg,65Anthoney_Seminerio.jpg,34Niceley_Frank.jpg,3Darrell_lssa.jpg,24Dan_Ortiz.jpg,49Kent_Sorenson.jpg,41Mike_Hubbard.jpg,56Bobby_Harrell.jpg,72Vincent_Leibell.jpg,32Kevin _Schreiber.jpg,43Terry_Spicer.jpg,57Thad_Viers.jpg,71Joel_Boniek.jpg,63Daniel_Van_Pelt.jpg,27Joseph_Lagana.jpg,54Carl_Kruger.jpg,19Warren_Kampf.jpg,26Dennis_Egan.jpg,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,15Harold_Naughton.jpg,4Louis_Terhar.jpg,30Stephen_Ross.jpg,58Joe_Armstrong.jpg,6Brown_KL.jpg,50KeithHall.jpg,29Thomas_Abinanti.jpg,17Michael_Ranzenhofer.jpg,7Bill_Poole.jpg,28Richard_Codey.jpg,25Matt_Claman.jpg,67William_DeWeese.jpg,35Frank_Garner.jpg,8Noel_W_Campbell.JPG,42Greg_Wren.jpg,16Jon_Sesso.jpg,31Tim_Hennessey.jpg,18Brian_Crain.jpg,20Jeffrey_Bradley.jpg,60Vic_Kohring.jpg,14Fitz_Steele.jpg,59Phil_Hamilton.jpg,61Bruce_Weyhrauch.jpg,70Ward_Crutchfield.jpg,2Ken_Smith.jpg,53John_Perzel.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,69Joseph_Loeper.jpg,23Scott_Rigell.jpg,33Charles_McIlhinney.jpg,22Sanderson_Bill.jpg,11Daniel_Kagan.jpg,66James_Boyce_Black.jpg,36Neil_D_Breslin.jpg,62John_Cowdery.jpg,46Steve_King.jpg,44Paul_Bookout.jpg,13Steven_Sodders.jpg,45Ben_Arredondo.jpg,39Duke_Cunningham.jpg,47Douglas_Bruce.jpg,12Frantz_Scott.jpg,64Joseph_Coniglio.jpg,40James_Traficant.jpg,68Jeffrey_Habay.jpg,21Bruce_Bannister.jpg
Genuine_Ratings,6,6,6,4,4,4,4,6,5,5,5,5,7,7,5,7,7,6,6,5,6,6,6,5,5,5,7,4,6,5,5,7,6,5,6,6,5,5,5,4,6,4,4,6,6,5,5,6,4,4,5,5,5,4,5,5,5,4,7,5,3,4,6,4,5,6,6,5,4,5,4,5
Genuine_RT,758,1213,1058,1343,1715,994,1092,1404,812,764,884,1212,1402,1316,792,1277,1473,1133,1273,1480,1160,938,1052,786,1257,742,2021,909,853,812,1576,3989,869,1202,818,870,1009,926,1039,974,1031,826,877,1708,635,879,743,1133,837,1351,1398,1398,1153,1108,1335,1162,1062,899,1614,1190,1278,1118,1065,1110,821,1186,944,989,1321,971,1100,1756
Genuine_ImageOrder,32Kevin _Schreiber.jpg,51Salvatore_Dimasi.jpg,72Vincent_Leibell.jpg,1John_Katko.jpg,57Thad_Viers.jpg,48Thomas_Gaffey.jpg,37_Michael Grimm.jpg,43Terry_Spicer.jpg,24Dan_Ortiz.jpg,35Frank_Garner.jpg,54Carl_Kruger.jpg,26Dennis_Egan.jpg,45Ben_Arredondo.jpg,69Joseph_Loeper.jpg,6Brown_KL.jpg,34Niceley_Frank.jpg,61Bruce_Weyhrauch.jpg,4Louis_Terhar.jpg,27Joseph_Lagana.jpg,10Scheffel_Mark.jpg,31Tim_Hennessey.jpg,50KeithHall.jpg,38Bob_Ney.jpg,55Rick_Brinkley.jpg,42Greg_Wren.jpg,56Bobby_Harrell.jpg,36Neil_D_Breslin.jpg,25Matt_Claman.jpg,62John_Cowdery.jpg,13Steven_Sodders.jpg,15Harold_Naughton.jpg,41Mike_Hubbard.jpg,19Warren_Kampf.jpg,70Ward_Crutchfield.jpg,47Douglas_Bruce.jpg,7Bill_Poole.jpg,60Vic_Kohring.jpg,40James_Traficant.jpg,5Tuggle_Mark.jpg,44Paul_Bookout.jpg,18Brian_Crain.jpg,23Scott_Rigell.jpg,17Michael_Ranzenhofer.jpg,14Fitz_Steele.jpg,21Bruce_Bannister.jpg,63Daniel_Van_Pelt.jpg,12Frantz_Scott.jpg,66James_Boyce_Black.jpg,29Thomas_Abinanti.jpg,64Joseph_Coniglio.jpg,11Daniel_Kagan.jpg,53John_Perzel.jpg,8Noel_W_Campbell.JPG,67William_DeWeese.jpg,46Steve_King.jpg,65Anthoney_Seminerio.jpg,9Bill_Gwatney.jpg,28Richard_Codey.jpg,58Joe_Armstrong.jpg,20Jeffrey_Bradley.jpg,49Kent_Sorenson.jpg,33Charles_McIlhinney.jpg,52Art_Wittich.jpg,68Jeffrey_Habay.jpg,2Ken_Smith.jpg,71Joel_Boniek.jpg,3Darrell_lssa.jpg,59Phil_Hamilton.jpg,39Duke_Cunningham.jpg,16Jon_Sesso.jpg,22Sanderson_Bill.jpg,30Stephen_Ross.jpg
Attractive_Ratings,6,6,5,5,6,4,5,5,6,5,6,5,6,6,7,6,6,6,5,5,5,5,5,5,5,5,7,5,5,4,6,5,6,5,6,5,6,5,5,4,7,6,5,6,5,4,6,6,5,5,4,5,6,5,5,6,5,5,4,5,6,4,6,5,5,5,4,6,4,5,5,5
Attractive_RT,1637,1325,874,1627,1885,1322,949,1544,2838,1252,1945,1225,1326,1040,3722,2363,1623,1304,1395,1986,1206,1183,1026,1205,1067,1240,2327,6907,1065,1348,1736,1878,2751,1716,1185,1327,1688,1781,1547,1606,3357,1224,1073,1575,1208,1513,1656,1379,1403,996,1112,1019,2038,1028,1761,2189,1002,948,1921,1436,3052,1090,1763,917,1089,1010,1603,2808,1329,1128,1603,1117
Attractive_ImageOrder,28Richard_Codey.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,53John_Perzel.jpg,11Daniel_Kagan.jpg,35Frank_Garner.jpg,39Duke_Cunningham.jpg,56Bobby_Harrell.jpg,10Scheffel_Mark.jpg,43Terry_Spicer.jpg,71Joel_Boniek.jpg,36Neil_D_Breslin.jpg,42Greg_Wren.jpg,61Bruce_Weyhrauch.jpg,15Harold_Naughton.jpg,44Paul_Bookout.jpg,49Kent_Sorenson.jpg,2Ken_Smith.jpg,52Art_Wittich.jpg,58Joe_Armstrong.jpg,65Anthoney_Seminerio.jpg,55Rick_Brinkley.jpg,34Niceley_Frank.jpg,19Warren_Kampf.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,46Steve_King.jpg,1John_Katko.jpg,45Ben_Arredondo.jpg,70Ward_Crutchfield.jpg,50KeithHall.jpg,22Sanderson_Bill.jpg,20Jeffrey_Bradley.jpg,37_Michael Grimm.jpg,66James_Boyce_Black.jpg,5Tuggle_Mark.jpg,12Frantz_Scott.jpg,72Vincent_Leibell.jpg,24Dan_Ortiz.jpg,13Steven_Sodders.jpg,54Carl_Kruger.jpg,69Joseph_Loeper.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,40James_Traficant.jpg,25Matt_Claman.jpg,21Bruce_Bannister.jpg,57Thad_Viers.jpg,32Kevin _Schreiber.jpg,67William_DeWeese.jpg,7Bill_Poole.jpg,51Salvatore_Dimasi.jpg,38Bob_Ney.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,6Brown_KL.jpg,27Joseph_Lagana.jpg,48Thomas_Gaffey.jpg,23Scott_Rigell.jpg,64Joseph_Coniglio.jpg,47Douglas_Bruce.jpg,18Brian_Crain.jpg,26Dennis_Egan.jpg,33Charles_McIlhinney.jpg,14Fitz_Steele.jpg,41Mike_Hubbard.jpg,8Noel_W_Campbell.JPG,29Thomas_Abinanti.jpg,9Bill_Gwatney.jpg,68Jeffrey_Habay.jpg
