65084d4d9519a12d661eff6d_2024-11-26T09:26:20.656Z
End_Time,2024-11-26T09:57:20.212Z
Block_Order,genuine,corruptible,attractive,dominant
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,3,3,2,2,2,4,4,4,5,4,3,3,3,5,2,4,4,2,2,2,3,2,6,4,3,3,3,4,3,4,5,6,5,5,3,5,5,6,4,4,4,4,5,3,4,3,3,3,4,6,3,5,3,5,5,1,5,4,2,4,2,5,4,7,3,4,1,4,2,4,6
Corruptible_RT,1369,3448,1433,1580,1888,1372,1172,412,704,1064,911,1779,606,1430,1378,1283,1180,2119,1361,3132,1231,1372,1070,1425,3789,912,323,1101,989,260,2081,1600,4002,1956,1482,877,608,3641,1057,1010,1519,618,1824,1219,1262,1102,1000,615,1534,1209,1397,2371,1871,2689,1240,1091,1049,1304,850,1143,1137,1240,1004,954,1866,1587,1192,1735,392,1438,388,1169
Corruptible_ImageOrder,12Frantz_Scott.jpg,1John_Katko.jpg,55Rick_Brinkley.jpg,29Thomas_Abinanti.jpg,37_Michael Grimm.jpg,28Richard_Codey.jpg,10Scheffel_Mark.jpg,35Frank_Garner.jpg,24Dan_Ortiz.jpg,56Bobby_Harrell.jpg,39Duke_Cunningham.jpg,4Louis_Terhar.jpg,19Warren_Kampf.jpg,32Kevin _Schreiber.jpg,68Jeffrey_Habay.jpg,57Thad_Viers.jpg,46Steve_King.jpg,60Vic_Kohring.jpg,23Scott_Rigell.jpg,64Joseph_Coniglio.jpg,42Greg_Wren.jpg,38Bob_Ney.jpg,44Paul_Bookout.jpg,47Douglas_Bruce.jpg,20Jeffrey_Bradley.jpg,13Steven_Sodders.jpg,34Niceley_Frank.jpg,63Daniel_Van_Pelt.jpg,16Jon_Sesso.jpg,52Art_Wittich.jpg,41Mike_Hubbard.jpg,22Sanderson_Bill.jpg,7Bill_Poole.jpg,66James_Boyce_Black.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,58Joe_Armstrong.jpg,5Tuggle_Mark.jpg,54Carl_Kruger.jpg,25Matt_Claman.jpg,6Brown_KL.jpg,45Ben_Arredondo.jpg,50KeithHall.jpg,9Bill_Gwatney.jpg,62John_Cowdery.jpg,33Charles_McIlhinney.jpg,65Anthoney_Seminerio.jpg,51Salvatore_Dimasi.jpg,53John_Perzel.jpg,18Brian_Crain.jpg,43Terry_Spicer.jpg,2Ken_Smith.jpg,61Bruce_Weyhrauch.jpg,36Neil_D_Breslin.jpg,59Phil_Hamilton.jpg,27Joseph_Lagana.jpg,71Joel_Boniek.jpg,21Bruce_Bannister.jpg,3Darrell_lssa.jpg,11Daniel_Kagan.jpg,30Stephen_Ross.jpg,69Joseph_Loeper.jpg,26Dennis_Egan.jpg,8Noel_W_Campbell.JPG,48Thomas_Gaffey.jpg,40James_Traficant.jpg,72Vincent_Leibell.jpg,49Kent_Sorenson.jpg,17Michael_Ranzenhofer.jpg,67William_DeWeese.jpg,70Ward_Crutchfield.jpg,31Tim_Hennessey.jpg
Genuine_Ratings,5,6,5,5,3,3,5,4,4,3,3,3,4,3,4,5,5,6,5,3,3,4,4,3,5,4,5,4,3,5,3,5,3,2,3,6,4,4,3,3,4,3,5,4,2,3,4,3,3,4,3,4,4,4,5,4,5,3,3,7,5,5,4,5,3,4,5,6,2,3,3,4
Genuine_RT,1601,1747,1247,1868,1041,1883,1530,840,1385,3345,960,1017,1620,659,20689,1333,1190,1858,990,2093,1204,705,1284,1541,1527,1079,982,1167,3608,2045,685,1851,716,2053,1083,814,1433,1364,1291,2131,691,944,2746,639,2195,3927,639,720,1229,1443,1759,1140,1120,941,1392,1246,1513,1235,1346,1130,1191,837,1895,668,1982,1128,1436,3199,1633,593,1616,1331
Genuine_ImageOrder,15Harold_Naughton.jpg,10Scheffel_Mark.jpg,45Ben_Arredondo.jpg,71Joel_Boniek.jpg,46Steve_King.jpg,23Scott_Rigell.jpg,57Thad_Viers.jpg,27Joseph_Lagana.jpg,7Bill_Poole.jpg,21Bruce_Bannister.jpg,34Niceley_Frank.jpg,6Brown_KL.jpg,59Phil_Hamilton.jpg,11Daniel_Kagan.jpg,16Jon_Sesso.jpg,72Vincent_Leibell.jpg,52Art_Wittich.jpg,66James_Boyce_Black.jpg,25Matt_Claman.jpg,9Bill_Gwatney.jpg,3Darrell_lssa.jpg,61Bruce_Weyhrauch.jpg,20Jeffrey_Bradley.jpg,51Salvatore_Dimasi.jpg,24Dan_Ortiz.jpg,30Stephen_Ross.jpg,17Michael_Ranzenhofer.jpg,26Dennis_Egan.jpg,39Duke_Cunningham.jpg,65Anthoney_Seminerio.jpg,35Frank_Garner.jpg,42Greg_Wren.jpg,29Thomas_Abinanti.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,49Kent_Sorenson.jpg,44Paul_Bookout.jpg,33Charles_McIlhinney.jpg,4Louis_Terhar.jpg,55Rick_Brinkley.jpg,37_Michael Grimm.jpg,2Ken_Smith.jpg,36Neil_D_Breslin.jpg,62John_Cowdery.jpg,47Douglas_Bruce.jpg,31Tim_Hennessey.jpg,48Thomas_Gaffey.jpg,41Mike_Hubbard.jpg,43Terry_Spicer.jpg,22Sanderson_Bill.jpg,64Joseph_Coniglio.jpg,70Ward_Crutchfield.jpg,56Bobby_Harrell.jpg,68Jeffrey_Habay.jpg,18Brian_Crain.jpg,60Vic_Kohring.jpg,5Tuggle_Mark.jpg,14Fitz_Steele.jpg,8Noel_W_Campbell.JPG,50KeithHall.jpg,13Steven_Sodders.jpg,12Frantz_Scott.jpg,67William_DeWeese.jpg,28Richard_Codey.jpg,69Joseph_Loeper.jpg,38Bob_Ney.jpg,63Daniel_Van_Pelt.jpg,1John_Katko.jpg,32Kevin _Schreiber.jpg,19Warren_Kampf.jpg,58Joe_Armstrong.jpg,40James_Traficant.jpg
Attractive_Ratings,6,3,4,3,4,1,2,3,2,2,5,4,4,2,4,7,6,2,2,4,5,3,5,1,1,2,2,3,3,5,3,6,2,2,6,5,4,3,2,3,4,3,3,2,4,2,3,2,2,3,2,5,5,2,2,4,2,2,2,5,1,3,4,2,2,2,2,2,1,2,2,2
Attractive_RT,1020,1845,885,500,1058,851,795,687,976,663,896,1265,1674,912,1285,2042,2283,965,917,741,2414,946,1540,1449,1021,910,441,1245,1531,3096,1461,1197,712,1596,940,1450,2069,989,1981,1083,2621,1014,847,1914,601,724,1159,704,873,915,1222,539,987,1199,2824,1436,995,1240,716,2289,6483,1747,3062,1113,1722,798,1287,2612,1299,846,782,1417
Attractive_ImageOrder,63Daniel_Van_Pelt.jpg,13Steven_Sodders.jpg,28Richard_Codey.jpg,43Terry_Spicer.jpg,30Stephen_Ross.jpg,5Tuggle_Mark.jpg,2Ken_Smith.jpg,12Frantz_Scott.jpg,64Joseph_Coniglio.jpg,34Niceley_Frank.jpg,17Michael_Ranzenhofer.jpg,1John_Katko.jpg,31Tim_Hennessey.jpg,50KeithHall.jpg,45Ben_Arredondo.jpg,35Frank_Garner.jpg,57Thad_Viers.jpg,62John_Cowdery.jpg,16Jon_Sesso.jpg,39Duke_Cunningham.jpg,68Jeffrey_Habay.jpg,60Vic_Kohring.jpg,21Bruce_Bannister.jpg,72Vincent_Leibell.jpg,40James_Traficant.jpg,33Charles_McIlhinney.jpg,49Kent_Sorenson.jpg,69Joseph_Loeper.jpg,55Rick_Brinkley.jpg,41Mike_Hubbard.jpg,29Thomas_Abinanti.jpg,65Anthoney_Seminerio.jpg,48Thomas_Gaffey.jpg,6Brown_KL.jpg,25Matt_Claman.jpg,11Daniel_Kagan.jpg,36Neil_D_Breslin.jpg,22Sanderson_Bill.jpg,44Paul_Bookout.jpg,10Scheffel_Mark.jpg,42Greg_Wren.jpg,51Salvatore_Dimasi.jpg,18Brian_Crain.jpg,32Kevin _Schreiber.jpg,61Bruce_Weyhrauch.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,52Art_Wittich.jpg,9Bill_Gwatney.jpg,14Fitz_Steele.jpg,59Phil_Hamilton.jpg,7Bill_Poole.jpg,24Dan_Ortiz.jpg,71Joel_Boniek.jpg,8Noel_W_Campbell.JPG,46Steve_King.jpg,4Louis_Terhar.jpg,26Dennis_Egan.jpg,38Bob_Ney.jpg,66James_Boyce_Black.jpg,27Joseph_Lagana.jpg,37_Michael Grimm.jpg,53John_Perzel.jpg,58Joe_Armstrong.jpg,47Douglas_Bruce.jpg,56Bobby_Harrell.jpg,70Ward_Crutchfield.jpg,54Carl_Kruger.jpg,3Darrell_lssa.jpg,15Harold_Naughton.jpg,23Scott_Rigell.jpg,67William_DeWeese.jpg
Dominant_Ratings,5,4,5,3,4,2,4,4,3,2,3,4,1,2,4,5,5,4,3,4,3,3,4,2,5,5,3,4,3,6,3,3,2,2,4,3,3,3,4,6,5,4,5,3,4,3,3,3,3,2,6,4,4,4,4,5,3,3,4,4,4,4,3,3,4,3,4,3,3,5,3,4
