673b34b6779d92368ad35f57@email.prolific.com_2024-11-27T08:00:25.321Z
End_Time,2024-11-27T08:16:08.947Z
Block_Order,corruptible,dominant,attractive,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,5,2,2,2,1,1,7,2,1,4,4,2,3,4,5,1,4,2,2,6,2,3,3,2,4,2,2,5,6,3,3,5,3,2,2,2,2,6,7,6,2,3,4,5,7,4,4,6,6,3,5,1,1,2,5,3,4,7,6,6,3,2,5,5,1,2,7,7,7,1,6,2
Corruptible_RT,995,2452,3256,887,1467,1055,1267,1805,852,1045,1220,1038,2855,2726,2624,1134,1345,944,784,1278,917,1154,1218,1968,2484,792,2226,2019,1454,1054,1190,1916,1581,1038,1370,819,1161,2656,1019,2941,1993,4884,3747,1090,2271,2089,1799,1401,1759,1115,2579,1064,1071,1547,1121,1366,1839,1360,1057,1479,1459,867,1380,1677,1922,1836,1111,901,1306,1705,1178,894
Corruptible_ImageOrder,43Terry_Spicer.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,44Paul_Bookout.jpg,24Dan_Ortiz.jpg,28Richard_Codey.jpg,20Jeffrey_Bradley.jpg,61Bruce_Weyhrauch.jpg,47Douglas_Bruce.jpg,35Frank_Garner.jpg,66James_Boyce_Black.jpg,25Matt_Claman.jpg,5Tuggle_Mark.jpg,8Noel_W_Campbell.JPG,33Charles_McIlhinney.jpg,46Steve_King.jpg,27Joseph_Lagana.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,70Ward_Crutchfield.jpg,50KeithHall.jpg,37_Michael Grimm.jpg,64Joseph_Coniglio.jpg,71Joel_Boniek.jpg,45Ben_Arredondo.jpg,59Phil_Hamilton.jpg,4Louis_Terhar.jpg,13Steven_Sodders.jpg,51Salvatore_Dimasi.jpg,22Sanderson_Bill.jpg,36Neil_D_Breslin.jpg,41Mike_Hubbard.jpg,63Daniel_Van_Pelt.jpg,40James_Traficant.jpg,3Darrell_lssa.jpg,42Greg_Wren.jpg,65Anthoney_Seminerio.jpg,17Michael_Ranzenhofer.jpg,21Bruce_Bannister.jpg,32Kevin _Schreiber.jpg,2Ken_Smith.jpg,48Thomas_Gaffey.jpg,1John_Katko.jpg,11Daniel_Kagan.jpg,69Joseph_Loeper.jpg,18Brian_Crain.jpg,49Kent_Sorenson.jpg,57Thad_Viers.jpg,52Art_Wittich.jpg,31Tim_Hennessey.jpg,29Thomas_Abinanti.jpg,67William_DeWeese.jpg,16Jon_Sesso.jpg,58Joe_Armstrong.jpg,62John_Cowdery.jpg,23Scott_Rigell.jpg,14Fitz_Steele.jpg,12Frantz_Scott.jpg,9Bill_Gwatney.jpg,19Warren_Kampf.jpg,30Stephen_Ross.jpg,60Vic_Kohring.jpg,72Vincent_Leibell.jpg,7Bill_Poole.jpg,68Jeffrey_Habay.jpg,26Dennis_Egan.jpg,53John_Perzel.jpg,56Bobby_Harrell.jpg,10Scheffel_Mark.jpg,6Brown_KL.jpg,15Harold_Naughton.jpg,34Niceley_Frank.jpg
Genuine_Ratings,5,5,3,3,4,4,4,1,3,4,6,5,3,4,5,6,1,4,5,2,5,5,5,7,6,5,5,5,3,3,5,1,5,2,2,5,1,3,2,4,2,3,4,3,1,1,4,1,4,2,3,5,3,2,6,6,2,2,2,3,3,3,5,4,2,2,4,3,2,5,3,5
Genuine_RT,467,883,762,744,989,642,927,857,4268,1918,1462,2298,1564,272,1464,929,712,521,1160,1808,1306,545,6198,1928,647,868,841,1735,1040,738,877,790,778,1132,2117,612,781,958,933,988,1555,979,1144,1130,1385,1676,1286,903,886,1171,1128,624,432,766,7957,1415,878,1629,1930,776,820,423,725,856,880,1359,584,1379,909,1112,960,857
Genuine_ImageOrder,59Phil_Hamilton.jpg,44Paul_Bookout.jpg,17Michael_Ranzenhofer.jpg,32Kevin _Schreiber.jpg,40James_Traficant.jpg,26Dennis_Egan.jpg,13Steven_Sodders.jpg,51Salvatore_Dimasi.jpg,10Scheffel_Mark.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,11Daniel_Kagan.jpg,16Jon_Sesso.jpg,24Dan_Ortiz.jpg,7Bill_Poole.jpg,71Joel_Boniek.jpg,39Duke_Cunningham.jpg,5Tuggle_Mark.jpg,3Darrell_lssa.jpg,72Vincent_Leibell.jpg,29Thomas_Abinanti.jpg,63Daniel_Van_Pelt.jpg,54Carl_Kruger.jpg,62John_Cowdery.jpg,36Neil_D_Breslin.jpg,4Louis_Terhar.jpg,23Scott_Rigell.jpg,56Bobby_Harrell.jpg,46Steve_King.jpg,35Frank_Garner.jpg,22Sanderson_Bill.jpg,49Kent_Sorenson.jpg,65Anthoney_Seminerio.jpg,53John_Perzel.jpg,55Rick_Brinkley.jpg,31Tim_Hennessey.jpg,42Greg_Wren.jpg,34Niceley_Frank.jpg,2Ken_Smith.jpg,64Joseph_Coniglio.jpg,28Richard_Codey.jpg,30Stephen_Ross.jpg,12Frantz_Scott.jpg,58Joe_Armstrong.jpg,38Bob_Ney.jpg,1John_Katko.jpg,67William_DeWeese.jpg,6Brown_KL.jpg,25Matt_Claman.jpg,14Fitz_Steele.jpg,9Bill_Gwatney.jpg,33Charles_McIlhinney.jpg,69Joseph_Loeper.jpg,61Bruce_Weyhrauch.jpg,15Harold_Naughton.jpg,37_Michael Grimm.jpg,66James_Boyce_Black.jpg,48Thomas_Gaffey.jpg,68Jeffrey_Habay.jpg,8Noel_W_Campbell.JPG,70Ward_Crutchfield.jpg,18Brian_Crain.jpg,45Ben_Arredondo.jpg,57Thad_Viers.jpg,27Joseph_Lagana.jpg,60Vic_Kohring.jpg,43Terry_Spicer.jpg,50KeithHall.jpg,52Art_Wittich.jpg,41Mike_Hubbard.jpg,21Bruce_Bannister.jpg,47Douglas_Bruce.jpg
Attractive_Ratings,5,1,2,2,3,1,3,1,2,3,4,3,4,2,3,3,2,2,3,2,4,2,3,1,4,1,6,1,3,1,2,5,3,3,2,3,5,2,1,1,3,2,2,1,1,5,2,1,4,2,1,2,2,1,2,2,4,3,1,3,2,1,2,2,1,1,2,3,1,1,3,2
Attractive_RT,1428,694,791,1808,1599,761,890,759,949,984,1551,897,1043,1500,1252,922,946,821,927,779,3038,1991,1134,693,2104,662,1449,623,1074,1371,814,1547,860,1034,822,10035,1413,1263,731,844,1124,889,801,890,698,1774,1790,1075,1154,1226,654,759,1144,860,1412,910,2766,1558,824,1103,780,1874,1520,1122,648,901,1463,1277,633,1510,1428,1329
Attractive_ImageOrder,70Ward_Crutchfield.jpg,13Steven_Sodders.jpg,9Bill_Gwatney.jpg,40James_Traficant.jpg,15Harold_Naughton.jpg,60Vic_Kohring.jpg,56Bobby_Harrell.jpg,2Ken_Smith.jpg,72Vincent_Leibell.jpg,24Dan_Ortiz.jpg,46Steve_King.jpg,14Fitz_Steele.jpg,7Bill_Poole.jpg,48Thomas_Gaffey.jpg,28Richard_Codey.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,57Thad_Viers.jpg,34Niceley_Frank.jpg,45Ben_Arredondo.jpg,39Duke_Cunningham.jpg,17Michael_Ranzenhofer.jpg,59Phil_Hamilton.jpg,41Mike_Hubbard.jpg,8Noel_W_Campbell.JPG,1John_Katko.jpg,26Dennis_Egan.jpg,51Salvatore_Dimasi.jpg,62John_Cowdery.jpg,20Jeffrey_Bradley.jpg,38Bob_Ney.jpg,32Kevin _Schreiber.jpg,66James_Boyce_Black.jpg,27Joseph_Lagana.jpg,11Daniel_Kagan.jpg,68Jeffrey_Habay.jpg,31Tim_Hennessey.jpg,69Joseph_Loeper.jpg,18Brian_Crain.jpg,50KeithHall.jpg,67William_DeWeese.jpg,29Thomas_Abinanti.jpg,65Anthoney_Seminerio.jpg,6Brown_KL.jpg,49Kent_Sorenson.jpg,54Carl_Kruger.jpg,35Frank_Garner.jpg,43Terry_Spicer.jpg,19Warren_Kampf.jpg,33Charles_McIlhinney.jpg,63Daniel_Van_Pelt.jpg,5Tuggle_Mark.jpg,25Matt_Claman.jpg,53John_Perzel.jpg,58Joe_Armstrong.jpg,55Rick_Brinkley.jpg,10Scheffel_Mark.jpg,12Frantz_Scott.jpg,42Greg_Wren.jpg,52Art_Wittich.jpg,44Paul_Bookout.jpg,16Jon_Sesso.jpg,61Bruce_Weyhrauch.jpg,71Joel_Boniek.jpg,64Joseph_Coniglio.jpg,47Douglas_Bruce.jpg,37_Michael Grimm.jpg,23Scott_Rigell.jpg,30Stephen_Ross.jpg,22Sanderson_Bill.jpg,21Bruce_Bannister.jpg,36Neil_D_Breslin.jpg
