66d57365a787f8975c81d5e4_2024-11-27T07:08:32.538Z
End_Time,2024-11-27T07:25:52.568Z
Block_Order,dominant,corruptible,attractive,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,5,4,3,3,3,7,5,5,5,4,4,2,5,2,2,1,4,3,2,5,2,5,4,3,4,6,1,2,3,4,4,1,3,2,4,5,5,3,6,6,4,4,3,3,5,4,4,5,6,3,5,4,3,4,4,2,3,6,6,2,5,6,3,2,5,5,6,4,6,3,5,4
Corruptible_RT,1355,5127,1609,2959,1755,2431,2114,3099,5078,2334,3074,1245,1799,1939,3253,2393,1331,4127,3978,1538,1194,1304,1855,2697,3055,3793,2444,12535,1762,1625,2175,2663,1409,1392,1203,2414,2020,1938,2236,2322,2596,2184,2329,1684,1737,2092,1156,1091,1252,1884,1122,1435,1456,1301,3613,1816,1922,4054,3954,1782,969,1760,1725,2768,2894,2052,2733,1182,1787,1350,1364,1423
Corruptible_ImageOrder,9Bill_Gwatney.jpg,59Phil_Hamilton.jpg,66James_Boyce_Black.jpg,58Joe_Armstrong.jpg,43Terry_Spicer.jpg,19Warren_Kampf.jpg,50KeithHall.jpg,4Louis_Terhar.jpg,42Greg_Wren.jpg,23Scott_Rigell.jpg,25Matt_Claman.jpg,24Dan_Ortiz.jpg,37_Michael Grimm.jpg,60Vic_Kohring.jpg,10Scheffel_Mark.jpg,40James_Traficant.jpg,46Steve_King.jpg,27Joseph_Lagana.jpg,38Bob_Ney.jpg,29Thomas_Abinanti.jpg,18Brian_Crain.jpg,55Rick_Brinkley.jpg,2Ken_Smith.jpg,16Jon_Sesso.jpg,36Neil_D_Breslin.jpg,1John_Katko.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,67William_DeWeese.jpg,20Jeffrey_Bradley.jpg,17Michael_Ranzenhofer.jpg,11Daniel_Kagan.jpg,65Anthoney_Seminerio.jpg,62John_Cowdery.jpg,22Sanderson_Bill.jpg,47Douglas_Bruce.jpg,41Mike_Hubbard.jpg,72Vincent_Leibell.jpg,56Bobby_Harrell.jpg,6Brown_KL.jpg,64Joseph_Coniglio.jpg,15Harold_Naughton.jpg,28Richard_Codey.jpg,26Dennis_Egan.jpg,48Thomas_Gaffey.jpg,35Frank_Garner.jpg,21Bruce_Bannister.jpg,7Bill_Poole.jpg,53John_Perzel.jpg,57Thad_Viers.jpg,49Kent_Sorenson.jpg,61Bruce_Weyhrauch.jpg,69Joseph_Loeper.jpg,13Steven_Sodders.jpg,30Stephen_Ross.jpg,39Duke_Cunningham.jpg,70Ward_Crutchfield.jpg,63Daniel_Van_Pelt.jpg,3Darrell_lssa.jpg,12Frantz_Scott.jpg,71Joel_Boniek.jpg,54Carl_Kruger.jpg,45Ben_Arredondo.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,14Fitz_Steele.jpg,5Tuggle_Mark.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,68Jeffrey_Habay.jpg,44Paul_Bookout.jpg,8Noel_W_Campbell.JPG
Genuine_Ratings,2,3,4,5,4,1,3,3,2,4,5,5,6,2,6,7,5,4,4,3,3,1,4,2,2,1,2,4,2,4,2,7,2,5,3,2,2,4,1,1,4,3,4,2,2,2,4,2,1,3,1,3,4,5,1,3,3,1,1,6,3,1,3,3,1,2,2,2,2,5,1,2
Genuine_RT,1043,2678,1211,1813,1650,930,1189,2117,1524,1166,1279,1477,1725,1179,1931,1972,1027,2113,1545,1380,2970,1267,2956,1522,3065,1039,1136,1298,1074,3158,1455,2557,1370,2993,5314,1104,2864,936,1235,795,920,1425,1777,5079,1272,1329,950,1201,1229,1080,1551,1260,1399,2550,1413,1289,1095,750,974,1371,3878,3449,1288,1713,1263,898,1566,1107,927,1512,2616,1887
Genuine_ImageOrder,62John_Cowdery.jpg,14Fitz_Steele.jpg,69Joseph_Loeper.jpg,59Phil_Hamilton.jpg,54Carl_Kruger.jpg,28Richard_Codey.jpg,61Bruce_Weyhrauch.jpg,20Jeffrey_Bradley.jpg,46Steve_King.jpg,70Ward_Crutchfield.jpg,15Harold_Naughton.jpg,11Daniel_Kagan.jpg,37_Michael Grimm.jpg,43Terry_Spicer.jpg,64Joseph_Coniglio.jpg,2Ken_Smith.jpg,72Vincent_Leibell.jpg,68Jeffrey_Habay.jpg,22Sanderson_Bill.jpg,33Charles_McIlhinney.jpg,16Jon_Sesso.jpg,13Steven_Sodders.jpg,45Ben_Arredondo.jpg,52Art_Wittich.jpg,48Thomas_Gaffey.jpg,56Bobby_Harrell.jpg,23Scott_Rigell.jpg,57Thad_Viers.jpg,21Bruce_Bannister.jpg,53John_Perzel.jpg,47Douglas_Bruce.jpg,36Neil_D_Breslin.jpg,71Joel_Boniek.jpg,27Joseph_Lagana.jpg,34Niceley_Frank.jpg,50KeithHall.jpg,19Warren_Kampf.jpg,29Thomas_Abinanti.jpg,63Daniel_Van_Pelt.jpg,10Scheffel_Mark.jpg,5Tuggle_Mark.jpg,39Duke_Cunningham.jpg,55Rick_Brinkley.jpg,6Brown_KL.jpg,66James_Boyce_Black.jpg,31Tim_Hennessey.jpg,49Kent_Sorenson.jpg,12Frantz_Scott.jpg,4Louis_Terhar.jpg,24Dan_Ortiz.jpg,1John_Katko.jpg,8Noel_W_Campbell.JPG,40James_Traficant.jpg,25Matt_Claman.jpg,42Greg_Wren.jpg,58Joe_Armstrong.jpg,9Bill_Gwatney.jpg,7Bill_Poole.jpg,3Darrell_lssa.jpg,38Bob_Ney.jpg,41Mike_Hubbard.jpg,44Paul_Bookout.jpg,51Salvatore_Dimasi.jpg,26Dennis_Egan.jpg,32Kevin _Schreiber.jpg,60Vic_Kohring.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,30Stephen_Ross.jpg,65Anthoney_Seminerio.jpg,35Frank_Garner.jpg,67William_DeWeese.jpg
Attractive_Ratings,2,2,4,3,4,1,5,2,3,3,2,4,5,2,3,4,2,3,2,1,3,1,2,2,2,2,4,2,2,2,2,5,2,3,2,1,3,2,2,1,3,2,2,3,1,2,2,3,2,2,1,1,2,2,2,4,3,1,1,4,1,1,4,1,1,2,3,1,2,2,2,2
Attractive_RT,1867,1469,1457,1671,1525,1054,2082,1993,2949,1222,973,2225,3378,1229,1307,4339,4264,5230,2732,834,2787,1242,1011,1956,929,1237,1831,1701,1826,1080,1616,1444,3352,1433,2093,1334,1765,1206,1615,881,1370,5500,1102,1409,2033,870,970,1335,1435,2990,794,1993,829,1089,1170,996,2616,1044,758,1635,914,1067,1203,1427,1467,1142,1173,1509,1445,1171,932,1347
Attractive_ImageOrder,18Brian_Crain.jpg,42Greg_Wren.jpg,12Frantz_Scott.jpg,57Thad_Viers.jpg,72Vincent_Leibell.jpg,54Carl_Kruger.jpg,19Warren_Kampf.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,24Dan_Ortiz.jpg,37_Michael Grimm.jpg,49Kent_Sorenson.jpg,17Michael_Ranzenhofer.jpg,62John_Cowdery.jpg,64Joseph_Coniglio.jpg,52Art_Wittich.jpg,11Daniel_Kagan.jpg,55Rick_Brinkley.jpg,30Stephen_Ross.jpg,63Daniel_Van_Pelt.jpg,69Joseph_Loeper.jpg,44Paul_Bookout.jpg,50KeithHall.jpg,38Bob_Ney.jpg,33Charles_McIlhinney.jpg,29Thomas_Abinanti.jpg,27Joseph_Lagana.jpg,8Noel_W_Campbell.JPG,7Bill_Poole.jpg,65Anthoney_Seminerio.jpg,59Phil_Hamilton.jpg,61Bruce_Weyhrauch.jpg,34Niceley_Frank.jpg,23Scott_Rigell.jpg,13Steven_Sodders.jpg,6Brown_KL.jpg,9Bill_Gwatney.jpg,40James_Traficant.jpg,22Sanderson_Bill.jpg,36Neil_D_Breslin.jpg,43Terry_Spicer.jpg,45Ben_Arredondo.jpg,66James_Boyce_Black.jpg,25Matt_Claman.jpg,56Bobby_Harrell.jpg,71Joel_Boniek.jpg,28Richard_Codey.jpg,32Kevin _Schreiber.jpg,31Tim_Hennessey.jpg,70Ward_Crutchfield.jpg,60Vic_Kohring.jpg,53John_Perzel.jpg,48Thomas_Gaffey.jpg,67William_DeWeese.jpg,3Darrell_lssa.jpg,41Mike_Hubbard.jpg,10Scheffel_Mark.jpg,5Tuggle_Mark.jpg,47Douglas_Bruce.jpg,39Duke_Cunningham.jpg,46Steve_King.jpg,58Joe_Armstrong.jpg,4Louis_Terhar.jpg,26Dennis_Egan.jpg,21Bruce_Bannister.jpg,14Fitz_Steele.jpg,1John_Katko.jpg,20Jeffrey_Bradley.jpg,68Jeffrey_Habay.jpg,51Salvatore_Dimasi.jpg,2Ken_Smith.jpg,35Frank_Garner.jpg
