6038e63a1713653046ef7482_2024-11-27T07:26:30.463Z
End_Time,2024-11-27T07:39:08.995Z
Block_Order,genuine,dominant,corruptible,attractive
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,6,7,4,4,6,6,4,7,4,4,5,2,6,5,6,4,6,5,4,6,4,4,4,5,5,6,5,5,7,5,5,4,7,4,7,7,3,6,7,7,6,4,7,4,7,7,7,5,7,5,6,4,5,6,7,4,7,7,6,5,4,7,5,3,7,5,7,6,7,7,4,5
Corruptible_RT,2111,1555,1053,1388,568,601,1042,2075,1539,2065,1096,1694,2021,1123,2219,1385,626,2858,868,2062,1529,1414,1029,1607,1093,2113,1188,929,1550,1483,2107,1461,965,1584,873,761,2763,1375,1037,899,1258,1208,1759,1861,1271,1788,693,767,1821,832,2303,2102,1425,2166,1914,1030,2621,937,874,1251,1153,1263,1451,1193,1696,1273,1603,1320,1951,766,1069,1752
Corruptible_ImageOrder,15Harold_Naughton.jpg,38Bob_Ney.jpg,69Joseph_Loeper.jpg,60Vic_Kohring.jpg,52Art_Wittich.jpg,49Kent_Sorenson.jpg,14Fitz_Steele.jpg,59Phil_Hamilton.jpg,3Darrell_lssa.jpg,44Paul_Bookout.jpg,50KeithHall.jpg,1John_Katko.jpg,40James_Traficant.jpg,35Frank_Garner.jpg,27Joseph_Lagana.jpg,26Dennis_Egan.jpg,8Noel_W_Campbell.JPG,34Niceley_Frank.jpg,28Richard_Codey.jpg,66James_Boyce_Black.jpg,51Salvatore_Dimasi.jpg,25Matt_Claman.jpg,57Thad_Viers.jpg,4Louis_Terhar.jpg,37_Michael Grimm.jpg,71Joel_Boniek.jpg,10Scheffel_Mark.jpg,20Jeffrey_Bradley.jpg,6Brown_KL.jpg,22Sanderson_Bill.jpg,9Bill_Gwatney.jpg,61Bruce_Weyhrauch.jpg,67William_DeWeese.jpg,56Bobby_Harrell.jpg,48Thomas_Gaffey.jpg,19Warren_Kampf.jpg,62John_Cowdery.jpg,72Vincent_Leibell.jpg,17Michael_Ranzenhofer.jpg,7Bill_Poole.jpg,64Joseph_Coniglio.jpg,30Stephen_Ross.jpg,41Mike_Hubbard.jpg,29Thomas_Abinanti.jpg,58Joe_Armstrong.jpg,42Greg_Wren.jpg,12Frantz_Scott.jpg,31Tim_Hennessey.jpg,13Steven_Sodders.jpg,46Steve_King.jpg,53John_Perzel.jpg,16Jon_Sesso.jpg,45Ben_Arredondo.jpg,47Douglas_Bruce.jpg,23Scott_Rigell.jpg,43Terry_Spicer.jpg,33Charles_McIlhinney.jpg,32Kevin _Schreiber.jpg,65Anthoney_Seminerio.jpg,24Dan_Ortiz.jpg,5Tuggle_Mark.jpg,63Daniel_Van_Pelt.jpg,21Bruce_Bannister.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,18Brian_Crain.jpg,2Ken_Smith.jpg,39Duke_Cunningham.jpg,70Ward_Crutchfield.jpg,36Neil_D_Breslin.jpg,11Daniel_Kagan.jpg,68Jeffrey_Habay.jpg
Genuine_Ratings,6,3,7,4,6,3,4,4,6,4,3,6,4,3,5,4,4,5,3,2,4,4,4,5,3,4,3,4,3,3,3,3,3,4,4,3,4,3,3,3,4,4,4,5,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,6,3,3,3,2,3,3,4,3,2,4,3,3
Genuine_RT,733,1571,1462,1106,1844,726,1217,1297,1704,966,1206,2662,1009,1118,1462,1226,841,2482,1312,1444,743,909,1497,2087,1511,857,1000,959,2179,2384,765,1415,2096,1168,1085,935,1457,999,954,1556,2006,606,613,3044,3379,1042,1590,830,983,1170,1829,1503,1693,1732,1036,1385,1006,1518,986,1557,4587,986,1670,1851,1112,1052,890,786,1896,1936,995,734
Genuine_ImageOrder,45Ben_Arredondo.jpg,9Bill_Gwatney.jpg,53John_Perzel.jpg,52Art_Wittich.jpg,7Bill_Poole.jpg,61Bruce_Weyhrauch.jpg,30Stephen_Ross.jpg,14Fitz_Steele.jpg,3Darrell_lssa.jpg,29Thomas_Abinanti.jpg,28Richard_Codey.jpg,51Salvatore_Dimasi.jpg,35Frank_Garner.jpg,47Douglas_Bruce.jpg,54Carl_Kruger.jpg,11Daniel_Kagan.jpg,37_Michael Grimm.jpg,59Phil_Hamilton.jpg,66James_Boyce_Black.jpg,13Steven_Sodders.jpg,31Tim_Hennessey.jpg,40James_Traficant.jpg,70Ward_Crutchfield.jpg,56Bobby_Harrell.jpg,19Warren_Kampf.jpg,58Joe_Armstrong.jpg,64Joseph_Coniglio.jpg,41Mike_Hubbard.jpg,15Harold_Naughton.jpg,33Charles_McIlhinney.jpg,5Tuggle_Mark.jpg,24Dan_Ortiz.jpg,49Kent_Sorenson.jpg,10Scheffel_Mark.jpg,39Duke_Cunningham.jpg,34Niceley_Frank.jpg,1John_Katko.jpg,22Sanderson_Bill.jpg,36Neil_D_Breslin.jpg,32Kevin _Schreiber.jpg,26Dennis_Egan.jpg,68Jeffrey_Habay.jpg,2Ken_Smith.jpg,57Thad_Viers.jpg,25Matt_Claman.jpg,60Vic_Kohring.jpg,62John_Cowdery.jpg,42Greg_Wren.jpg,72Vincent_Leibell.jpg,6Brown_KL.jpg,17Michael_Ranzenhofer.jpg,44Paul_Bookout.jpg,21Bruce_Bannister.jpg,23Scott_Rigell.jpg,65Anthoney_Seminerio.jpg,43Terry_Spicer.jpg,55Rick_Brinkley.jpg,50KeithHall.jpg,46Steve_King.jpg,20Jeffrey_Bradley.jpg,71Joel_Boniek.jpg,18Brian_Crain.jpg,27Joseph_Lagana.jpg,12Frantz_Scott.jpg,67William_DeWeese.jpg,48Thomas_Gaffey.jpg,69Joseph_Loeper.jpg,63Daniel_Van_Pelt.jpg,16Jon_Sesso.jpg,8Noel_W_Campbell.JPG,38Bob_Ney.jpg,4Louis_Terhar.jpg
Attractive_Ratings,4,2,4,5,5,1,5,2,4,5,2,4,4,3,3,4,4,2,4,1,3,4,2,3,3,2,4,1,2,1,4,5,1,3,2,2,6,3,1,2,3,3,1,4,3,2,2,3,2,1,3,3,2,2,1,3,5,2,1,4,3,1,4,2,2,2,3,1,1,2,2,3
Attractive_RT,1169,745,1903,2343,1474,694,1263,1252,1734,2407,1340,1624,1525,1102,775,1571,879,805,1565,1280,1404,1029,1487,1151,2564,1218,1621,635,1555,1149,1282,1420,1565,1416,2008,534,2691,1940,618,1125,2195,960,1511,1016,845,592,1480,917,1073,1656,1494,1044,1123,1454,943,1572,1434,965,1084,1936,1054,596,2206,720,1282,1098,1200,1141,1355,1480,948,911
Attractive_ImageOrder,4Louis_Terhar.jpg,44Paul_Bookout.jpg,25Matt_Claman.jpg,50KeithHall.jpg,49Kent_Sorenson.jpg,43Terry_Spicer.jpg,55Rick_Brinkley.jpg,58Joe_Armstrong.jpg,63Daniel_Van_Pelt.jpg,10Scheffel_Mark.jpg,1John_Katko.jpg,21Bruce_Bannister.jpg,11Daniel_Kagan.jpg,20Jeffrey_Bradley.jpg,57Thad_Viers.jpg,33Charles_McIlhinney.jpg,68Jeffrey_Habay.jpg,13Steven_Sodders.jpg,48Thomas_Gaffey.jpg,37_Michael Grimm.jpg,31Tim_Hennessey.jpg,29Thomas_Abinanti.jpg,56Bobby_Harrell.jpg,54Carl_Kruger.jpg,61Bruce_Weyhrauch.jpg,60Vic_Kohring.jpg,67William_DeWeese.jpg,71Joel_Boniek.jpg,19Warren_Kampf.jpg,65Anthoney_Seminerio.jpg,2Ken_Smith.jpg,62John_Cowdery.jpg,6Brown_KL.jpg,53John_Perzel.jpg,12Frantz_Scott.jpg,72Vincent_Leibell.jpg,59Phil_Hamilton.jpg,28Richard_Codey.jpg,35Frank_Garner.jpg,70Ward_Crutchfield.jpg,66James_Boyce_Black.jpg,32Kevin _Schreiber.jpg,15Harold_Naughton.jpg,46Steve_King.jpg,52Art_Wittich.jpg,40James_Traficant.jpg,36Neil_D_Breslin.jpg,27Joseph_Lagana.jpg,41Mike_Hubbard.jpg,16Jon_Sesso.jpg,26Dennis_Egan.jpg,39Duke_Cunningham.jpg,51Salvatore_Dimasi.jpg,42Greg_Wren.jpg,38Bob_Ney.jpg,47Douglas_Bruce.jpg,3Darrell_lssa.jpg,14Fitz_Steele.jpg,69Joseph_Loeper.jpg,23Scott_Rigell.jpg,34Niceley_Frank.jpg,18Brian_Crain.jpg,30Stephen_Ross.jpg,9Bill_Gwatney.jpg,8Noel_W_Campbell.JPG,7Bill_Poole.jpg,24Dan_Ortiz.jpg,17Michael_Ranzenhofer.jpg,22Sanderson_Bill.jpg,5Tuggle_Mark.jpg,45Ben_Arredondo.jpg,64Joseph_Coniglio.jpg
