6710f3514ac6bfeeac48b073_2024-11-27T07:35:26.447Z
End_Time,2024-11-27T07:51:27.070Z
Block_Order,attractive,corruptible,genuine,dominant
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,4,4,4,2,4,5,2,5,5,6,5,4,2,6,5,2,5,3,2,4,3,4,4,3,6,5,3,4,6,3,4,2,5,2,6,6,6,5,5,4,3,5,6,3,6,3,2,6,6,3,5,4,5,3,5,4,2,5,4,5,6,5,6,4,1,3,6,3,4,3,3,4
Corruptible_RT,2161,1514,863,1585,1735,1647,2132,1617,1305,1483,1225,1662,1629,1260,1389,3860,1232,1635,1169,1589,1983,1632,1686,1800,993,1392,1605,1917,3167,2379,1693,3688,1642,1993,927,1208,2011,1779,1635,980,1196,1825,1951,1721,1350,1461,1443,3315,1540,2873,2277,1269,1277,1343,2419,2022,10155,1357,1746,871,2081,1910,1106,1460,2189,2098,1262,1301,1355,2695,1290,1076
Corruptible_ImageOrder,57Thad_Viers.jpg,50KeithHall.jpg,1John_Katko.jpg,56Bobby_Harrell.jpg,16Jon_Sesso.jpg,48Thomas_Gaffey.jpg,36Neil_D_Breslin.jpg,66James_Boyce_Black.jpg,29Thomas_Abinanti.jpg,59Phil_Hamilton.jpg,19Warren_Kampf.jpg,65Anthoney_Seminerio.jpg,44Paul_Bookout.jpg,27Joseph_Lagana.jpg,7Bill_Poole.jpg,61Bruce_Weyhrauch.jpg,6Brown_KL.jpg,52Art_Wittich.jpg,58Joe_Armstrong.jpg,39Duke_Cunningham.jpg,8Noel_W_Campbell.JPG,12Frantz_Scott.jpg,69Joseph_Loeper.jpg,54Carl_Kruger.jpg,45Ben_Arredondo.jpg,25Matt_Claman.jpg,11Daniel_Kagan.jpg,4Louis_Terhar.jpg,67William_DeWeese.jpg,55Rick_Brinkley.jpg,37_Michael Grimm.jpg,47Douglas_Bruce.jpg,5Tuggle_Mark.jpg,70Ward_Crutchfield.jpg,30Stephen_Ross.jpg,46Steve_King.jpg,31Tim_Hennessey.jpg,3Darrell_lssa.jpg,32Kevin _Schreiber.jpg,34Niceley_Frank.jpg,33Charles_McIlhinney.jpg,51Salvatore_Dimasi.jpg,23Scott_Rigell.jpg,43Terry_Spicer.jpg,49Kent_Sorenson.jpg,14Fitz_Steele.jpg,63Daniel_Van_Pelt.jpg,35Frank_Garner.jpg,2Ken_Smith.jpg,42Greg_Wren.jpg,18Brian_Crain.jpg,68Jeffrey_Habay.jpg,10Scheffel_Mark.jpg,62John_Cowdery.jpg,26Dennis_Egan.jpg,15Harold_Naughton.jpg,17Michael_Ranzenhofer.jpg,60Vic_Kohring.jpg,28Richard_Codey.jpg,72Vincent_Leibell.jpg,20Jeffrey_Bradley.jpg,9Bill_Gwatney.jpg,24Dan_Ortiz.jpg,38Bob_Ney.jpg,53John_Perzel.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,40James_Traficant.jpg,13Steven_Sodders.jpg,71Joel_Boniek.jpg,41Mike_Hubbard.jpg,64Joseph_Coniglio.jpg
Genuine_Ratings,3,4,3,2,2,3,2,2,7,2,2,7,6,4,4,4,2,4,4,1,1,7,3,3,3,5,6,3,2,2,3,6,6,2,3,5,2,6,2,6,6,2,2,3,2,6,3,6,5,5,4,5,4,6,3,5,2,4,2,5,2,2,2,1,2,1,2,2,3,2,3,1
Genuine_RT,1419,1636,1823,781,1445,1391,1593,1325,2041,1457,2147,8469,1683,2216,833,1853,730,1000,1215,1248,2312,2202,5330,1647,1105,8146,1263,1368,942,1100,1458,1192,1765,1900,546,1390,2171,1213,1698,1362,1585,501,796,865,635,871,1359,1883,1009,815,1285,1242,55282,1886,918,1122,673,1145,1678,700,1055,920,1365,1369,1317,1344,1296,1533,1107,1479,932,1633
Genuine_ImageOrder,26Dennis_Egan.jpg,9Bill_Gwatney.jpg,12Frantz_Scott.jpg,23Scott_Rigell.jpg,10Scheffel_Mark.jpg,34Niceley_Frank.jpg,62John_Cowdery.jpg,67William_DeWeese.jpg,72Vincent_Leibell.jpg,70Ward_Crutchfield.jpg,14Fitz_Steele.jpg,37_Michael Grimm.jpg,59Phil_Hamilton.jpg,48Thomas_Gaffey.jpg,24Dan_Ortiz.jpg,30Stephen_Ross.jpg,11Daniel_Kagan.jpg,29Thomas_Abinanti.jpg,42Greg_Wren.jpg,45Ben_Arredondo.jpg,16Jon_Sesso.jpg,19Warren_Kampf.jpg,36Neil_D_Breslin.jpg,33Charles_McIlhinney.jpg,52Art_Wittich.jpg,65Anthoney_Seminerio.jpg,43Terry_Spicer.jpg,31Tim_Hennessey.jpg,1John_Katko.jpg,71Joel_Boniek.jpg,63Daniel_Van_Pelt.jpg,5Tuggle_Mark.jpg,51Salvatore_Dimasi.jpg,58Joe_Armstrong.jpg,15Harold_Naughton.jpg,61Bruce_Weyhrauch.jpg,57Thad_Viers.jpg,27Joseph_Lagana.jpg,8Noel_W_Campbell.JPG,69Joseph_Loeper.jpg,47Douglas_Bruce.jpg,49Kent_Sorenson.jpg,64Joseph_Coniglio.jpg,54Carl_Kruger.jpg,32Kevin _Schreiber.jpg,39Duke_Cunningham.jpg,68Jeffrey_Habay.jpg,28Richard_Codey.jpg,25Matt_Claman.jpg,2Ken_Smith.jpg,18Brian_Crain.jpg,35Frank_Garner.jpg,21Bruce_Bannister.jpg,6Brown_KL.jpg,66James_Boyce_Black.jpg,20Jeffrey_Bradley.jpg,56Bobby_Harrell.jpg,38Bob_Ney.jpg,55Rick_Brinkley.jpg,44Paul_Bookout.jpg,50KeithHall.jpg,4Louis_Terhar.jpg,60Vic_Kohring.jpg,17Michael_Ranzenhofer.jpg,40James_Traficant.jpg,7Bill_Poole.jpg,41Mike_Hubbard.jpg,22Sanderson_Bill.jpg,3Darrell_lssa.jpg,46Steve_King.jpg,53John_Perzel.jpg,13Steven_Sodders.jpg
Attractive_Ratings,2,2,2,3,5,2,6,4,6,3,3,3,4,4,3,3,3,3,5,3,2,4,2,4,2,1,5,3,4,1,4,5,3,1,2,4,4,4,1,4,4,3,2,4,2,4,2,3,3,3,2,4,3,3,3,3,3,4,4,4,1,2,5,3,1,3,2,3,2,2,2,2
Attractive_RT,5304,1306,1346,1611,1585,1372,2448,1256,1650,2067,1574,1244,2179,2890,1640,1836,2753,1843,2584,1345,1540,1555,1216,1724,2683,1704,2394,1273,1242,1169,1582,1493,1268,8282,1363,2017,1911,1857,1401,1595,1819,1873,857,1492,1997,1647,1177,23848,1866,1716,1366,1556,2313,1471,1295,2012,1568,1341,1919,2946,1157,1184,1536,1388,1272,1183,1136,1920,2637,1738,1090,1203
Attractive_ImageOrder,48Thomas_Gaffey.jpg,34Niceley_Frank.jpg,1John_Katko.jpg,26Dennis_Egan.jpg,39Duke_Cunningham.jpg,70Ward_Crutchfield.jpg,37_Michael Grimm.jpg,68Jeffrey_Habay.jpg,31Tim_Hennessey.jpg,36Neil_D_Breslin.jpg,19Warren_Kampf.jpg,24Dan_Ortiz.jpg,64Joseph_Coniglio.jpg,20Jeffrey_Bradley.jpg,17Michael_Ranzenhofer.jpg,32Kevin _Schreiber.jpg,46Steve_King.jpg,44Paul_Bookout.jpg,66James_Boyce_Black.jpg,63Daniel_Van_Pelt.jpg,29Thomas_Abinanti.jpg,7Bill_Poole.jpg,38Bob_Ney.jpg,59Phil_Hamilton.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,55Rick_Brinkley.jpg,5Tuggle_Mark.jpg,52Art_Wittich.jpg,4Louis_Terhar.jpg,60Vic_Kohring.jpg,27Joseph_Lagana.jpg,11Daniel_Kagan.jpg,62John_Cowdery.jpg,50KeithHall.jpg,58Joe_Armstrong.jpg,53John_Perzel.jpg,18Brian_Crain.jpg,71Joel_Boniek.jpg,67William_DeWeese.jpg,3Darrell_lssa.jpg,12Frantz_Scott.jpg,65Anthoney_Seminerio.jpg,57Thad_Viers.jpg,25Matt_Claman.jpg,72Vincent_Leibell.jpg,22Sanderson_Bill.jpg,28Richard_Codey.jpg,54Carl_Kruger.jpg,14Fitz_Steele.jpg,33Charles_McIlhinney.jpg,56Bobby_Harrell.jpg,30Stephen_Ross.jpg,61Bruce_Weyhrauch.jpg,49Kent_Sorenson.jpg,42Greg_Wren.jpg,15Harold_Naughton.jpg,45Ben_Arredondo.jpg,13Steven_Sodders.jpg,35Frank_Garner.jpg,16Jon_Sesso.jpg,10Scheffel_Mark.jpg,23Scott_Rigell.jpg,21Bruce_Bannister.jpg,69Joseph_Loeper.jpg,51Salvatore_Dimasi.jpg,6Brown_KL.jpg,47Douglas_Bruce.jpg,43Terry_Spicer.jpg,2Ken_Smith.jpg
Dominant_Ratings,5,4,7,3,4,2,4,4,6,4,4,4,3,3,6,3,6,5,5,3,6,5,3,2,5,6,5,5,7,3,6,5,6,2,4,7,5,5,4,3,6,3,3,4,2,2,5,6,3,3,4,3,6,4,3,7,2,3,1,6,4,4,3,4,5,2,6,3,4,6,2,3
Dominant_RT,1799,1480,1762,1128,1606,1712,1325,1509,1068,1147,1693,1498,1372,1259,1144,1379,1654,1336,1322,1206,2276,1231,6024,1329,1461,1741,1416,1137,1792,2076,1206,1179,1292,1354,1995,1608,1548,1729,1233,2554,1586,1258,1415,1164,1832,1325,1380,1226,1245,1630,1098,676,1176,1530,1469,1804,1492,774,3816,1343,1720,1910,1639,1530,1907,1256,1554,1279,1073,1289,1215,1248
Dominant_ImageOrder,23Scott_Rigell.jpg,59Phil_Hamilton.jpg,61Bruce_Weyhrauch.jpg,30Stephen_Ross.jpg,40James_Traficant.jpg,43Terry_Spicer.jpg,16Jon_Sesso.jpg,37_Michael Grimm.jpg,32Kevin _Schreiber.jpg,50KeithHall.jpg,54Carl_Kruger.jpg,4Louis_Terhar.jpg,13Steven_Sodders.jpg,58Joe_Armstrong.jpg,12Frantz_Scott.jpg,10Scheffel_Mark.jpg,6Brown_KL.jpg,17Michael_Ranzenhofer.jpg,35Frank_Garner.jpg,57Thad_Viers.jpg,42Greg_Wren.jpg,28Richard_Codey.jpg,19Warren_Kampf.jpg,26Dennis_Egan.jpg,48Thomas_Gaffey.jpg,7Bill_Poole.jpg,67William_DeWeese.jpg,47Douglas_Bruce.jpg,41Mike_Hubbard.jpg,24Dan_Ortiz.jpg,15Harold_Naughton.jpg,27Joseph_Lagana.jpg,62John_Cowdery.jpg,33Charles_McIlhinney.jpg,9Bill_Gwatney.jpg,20Jeffrey_Bradley.jpg,71Joel_Boniek.jpg,69Joseph_Loeper.jpg,31Tim_Hennessey.jpg,53John_Perzel.jpg,46Steve_King.jpg,60Vic_Kohring.jpg,66James_Boyce_Black.jpg,49Kent_Sorenson.jpg,70Ward_Crutchfield.jpg,56Bobby_Harrell.jpg,38Bob_Ney.jpg,45Ben_Arredondo.jpg,34Niceley_Frank.jpg,25Matt_Claman.jpg,18Brian_Crain.jpg,68Jeffrey_Habay.jpg,2Ken_Smith.jpg,8Noel_W_Campbell.JPG,14Fitz_Steele.jpg,44Paul_Bookout.jpg,5Tuggle_Mark.jpg,11Daniel_Kagan.jpg,63Daniel_Van_Pelt.jpg,52Art_Wittich.jpg,51Salvatore_Dimasi.jpg,72Vincent_Leibell.jpg,64Joseph_Coniglio.jpg,55Rick_Brinkley.jpg,29Thomas_Abinanti.jpg,65Anthoney_Seminerio.jpg,3Darrell_lssa.jpg,21Bruce_Bannister.jpg,39Duke_Cunningham.jpg,22Sanderson_Bill.jpg,1John_Katko.jpg,36Neil_D_Breslin.jpg
Survey_Items,Age,Gender,Race,Education,First_Languages
Survey_Responses,50,1,1,5,15
