655b71b984cee8a3fc6bf6bf_2024-11-27T07:22:51.891Z
End_Time,2024-11-27T07:40:08.030Z
Block_Order,attractive,genuine,dominant,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,4,3,4,4,3,3,5,4,5,3,3,2,3,5,3,2,3,4,2,4,5,4,3,4,2,5,5,5,3,2,4,4,6,2,5,3,6,4,4,5,5,3,5,3,6,2,4,5,6,4,5,6,4,5,5,5,6,5,2,4,4,3,5,6,5,2,5,4,4,4,5,5
Corruptible_RT,1920,2127,1259,1590,4873,2655,1507,1568,2039,1441,3718,2089,2147,1635,1924,1780,2107,1371,2558,2860,1504,3645,1540,3698,1795,2162,1866,1537,2133,1847,5956,2281,2694,2143,2815,1956,1539,2021,2806,2528,2280,1721,2165,2631,2112,2716,3701,1623,2222,2713,1670,2045,2139,1304,1441,2826,2544,1615,2380,2076,1897,2689,1374,3031,1819,1635,2036,2262,2437,2536,1921,1318
Corruptible_ImageOrder,22Sanderson_Bill.jpg,55Rick_Brinkley.jpg,6Brown_KL.jpg,34Niceley_Frank.jpg,56Bobby_Harrell.jpg,52Art_Wittich.jpg,2Ken_Smith.jpg,26Dennis_Egan.jpg,20Jeffrey_Bradley.jpg,25Matt_Claman.jpg,49Kent_Sorenson.jpg,30Stephen_Ross.jpg,29Thomas_Abinanti.jpg,33Charles_McIlhinney.jpg,38Bob_Ney.jpg,36Neil_D_Breslin.jpg,43Terry_Spicer.jpg,64Joseph_Coniglio.jpg,27Joseph_Lagana.jpg,14Fitz_Steele.jpg,70Ward_Crutchfield.jpg,41Mike_Hubbard.jpg,10Scheffel_Mark.jpg,61Bruce_Weyhrauch.jpg,59Phil_Hamilton.jpg,71Joel_Boniek.jpg,69Joseph_Loeper.jpg,19Warren_Kampf.jpg,17Michael_Ranzenhofer.jpg,35Frank_Garner.jpg,1John_Katko.jpg,28Richard_Codey.jpg,9Bill_Gwatney.jpg,57Thad_Viers.jpg,62John_Cowdery.jpg,18Brian_Crain.jpg,51Salvatore_Dimasi.jpg,48Thomas_Gaffey.jpg,23Scott_Rigell.jpg,3Darrell_lssa.jpg,54Carl_Kruger.jpg,47Douglas_Bruce.jpg,12Frantz_Scott.jpg,11Daniel_Kagan.jpg,24Dan_Ortiz.jpg,58Joe_Armstrong.jpg,31Tim_Hennessey.jpg,13Steven_Sodders.jpg,4Louis_Terhar.jpg,15Harold_Naughton.jpg,63Daniel_Van_Pelt.jpg,72Vincent_Leibell.jpg,37_Michael Grimm.jpg,21Bruce_Bannister.jpg,45Ben_Arredondo.jpg,32Kevin _Schreiber.jpg,42Greg_Wren.jpg,40James_Traficant.jpg,44Paul_Bookout.jpg,65Anthoney_Seminerio.jpg,39Duke_Cunningham.jpg,68Jeffrey_Habay.jpg,7Bill_Poole.jpg,46Steve_King.jpg,66James_Boyce_Black.jpg,60Vic_Kohring.jpg,5Tuggle_Mark.jpg,8Noel_W_Campbell.JPG,50KeithHall.jpg,67William_DeWeese.jpg,16Jon_Sesso.jpg,53John_Perzel.jpg
Genuine_Ratings,3,3,2,2,4,3,2,1,1,2,1,4,2,2,2,5,2,3,4,1,2,4,3,2,2,1,3,1,2,4,2,2,3,4,1,1,1,3,1,1,2,1,1,3,1,3,3,1,1,3,1,3,2,2,2,2,1,1,1,3,3,3,2,3,3,4,2,1,1,2,1,1
Genuine_RT,2135,2247,2013,2790,3308,5243,2561,1969,2020,2776,2594,3560,1886,2121,1896,2143,1798,2622,2053,1725,8654,4286,2292,2340,2607,1987,3085,1584,2214,2451,1410,3374,6119,2214,2060,1625,2614,3690,1874,1633,2330,2209,1758,3109,1881,2319,3277,2082,1872,3207,1564,2974,1794,2773,1948,1721,1775,1635,1768,2356,4025,2960,2379,2864,2156,2520,3114,2218,1769,2178,1774,2705
Genuine_ImageOrder,6Brown_KL.jpg,4Louis_Terhar.jpg,66James_Boyce_Black.jpg,38Bob_Ney.jpg,61Bruce_Weyhrauch.jpg,25Matt_Claman.jpg,42Greg_Wren.jpg,35Frank_Garner.jpg,60Vic_Kohring.jpg,3Darrell_lssa.jpg,29Thomas_Abinanti.jpg,59Phil_Hamilton.jpg,64Joseph_Coniglio.jpg,21Bruce_Bannister.jpg,5Tuggle_Mark.jpg,19Warren_Kampf.jpg,16Jon_Sesso.jpg,54Carl_Kruger.jpg,22Sanderson_Bill.jpg,41Mike_Hubbard.jpg,9Bill_Gwatney.jpg,47Douglas_Bruce.jpg,70Ward_Crutchfield.jpg,63Daniel_Van_Pelt.jpg,39Duke_Cunningham.jpg,43Terry_Spicer.jpg,10Scheffel_Mark.jpg,71Joel_Boniek.jpg,8Noel_W_Campbell.JPG,23Scott_Rigell.jpg,7Bill_Poole.jpg,69Joseph_Loeper.jpg,67William_DeWeese.jpg,20Jeffrey_Bradley.jpg,44Paul_Bookout.jpg,17Michael_Ranzenhofer.jpg,45Ben_Arredondo.jpg,55Rick_Brinkley.jpg,37_Michael Grimm.jpg,50KeithHall.jpg,27Joseph_Lagana.jpg,14Fitz_Steele.jpg,12Frantz_Scott.jpg,32Kevin _Schreiber.jpg,62John_Cowdery.jpg,58Joe_Armstrong.jpg,24Dan_Ortiz.jpg,51Salvatore_Dimasi.jpg,68Jeffrey_Habay.jpg,65Anthoney_Seminerio.jpg,72Vincent_Leibell.jpg,2Ken_Smith.jpg,13Steven_Sodders.jpg,11Daniel_Kagan.jpg,31Tim_Hennessey.jpg,36Neil_D_Breslin.jpg,1John_Katko.jpg,40James_Traficant.jpg,26Dennis_Egan.jpg,46Steve_King.jpg,52Art_Wittich.jpg,57Thad_Viers.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,56Bobby_Harrell.jpg,15Harold_Naughton.jpg,28Richard_Codey.jpg,30Stephen_Ross.jpg,49Kent_Sorenson.jpg,18Brian_Crain.jpg,53John_Perzel.jpg,48Thomas_Gaffey.jpg
Attractive_Ratings,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,2,2,1,1,1,1,3,1,1,2,1,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1
Attractive_RT,2860,1547,1368,3683,873,783,1427,1278,1882,2369,1014,1142,2859,1300,826,1262,2769,896,1470,1819,1259,1539,1234,1285,1423,7524,2734,1672,735,2126,698,2460,2255,799,3798,1179,1467,621,2277,786,902,737,956,554,1659,834,2739,2381,1101,852,1614,1248,645,1102,3266,1011,1698,838,3373,3082,1616,819,1144,1084,867,2928,2534,1633,1021,705,920,3031
Attractive_ImageOrder,26Dennis_Egan.jpg,45Ben_Arredondo.jpg,17Michael_Ranzenhofer.jpg,20Jeffrey_Bradley.jpg,67William_DeWeese.jpg,33Charles_McIlhinney.jpg,10Scheffel_Mark.jpg,27Joseph_Lagana.jpg,39Duke_Cunningham.jpg,47Douglas_Bruce.jpg,51Salvatore_Dimasi.jpg,55Rick_Brinkley.jpg,69Joseph_Loeper.jpg,59Phil_Hamilton.jpg,54Carl_Kruger.jpg,66James_Boyce_Black.jpg,4Louis_Terhar.jpg,30Stephen_Ross.jpg,65Anthoney_Seminerio.jpg,28Richard_Codey.jpg,23Scott_Rigell.jpg,13Steven_Sodders.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,6Brown_KL.jpg,68Jeffrey_Habay.jpg,57Thad_Viers.jpg,11Daniel_Kagan.jpg,9Bill_Gwatney.jpg,56Bobby_Harrell.jpg,70Ward_Crutchfield.jpg,37_Michael Grimm.jpg,49Kent_Sorenson.jpg,7Bill_Poole.jpg,31Tim_Hennessey.jpg,5Tuggle_Mark.jpg,2Ken_Smith.jpg,36Neil_D_Breslin.jpg,19Warren_Kampf.jpg,71Joel_Boniek.jpg,3Darrell_lssa.jpg,64Joseph_Coniglio.jpg,58Joe_Armstrong.jpg,60Vic_Kohring.jpg,22Sanderson_Bill.jpg,1John_Katko.jpg,14Fitz_Steele.jpg,52Art_Wittich.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,48Thomas_Gaffey.jpg,41Mike_Hubbard.jpg,8Noel_W_Campbell.JPG,12Frantz_Scott.jpg,53John_Perzel.jpg,42Greg_Wren.jpg,50KeithHall.jpg,46Steve_King.jpg,16Jon_Sesso.jpg,24Dan_Ortiz.jpg,44Paul_Bookout.jpg,63Daniel_Van_Pelt.jpg,25Matt_Claman.jpg,29Thomas_Abinanti.jpg,38Bob_Ney.jpg,40James_Traficant.jpg,18Brian_Crain.jpg,32Kevin _Schreiber.jpg,72Vincent_Leibell.jpg,21Bruce_Bannister.jpg,15Harold_Naughton.jpg,43Terry_Spicer.jpg
