674360286718d36be6897918_2024-11-26T08:02:57.546Z
End_Time,2024-11-26T08:19:48.167Z
Block_Order,attractive,dominant,genuine,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,2,1,3,2,3,3,2,5,6,2,3,2,3,2,3,7,1,2,4,1,1,3,4,4,2,3,3,2,2,3,7,3,3,5,3,5,2,5,2,7,2,2,3,2,6,1,2,2,4,3,1,2,3,3,2,2,2,2,3,2,6,2,7,4,6,5,1,4,4,4,5,1
Corruptible_RT,2111,1989,1153,1432,2169,3397,1957,2830,3488,1531,2648,3008,993,1592,1680,2672,2554,2225,1439,1133,3511,870,1400,2731,2182,1282,3198,1567,1716,1245,1475,1306,2416,1262,1265,1949,1692,1532,2250,4894,1232,2272,1387,2651,1665,1751,2251,4298,2955,1933,1621,1318,2026,1360,1801,2031,2391,1548,1520,2182,2487,1528,2990,1648,2214,1991,1771,2347,2809,1988,3270,1864
Corruptible_ImageOrder,24Dan_Ortiz.jpg,42Greg_Wren.jpg,58Joe_Armstrong.jpg,37_Michael Grimm.jpg,66James_Boyce_Black.jpg,56Bobby_Harrell.jpg,62John_Cowdery.jpg,9Bill_Gwatney.jpg,18Brian_Crain.jpg,32Kevin _Schreiber.jpg,63Daniel_Van_Pelt.jpg,68Jeffrey_Habay.jpg,8Noel_W_Campbell.JPG,35Frank_Garner.jpg,39Duke_Cunningham.jpg,60Vic_Kohring.jpg,47Douglas_Bruce.jpg,16Jon_Sesso.jpg,27Joseph_Lagana.jpg,19Warren_Kampf.jpg,15Harold_Naughton.jpg,7Bill_Poole.jpg,57Thad_Viers.jpg,21Bruce_Bannister.jpg,41Mike_Hubbard.jpg,50KeithHall.jpg,70Ward_Crutchfield.jpg,44Paul_Bookout.jpg,5Tuggle_Mark.jpg,11Daniel_Kagan.jpg,29Thomas_Abinanti.jpg,6Brown_KL.jpg,54Carl_Kruger.jpg,3Darrell_lssa.jpg,36Neil_D_Breslin.jpg,38Bob_Ney.jpg,12Frantz_Scott.jpg,52Art_Wittich.jpg,59Phil_Hamilton.jpg,49Kent_Sorenson.jpg,34Niceley_Frank.jpg,17Michael_Ranzenhofer.jpg,20Jeffrey_Bradley.jpg,65Anthoney_Seminerio.jpg,25Matt_Claman.jpg,45Ben_Arredondo.jpg,71Joel_Boniek.jpg,69Joseph_Loeper.jpg,55Rick_Brinkley.jpg,51Salvatore_Dimasi.jpg,33Charles_McIlhinney.jpg,13Steven_Sodders.jpg,23Scott_Rigell.jpg,40James_Traficant.jpg,48Thomas_Gaffey.jpg,53John_Perzel.jpg,2Ken_Smith.jpg,14Fitz_Steele.jpg,64Joseph_Coniglio.jpg,46Steve_King.jpg,28Richard_Codey.jpg,26Dennis_Egan.jpg,31Tim_Hennessey.jpg,4Louis_Terhar.jpg,30Stephen_Ross.jpg,72Vincent_Leibell.jpg,43Terry_Spicer.jpg,1John_Katko.jpg,67William_DeWeese.jpg,10Scheffel_Mark.jpg,22Sanderson_Bill.jpg,61Bruce_Weyhrauch.jpg
Genuine_Ratings,4,4,6,4,4,3,4,4,3,4,5,4,5,5,3,2,5,6,7,3,5,2,5,3,5,4,2,7,6,6,5,4,7,4,5,2,2,3,2,7,7,6,5,6,2,5,2,5,2,6,5,6,5,7,6,6,4,6,3,4,3,5,3,3,7,3,4,2,4,7,4,5
Genuine_RT,1575,1593,4011,1445,1900,1691,3846,1621,1477,1414,1106,1406,966,3546,1292,1260,4831,1515,3254,2155,3167,2827,983,1591,2156,2185,1323,1270,1552,2387,2799,1484,3489,2049,1444,2014,1557,2490,2100,5576,1496,1810,1361,1096,2724,2194,1239,1987,1741,1558,1377,1586,1839,1630,1631,2079,3589,1802,1324,1450,13383,1583,1568,1724,1996,2370,1916,1967,1823,990,1820,960
Genuine_ImageOrder,17Michael_Ranzenhofer.jpg,19Warren_Kampf.jpg,25Matt_Claman.jpg,69Joseph_Loeper.jpg,33Charles_McIlhinney.jpg,45Ben_Arredondo.jpg,47Douglas_Bruce.jpg,5Tuggle_Mark.jpg,31Tim_Hennessey.jpg,13Steven_Sodders.jpg,3Darrell_lssa.jpg,60Vic_Kohring.jpg,40James_Traficant.jpg,70Ward_Crutchfield.jpg,21Bruce_Bannister.jpg,1John_Katko.jpg,35Frank_Garner.jpg,37_Michael Grimm.jpg,57Thad_Viers.jpg,18Brian_Crain.jpg,65Anthoney_Seminerio.jpg,34Niceley_Frank.jpg,22Sanderson_Bill.jpg,56Bobby_Harrell.jpg,44Paul_Bookout.jpg,32Kevin _Schreiber.jpg,20Jeffrey_Bradley.jpg,63Daniel_Van_Pelt.jpg,61Bruce_Weyhrauch.jpg,2Ken_Smith.jpg,53John_Perzel.jpg,38Bob_Ney.jpg,55Rick_Brinkley.jpg,49Kent_Sorenson.jpg,67William_DeWeese.jpg,26Dennis_Egan.jpg,58Joe_Armstrong.jpg,28Richard_Codey.jpg,9Bill_Gwatney.jpg,46Steve_King.jpg,36Neil_D_Breslin.jpg,16Jon_Sesso.jpg,27Joseph_Lagana.jpg,30Stephen_Ross.jpg,11Daniel_Kagan.jpg,6Brown_KL.jpg,10Scheffel_Mark.jpg,66James_Boyce_Black.jpg,62John_Cowdery.jpg,72Vincent_Leibell.jpg,29Thomas_Abinanti.jpg,8Noel_W_Campbell.JPG,24Dan_Ortiz.jpg,52Art_Wittich.jpg,12Frantz_Scott.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,39Duke_Cunningham.jpg,48Thomas_Gaffey.jpg,64Joseph_Coniglio.jpg,4Louis_Terhar.jpg,15Harold_Naughton.jpg,7Bill_Poole.jpg,14Fitz_Steele.jpg,42Greg_Wren.jpg,23Scott_Rigell.jpg,41Mike_Hubbard.jpg,54Carl_Kruger.jpg,71Joel_Boniek.jpg,59Phil_Hamilton.jpg,43Terry_Spicer.jpg,68Jeffrey_Habay.jpg
Attractive_Ratings,5,6,5,5,6,2,4,2,3,5,4,2,5,4,3,2,3,5,5,4,4,2,4,2,3,3,4,3,2,2,2,2,5,2,3,3,3,2,2,2,5,4,3,4,2,3,3,4,3,4,5,5,4,2,4,5,5,6,1,5,2,4,2,3,3,4,4,2,3,5,2,3
Attractive_RT,1657,3501,2166,2123,5111,2077,3303,2568,1658,1247,3327,1306,2922,2188,2537,1147,2800,4219,3855,1720,2794,9892,1665,2264,4598,1320,3634,5010,2082,1432,2025,1734,3600,1827,2618,1896,3334,1579,1819,1301,1504,1472,3753,2633,3425,2248,1780,1135,1342,3721,4589,2217,4079,1581,6680,6328,1471,7702,1689,4778,2748,2803,3199,1673,3159,1593,2526,2119,1832,5517,1302,2278
Attractive_ImageOrder,58Joe_Armstrong.jpg,5Tuggle_Mark.jpg,70Ward_Crutchfield.jpg,45Ben_Arredondo.jpg,37_Michael Grimm.jpg,54Carl_Kruger.jpg,24Dan_Ortiz.jpg,4Louis_Terhar.jpg,8Noel_W_Campbell.JPG,12Frantz_Scott.jpg,22Sanderson_Bill.jpg,43Terry_Spicer.jpg,21Bruce_Bannister.jpg,19Warren_Kampf.jpg,11Daniel_Kagan.jpg,62John_Cowdery.jpg,17Michael_Ranzenhofer.jpg,3Darrell_lssa.jpg,1John_Katko.jpg,41Mike_Hubbard.jpg,63Daniel_Van_Pelt.jpg,30Stephen_Ross.jpg,72Vincent_Leibell.jpg,61Bruce_Weyhrauch.jpg,34Niceley_Frank.jpg,32Kevin _Schreiber.jpg,59Phil_Hamilton.jpg,27Joseph_Lagana.jpg,26Dennis_Egan.jpg,71Joel_Boniek.jpg,40James_Traficant.jpg,38Bob_Ney.jpg,35Frank_Garner.jpg,65Anthoney_Seminerio.jpg,56Bobby_Harrell.jpg,51Salvatore_Dimasi.jpg,44Paul_Bookout.jpg,39Duke_Cunningham.jpg,50KeithHall.jpg,47Douglas_Bruce.jpg,64Joseph_Coniglio.jpg,33Charles_McIlhinney.jpg,60Vic_Kohring.jpg,15Harold_Naughton.jpg,29Thomas_Abinanti.jpg,16Jon_Sesso.jpg,46Steve_King.jpg,53John_Perzel.jpg,23Scott_Rigell.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,67William_DeWeese.jpg,69Joseph_Loeper.jpg,20Jeffrey_Bradley.jpg,36Neil_D_Breslin.jpg,6Brown_KL.jpg,31Tim_Hennessey.jpg,55Rick_Brinkley.jpg,28Richard_Codey.jpg,2Ken_Smith.jpg,25Matt_Claman.jpg,18Brian_Crain.jpg,13Steven_Sodders.jpg,66James_Boyce_Black.jpg,52Art_Wittich.jpg,10Scheffel_Mark.jpg,57Thad_Viers.jpg,42Greg_Wren.jpg,68Jeffrey_Habay.jpg,7Bill_Poole.jpg,14Fitz_Steele.jpg,9Bill_Gwatney.jpg
