6630ec10efe9f6624eb24482_2024-11-27T08:00:50.658Z
End_Time,2024-11-27T08:12:33.221Z
Block_Order,dominant,attractive,corruptible,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,4,5,3,6,6,6,3,6,6,3,6,4,4,6,6,2,6,3,5,6,4,4,3,6,2,5,3,4,4,5,3,3,5,5,4,3,6,3,3,3,3,4,4,5,5,3,6,3,5,5,5,3,2,3,4,4,5,4,5,5,4,4,3,6,3,5,3,5,6,6,3,6
Corruptible_RT,1051,806,1278,522,1118,1236,741,1353,1926,887,1040,2012,318,1122,889,912,1087,1432,1112,1397,691,707,1342,1874,1118,386,1776,573,473,2199,1712,1218,1834,1060,1113,916,1172,714,547,838,1819,694,793,772,986,644,1909,320,1575,773,1058,1137,568,1273,697,1661,1087,532,1293,1046,1313,1435,1388,612,1228,539,1435,793,887,1154,685,1899
Corruptible_ImageOrder,56Bobby_Harrell.jpg,43Terry_Spicer.jpg,52Art_Wittich.jpg,28Richard_Codey.jpg,2Ken_Smith.jpg,7Bill_Poole.jpg,55Rick_Brinkley.jpg,4Louis_Terhar.jpg,29Thomas_Abinanti.jpg,44Paul_Bookout.jpg,10Scheffel_Mark.jpg,60Vic_Kohring.jpg,20Jeffrey_Bradley.jpg,71Joel_Boniek.jpg,17Michael_Ranzenhofer.jpg,46Steve_King.jpg,42Greg_Wren.jpg,1John_Katko.jpg,8Noel_W_Campbell.JPG,36Neil_D_Breslin.jpg,61Bruce_Weyhrauch.jpg,70Ward_Crutchfield.jpg,16Jon_Sesso.jpg,22Sanderson_Bill.jpg,45Ben_Arredondo.jpg,48Thomas_Gaffey.jpg,69Joseph_Loeper.jpg,13Steven_Sodders.jpg,68Jeffrey_Habay.jpg,38Bob_Ney.jpg,6Brown_KL.jpg,53John_Perzel.jpg,21Bruce_Bannister.jpg,50KeithHall.jpg,65Anthoney_Seminerio.jpg,15Harold_Naughton.jpg,51Salvatore_Dimasi.jpg,62John_Cowdery.jpg,64Joseph_Coniglio.jpg,23Scott_Rigell.jpg,57Thad_Viers.jpg,31Tim_Hennessey.jpg,24Dan_Ortiz.jpg,41Mike_Hubbard.jpg,72Vincent_Leibell.jpg,26Dennis_Egan.jpg,39Duke_Cunningham.jpg,37_Michael Grimm.jpg,25Matt_Claman.jpg,40James_Traficant.jpg,34Niceley_Frank.jpg,5Tuggle_Mark.jpg,67William_DeWeese.jpg,49Kent_Sorenson.jpg,58Joe_Armstrong.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,33Charles_McIlhinney.jpg,18Brian_Crain.jpg,14Fitz_Steele.jpg,19Warren_Kampf.jpg,27Joseph_Lagana.jpg,66James_Boyce_Black.jpg,9Bill_Gwatney.jpg,3Darrell_lssa.jpg,30Stephen_Ross.jpg,63Daniel_Van_Pelt.jpg,47Douglas_Bruce.jpg,35Frank_Garner.jpg,32Kevin _Schreiber.jpg,59Phil_Hamilton.jpg,54Carl_Kruger.jpg
Genuine_Ratings,1,3,2,4,5,1,2,1,5,2,2,4,5,1,1,4,4,2,4,1,3,2,4,1,5,1,4,4,4,1,1,5,2,1,3,3,1,3,1,1,3,4,5,2,3,3,1,5,4,4,2,4,2,1,3,4,5,3,2,2,1,1,4,4,3,3,1,1,1,1,1,3
Genuine_RT,1138,1193,1231,1216,882,1216,1038,870,1247,752,1677,1747,1073,1102,714,556,797,807,704,503,971,795,1149,540,1027,557,1590,939,981,1177,700,1639,991,576,634,661,1220,822,597,831,1372,1260,934,1245,1108,1212,604,1300,1105,810,1091,1447,1138,785,805,2030,1245,646,1682,1157,739,1175,1190,1186,1608,1404,988,859,838,1395,868,1675
Genuine_ImageOrder,65Anthoney_Seminerio.jpg,32Kevin _Schreiber.jpg,27Joseph_Lagana.jpg,2Ken_Smith.jpg,8Noel_W_Campbell.JPG,39Duke_Cunningham.jpg,57Thad_Viers.jpg,34Niceley_Frank.jpg,59Phil_Hamilton.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,6Brown_KL.jpg,61Bruce_Weyhrauch.jpg,70Ward_Crutchfield.jpg,46Steve_King.jpg,20Jeffrey_Bradley.jpg,40James_Traficant.jpg,29Thomas_Abinanti.jpg,51Salvatore_Dimasi.jpg,56Bobby_Harrell.jpg,72Vincent_Leibell.jpg,63Daniel_Van_Pelt.jpg,42Greg_Wren.jpg,60Vic_Kohring.jpg,41Mike_Hubbard.jpg,4Louis_Terhar.jpg,64Joseph_Coniglio.jpg,10Scheffel_Mark.jpg,58Joe_Armstrong.jpg,3Darrell_lssa.jpg,18Brian_Crain.jpg,17Michael_Ranzenhofer.jpg,22Sanderson_Bill.jpg,24Dan_Ortiz.jpg,7Bill_Poole.jpg,16Jon_Sesso.jpg,53John_Perzel.jpg,71Joel_Boniek.jpg,9Bill_Gwatney.jpg,23Scott_Rigell.jpg,19Warren_Kampf.jpg,55Rick_Brinkley.jpg,33Charles_McIlhinney.jpg,38Bob_Ney.jpg,1John_Katko.jpg,47Douglas_Bruce.jpg,13Steven_Sodders.jpg,28Richard_Codey.jpg,54Carl_Kruger.jpg,66James_Boyce_Black.jpg,30Stephen_Ross.jpg,67William_DeWeese.jpg,11Daniel_Kagan.jpg,44Paul_Bookout.jpg,12Frantz_Scott.jpg,62John_Cowdery.jpg,52Art_Wittich.jpg,69Joseph_Loeper.jpg,37_Michael Grimm.jpg,45Ben_Arredondo.jpg,50KeithHall.jpg,25Matt_Claman.jpg,48Thomas_Gaffey.jpg,5Tuggle_Mark.jpg,36Neil_D_Breslin.jpg,31Tim_Hennessey.jpg,26Dennis_Egan.jpg,21Bruce_Bannister.jpg,35Frank_Garner.jpg,68Jeffrey_Habay.jpg,49Kent_Sorenson.jpg,43Terry_Spicer.jpg
Attractive_Ratings,3,2,5,1,2,1,3,1,3,1,1,2,2,1,3,4,1,1,3,1,3,1,3,1,3,1,1,1,3,1,1,5,1,1,1,1,3,3,1,1,1,3,1,1,1,4,1,1,3,1,1,4,1,1,2,1,5,4,1,1,1,1,4,1,1,1,3,1,1,1,1,1
Attractive_RT,1118,1281,1270,626,1297,1147,1404,527,775,876,868,1296,1704,1054,1221,1149,951,726,1503,739,1202,1002,1531,682,1431,954,864,607,1265,878,1553,1268,651,1010,592,684,1583,680,525,636,816,1386,652,616,617,1000,789,1245,1328,658,445,1064,652,766,1053,815,1485,1328,884,697,769,612,1432,708,804,692,1813,760,696,600,549,739
Attractive_ImageOrder,34Niceley_Frank.jpg,20Jeffrey_Bradley.jpg,35Frank_Garner.jpg,39Duke_Cunningham.jpg,26Dennis_Egan.jpg,50KeithHall.jpg,71Joel_Boniek.jpg,8Noel_W_Campbell.JPG,27Joseph_Lagana.jpg,7Bill_Poole.jpg,25Matt_Claman.jpg,11Daniel_Kagan.jpg,24Dan_Ortiz.jpg,60Vic_Kohring.jpg,12Frantz_Scott.jpg,14Fitz_Steele.jpg,72Vincent_Leibell.jpg,58Joe_Armstrong.jpg,3Darrell_lssa.jpg,49Kent_Sorenson.jpg,5Tuggle_Mark.jpg,64Joseph_Coniglio.jpg,54Carl_Kruger.jpg,61Bruce_Weyhrauch.jpg,55Rick_Brinkley.jpg,47Douglas_Bruce.jpg,10Scheffel_Mark.jpg,22Sanderson_Bill.jpg,66James_Boyce_Black.jpg,37_Michael Grimm.jpg,15Harold_Naughton.jpg,36Neil_D_Breslin.jpg,53John_Perzel.jpg,63Daniel_Van_Pelt.jpg,43Terry_Spicer.jpg,56Bobby_Harrell.jpg,48Thomas_Gaffey.jpg,41Mike_Hubbard.jpg,31Tim_Hennessey.jpg,2Ken_Smith.jpg,67William_DeWeese.jpg,4Louis_Terhar.jpg,57Thad_Viers.jpg,6Brown_KL.jpg,33Charles_McIlhinney.jpg,59Phil_Hamilton.jpg,18Brian_Crain.jpg,30Stephen_Ross.jpg,23Scott_Rigell.jpg,19Warren_Kampf.jpg,21Bruce_Bannister.jpg,32Kevin _Schreiber.jpg,52Art_Wittich.jpg,46Steve_King.jpg,28Richard_Codey.jpg,44Paul_Bookout.jpg,70Ward_Crutchfield.jpg,40James_Traficant.jpg,45Ben_Arredondo.jpg,29Thomas_Abinanti.jpg,16Jon_Sesso.jpg,51Salvatore_Dimasi.jpg,69Joseph_Loeper.jpg,17Michael_Ranzenhofer.jpg,62John_Cowdery.jpg,13Steven_Sodders.jpg,42Greg_Wren.jpg,9Bill_Gwatney.jpg,68Jeffrey_Habay.jpg,38Bob_Ney.jpg,1John_Katko.jpg,65Anthoney_Seminerio.jpg
Dominant_Ratings,5,5,4,4,4,2,3,4,3,4,3,2,1,2,3,2,4,5,4,4,4,3,4,5,5,4,2,5,6,6,3,3,3,4,4,6,6,4,5,3,6,5,4,3,5,5,2,6,5,6,4,5,5,5,5,5,2,4,5,4,4,5,3,3,5,3,5,1,4,5,5,4
Dominant_RT,1198,672,937,697,567,1817,653,1915,1777,387,15265,1253,1403,1088,1698,2139,906,2141,1629,531,826,847,1680,1880,801,1562,2027,923,912,1143,953,1082,717,806,1165,1276,1854,1679,921,389,1151,545,797,892,1054,766,2427,1325,430,744,1046,322,1028,726,1661,900,851,793,775,1413,2430,657,1125,700,874,1489,682,1371,341,1307,1393,1531
Dominant_ImageOrder,47Douglas_Bruce.jpg,27Joseph_Lagana.jpg,9Bill_Gwatney.jpg,6Brown_KL.jpg,68Jeffrey_Habay.jpg,23Scott_Rigell.jpg,63Daniel_Van_Pelt.jpg,35Frank_Garner.jpg,66James_Boyce_Black.jpg,16Jon_Sesso.jpg,19Warren_Kampf.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,21Bruce_Bannister.jpg,45Ben_Arredondo.jpg,26Dennis_Egan.jpg,37_Michael Grimm.jpg,48Thomas_Gaffey.jpg,8Noel_W_Campbell.JPG,24Dan_Ortiz.jpg,15Harold_Naughton.jpg,38Bob_Ney.jpg,18Brian_Crain.jpg,34Niceley_Frank.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,41Mike_Hubbard.jpg,1John_Katko.jpg,11Daniel_Kagan.jpg,61Bruce_Weyhrauch.jpg,44Paul_Bookout.jpg,60Vic_Kohring.jpg,72Vincent_Leibell.jpg,28Richard_Codey.jpg,51Salvatore_Dimasi.jpg,31Tim_Hennessey.jpg,69Joseph_Loeper.jpg,49Kent_Sorenson.jpg,53John_Perzel.jpg,29Thomas_Abinanti.jpg,22Sanderson_Bill.jpg,10Scheffel_Mark.jpg,30Stephen_Ross.jpg,20Jeffrey_Bradley.jpg,40James_Traficant.jpg,52Art_Wittich.jpg,50KeithHall.jpg,17Michael_Ranzenhofer.jpg,2Ken_Smith.jpg,7Bill_Poole.jpg,14Fitz_Steele.jpg,12Frantz_Scott.jpg,3Darrell_lssa.jpg,62John_Cowdery.jpg,32Kevin _Schreiber.jpg,58Joe_Armstrong.jpg,42Greg_Wren.jpg,33Charles_McIlhinney.jpg,43Terry_Spicer.jpg,36Neil_D_Breslin.jpg,25Matt_Claman.jpg,46Steve_King.jpg,65Anthoney_Seminerio.jpg,57Thad_Viers.jpg,13Steven_Sodders.jpg,39Duke_Cunningham.jpg,54Carl_Kruger.jpg,5Tuggle_Mark.jpg,67William_DeWeese.jpg,64Joseph_Coniglio.jpg,4Louis_Terhar.jpg,59Phil_Hamilton.jpg
Survey_Items,Age,Gender,Race,Education,First_Languages
Survey_Responses,50,1,1,2,8
