6610310a81642db9581541e0_2024-11-27T07:27:48.441Z
End_Time,2024-11-27T07:47:47.888Z
Block_Order,genuine,attractive,corruptible,dominant
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,2,3,4,2,6,5,4,2,2,4,3,4,2,2,1,1,4,1,1,2,2,2,1,4,2,6,4,2,2,1,2,2,2,1,5,2,4,2,4,7,3,2,6,1,4,6,1,6,2,6,6,2,2,7,6,3,5,3,5,2,5,2,2,6,7,1,1,4,7,1,7,7
Corruptible_RT,2091,2954,3624,2372,1787,3115,3294,2371,2377,2381,2706,3680,1692,3346,2211,3191,4309,1686,1901,2593,2507,2286,2434,3201,1831,3509,3175,2583,2819,5864,3030,3197,3507,2325,3872,2880,2972,2954,2881,2373,4284,1895,2220,1730,2794,1779,2435,1687,6350,2319,4516,2816,3135,1949,2740,3325,2325,3349,2875,2580,2963,5402,4106,3266,1818,1984,2053,4279,1965,3970,1953,2368
Corruptible_ImageOrder,70Ward_Crutchfield.jpg,37_Michael Grimm.jpg,58Joe_Armstrong.jpg,64Joseph_Coniglio.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,40James_Traficant.jpg,3Darrell_lssa.jpg,11Daniel_Kagan.jpg,36Neil_D_Breslin.jpg,29Thomas_Abinanti.jpg,39Duke_Cunningham.jpg,59Phil_Hamilton.jpg,17Michael_Ranzenhofer.jpg,55Rick_Brinkley.jpg,6Brown_KL.jpg,2Ken_Smith.jpg,68Jeffrey_Habay.jpg,38Bob_Ney.jpg,43Terry_Spicer.jpg,54Carl_Kruger.jpg,33Charles_McIlhinney.jpg,24Dan_Ortiz.jpg,60Vic_Kohring.jpg,5Tuggle_Mark.jpg,27Joseph_Lagana.jpg,72Vincent_Leibell.jpg,50KeithHall.jpg,46Steve_King.jpg,57Thad_Viers.jpg,28Richard_Codey.jpg,25Matt_Claman.jpg,32Kevin _Schreiber.jpg,42Greg_Wren.jpg,15Harold_Naughton.jpg,53John_Perzel.jpg,4Louis_Terhar.jpg,34Niceley_Frank.jpg,9Bill_Gwatney.jpg,13Steven_Sodders.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,69Joseph_Loeper.jpg,48Thomas_Gaffey.jpg,19Warren_Kampf.jpg,47Douglas_Bruce.jpg,1John_Katko.jpg,45Ben_Arredondo.jpg,63Daniel_Van_Pelt.jpg,44Paul_Bookout.jpg,71Joel_Boniek.jpg,26Dennis_Egan.jpg,65Anthoney_Seminerio.jpg,14Fitz_Steele.jpg,8Noel_W_Campbell.JPG,62John_Cowdery.jpg,10Scheffel_Mark.jpg,7Bill_Poole.jpg,35Frank_Garner.jpg,21Bruce_Bannister.jpg,56Bobby_Harrell.jpg,16Jon_Sesso.jpg,61Bruce_Weyhrauch.jpg,12Frantz_Scott.jpg,41Mike_Hubbard.jpg,30Stephen_Ross.jpg,52Art_Wittich.jpg,18Brian_Crain.jpg,49Kent_Sorenson.jpg,31Tim_Hennessey.jpg,51Salvatore_Dimasi.jpg,20Jeffrey_Bradley.jpg
Genuine_Ratings,4,5,3,6,4,3,4,5,4,4,4,3,5,5,5,7,5,4,6,4,4,4,5,4,5,2,3,4,5,6,5,4,5,6,5,6,3,4,6,2,5,4,4,6,5,4,4,4,4,3,1,3,2,3,2,4,4,5,2,5,2,6,4,3,2,6,4,5,2,6,2,3
Genuine_RT,2059,2298,3059,3295,3278,3202,3211,3509,2526,2894,1961,3303,3385,2819,2732,4714,2955,2489,2227,3088,2047,3283,1800,3441,2616,3228,3250,3247,3161,2817,3398,2273,3545,2414,2846,2955,3768,2395,4703,1878,2416,2135,1947,2572,3346,2568,2339,2327,2102,3988,4261,3550,3093,2526,3733,3299,2586,2667,3583,3277,3203,3137,4745,3857,4733,1935,3368,1769,3565,3490,3338,10021
Genuine_ImageOrder,72Vincent_Leibell.jpg,33Charles_McIlhinney.jpg,24Dan_Ortiz.jpg,16Jon_Sesso.jpg,65Anthoney_Seminerio.jpg,35Frank_Garner.jpg,48Thomas_Gaffey.jpg,7Bill_Poole.jpg,70Ward_Crutchfield.jpg,31Tim_Hennessey.jpg,64Joseph_Coniglio.jpg,36Neil_D_Breslin.jpg,17Michael_Ranzenhofer.jpg,50KeithHall.jpg,8Noel_W_Campbell.JPG,27Joseph_Lagana.jpg,62John_Cowdery.jpg,45Ben_Arredondo.jpg,5Tuggle_Mark.jpg,66James_Boyce_Black.jpg,22Sanderson_Bill.jpg,26Dennis_Egan.jpg,40James_Traficant.jpg,13Steven_Sodders.jpg,43Terry_Spicer.jpg,60Vic_Kohring.jpg,14Fitz_Steele.jpg,56Bobby_Harrell.jpg,41Mike_Hubbard.jpg,29Thomas_Abinanti.jpg,47Douglas_Bruce.jpg,23Scott_Rigell.jpg,19Warren_Kampf.jpg,46Steve_King.jpg,4Louis_Terhar.jpg,58Joe_Armstrong.jpg,68Jeffrey_Habay.jpg,53John_Perzel.jpg,3Darrell_lssa.jpg,38Bob_Ney.jpg,11Daniel_Kagan.jpg,63Daniel_Van_Pelt.jpg,51Salvatore_Dimasi.jpg,55Rick_Brinkley.jpg,12Frantz_Scott.jpg,34Niceley_Frank.jpg,15Harold_Naughton.jpg,61Bruce_Weyhrauch.jpg,71Joel_Boniek.jpg,21Bruce_Bannister.jpg,28Richard_Codey.jpg,54Carl_Kruger.jpg,30Stephen_Ross.jpg,59Phil_Hamilton.jpg,9Bill_Gwatney.jpg,52Art_Wittich.jpg,32Kevin _Schreiber.jpg,25Matt_Claman.jpg,2Ken_Smith.jpg,57Thad_Viers.jpg,39Duke_Cunningham.jpg,20Jeffrey_Bradley.jpg,49Kent_Sorenson.jpg,44Paul_Bookout.jpg,69Joseph_Loeper.jpg,10Scheffel_Mark.jpg,1John_Katko.jpg,37_Michael Grimm.jpg,67William_DeWeese.jpg,18Brian_Crain.jpg,42Greg_Wren.jpg,6Brown_KL.jpg
Attractive_Ratings,2,3,3,4,2,2,3,2,4,2,2,2,4,3,4,4,4,4,3,2,5,3,3,2,3,2,3,2,2,2,3,2,4,3,3,2,2,3,3,2,5,4,2,3,2,1,4,3,3,2,2,4,2,2,4,4,3,2,2,5,2,2,5,2,1,3,2,2,2,2,1,2
Attractive_RT,2092,2547,2966,2549,3097,1766,3948,1548,2135,1841,2703,1737,4143,2426,5338,2744,3083,2121,2481,1453,3175,1993,1938,1951,3040,2704,2823,2477,2442,3790,4226,3757,3623,2207,3208,2202,1902,2905,1885,2008,2698,2222,2231,2226,3992,2204,3115,2462,3963,2985,2610,2141,2138,2409,3175,2775,2224,4088,1649,3133,1925,2209,2775,1731,2037,3222,2228,2871,2050,1705,1711,2370
Attractive_ImageOrder,15Harold_Naughton.jpg,32Kevin _Schreiber.jpg,50KeithHall.jpg,30Stephen_Ross.jpg,71Joel_Boniek.jpg,5Tuggle_Mark.jpg,54Carl_Kruger.jpg,61Bruce_Weyhrauch.jpg,46Steve_King.jpg,3Darrell_lssa.jpg,68Jeffrey_Habay.jpg,18Brian_Crain.jpg,42Greg_Wren.jpg,60Vic_Kohring.jpg,31Tim_Hennessey.jpg,45Ben_Arredondo.jpg,10Scheffel_Mark.jpg,33Charles_McIlhinney.jpg,51Salvatore_Dimasi.jpg,26Dennis_Egan.jpg,11Daniel_Kagan.jpg,48Thomas_Gaffey.jpg,43Terry_Spicer.jpg,65Anthoney_Seminerio.jpg,16Jon_Sesso.jpg,49Kent_Sorenson.jpg,41Mike_Hubbard.jpg,62John_Cowdery.jpg,8Noel_W_Campbell.JPG,13Steven_Sodders.jpg,2Ken_Smith.jpg,56Bobby_Harrell.jpg,64Joseph_Coniglio.jpg,37_Michael Grimm.jpg,29Thomas_Abinanti.jpg,57Thad_Viers.jpg,25Matt_Claman.jpg,70Ward_Crutchfield.jpg,6Brown_KL.jpg,44Paul_Bookout.jpg,36Neil_D_Breslin.jpg,58Joe_Armstrong.jpg,1John_Katko.jpg,24Dan_Ortiz.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,72Vincent_Leibell.jpg,21Bruce_Bannister.jpg,17Michael_Ranzenhofer.jpg,59Phil_Hamilton.jpg,40James_Traficant.jpg,9Bill_Gwatney.jpg,55Rick_Brinkley.jpg,63Daniel_Van_Pelt.jpg,4Louis_Terhar.jpg,35Frank_Garner.jpg,38Bob_Ney.jpg,53John_Perzel.jpg,7Bill_Poole.jpg,19Warren_Kampf.jpg,34Niceley_Frank.jpg,22Sanderson_Bill.jpg,12Frantz_Scott.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,20Jeffrey_Bradley.jpg,69Joseph_Loeper.jpg,14Fitz_Steele.jpg,23Scott_Rigell.jpg,47Douglas_Bruce.jpg,52Art_Wittich.jpg,39Duke_Cunningham.jpg
Dominant_Ratings,6,3,3,2,3,3,5,3,2,7,6,5,3,4,6,1,4,5,3,1,3,6,4,5,4,7,2,7,3,5,7,4,5,2,6,4,5,1,6,7,7,4,7,4,3,3,7,6,6,6,7,6,4,7,3,6,7,6,4,7,7,6,4,5,7,2,6,1,7,4,2,6
Dominant_RT,2330,2846,3085,4182,3341,3734,2875,2124,1578,2447,3135,3859,1876,1737,2048,1713,3736,3169,3329,2523,3968,2385,3132,3096,3704,2280,1958,2340,1631,4953,2187,4038,2207,4583,1823,2032,3546,1814,2621,2126,1689,2638,3503,2386,2843,1827,3230,1864,2592,2279,1449,1974,3488,2214,2551,1933,1644,2430,2510,2065,1880,2167,1898,2439,1566,1848,1883,1348,2008,3633,3771,2762
Dominant_ImageOrder,71Joel_Boniek.jpg,20Jeffrey_Bradley.jpg,68Jeffrey_Habay.jpg,19Warren_Kampf.jpg,3Darrell_lssa.jpg,54Carl_Kruger.jpg,13Steven_Sodders.jpg,5Tuggle_Mark.jpg,46Steve_King.jpg,17Michael_Ranzenhofer.jpg,70Ward_Crutchfield.jpg,67William_DeWeese.jpg,18Brian_Crain.jpg,39Duke_Cunningham.jpg,28Richard_Codey.jpg,41Mike_Hubbard.jpg,7Bill_Poole.jpg,61Bruce_Weyhrauch.jpg,33Charles_McIlhinney.jpg,59Phil_Hamilton.jpg,45Ben_Arredondo.jpg,55Rick_Brinkley.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,53John_Perzel.jpg,25Matt_Claman.jpg,38Bob_Ney.jpg,42Greg_Wren.jpg,24Dan_Ortiz.jpg,48Thomas_Gaffey.jpg,56Bobby_Harrell.jpg,32Kevin _Schreiber.jpg,12Frantz_Scott.jpg,43Terry_Spicer.jpg,1John_Katko.jpg,22Sanderson_Bill.jpg,37_Michael Grimm.jpg,72Vincent_Leibell.jpg,6Brown_KL.jpg,69Joseph_Loeper.jpg,47Douglas_Bruce.jpg,23Scott_Rigell.jpg,26Dennis_Egan.jpg,31Tim_Hennessey.jpg,10Scheffel_Mark.jpg,64Joseph_Coniglio.jpg,27Joseph_Lagana.jpg,9Bill_Gwatney.jpg,14Fitz_Steele.jpg,30Stephen_Ross.jpg,8Noel_W_Campbell.JPG,49Kent_Sorenson.jpg,65Anthoney_Seminerio.jpg,51Salvatore_Dimasi.jpg,34Niceley_Frank.jpg,62John_Cowdery.jpg,11Daniel_Kagan.jpg,57Thad_Viers.jpg,44Paul_Bookout.jpg,63Daniel_Van_Pelt.jpg,21Bruce_Bannister.jpg,29Thomas_Abinanti.jpg,4Louis_Terhar.jpg,35Frank_Garner.jpg,58Joe_Armstrong.jpg,50KeithHall.jpg,66James_Boyce_Black.jpg,60Vic_Kohring.jpg,36Neil_D_Breslin.jpg,52Art_Wittich.jpg,40James_Traficant.jpg,2Ken_Smith.jpg
Survey_Items,Age,Gender,Race,Education,First_Languages
Survey_Responses,52,1,1,3,15
