658058afd06d72b89e9f9529_2024-11-26T08:41:34.321Z
End_Time,2024-11-26T09:07:01.887Z
Block_Order,genuine,attractive,corruptible,dominant
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,5,4,2,3,6,5,5,3,2,2,2,3,4,5,1,5,4,5,5,4,2,2,4,5,5,3,4,5,5,6,3,5,2,5,6,5,6,6,5,5,2,3,4,3,5,5,7,4,6,4,5,5,3,5,2,3,5,2,5,4,3,4,3,2,5,4,4,7,5,3,4
Corruptible_RT,4496,2862,4396,2764,4174,2809,4911,4630,3344,7164,6666,3593,5777,4642,4311,4217,4913,2555,3698,1982,4601,4850,3341,6802,3689,7257,5018,7622,6153,3524,2769,4964,5712,3340,6550,3282,6529,7718,3562,4379,3604,5173,4667,5949,2685,4108,3371,7888,5321,2215,4720,4124,4481,2416,2708,4723,4869,2550,3340,3113,5426,3930,7348,5782,3736,5522,7099,5421,4242,4580,6296,4236
Corruptible_ImageOrder,67William_DeWeese.jpg,1John_Katko.jpg,11Daniel_Kagan.jpg,70Ward_Crutchfield.jpg,55Rick_Brinkley.jpg,36Neil_D_Breslin.jpg,6Brown_KL.jpg,57Thad_Viers.jpg,51Salvatore_Dimasi.jpg,33Charles_McIlhinney.jpg,7Bill_Poole.jpg,43Terry_Spicer.jpg,10Scheffel_Mark.jpg,21Bruce_Bannister.jpg,39Duke_Cunningham.jpg,28Richard_Codey.jpg,52Art_Wittich.jpg,48Thomas_Gaffey.jpg,42Greg_Wren.jpg,37_Michael Grimm.jpg,62John_Cowdery.jpg,72Vincent_Leibell.jpg,56Bobby_Harrell.jpg,49Kent_Sorenson.jpg,8Noel_W_Campbell.JPG,46Steve_King.jpg,58Joe_Armstrong.jpg,20Jeffrey_Bradley.jpg,61Bruce_Weyhrauch.jpg,3Darrell_lssa.jpg,41Mike_Hubbard.jpg,30Stephen_Ross.jpg,27Joseph_Lagana.jpg,54Carl_Kruger.jpg,69Joseph_Loeper.jpg,38Bob_Ney.jpg,60Vic_Kohring.jpg,65Anthoney_Seminerio.jpg,47Douglas_Bruce.jpg,24Dan_Ortiz.jpg,12Frantz_Scott.jpg,23Scott_Rigell.jpg,15Harold_Naughton.jpg,2Ken_Smith.jpg,22Sanderson_Bill.jpg,16Jon_Sesso.jpg,44Paul_Bookout.jpg,5Tuggle_Mark.jpg,45Ben_Arredondo.jpg,59Phil_Hamilton.jpg,9Bill_Gwatney.jpg,4Louis_Terhar.jpg,14Fitz_Steele.jpg,29Thomas_Abinanti.jpg,50KeithHall.jpg,17Michael_Ranzenhofer.jpg,31Tim_Hennessey.jpg,66James_Boyce_Black.jpg,25Matt_Claman.jpg,68Jeffrey_Habay.jpg,13Steven_Sodders.jpg,18Brian_Crain.jpg,26Dennis_Egan.jpg,35Frank_Garner.jpg,19Warren_Kampf.jpg,63Daniel_Van_Pelt.jpg,40James_Traficant.jpg,71Joel_Boniek.jpg,64Joseph_Coniglio.jpg,53John_Perzel.jpg,34Niceley_Frank.jpg,32Kevin _Schreiber.jpg
Genuine_Ratings,4,3,5,5,3,2,3,4,4,3,4,4,3,4,3,5,3,5,4,2,3,4,5,4,4,2,4,3,2,3,2,3,3,4,3,4,4,3,3,4,3,5,4,3,2,4,4,2,3,2,3,4,2,3,3,3,3,2,5,3,2,2,4,3,5,3,2,4,2,3,3,3
Genuine_RT,5382,4222,3466,4791,5403,3116,6783,3653,3453,1906,11053,4781,3163,4159,5383,3965,2986,2301,1997,6981,3303,4965,8353,6676,3428,6771,5024,4136,5117,5131,3456,4156,1619,2953,3484,2110,4985,5350,4557,6097,5336,4054,5827,5054,4052,2006,4257,1954,4192,3213,3247,252,2714,9579,2604,2080,3893,3857,4221,3730,3106,3069,3360,3386,6037,6701,2689,4274,2869,3389,3010,3055
Genuine_ImageOrder,26Dennis_Egan.jpg,54Carl_Kruger.jpg,20Jeffrey_Bradley.jpg,11Daniel_Kagan.jpg,52Art_Wittich.jpg,62John_Cowdery.jpg,19Warren_Kampf.jpg,25Matt_Claman.jpg,34Niceley_Frank.jpg,58Joe_Armstrong.jpg,28Richard_Codey.jpg,45Ben_Arredondo.jpg,31Tim_Hennessey.jpg,36Neil_D_Breslin.jpg,70Ward_Crutchfield.jpg,38Bob_Ney.jpg,18Brian_Crain.jpg,61Bruce_Weyhrauch.jpg,37_Michael Grimm.jpg,51Salvatore_Dimasi.jpg,49Kent_Sorenson.jpg,71Joel_Boniek.jpg,53John_Perzel.jpg,60Vic_Kohring.jpg,64Joseph_Coniglio.jpg,22Sanderson_Bill.jpg,44Paul_Bookout.jpg,16Jon_Sesso.jpg,21Bruce_Bannister.jpg,5Tuggle_Mark.jpg,29Thomas_Abinanti.jpg,40James_Traficant.jpg,66James_Boyce_Black.jpg,14Fitz_Steele.jpg,23Scott_Rigell.jpg,32Kevin _Schreiber.jpg,15Harold_Naughton.jpg,67William_DeWeese.jpg,30Stephen_Ross.jpg,65Anthoney_Seminerio.jpg,2Ken_Smith.jpg,69Joseph_Loeper.jpg,39Duke_Cunningham.jpg,42Greg_Wren.jpg,1John_Katko.jpg,47Douglas_Bruce.jpg,68Jeffrey_Habay.jpg,59Phil_Hamilton.jpg,9Bill_Gwatney.jpg,43Terry_Spicer.jpg,10Scheffel_Mark.jpg,3Darrell_lssa.jpg,17Michael_Ranzenhofer.jpg,46Steve_King.jpg,56Bobby_Harrell.jpg,8Noel_W_Campbell.JPG,24Dan_Ortiz.jpg,50KeithHall.jpg,48Thomas_Gaffey.jpg,6Brown_KL.jpg,27Joseph_Lagana.jpg,63Daniel_Van_Pelt.jpg,55Rick_Brinkley.jpg,57Thad_Viers.jpg,33Charles_McIlhinney.jpg,13Steven_Sodders.jpg,4Louis_Terhar.jpg,72Vincent_Leibell.jpg,12Frantz_Scott.jpg,7Bill_Poole.jpg,35Frank_Garner.jpg,41Mike_Hubbard.jpg
Attractive_Ratings,3,2,3,4,2,1,3,2,4,3,2,3,3,1,3,3,2,2,2,1,2,4,2,2,2,2,3,2,1,2,1,2,2,2,1,2,3,2,1,1,2,3,2,2,1,2,2,2,3,3,3,2,2,2,2,3,1,3,3,3,1,2,3,3,2,1,1,1,1,1,2,1
Attractive_RT,3368,2974,1707,3276,2504,1947,3457,3857,2050,2144,1896,1751,3394,2015,1710,1906,3086,3702,2609,1755,2443,6991,5373,2775,1785,3294,6834,4314,916,2039,1775,3084,2386,3235,2027,2730,2204,2117,1270,2123,2694,2012,3862,2102,3122,8019,3360,4739,2229,2137,3244,2956,2859,4983,2001,1833,1659,1866,8367,3405,1452,4876,3027,5351,3632,3013,1211,1242,1230,2430,2348,1350
Attractive_ImageOrder,5Tuggle_Mark.jpg,46Steve_King.jpg,32Kevin _Schreiber.jpg,34Niceley_Frank.jpg,20Jeffrey_Bradley.jpg,23Scott_Rigell.jpg,13Steven_Sodders.jpg,53John_Perzel.jpg,60Vic_Kohring.jpg,22Sanderson_Bill.jpg,33Charles_McIlhinney.jpg,59Phil_Hamilton.jpg,50KeithHall.jpg,27Joseph_Lagana.jpg,6Brown_KL.jpg,36Neil_D_Breslin.jpg,69Joseph_Loeper.jpg,35Frank_Garner.jpg,29Thomas_Abinanti.jpg,10Scheffel_Mark.jpg,52Art_Wittich.jpg,48Thomas_Gaffey.jpg,44Paul_Bookout.jpg,49Kent_Sorenson.jpg,54Carl_Kruger.jpg,9Bill_Gwatney.jpg,30Stephen_Ross.jpg,56Bobby_Harrell.jpg,26Dennis_Egan.jpg,24Dan_Ortiz.jpg,37_Michael Grimm.jpg,51Salvatore_Dimasi.jpg,21Bruce_Bannister.jpg,15Harold_Naughton.jpg,45Ben_Arredondo.jpg,61Bruce_Weyhrauch.jpg,57Thad_Viers.jpg,2Ken_Smith.jpg,72Vincent_Leibell.jpg,8Noel_W_Campbell.JPG,19Warren_Kampf.jpg,11Daniel_Kagan.jpg,16Jon_Sesso.jpg,28Richard_Codey.jpg,58Joe_Armstrong.jpg,47Douglas_Bruce.jpg,55Rick_Brinkley.jpg,43Terry_Spicer.jpg,3Darrell_lssa.jpg,18Brian_Crain.jpg,4Louis_Terhar.jpg,64Joseph_Coniglio.jpg,12Frantz_Scott.jpg,66James_Boyce_Black.jpg,63Daniel_Van_Pelt.jpg,41Mike_Hubbard.jpg,17Michael_Ranzenhofer.jpg,42Greg_Wren.jpg,38Bob_Ney.jpg,31Tim_Hennessey.jpg,68Jeffrey_Habay.jpg,67William_DeWeese.jpg,14Fitz_Steele.jpg,65Anthoney_Seminerio.jpg,62John_Cowdery.jpg,25Matt_Claman.jpg,39Duke_Cunningham.jpg,71Joel_Boniek.jpg,70Ward_Crutchfield.jpg,1John_Katko.jpg,7Bill_Poole.jpg,40James_Traficant.jpg
Dominant_Ratings,3,5,5,4,5,2,2,6,4,3,2,3,4,1,4,2,5,2,3,4,2,3,3,2,5,6,2,4,2,4,4,3,2,3,4,3,5,3,5,5,3,4,2,2,3,3,3,5,4,3,4,3,4,4,4,5,1,4,2,4,2,5,3,2,5,2,5,1,5,5,3,3
