66e2ddcc7aa33c35fd90cfcc_2024-11-26T08:44:21.480Z
End_Time,2024-11-26T08:56:05.479Z
Block_Order,attractive,dominant,corruptible,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,4,4,5,4,3,2,4,2,4,4,4,2,3,4,4,3,5,3,4,5,4,4,3,3,3,2,4,4,4,2,4,5,6,6,2,5,5,4,6,5,6,5,5,5,5,4,5,5,6,6,4,2,3,6,5,4,4,5,5,4,4,6,5,6,6,4,5,4,5,3,6,4
Corruptible_RT,1369,864,697,1121,926,558,539,1385,605,905,776,1088,872,718,724,981,516,743,285,1035,1029,600,1249,922,1272,1128,1153,976,1199,636,852,1123,1655,1157,826,1364,2121,1327,1284,821,819,776,1452,1618,778,636,773,757,1853,1481,635,718,1327,1339,480,815,945,1300,3137,3165,404,849,1072,1003,1113,1086,282,596,1269,717,895,454
Corruptible_ImageOrder,33Charles_McIlhinney.jpg,20Jeffrey_Bradley.jpg,26Dennis_Egan.jpg,8Noel_W_Campbell.JPG,54Carl_Kruger.jpg,53John_Perzel.jpg,28Richard_Codey.jpg,21Bruce_Bannister.jpg,72Vincent_Leibell.jpg,14Fitz_Steele.jpg,10Scheffel_Mark.jpg,15Harold_Naughton.jpg,50KeithHall.jpg,52Art_Wittich.jpg,62John_Cowdery.jpg,2Ken_Smith.jpg,61Bruce_Weyhrauch.jpg,19Warren_Kampf.jpg,56Bobby_Harrell.jpg,60Vic_Kohring.jpg,46Steve_King.jpg,34Niceley_Frank.jpg,51Salvatore_Dimasi.jpg,68Jeffrey_Habay.jpg,7Bill_Poole.jpg,38Bob_Ney.jpg,49Kent_Sorenson.jpg,65Anthoney_Seminerio.jpg,3Darrell_lssa.jpg,59Phil_Hamilton.jpg,4Louis_Terhar.jpg,70Ward_Crutchfield.jpg,18Brian_Crain.jpg,69Joseph_Loeper.jpg,23Scott_Rigell.jpg,45Ben_Arredondo.jpg,58Joe_Armstrong.jpg,37_Michael Grimm.jpg,42Greg_Wren.jpg,29Thomas_Abinanti.jpg,11Daniel_Kagan.jpg,31Tim_Hennessey.jpg,5Tuggle_Mark.jpg,43Terry_Spicer.jpg,1John_Katko.jpg,32Kevin _Schreiber.jpg,36Neil_D_Breslin.jpg,64Joseph_Coniglio.jpg,63Daniel_Van_Pelt.jpg,27Joseph_Lagana.jpg,25Matt_Claman.jpg,44Paul_Bookout.jpg,66James_Boyce_Black.jpg,55Rick_Brinkley.jpg,24Dan_Ortiz.jpg,12Frantz_Scott.jpg,39Duke_Cunningham.jpg,71Joel_Boniek.jpg,41Mike_Hubbard.jpg,48Thomas_Gaffey.jpg,57Thad_Viers.jpg,17Michael_Ranzenhofer.jpg,40James_Traficant.jpg,22Sanderson_Bill.jpg,67William_DeWeese.jpg,9Bill_Gwatney.jpg,16Jon_Sesso.jpg,47Douglas_Bruce.jpg,30Stephen_Ross.jpg,6Brown_KL.jpg,13Steven_Sodders.jpg,35Frank_Garner.jpg
Genuine_Ratings,4,5,3,4,4,2,4,5,6,2,4,6,5,5,3,6,4,2,5,2,3,6,4,5,4,2,2,3,4,6,2,2,2,4,5,4,2,4,1,3,2,3,2,4,5,3,4,4,1,1,2,2,2,2,2,5,4,6,4,2,4,2,5,1,2,3,3,3,2,2,2,2
Genuine_RT,1627,1005,944,731,957,926,690,1219,982,877,751,690,1333,799,880,966,1195,704,868,1688,987,2457,873,1843,870,964,1230,1031,570,1004,877,1014,1173,944,630,1307,1363,835,1307,923,1183,1037,963,2447,691,746,559,938,1032,1244,1757,643,764,958,1085,855,980,704,886,670,1071,799,806,1005,1024,601,885,926,972,811,567,895
Genuine_ImageOrder,44Paul_Bookout.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,62John_Cowdery.jpg,34Niceley_Frank.jpg,54Carl_Kruger.jpg,60Vic_Kohring.jpg,1John_Katko.jpg,30Stephen_Ross.jpg,72Vincent_Leibell.jpg,9Bill_Gwatney.jpg,64Joseph_Coniglio.jpg,68Jeffrey_Habay.jpg,39Duke_Cunningham.jpg,63Daniel_Van_Pelt.jpg,53John_Perzel.jpg,58Joe_Armstrong.jpg,33Charles_McIlhinney.jpg,55Rick_Brinkley.jpg,13Steven_Sodders.jpg,16Jon_Sesso.jpg,12Frantz_Scott.jpg,49Kent_Sorenson.jpg,42Greg_Wren.jpg,37_Michael Grimm.jpg,71Joel_Boniek.jpg,43Terry_Spicer.jpg,67William_DeWeese.jpg,46Steve_King.jpg,66James_Boyce_Black.jpg,3Darrell_lssa.jpg,18Brian_Crain.jpg,17Michael_Ranzenhofer.jpg,29Thomas_Abinanti.jpg,7Bill_Poole.jpg,4Louis_Terhar.jpg,24Dan_Ortiz.jpg,48Thomas_Gaffey.jpg,22Sanderson_Bill.jpg,50KeithHall.jpg,15Harold_Naughton.jpg,27Joseph_Lagana.jpg,20Jeffrey_Bradley.jpg,10Scheffel_Mark.jpg,19Warren_Kampf.jpg,35Frank_Garner.jpg,14Fitz_Steele.jpg,59Phil_Hamilton.jpg,36Neil_D_Breslin.jpg,23Scott_Rigell.jpg,38Bob_Ney.jpg,31Tim_Hennessey.jpg,6Brown_KL.jpg,8Noel_W_Campbell.JPG,45Ben_Arredondo.jpg,52Art_Wittich.jpg,26Dennis_Egan.jpg,5Tuggle_Mark.jpg,32Kevin _Schreiber.jpg,61Bruce_Weyhrauch.jpg,25Matt_Claman.jpg,47Douglas_Bruce.jpg,65Anthoney_Seminerio.jpg,28Richard_Codey.jpg,11Daniel_Kagan.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,2Ken_Smith.jpg,56Bobby_Harrell.jpg,51Salvatore_Dimasi.jpg,21Bruce_Bannister.jpg,57Thad_Viers.jpg
Attractive_Ratings,3,1,2,2,2,1,2,2,4,2,3,4,3,2,3,2,2,2,2,1,3,2,2,1,3,2,4,1,2,1,2,4,1,2,2,2,3,3,1,2,2,2,2,1,1,3,2,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,3,1,1,1,2,2,1,2,2,1
Attractive_RT,1696,1486,1108,658,765,1278,1033,1537,2075,744,959,950,1855,1104,1033,553,748,871,2493,642,948,1124,604,861,1732,1660,1381,1460,1100,817,723,2462,1209,723,1030,1115,1897,1710,802,934,675,1015,799,864,2372,1173,762,606,1719,1083,2041,539,1809,1962,648,2010,720,658,1032,409,825,616,1443,1587,765,824,1038,552,1880,1081,921,1473
Attractive_ImageOrder,54Carl_Kruger.jpg,28Richard_Codey.jpg,13Steven_Sodders.jpg,33Charles_McIlhinney.jpg,21Bruce_Bannister.jpg,15Harold_Naughton.jpg,53John_Perzel.jpg,22Sanderson_Bill.jpg,29Thomas_Abinanti.jpg,38Bob_Ney.jpg,51Salvatore_Dimasi.jpg,35Frank_Garner.jpg,26Dennis_Egan.jpg,2Ken_Smith.jpg,30Stephen_Ross.jpg,36Neil_D_Breslin.jpg,43Terry_Spicer.jpg,1John_Katko.jpg,70Ward_Crutchfield.jpg,64Joseph_Coniglio.jpg,39Duke_Cunningham.jpg,9Bill_Gwatney.jpg,66James_Boyce_Black.jpg,17Michael_Ranzenhofer.jpg,47Douglas_Bruce.jpg,24Dan_Ortiz.jpg,18Brian_Crain.jpg,23Scott_Rigell.jpg,48Thomas_Gaffey.jpg,8Noel_W_Campbell.JPG,5Tuggle_Mark.jpg,32Kevin _Schreiber.jpg,3Darrell_lssa.jpg,25Matt_Claman.jpg,42Greg_Wren.jpg,41Mike_Hubbard.jpg,11Daniel_Kagan.jpg,60Vic_Kohring.jpg,56Bobby_Harrell.jpg,12Frantz_Scott.jpg,69Joseph_Loeper.jpg,52Art_Wittich.jpg,27Joseph_Lagana.jpg,72Vincent_Leibell.jpg,71Joel_Boniek.jpg,31Tim_Hennessey.jpg,57Thad_Viers.jpg,65Anthoney_Seminerio.jpg,46Steve_King.jpg,50KeithHall.jpg,16Jon_Sesso.jpg,62John_Cowdery.jpg,49Kent_Sorenson.jpg,68Jeffrey_Habay.jpg,63Daniel_Van_Pelt.jpg,58Joe_Armstrong.jpg,45Ben_Arredondo.jpg,34Niceley_Frank.jpg,37_Michael Grimm.jpg,10Scheffel_Mark.jpg,6Brown_KL.jpg,67William_DeWeese.jpg,7Bill_Poole.jpg,19Warren_Kampf.jpg,55Rick_Brinkley.jpg,20Jeffrey_Bradley.jpg,59Phil_Hamilton.jpg,40James_Traficant.jpg,61Bruce_Weyhrauch.jpg,4Louis_Terhar.jpg,14Fitz_Steele.jpg,44Paul_Bookout.jpg
