66d0266edee873a6ca916365_2024-11-27T07:06:33.152Z
End_Time,2024-11-27T07:45:16.360Z
Block_Order,dominant,attractive,genuine,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,4,4,6,2,6,4,7,2,3,3,1,1,5,3,1,2,3,4,5,4,5,1,2,4,6,1,2,6,7,5,1,2,7,5,4,4,2,7,7,5,3,5,3,4,2,5,5,3,1,7,5,2,6,2,3,1,4,7,4,3,5,2,2,6,3,2,2,7,6,7,2
Corruptible_RT,2260,3087,3712,2280,2790,2342,2003,1820,1868,1867,2417,2061,2331,1165,2044,3328,1902,1991,3282,2115,1751,2983,2033,1911,2197,4165,1897,1950,1820,3805,2066,4703,2243,2510,1570,4713,2137,2811,1899,1760,2255,2325,2889,1897,2203,2577,2023,1800,4407,5437,2884,2910,1742,2157,2877,5031,2225,1972,1871,4648,2104,2480,2570,2128,3158,4019,2025,1917,2178,2291,2295,2208
Corruptible_ImageOrder,11Daniel_Kagan.jpg,42Greg_Wren.jpg,52Art_Wittich.jpg,35Frank_Garner.jpg,14Fitz_Steele.jpg,51Salvatore_Dimasi.jpg,16Jon_Sesso.jpg,62John_Cowdery.jpg,21Bruce_Bannister.jpg,15Harold_Naughton.jpg,47Douglas_Bruce.jpg,32Kevin _Schreiber.jpg,26Dennis_Egan.jpg,37_Michael Grimm.jpg,27Joseph_Lagana.jpg,50KeithHall.jpg,33Charles_McIlhinney.jpg,61Bruce_Weyhrauch.jpg,43Terry_Spicer.jpg,4Louis_Terhar.jpg,30Stephen_Ross.jpg,8Noel_W_Campbell.JPG,20Jeffrey_Bradley.jpg,39Duke_Cunningham.jpg,60Vic_Kohring.jpg,10Scheffel_Mark.jpg,72Vincent_Leibell.jpg,57Thad_Viers.jpg,65Anthoney_Seminerio.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,13Steven_Sodders.jpg,63Daniel_Van_Pelt.jpg,18Brian_Crain.jpg,2Ken_Smith.jpg,48Thomas_Gaffey.jpg,54Carl_Kruger.jpg,23Scott_Rigell.jpg,68Jeffrey_Habay.jpg,44Paul_Bookout.jpg,1John_Katko.jpg,36Neil_D_Breslin.jpg,12Frantz_Scott.jpg,34Niceley_Frank.jpg,59Phil_Hamilton.jpg,58Joe_Armstrong.jpg,71Joel_Boniek.jpg,29Thomas_Abinanti.jpg,56Bobby_Harrell.jpg,41Mike_Hubbard.jpg,6Brown_KL.jpg,40James_Traficant.jpg,31Tim_Hennessey.jpg,55Rick_Brinkley.jpg,67William_DeWeese.jpg,38Bob_Ney.jpg,17Michael_Ranzenhofer.jpg,66James_Boyce_Black.jpg,3Darrell_lssa.jpg,24Dan_Ortiz.jpg,22Sanderson_Bill.jpg,9Bill_Gwatney.jpg,53John_Perzel.jpg,28Richard_Codey.jpg,49Kent_Sorenson.jpg,25Matt_Claman.jpg,19Warren_Kampf.jpg,5Tuggle_Mark.jpg,45Ben_Arredondo.jpg,64Joseph_Coniglio.jpg,7Bill_Poole.jpg,46Steve_King.jpg
Genuine_Ratings,5,5,5,3,5,2,5,1,5,5,5,6,4,4,5,7,5,5,4,4,4,3,7,5,5,2,7,4,3,2,5,7,4,3,2,2,4,4,1,1,3,4,3,4,3,4,4,3,4,6,2,2,4,2,5,5,7,3,2,3,4,2,5,4,3,5,5,4,1,1,4,5
Genuine_RT,1654,1829,1829,1764,1793,2152,3133,2005,1092,2331,2318,3060,1010,4295,3343,2234,1781,1684,2304,2196,2034,1936,3852,3264,3530,2247,2809,2575,1903,1931,2393,4408,1016,2653,1390,2370,1938,2343,1898,1808,2440,1437,2262,1321,2452,2824,2023,2127,2784,2222,1793,2018,2363,2313,3236,2017,1688,1646,3509,2117,1979,3656,2385,2965,2458,2041,3850,2525,1746,2672,2049,2758
Genuine_ImageOrder,64Joseph_Coniglio.jpg,50KeithHall.jpg,20Jeffrey_Bradley.jpg,5Tuggle_Mark.jpg,23Scott_Rigell.jpg,54Carl_Kruger.jpg,37_Michael Grimm.jpg,48Thomas_Gaffey.jpg,36Neil_D_Breslin.jpg,45Ben_Arredondo.jpg,63Daniel_Van_Pelt.jpg,72Vincent_Leibell.jpg,11Daniel_Kagan.jpg,39Duke_Cunningham.jpg,62John_Cowdery.jpg,38Bob_Ney.jpg,8Noel_W_Campbell.JPG,6Brown_KL.jpg,28Richard_Codey.jpg,59Phil_Hamilton.jpg,43Terry_Spicer.jpg,14Fitz_Steele.jpg,34Niceley_Frank.jpg,41Mike_Hubbard.jpg,22Sanderson_Bill.jpg,12Frantz_Scott.jpg,55Rick_Brinkley.jpg,57Thad_Viers.jpg,16Jon_Sesso.jpg,26Dennis_Egan.jpg,67William_DeWeese.jpg,61Bruce_Weyhrauch.jpg,17Michael_Ranzenhofer.jpg,1John_Katko.jpg,19Warren_Kampf.jpg,2Ken_Smith.jpg,71Joel_Boniek.jpg,25Matt_Claman.jpg,3Darrell_lssa.jpg,31Tim_Hennessey.jpg,56Bobby_Harrell.jpg,65Anthoney_Seminerio.jpg,53John_Perzel.jpg,18Brian_Crain.jpg,52Art_Wittich.jpg,29Thomas_Abinanti.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,21Bruce_Bannister.jpg,68Jeffrey_Habay.jpg,24Dan_Ortiz.jpg,15Harold_Naughton.jpg,47Douglas_Bruce.jpg,7Bill_Poole.jpg,40James_Traficant.jpg,60Vic_Kohring.jpg,35Frank_Garner.jpg,32Kevin _Schreiber.jpg,10Scheffel_Mark.jpg,49Kent_Sorenson.jpg,42Greg_Wren.jpg,13Steven_Sodders.jpg,51Salvatore_Dimasi.jpg,58Joe_Armstrong.jpg,46Steve_King.jpg,44Paul_Bookout.jpg,33Charles_McIlhinney.jpg,9Bill_Gwatney.jpg,30Stephen_Ross.jpg,4Louis_Terhar.jpg,66James_Boyce_Black.jpg,27Joseph_Lagana.jpg
Attractive_Ratings,4,2,4,2,4,1,4,1,6,3,3,6,6,4,4,5,3,3,4,2,3,2,3,1,5,1,5,3,2,2,2,6,4,3,2,2,4,3,1,2,3,3,2,2,1,6,3,2,3,3,1,2,2,2,3,3,5,2,1,2,3,2,5,4,2,2,3,5,1,1,4,1
Attractive_RT,2262,1594,1686,1758,1977,1789,2151,2281,2516,1924,2174,2505,2242,1960,2334,2121,1940,1557,2285,1843,1102,2284,1830,1315,1932,1814,1990,1879,1929,2101,2079,2453,2459,1563,1954,2069,2333,2193,2222,2127,1801,1451,1782,4289,1657,2478,2044,1867,1812,1888,4540,1560,1879,1683,2575,1790,2031,1917,1930,2199,1744,2124,3514,1783,2023,3709,3060,2147,1832,2663,1976,2332
Attractive_ImageOrder,66James_Boyce_Black.jpg,45Ben_Arredondo.jpg,37_Michael Grimm.jpg,40James_Traficant.jpg,6Brown_KL.jpg,24Dan_Ortiz.jpg,52Art_Wittich.jpg,68Jeffrey_Habay.jpg,8Noel_W_Campbell.JPG,2Ken_Smith.jpg,48Thomas_Gaffey.jpg,42Greg_Wren.jpg,20Jeffrey_Bradley.jpg,36Neil_D_Breslin.jpg,61Bruce_Weyhrauch.jpg,54Carl_Kruger.jpg,27Joseph_Lagana.jpg,71Joel_Boniek.jpg,49Kent_Sorenson.jpg,4Louis_Terhar.jpg,43Terry_Spicer.jpg,50KeithHall.jpg,47Douglas_Bruce.jpg,70Ward_Crutchfield.jpg,5Tuggle_Mark.jpg,1John_Katko.jpg,14Fitz_Steele.jpg,3Darrell_lssa.jpg,26Dennis_Egan.jpg,38Bob_Ney.jpg,13Steven_Sodders.jpg,39Duke_Cunningham.jpg,65Anthoney_Seminerio.jpg,56Bobby_Harrell.jpg,64Joseph_Coniglio.jpg,31Tim_Hennessey.jpg,16Jon_Sesso.jpg,25Matt_Claman.jpg,17Michael_Ranzenhofer.jpg,53John_Perzel.jpg,55Rick_Brinkley.jpg,15Harold_Naughton.jpg,46Steve_King.jpg,63Daniel_Van_Pelt.jpg,69Joseph_Loeper.jpg,19Warren_Kampf.jpg,11Daniel_Kagan.jpg,22Sanderson_Bill.jpg,72Vincent_Leibell.jpg,51Salvatore_Dimasi.jpg,44Paul_Bookout.jpg,10Scheffel_Mark.jpg,21Bruce_Bannister.jpg,34Niceley_Frank.jpg,18Brian_Crain.jpg,58Joe_Armstrong.jpg,29Thomas_Abinanti.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,23Scott_Rigell.jpg,33Charles_McIlhinney.jpg,62John_Cowdery.jpg,35Frank_Garner.jpg,30Stephen_Ross.jpg,57Thad_Viers.jpg,12Frantz_Scott.jpg,7Bill_Poole.jpg,41Mike_Hubbard.jpg,9Bill_Gwatney.jpg,32Kevin _Schreiber.jpg,67William_DeWeese.jpg,28Richard_Codey.jpg
Dominant_Ratings,4,5,3,7,3,7,4,5,3,6,3,6,3,3,3,4,6,3,4,5,5,5,3,3,6,6,3,6,3,4,6,4,4,4,6,4,4,2,7,6,5,3,4,3,4,3,4,5,4,6,5,6,6,6,6,3,3,4,5,4,5,5,3,3,4,3,5,3,5,5,5,4
Dominant_RT,3245,3161,4106,2030,2339,2576,2488,2499,2509,2614,3064,2408,2201,3868,2957,4946,3478,3776,2323,4181,2777,2933,3203,2331,4562,2818,2716,2102,2280,3726,3540,2334,4084,2474,3882,1874,2761,2728,1834,2346,2422,1951,2727,2031,2231,3385,2652,2689,2277,2142,3483,5682,1853,2242,2733,2625,1791,2088,2023,2443,3150,2993,2717,3148,2395,3286,2410,3044,2247,3342,2618,3010
