"image","male_politician_image","convicted","Corruptible","Genuine","Attractive","Dominant","wiki","gov","news","age","glasses","beard","mustache","hair_blond","hair_white","hair_black","hair_brown","pixels","AU06","AU12","clothing_r","clothing_g","clothing_b"
1,"1john_katko.jpg",0,3.6864406779661,4.02542372881356,3.52991452991453,4.05084745762712,1,0,0,62,0,0,0,0,2,3,0,934648,0.83058816,0.9413051,17.45476013,17.52252115,20.4402957
2,"2ken_smith.jpg",0,4.00847457627119,3.67521367521368,2.67796610169492,3.59322033898305,1,0,0,58,1,0,0,0,2,2,0,391460,0.8899826,0.9495555,11.04432042,11.52342489,13.7338066
3,"3darrell_lssa.jpg",0,3.83193277310924,3.92307692307692,3.71186440677966,4.07627118644068,1,0,0,71,0,0,0,0,1,3,0,321409,0.93382853,0.9630643,15.76936128,14.22770324,15.29320843
4,"4louis_terhar.jpg",0,3.88983050847458,4.13559322033898,2.88135593220339,4.16101694915254,1,0,0,75,0,0,0,0,3,0,0,1026344,0.819334,0.91359,10.65127662,13.64132813,14.08460149
5,"5tuggle_mark.jpg",0,3.94117647058824,3.95798319327731,3.55084745762712,3.66949152542373,0,1,0,59,0,0,0,0,0,3,0,550506,0.85651195,0.93888533,11.00061552,12.99131746,15.25221164
6,"6brown_kl.jpg",0,4.3781512605042,2.84873949579832,1.95798319327731,3.72033898305085,0,1,0,65,1,0,0,0,3,0,0,1016436,0.88223726,0.9013153,25.50925551,21.77344314,20.72239158
7,"7bill_poole.jpg",0,3.81512605042017,4.01709401709402,3.6890756302521,3.94915254237288,0,0,1,47,0,0,0,0,0,0,3,595276,0.7716275,0.89107645,15.98404818,13.64732635,15.87917089
8,"8noel_w_campbell.jpg",0,4.31932773109244,3.44915254237288,2.26050420168067,4.20338983050847,1,0,0,82,1,0,0,0,3,0,0,1134000,0.9139398,0.9549971,16.42021131,16.15503482,16.18864189
9,"9bill_gwatney.jpg",0,3.81512605042017,4.05084745762712,3.58823529411765,3.67521367521368,0,0,1,65,0,0,0,0,2,1,0,1028400,0.8584516,0.95859027,13.84030982,12.65142942,14.67782667
10,"10scheffel_mark.jpg",0,4.03361344537815,3.67796610169492,3.34745762711864,4.47457627118644,1,0,0,65,0,0,0,0,0,0,3,355320,0.88347876,0.9216946,15.21604203,14.52836602,15.18413
11,"11daniel_kagan.jpg",0,3.89075630252101,3.61864406779661,2.78813559322034,3.46153846153846,0,1,0,71,0,0,0,0,0,2,3,422181,0.90400445,0.95867765,16.61243324,16.9462714,17.64709152
12,"12frantz_scott.jpg",0,3.31932773109244,4.05042016806723,3.55084745762712,3.49152542372881,0,1,0,64,0,0,0,0,0,2,2,566040,0.44602385,0.71937746,20.02907102,19.808909,19.70636289
13,"13steven_sodders.jpg",0,3.46610169491525,3.97457627118644,3.73109243697479,3.15254237288136,1,0,0,56,0,0,0,0,0,3,1,375550,0.6687501,0.7467116,16.77588047,16.48216727,15.87009235
14,"14fitz_steele.jpg",0,3.80508474576271,4.04237288135593,2.74576271186441,3.09401709401709,0,0,1,59,0,0,0,0,0,3,0,1425717,0.89607435,0.96571445,28.71129401,26.81241535,21.48044941
15,"15harold_naughton.jpg",0,3.94915254237288,3.83760683760684,3.27118644067797,4.05128205128205,0,0,1,64,0,0,0,0,1,3,0,760584,0.8848257,0.9223434,13.98159154,12.99834444,14.06107806
16,"16jon_sesso.jpg",0,2.74576271186441,5.05932203389831,4.09243697478992,3.15384615384615,0,0,1,70,0,1,1,0,2,2,0,464832,0.9028365,0.9831691,15.23744109,14.57449341,17.61633604
17,"17michael_ranzenhofer.jpg",0,4.11016949152542,3.80508474576271,3.00847457627119,4.33050847457627,0,1,0,70,0,0,0,0,2,2,0,967284,0.9104856,0.9724142,17.17740603,18.05344296,19.54812707
