512FED05A72842BF9658B966FBD7F076_2024-11-19T17:30:55.519Z
End_Time,2024-11-19T17:47:07.270Z
Block_Order,genuine,dominant,attractive,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,4,2,4,3,4,3,3,4,4,4,4,4,4,3,5,2,5,3,2,4,4,4,4,5,4,3,3,4,5,2,2,5,4,3,7,2,3,4,3,2,4,2,3,4,5,3,3,6,5,5,7,4,3,5,5,4,5,5,5,4,4,5,5,2,5,4,4,3,7,5,4,4
Corruptible_RT,1344,1820,598,964,376,1104,1019,1923,383,812,851,1304,930,1006,1666,1847,1829,672,604,1383,1881,895,1530,508,1423,1800,1723,1526,1084,1893,1422,1720,1185,1227,1089,823,1199,1209,1446,1489,1009,1447,1022,1051,984,1389,1407,1719,1306,851,1472,483,1225,5954,1138,729,824,951,1385,915,308,1500,1107,851,1333,49,341,1213,1346,1417,1351,1618
Corruptible_ImageOrder,54Carl_Kruger.jpg,72Vincent_Leibell.jpg,56Bobby_Harrell.jpg,13Steven_Sodders.jpg,53John_Perzel.jpg,69Joseph_Loeper.jpg,48Thomas_Gaffey.jpg,62John_Cowdery.jpg,68Jeffrey_Habay.jpg,55Rick_Brinkley.jpg,63Daniel_Van_Pelt.jpg,16Jon_Sesso.jpg,39Duke_Cunningham.jpg,31Tim_Hennessey.jpg,65Anthoney_Seminerio.jpg,24Dan_Ortiz.jpg,1John_Katko.jpg,11Daniel_Kagan.jpg,52Art_Wittich.jpg,5Tuggle_Mark.jpg,67William_DeWeese.jpg,61Bruce_Weyhrauch.jpg,9Bill_Gwatney.jpg,66James_Boyce_Black.jpg,12Frantz_Scott.jpg,7Bill_Poole.jpg,40James_Traficant.jpg,64Joseph_Coniglio.jpg,17Michael_Ranzenhofer.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,20Jeffrey_Bradley.jpg,44Paul_Bookout.jpg,41Mike_Hubbard.jpg,22Sanderson_Bill.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,46Steve_King.jpg,51Salvatore_Dimasi.jpg,35Frank_Garner.jpg,27Joseph_Lagana.jpg,70Ward_Crutchfield.jpg,49Kent_Sorenson.jpg,71Joel_Boniek.jpg,25Matt_Claman.jpg,57Thad_Viers.jpg,26Dennis_Egan.jpg,18Brian_Crain.jpg,33Charles_McIlhinney.jpg,10Scheffel_Mark.jpg,47Douglas_Bruce.jpg,43Terry_Spicer.jpg,6Brown_KL.jpg,15Harold_Naughton.jpg,45Ben_Arredondo.jpg,23Scott_Rigell.jpg,38Bob_Ney.jpg,14Fitz_Steele.jpg,34Niceley_Frank.jpg,37_Michael Grimm.jpg,4Louis_Terhar.jpg,60Vic_Kohring.jpg,2Ken_Smith.jpg,42Greg_Wren.jpg,19Warren_Kampf.jpg,36Neil_D_Breslin.jpg,8Noel_W_Campbell.JPG,30Stephen_Ross.jpg,21Bruce_Bannister.jpg,3Darrell_lssa.jpg,32Kevin _Schreiber.jpg,50KeithHall.jpg
Genuine_Ratings,5,4,3,4,3,4,6,5,6,5,5,7,5,6,4,5,5,6,5,5,3,6,4,4,3,3,3,6,3,4,5,6,7,6,4,6,5,5,5,4,7,6,5,3,4,4,4,4,4,5,4,5,5,5,4,6,6,5,6,3,4,6,4,4,6,4,4,7,3,4,3,4
Genuine_RT,657,1610,345,842,409,280,381,1907,335,418,543,858,610,535,1028,546,426,937,1000,1428,462,485,888,964,592,469,1026,876,1335,468,419,10454,978,466,1184,2350,580,790,455,570,1097,616,900,2515,522,428,634,371,436,346,366,2258,645,496,533,1900,490,605,980,1083,365,753,2304,438,464,1225,356,698,398,1521,722,1255
Genuine_ImageOrder,32Kevin _Schreiber.jpg,56Bobby_Harrell.jpg,36Neil_D_Breslin.jpg,8Noel_W_Campbell.JPG,70Ward_Crutchfield.jpg,63Daniel_Van_Pelt.jpg,15Harold_Naughton.jpg,44Paul_Bookout.jpg,72Vincent_Leibell.jpg,43Terry_Spicer.jpg,13Steven_Sodders.jpg,54Carl_Kruger.jpg,16Jon_Sesso.jpg,37_Michael Grimm.jpg,58Joe_Armstrong.jpg,52Art_Wittich.jpg,19Warren_Kampf.jpg,38Bob_Ney.jpg,67William_DeWeese.jpg,40James_Traficant.jpg,48Thomas_Gaffey.jpg,6Brown_KL.jpg,47Douglas_Bruce.jpg,45Ben_Arredondo.jpg,50KeithHall.jpg,2Ken_Smith.jpg,24Dan_Ortiz.jpg,59Phil_Hamilton.jpg,4Louis_Terhar.jpg,66James_Boyce_Black.jpg,35Frank_Garner.jpg,30Stephen_Ross.jpg,46Steve_King.jpg,23Scott_Rigell.jpg,27Joseph_Lagana.jpg,71Joel_Boniek.jpg,3Darrell_lssa.jpg,69Joseph_Loeper.jpg,26Dennis_Egan.jpg,20Jeffrey_Bradley.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,39Duke_Cunningham.jpg,62John_Cowdery.jpg,14Fitz_Steele.jpg,57Thad_Viers.jpg,65Anthoney_Seminerio.jpg,22Sanderson_Bill.jpg,7Bill_Poole.jpg,42Greg_Wren.jpg,31Tim_Hennessey.jpg,53John_Perzel.jpg,1John_Katko.jpg,17Michael_Ranzenhofer.jpg,28Richard_Codey.jpg,34Niceley_Frank.jpg,18Brian_Crain.jpg,9Bill_Gwatney.jpg,33Charles_McIlhinney.jpg,12Frantz_Scott.jpg,41Mike_Hubbard.jpg,68Jeffrey_Habay.jpg,60Vic_Kohring.jpg,25Matt_Claman.jpg,21Bruce_Bannister.jpg,5Tuggle_Mark.jpg,29Thomas_Abinanti.jpg,49Kent_Sorenson.jpg,61Bruce_Weyhrauch.jpg,64Joseph_Coniglio.jpg,51Salvatore_Dimasi.jpg,55Rick_Brinkley.jpg
Attractive_Ratings,2,7,3,7,5,3,5,3,3,5,3,3,5,3,4,3,4,6,3,3,7,3,2,4,5,3,7,3,4,3,3,3,3,3,3,3,7,3,3,2,3,3,3,7,3,4,3,3,4,6,3,3,5,3,3,5,5,3,6,4,4,3,5,5,3,2,5,4,3,3,3,3
Attractive_RT,1275,640,818,426,535,526,1135,1120,1039,1056,823,861,661,1087,1494,1474,989,1273,688,1372,1086,1402,638,527,834,698,1362,830,583,1357,1009,1047,1206,741,539,484,403,970,581,1283,985,988,463,1253,462,1134,1191,798,1121,1284,869,588,1259,1102,712,412,1341,622,856,1447,546,815,807,415,766,1402,708,834,1069,696,958,1160
Attractive_ImageOrder,44Paul_Bookout.jpg,4Louis_Terhar.jpg,2Ken_Smith.jpg,37_Michael Grimm.jpg,21Bruce_Bannister.jpg,59Phil_Hamilton.jpg,69Joseph_Loeper.jpg,28Richard_Codey.jpg,58Joe_Armstrong.jpg,43Terry_Spicer.jpg,45Ben_Arredondo.jpg,7Bill_Poole.jpg,64Joseph_Coniglio.jpg,56Bobby_Harrell.jpg,46Steve_King.jpg,29Thomas_Abinanti.jpg,26Dennis_Egan.jpg,36Neil_D_Breslin.jpg,65Anthoney_Seminerio.jpg,53John_Perzel.jpg,17Michael_Ranzenhofer.jpg,61Bruce_Weyhrauch.jpg,24Dan_Ortiz.jpg,31Tim_Hennessey.jpg,10Scheffel_Mark.jpg,13Steven_Sodders.jpg,63Daniel_Van_Pelt.jpg,5Tuggle_Mark.jpg,8Noel_W_Campbell.JPG,1John_Katko.jpg,23Scott_Rigell.jpg,66James_Boyce_Black.jpg,14Fitz_Steele.jpg,42Greg_Wren.jpg,71Joel_Boniek.jpg,48Thomas_Gaffey.jpg,25Matt_Claman.jpg,55Rick_Brinkley.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,60Vic_Kohring.jpg,15Harold_Naughton.jpg,50KeithHall.jpg,47Douglas_Bruce.jpg,12Frantz_Scott.jpg,3Darrell_lssa.jpg,70Ward_Crutchfield.jpg,34Niceley_Frank.jpg,32Kevin _Schreiber.jpg,54Carl_Kruger.jpg,19Warren_Kampf.jpg,16Jon_Sesso.jpg,27Joseph_Lagana.jpg,22Sanderson_Bill.jpg,9Bill_Gwatney.jpg,41Mike_Hubbard.jpg,18Brian_Crain.jpg,30Stephen_Ross.jpg,6Brown_KL.jpg,35Frank_Garner.jpg,72Vincent_Leibell.jpg,52Art_Wittich.jpg,68Jeffrey_Habay.jpg,20Jeffrey_Bradley.jpg,33Charles_McIlhinney.jpg,49Kent_Sorenson.jpg,51Salvatore_Dimasi.jpg,62John_Cowdery.jpg,11Daniel_Kagan.jpg,57Thad_Viers.jpg,67William_DeWeese.jpg,38Bob_Ney.jpg
