6BC180620B81403B948C17BECF977527_2024-11-20T16:23:30.264Z
End_Time,2024-11-20T16:40:45.861Z
Block_Order,genuine,dominant,attractive,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,1,2,3,5,2,5,2,5,4,3,1,3,2,3,3,1,1,4,1,5,2,2,1,2,1,6,1,4,3,5,2,1,3,5,2,4,1,4,6,6,3,3,4,2,5,3,3,1,1,5,4,5,3,3,2,2,1,1,2,4,4,5,1,2,6,5,3,4,7,5,2,6
Corruptible_RT,2251,2499,1822,2470,1987,1680,4181,1792,1840,1359,1205,2541,892,2247,1774,1097,1879,2283,1057,1908,1427,6303,1479,2155,1446,2153,1272,1939,9656,1622,1964,562,2044,1082,2061,3300,1863,1958,1432,2005,2095,2320,2239,1608,2153,2063,2634,1251,932,1486,3041,1174,3567,1970,3278,2380,911,902,1765,1575,4913,2003,1071,2546,1603,1203,3037,2780,1371,2228,2582,1586
Corruptible_ImageOrder,22Sanderson_Bill.jpg,51Salvatore_Dimasi.jpg,1John_Katko.jpg,57Thad_Viers.jpg,64Joseph_Coniglio.jpg,47Douglas_Bruce.jpg,61Bruce_Weyhrauch.jpg,16Jon_Sesso.jpg,63Daniel_Van_Pelt.jpg,24Dan_Ortiz.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,8Noel_W_Campbell.JPG,2Ken_Smith.jpg,48Thomas_Gaffey.jpg,17Michael_Ranzenhofer.jpg,28Richard_Codey.jpg,30Stephen_Ross.jpg,29Thomas_Abinanti.jpg,7Bill_Poole.jpg,33Charles_McIlhinney.jpg,62John_Cowdery.jpg,6Brown_KL.jpg,55Rick_Brinkley.jpg,45Ben_Arredondo.jpg,12Frantz_Scott.jpg,5Tuggle_Mark.jpg,37_Michael Grimm.jpg,46Steve_King.jpg,68Jeffrey_Habay.jpg,11Daniel_Kagan.jpg,56Bobby_Harrell.jpg,70Ward_Crutchfield.jpg,66James_Boyce_Black.jpg,18Brian_Crain.jpg,60Vic_Kohring.jpg,15Harold_Naughton.jpg,27Joseph_Lagana.jpg,21Bruce_Bannister.jpg,3Darrell_lssa.jpg,52Art_Wittich.jpg,40James_Traficant.jpg,31Tim_Hennessey.jpg,53John_Perzel.jpg,26Dennis_Egan.jpg,69Joseph_Loeper.jpg,67William_DeWeese.jpg,71Joel_Boniek.jpg,39Duke_Cunningham.jpg,19Warren_Kampf.jpg,54Carl_Kruger.jpg,42Greg_Wren.jpg,38Bob_Ney.jpg,43Terry_Spicer.jpg,59Phil_Hamilton.jpg,23Scott_Rigell.jpg,9Bill_Gwatney.jpg,72Vincent_Leibell.jpg,49Kent_Sorenson.jpg,32Kevin _Schreiber.jpg,4Louis_Terhar.jpg,34Niceley_Frank.jpg,65Anthoney_Seminerio.jpg,41Mike_Hubbard.jpg,10Scheffel_Mark.jpg,14Fitz_Steele.jpg,13Steven_Sodders.jpg,25Matt_Claman.jpg,44Paul_Bookout.jpg,20Jeffrey_Bradley.jpg,50KeithHall.jpg,58Joe_Armstrong.jpg
Genuine_Ratings,4,4,4,5,5,2,4,1,3,3,2,3,5,3,4,5,3,5,5,2,3,4,3,1,5,1,5,2,4,2,2,6,4,2,2,3,3,2,3,1,3,3,4,2,2,5,4,5,5,3,2,3,3,3,2,6,4,5,3,4,2,2,4,1,2,5,4,3,1,2,4,1
Genuine_RT,2721,2591,4447,2217,1662,1179,1903,1218,2083,2669,3218,2018,2207,6736,2676,2706,2562,2468,2805,3557,1780,1625,2648,1399,2514,1181,2655,1432,3451,1121,1654,2192,1660,1435,1947,5716,3497,1310,4936,1126,1602,2236,3808,1346,2527,3362,4449,3568,2033,1427,1142,3725,1423,1409,2718,4206,1950,3119,3657,2319,6896,1806,2175,1992,1177,3553,2970,2022,1944,1306,6245,1394
Genuine_ImageOrder,71Joel_Boniek.jpg,56Bobby_Harrell.jpg,14Fitz_Steele.jpg,66James_Boyce_Black.jpg,48Thomas_Gaffey.jpg,36Neil_D_Breslin.jpg,34Niceley_Frank.jpg,10Scheffel_Mark.jpg,7Bill_Poole.jpg,22Sanderson_Bill.jpg,52Art_Wittich.jpg,31Tim_Hennessey.jpg,6Brown_KL.jpg,43Terry_Spicer.jpg,37_Michael Grimm.jpg,39Duke_Cunningham.jpg,33Charles_McIlhinney.jpg,2Ken_Smith.jpg,53John_Perzel.jpg,4Louis_Terhar.jpg,50KeithHall.jpg,20Jeffrey_Bradley.jpg,27Joseph_Lagana.jpg,47Douglas_Bruce.jpg,61Bruce_Weyhrauch.jpg,49Kent_Sorenson.jpg,28Richard_Codey.jpg,3Darrell_lssa.jpg,9Bill_Gwatney.jpg,23Scott_Rigell.jpg,11Daniel_Kagan.jpg,19Warren_Kampf.jpg,62John_Cowdery.jpg,46Steve_King.jpg,38Bob_Ney.jpg,60Vic_Kohring.jpg,45Ben_Arredondo.jpg,58Joe_Armstrong.jpg,1John_Katko.jpg,70Ward_Crutchfield.jpg,32Kevin _Schreiber.jpg,18Brian_Crain.jpg,24Dan_Ortiz.jpg,21Bruce_Bannister.jpg,13Steven_Sodders.jpg,42Greg_Wren.jpg,8Noel_W_Campbell.JPG,59Phil_Hamilton.jpg,41Mike_Hubbard.jpg,69Joseph_Loeper.jpg,16Jon_Sesso.jpg,63Daniel_Van_Pelt.jpg,12Frantz_Scott.jpg,5Tuggle_Mark.jpg,57Thad_Viers.jpg,68Jeffrey_Habay.jpg,29Thomas_Abinanti.jpg,44Paul_Bookout.jpg,40James_Traficant.jpg,25Matt_Claman.jpg,15Harold_Naughton.jpg,55Rick_Brinkley.jpg,35Frank_Garner.jpg,17Michael_Ranzenhofer.jpg,51Salvatore_Dimasi.jpg,72Vincent_Leibell.jpg,64Joseph_Coniglio.jpg,54Carl_Kruger.jpg,65Anthoney_Seminerio.jpg,67William_DeWeese.jpg,30Stephen_Ross.jpg,26Dennis_Egan.jpg
Attractive_Ratings,3,1,3,1,4,1,2,1,3,1,1,1,4,1,3,4,3,3,4,1,3,3,1,3,3,1,4,1,1,1,1,5,1,1,2,1,4,1,1,1,4,2,3,1,1,3,1,1,4,1,1,1,1,1,3,3,4,4,2,3,1,1,4,1,1,1,1,1,1,1,1,3
Attractive_RT,1541,934,3058,4668,2270,1017,1222,729,1609,859,1305,1337,2803,1457,4002,1707,2492,1443,1866,960,2998,2311,1301,2883,2295,953,919,796,697,1140,1299,3299,799,594,4240,848,2033,1196,1220,787,2680,1516,1827,806,935,2529,792,958,1427,1339,854,820,700,926,4062,1893,2476,1769,2899,1662,864,897,2533,969,708,1117,1633,846,726,783,1128,4764
Attractive_ImageOrder,4Louis_Terhar.jpg,64Joseph_Coniglio.jpg,55Rick_Brinkley.jpg,20Jeffrey_Bradley.jpg,31Tim_Hennessey.jpg,44Paul_Bookout.jpg,40James_Traficant.jpg,39Duke_Cunningham.jpg,7Bill_Poole.jpg,5Tuggle_Mark.jpg,71Joel_Boniek.jpg,14Fitz_Steele.jpg,41Mike_Hubbard.jpg,72Vincent_Leibell.jpg,58Joe_Armstrong.jpg,24Dan_Ortiz.jpg,18Brian_Crain.jpg,34Niceley_Frank.jpg,42Greg_Wren.jpg,36Neil_D_Breslin.jpg,46Steve_King.jpg,43Terry_Spicer.jpg,17Michael_Ranzenhofer.jpg,25Matt_Claman.jpg,54Carl_Kruger.jpg,65Anthoney_Seminerio.jpg,53John_Perzel.jpg,61Bruce_Weyhrauch.jpg,23Scott_Rigell.jpg,47Douglas_Bruce.jpg,29Thomas_Abinanti.jpg,70Ward_Crutchfield.jpg,52Art_Wittich.jpg,51Salvatore_Dimasi.jpg,32Kevin _Schreiber.jpg,45Ben_Arredondo.jpg,22Sanderson_Bill.jpg,66James_Boyce_Black.jpg,30Stephen_Ross.jpg,13Steven_Sodders.jpg,8Noel_W_Campbell.JPG,11Daniel_Kagan.jpg,59Phil_Hamilton.jpg,3Darrell_lssa.jpg,1John_Katko.jpg,68Jeffrey_Habay.jpg,9Bill_Gwatney.jpg,60Vic_Kohring.jpg,63Daniel_Van_Pelt.jpg,28Richard_Codey.jpg,37_Michael Grimm.jpg,27Joseph_Lagana.jpg,16Jon_Sesso.jpg,62John_Cowdery.jpg,10Scheffel_Mark.jpg,2Ken_Smith.jpg,38Bob_Ney.jpg,69Joseph_Loeper.jpg,26Dennis_Egan.jpg,12Frantz_Scott.jpg,19Warren_Kampf.jpg,6Brown_KL.jpg,35Frank_Garner.jpg,21Bruce_Bannister.jpg,48Thomas_Gaffey.jpg,57Thad_Viers.jpg,50KeithHall.jpg,49Kent_Sorenson.jpg,15Harold_Naughton.jpg,67William_DeWeese.jpg,56Bobby_Harrell.jpg,33Charles_McIlhinney.jpg
