9CF0344B1B194CEE8CBE4C561E31FD5E_2024-11-20T13:55:29.311Z
End_Time,2024-11-20T14:09:33.936Z
Block_Order,corruptible,attractive,dominant,genuine
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,6,7,6,7,6,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,6,6,7,7,7,6,6,7,7,7,6,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,6,7,6,7,7,7,7,6,6,7,7,7,7,7,7,7,7
Corruptible_RT,1521,1135,1747,1036,1416,1391,1141,1762,2591,904,1554,1468,1311,1258,1220,812,1233,861,1005,866,1278,1234,2139,1117,1547,1136,1239,1480,863,1667,1456,1732,1081,1010,2128,1438,1322,1175,897,1419,1272,1356,1204,1293,997,1161,1033,1389,2045,1319,2997,989,1273,1183,973,1735,1549,1250,1245,1443,2305,1449,1286,1859,1407,1117,1443,1479,1066,1118,1368,948
Corruptible_ImageOrder,51Salvatore_Dimasi.jpg,9Bill_Gwatney.jpg,8Noel_W_Campbell.JPG,64Joseph_Coniglio.jpg,23Scott_Rigell.jpg,30Stephen_Ross.jpg,49Kent_Sorenson.jpg,35Frank_Garner.jpg,25Matt_Claman.jpg,48Thomas_Gaffey.jpg,68Jeffrey_Habay.jpg,6Brown_KL.jpg,65Anthoney_Seminerio.jpg,32Kevin _Schreiber.jpg,28Richard_Codey.jpg,62John_Cowdery.jpg,13Steven_Sodders.jpg,31Tim_Hennessey.jpg,12Frantz_Scott.jpg,36Neil_D_Breslin.jpg,61Bruce_Weyhrauch.jpg,40James_Traficant.jpg,71Joel_Boniek.jpg,11Daniel_Kagan.jpg,21Bruce_Bannister.jpg,43Terry_Spicer.jpg,1John_Katko.jpg,67William_DeWeese.jpg,44Paul_Bookout.jpg,46Steve_King.jpg,70Ward_Crutchfield.jpg,37_Michael Grimm.jpg,2Ken_Smith.jpg,42Greg_Wren.jpg,38Bob_Ney.jpg,50KeithHall.jpg,59Phil_Hamilton.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,5Tuggle_Mark.jpg,54Carl_Kruger.jpg,17Michael_Ranzenhofer.jpg,66James_Boyce_Black.jpg,19Warren_Kampf.jpg,47Douglas_Bruce.jpg,53John_Perzel.jpg,14Fitz_Steele.jpg,63Daniel_Van_Pelt.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,29Thomas_Abinanti.jpg,3Darrell_lssa.jpg,7Bill_Poole.jpg,52Art_Wittich.jpg,72Vincent_Leibell.jpg,22Sanderson_Bill.jpg,39Duke_Cunningham.jpg,26Dennis_Egan.jpg,69Joseph_Loeper.jpg,18Brian_Crain.jpg,15Harold_Naughton.jpg,20Jeffrey_Bradley.jpg,41Mike_Hubbard.jpg,58Joe_Armstrong.jpg,24Dan_Ortiz.jpg,4Louis_Terhar.jpg,27Joseph_Lagana.jpg,55Rick_Brinkley.jpg,10Scheffel_Mark.jpg,45Ben_Arredondo.jpg,16Jon_Sesso.jpg,60Vic_Kohring.jpg
Genuine_Ratings,3,2,4,3,3,2,2,3,3,2,3,3,4,4,3,4,4,4,4,2,2,4,4,3,3,1,4,2,3,2,2,4,3,2,4,2,3,3,1,2,3,3,3,4,3,3,2,3,4,3,1,3,3,2,3,3,3,3,2,4,2,2,4,2,2,2,3,3,1,2,2,3
Genuine_RT,1895,1497,1767,1767,1796,2455,1751,3317,2528,2784,2068,2031,3320,2970,2473,1771,2304,2715,1296,1307,1795,1682,2168,2057,2132,2326,1896,2821,2329,1869,2171,2450,2131,1810,2124,1707,1688,1785,1082,1874,2748,2795,2174,1574,2716,3657,2443,3060,1453,2762,1574,2580,1502,2048,2557,2879,2528,1800,2313,2389,1921,3115,1972,1700,1422,1162,1688,2835,2247,3095,2314,1508
Genuine_ImageOrder,47Douglas_Bruce.jpg,69Joseph_Loeper.jpg,67William_DeWeese.jpg,42Greg_Wren.jpg,59Phil_Hamilton.jpg,36Neil_D_Breslin.jpg,6Brown_KL.jpg,57Thad_Viers.jpg,1John_Katko.jpg,26Dennis_Egan.jpg,39Duke_Cunningham.jpg,37_Michael Grimm.jpg,61Bruce_Weyhrauch.jpg,70Ward_Crutchfield.jpg,32Kevin _Schreiber.jpg,17Michael_Ranzenhofer.jpg,49Kent_Sorenson.jpg,28Richard_Codey.jpg,9Bill_Gwatney.jpg,62John_Cowdery.jpg,38Bob_Ney.jpg,30Stephen_Ross.jpg,41Mike_Hubbard.jpg,60Vic_Kohring.jpg,46Steve_King.jpg,18Brian_Crain.jpg,52Art_Wittich.jpg,45Ben_Arredondo.jpg,3Darrell_lssa.jpg,35Frank_Garner.jpg,29Thomas_Abinanti.jpg,15Harold_Naughton.jpg,48Thomas_Gaffey.jpg,8Noel_W_Campbell.JPG,50KeithHall.jpg,56Bobby_Harrell.jpg,68Jeffrey_Habay.jpg,10Scheffel_Mark.jpg,66James_Boyce_Black.jpg,65Anthoney_Seminerio.jpg,51Salvatore_Dimasi.jpg,64Joseph_Coniglio.jpg,55Rick_Brinkley.jpg,54Carl_Kruger.jpg,24Dan_Ortiz.jpg,12Frantz_Scott.jpg,4Louis_Terhar.jpg,44Paul_Bookout.jpg,16Jon_Sesso.jpg,22Sanderson_Bill.jpg,14Fitz_Steele.jpg,5Tuggle_Mark.jpg,25Matt_Claman.jpg,63Daniel_Van_Pelt.jpg,71Joel_Boniek.jpg,33Charles_McIlhinney.jpg,7Bill_Poole.jpg,2Ken_Smith.jpg,20Jeffrey_Bradley.jpg,31Tim_Hennessey.jpg,21Bruce_Bannister.jpg,34Niceley_Frank.jpg,27Joseph_Lagana.jpg,53John_Perzel.jpg,19Warren_Kampf.jpg,11Daniel_Kagan.jpg,58Joe_Armstrong.jpg,13Steven_Sodders.jpg,43Terry_Spicer.jpg,72Vincent_Leibell.jpg,40James_Traficant.jpg,23Scott_Rigell.jpg
Attractive_Ratings,3,1,4,1,4,1,3,1,3,2,1,3,3,1,2,1,2,1,2,1,1,2,3,1,3,1,4,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,3,3,1,1,2,1,1,2,1,1,1,3,1,1,1,1,1
Attractive_RT,1593,918,2380,933,2068,1053,2764,879,2672,2289,1190,1511,2064,1216,1709,1624,1807,1192,2102,1032,2533,2356,1574,913,2241,864,1924,1396,1160,1071,846,2413,827,1437,1520,906,2683,1111,808,836,1327,1177,1097,2250,1349,1793,1171,2919,1069,1008,866,963,898,1074,1315,1542,1663,897,911,1488,1349,1262,1655,1210,813,915,2037,1399,1023,943,978,1096
Attractive_ImageOrder,22Sanderson_Bill.jpg,46Steve_King.jpg,9Bill_Gwatney.jpg,62John_Cowdery.jpg,13Steven_Sodders.jpg,16Jon_Sesso.jpg,47Douglas_Bruce.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,24Dan_Ortiz.jpg,49Kent_Sorenson.jpg,52Art_Wittich.jpg,18Brian_Crain.jpg,69Joseph_Loeper.jpg,30Stephen_Ross.jpg,10Scheffel_Mark.jpg,17Michael_Ranzenhofer.jpg,68Jeffrey_Habay.jpg,38Bob_Ney.jpg,60Vic_Kohring.jpg,56Bobby_Harrell.jpg,43Terry_Spicer.jpg,1John_Katko.jpg,64Joseph_Coniglio.jpg,6Brown_KL.jpg,19Warren_Kampf.jpg,23Scott_Rigell.jpg,12Frantz_Scott.jpg,21Bruce_Bannister.jpg,3Darrell_lssa.jpg,7Bill_Poole.jpg,55Rick_Brinkley.jpg,11Daniel_Kagan.jpg,58Joe_Armstrong.jpg,32Kevin _Schreiber.jpg,61Bruce_Weyhrauch.jpg,71Joel_Boniek.jpg,15Harold_Naughton.jpg,42Greg_Wren.jpg,8Noel_W_Campbell.JPG,4Louis_Terhar.jpg,35Frank_Garner.jpg,66James_Boyce_Black.jpg,20Jeffrey_Bradley.jpg,14Fitz_Steele.jpg,44Paul_Bookout.jpg,41Mike_Hubbard.jpg,31Tim_Hennessey.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,33Charles_McIlhinney.jpg,53John_Perzel.jpg,72Vincent_Leibell.jpg,2Ken_Smith.jpg,70Ward_Crutchfield.jpg,39Duke_Cunningham.jpg,65Anthoney_Seminerio.jpg,29Thomas_Abinanti.jpg,40James_Traficant.jpg,45Ben_Arredondo.jpg,48Thomas_Gaffey.jpg,5Tuggle_Mark.jpg,67William_DeWeese.jpg,34Niceley_Frank.jpg,54Carl_Kruger.jpg,63Daniel_Van_Pelt.jpg,59Phil_Hamilton.jpg,36Neil_D_Breslin.jpg,26Dennis_Egan.jpg,37_Michael Grimm.jpg,57Thad_Viers.jpg,25Matt_Claman.jpg
