C284A9A51A2D4DF78B3FFFA62795D7F6_2024-11-20T16:26:50.007Z
End_Time,2024-11-20T16:50:02.116Z
Block_Order,dominant,genuine,corruptible,attractive
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,5,6,7,4,3,6,5,7,5,5,6,7,4,4,4,3,5,5,5,5,4,5,6,3,3,4,3,3,4,3,6,5,6,5,6,4,4,4,6,7,4,4,4,4,7,5,6,5,7,6,7,5,5,7,5,5,5,7,4,3,7,3,6,7,5,3,6,6,5,5,6,6
Corruptible_RT,691,1419,5498,1181,1999,1034,998,1363,1180,1172,474,703,940,363,1016,4325,1699,1470,1324,1126,2238,1499,3309,2165,1249,1056,1534,1563,1239,5480,1830,1071,1558,1258,9210,2085,1817,1379,1388,590,1132,547,1037,1296,1645,2178,660,2738,2196,1407,3564,1145,3416,3081,1696,598,1286,3993,2885,940,1369,1710,1077,10620,4602,962,1267,1325,5382,13935,1970,1276
Corruptible_ImageOrder,30Stephen_Ross.jpg,60Vic_Kohring.jpg,29Thomas_Abinanti.jpg,3Darrell_lssa.jpg,54Carl_Kruger.jpg,46Steve_King.jpg,2Ken_Smith.jpg,49Kent_Sorenson.jpg,40James_Traficant.jpg,31Tim_Hennessey.jpg,20Jeffrey_Bradley.jpg,70Ward_Crutchfield.jpg,4Louis_Terhar.jpg,51Salvatore_Dimasi.jpg,22Sanderson_Bill.jpg,32Kevin _Schreiber.jpg,34Niceley_Frank.jpg,23Scott_Rigell.jpg,47Douglas_Bruce.jpg,10Scheffel_Mark.jpg,56Bobby_Harrell.jpg,6Brown_KL.jpg,19Warren_Kampf.jpg,61Bruce_Weyhrauch.jpg,50KeithHall.jpg,33Charles_McIlhinney.jpg,59Phil_Hamilton.jpg,36Neil_D_Breslin.jpg,48Thomas_Gaffey.jpg,5Tuggle_Mark.jpg,65Anthoney_Seminerio.jpg,44Paul_Bookout.jpg,26Dennis_Egan.jpg,28Richard_Codey.jpg,27Joseph_Lagana.jpg,8Noel_W_Campbell.JPG,25Matt_Claman.jpg,15Harold_Naughton.jpg,13Steven_Sodders.jpg,71Joel_Boniek.jpg,35Frank_Garner.jpg,64Joseph_Coniglio.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,38Bob_Ney.jpg,63Daniel_Van_Pelt.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,67William_DeWeese.jpg,62John_Cowdery.jpg,66James_Boyce_Black.jpg,1John_Katko.jpg,68Jeffrey_Habay.jpg,37_Michael Grimm.jpg,43Terry_Spicer.jpg,16Jon_Sesso.jpg,52Art_Wittich.jpg,9Bill_Gwatney.jpg,55Rick_Brinkley.jpg,39Duke_Cunningham.jpg,7Bill_Poole.jpg,53John_Perzel.jpg,45Ben_Arredondo.jpg,58Joe_Armstrong.jpg,21Bruce_Bannister.jpg,69Joseph_Loeper.jpg,72Vincent_Leibell.jpg,24Dan_Ortiz.jpg,41Mike_Hubbard.jpg,57Thad_Viers.jpg,42Greg_Wren.jpg,14Fitz_Steele.jpg
Genuine_Ratings,4,4,5,5,6,6,6,1,7,7,3,3,7,7,4,7,3,5,7,2,6,3,6,3,7,5,7,4,4,5,4,4,3,7,6,6,6,4,4,3,5,7,4,4,4,7,6,5,6,6,3,3,3,1,3,5,4,5,5,6,7,4,4,5,4,3,5,3,2,5,4,2
Genuine_RT,1599,2014,1466,1005,1253,329,1274,1699,1056,877,459,2871,1203,1700,444,1315,804,2993,813,1289,691,4307,3277,1830,294,107,880,3382,1144,1176,1826,900,1008,968,409,429,1212,1823,1266,1586,9851,418,1592,2707,745,1360,1345,1098,711,3907,6308,5185,1274,944,1544,708,1425,1216,1552,1096,1166,1707,1407,1853,3182,3057,2219,344,1418,1449,1036,7747
Genuine_ImageOrder,22Sanderson_Bill.jpg,53John_Perzel.jpg,38Bob_Ney.jpg,57Thad_Viers.jpg,32Kevin _Schreiber.jpg,8Noel_W_Campbell.JPG,54Carl_Kruger.jpg,3Darrell_lssa.jpg,44Paul_Bookout.jpg,71Joel_Boniek.jpg,2Ken_Smith.jpg,40James_Traficant.jpg,33Charles_McIlhinney.jpg,62John_Cowdery.jpg,16Jon_Sesso.jpg,60Vic_Kohring.jpg,14Fitz_Steele.jpg,19Warren_Kampf.jpg,7Bill_Poole.jpg,39Duke_Cunningham.jpg,45Ben_Arredondo.jpg,1John_Katko.jpg,31Tim_Hennessey.jpg,69Joseph_Loeper.jpg,67William_DeWeese.jpg,70Ward_Crutchfield.jpg,4Louis_Terhar.jpg,48Thomas_Gaffey.jpg,52Art_Wittich.jpg,63Daniel_Van_Pelt.jpg,72Vincent_Leibell.jpg,12Frantz_Scott.jpg,51Salvatore_Dimasi.jpg,17Michael_Ranzenhofer.jpg,66James_Boyce_Black.jpg,43Terry_Spicer.jpg,65Anthoney_Seminerio.jpg,28Richard_Codey.jpg,18Brian_Crain.jpg,20Jeffrey_Bradley.jpg,50KeithHall.jpg,55Rick_Brinkley.jpg,11Daniel_Kagan.jpg,15Harold_Naughton.jpg,42Greg_Wren.jpg,29Thomas_Abinanti.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,27Joseph_Lagana.jpg,6Brown_KL.jpg,9Bill_Gwatney.jpg,13Steven_Sodders.jpg,59Phil_Hamilton.jpg,61Bruce_Weyhrauch.jpg,35Frank_Garner.jpg,68Jeffrey_Habay.jpg,36Neil_D_Breslin.jpg,26Dennis_Egan.jpg,41Mike_Hubbard.jpg,37_Michael Grimm.jpg,64Joseph_Coniglio.jpg,56Bobby_Harrell.jpg,5Tuggle_Mark.jpg,21Bruce_Bannister.jpg,58Joe_Armstrong.jpg,47Douglas_Bruce.jpg,46Steve_King.jpg,34Niceley_Frank.jpg,10Scheffel_Mark.jpg,49Kent_Sorenson.jpg,30Stephen_Ross.jpg,23Scott_Rigell.jpg
Attractive_Ratings,4,1,5,2,4,1,1,1,2,5,2,5,5,2,3,6,3,3,3,1,3,2,4,1,4,1,5,1,1,1,1,5,3,3,3,3,5,2,1,1,2,2,2,2,1,3,2,2,2,2,2,3,2,1,1,3,5,2,3,5,3,1,4,2,1,2,2,3,1,1,2,2
Attractive_RT,1143,1314,1619,993,1599,1429,690,1175,810,1044,1590,1731,1223,919,3201,1981,1234,1392,1008,1380,1222,1384,1249,1283,1531,699,908,1476,1035,780,1319,640,1327,1388,1039,1153,1458,1563,1791,1631,1582,953,1505,877,807,1423,1044,1241,1023,1324,896,1229,1435,921,631,889,1211,974,1279,1108,1638,739,1688,873,1357,1089,1703,1410,1417,974,1461,769
Attractive_ImageOrder,15Harold_Naughton.jpg,6Brown_KL.jpg,3Darrell_lssa.jpg,38Bob_Ney.jpg,58Joe_Armstrong.jpg,27Joseph_Lagana.jpg,72Vincent_Leibell.jpg,18Brian_Crain.jpg,69Joseph_Loeper.jpg,57Thad_Viers.jpg,34Niceley_Frank.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,40James_Traficant.jpg,62John_Cowdery.jpg,41Mike_Hubbard.jpg,10Scheffel_Mark.jpg,32Kevin _Schreiber.jpg,51Salvatore_Dimasi.jpg,17Michael_Ranzenhofer.jpg,22Sanderson_Bill.jpg,9Bill_Gwatney.jpg,19Warren_Kampf.jpg,53John_Perzel.jpg,44Paul_Bookout.jpg,59Phil_Hamilton.jpg,13Steven_Sodders.jpg,23Scott_Rigell.jpg,16Jon_Sesso.jpg,2Ken_Smith.jpg,71Joel_Boniek.jpg,65Anthoney_Seminerio.jpg,12Frantz_Scott.jpg,24Dan_Ortiz.jpg,42Greg_Wren.jpg,70Ward_Crutchfield.jpg,30Stephen_Ross.jpg,63Daniel_Van_Pelt.jpg,33Charles_McIlhinney.jpg,20Jeffrey_Bradley.jpg,39Duke_Cunningham.jpg,29Thomas_Abinanti.jpg,11Daniel_Kagan.jpg,64Joseph_Coniglio.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,45Ben_Arredondo.jpg,26Dennis_Egan.jpg,43Terry_Spicer.jpg,25Matt_Claman.jpg,61Bruce_Weyhrauch.jpg,21Bruce_Bannister.jpg,36Neil_D_Breslin.jpg,5Tuggle_Mark.jpg,28Richard_Codey.jpg,46Steve_King.jpg,66James_Boyce_Black.jpg,1John_Katko.jpg,52Art_Wittich.jpg,35Frank_Garner.jpg,67William_DeWeese.jpg,14Fitz_Steele.jpg,4Louis_Terhar.jpg,47Douglas_Bruce.jpg,56Bobby_Harrell.jpg,37_Michael Grimm.jpg,60Vic_Kohring.jpg,31Tim_Hennessey.jpg,68Jeffrey_Habay.jpg,8Noel_W_Campbell.JPG,7Bill_Poole.jpg
