D9BBE83C331247A9BDED98E705980BE1_2024-11-19T17:28:24.798Z
End_Time,2024-11-19T17:46:30.976Z
Block_Order,genuine,dominant,attractive,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,3,3,2,3,3,4,3,3,2,3,2,3,3,3,3,2,3,3,2,4,3,3,2,3,3,4,2,3,3,3,4,2,2,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,4,4,2,2,3,2,3,2,2,4,4,3
Corruptible_RT,1572,1438,2200,2575,1141,1049,1128,1507,3255,1320,1851,1148,6593,1226,1259,1706,1370,1141,1760,1876,2066,1644,3835,2324,1116,1441,4020,941,4683,1610,1125,3091,7233,3659,1625,1932,1588,1630,1419,2819,1033,1594,1186,1413,1394,1245,1598,2202,3685,1398,1766,1392,1543,1234,1927,5093,4997,783,1910,888,1869,1321,4029,1867,2175,2467,1336,2190,2485,1863,1363,1173
Corruptible_ImageOrder,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,29Thomas_Abinanti.jpg,3Darrell_lssa.jpg,49Kent_Sorenson.jpg,55Rick_Brinkley.jpg,28Richard_Codey.jpg,4Louis_Terhar.jpg,40James_Traficant.jpg,47Douglas_Bruce.jpg,33Charles_McIlhinney.jpg,20Jeffrey_Bradley.jpg,9Bill_Gwatney.jpg,37_Michael Grimm.jpg,68Jeffrey_Habay.jpg,15Harold_Naughton.jpg,41Mike_Hubbard.jpg,58Joe_Armstrong.jpg,7Bill_Poole.jpg,17Michael_Ranzenhofer.jpg,22Sanderson_Bill.jpg,51Salvatore_Dimasi.jpg,57Thad_Viers.jpg,56Bobby_Harrell.jpg,54Carl_Kruger.jpg,5Tuggle_Mark.jpg,32Kevin _Schreiber.jpg,23Scott_Rigell.jpg,38Bob_Ney.jpg,70Ward_Crutchfield.jpg,48Thomas_Gaffey.jpg,66James_Boyce_Black.jpg,46Steve_King.jpg,24Dan_Ortiz.jpg,61Bruce_Weyhrauch.jpg,67William_DeWeese.jpg,42Greg_Wren.jpg,13Steven_Sodders.jpg,36Neil_D_Breslin.jpg,65Anthoney_Seminerio.jpg,16Jon_Sesso.jpg,14Fitz_Steele.jpg,1John_Katko.jpg,69Joseph_Loeper.jpg,72Vincent_Leibell.jpg,39Duke_Cunningham.jpg,71Joel_Boniek.jpg,50KeithHall.jpg,62John_Cowdery.jpg,59Phil_Hamilton.jpg,11Daniel_Kagan.jpg,60Vic_Kohring.jpg,45Ben_Arredondo.jpg,52Art_Wittich.jpg,26Dennis_Egan.jpg,12Frantz_Scott.jpg,21Bruce_Bannister.jpg,19Warren_Kampf.jpg,2Ken_Smith.jpg,27Joseph_Lagana.jpg,18Brian_Crain.jpg,31Tim_Hennessey.jpg,8Noel_W_Campbell.JPG,10Scheffel_Mark.jpg,25Matt_Claman.jpg,6Brown_KL.jpg,44Paul_Bookout.jpg,34Niceley_Frank.jpg,53John_Perzel.jpg,30Stephen_Ross.jpg,35Frank_Garner.jpg,43Terry_Spicer.jpg
Genuine_Ratings,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,5,4,4,5,4,4,4,3,4,5,4,4,4,3,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,3,4,3,4,4,3,3,3,3,3,4,5,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4
Genuine_RT,1165,2617,2441,2354,2447,5055,2387,1312,1904,1640,1495,4364,2196,2849,3451,2293,1480,1374,5850,1299,1408,1306,3675,19050,1579,5741,1290,1542,3207,1460,1265,1586,1857,1555,1285,2198,3308,1690,2244,5274,2522,2358,3239,2754,1346,1805,3614,1527,2318,1549,2391,5163,1541,2657,1483,2856,2638,1916,1880,3220,2916,2908,1711,1163,3866,1525,1737,2344,2946,1663,4193,1636
Genuine_ImageOrder,24Dan_Ortiz.jpg,29Thomas_Abinanti.jpg,54Carl_Kruger.jpg,33Charles_McIlhinney.jpg,3Darrell_lssa.jpg,39Duke_Cunningham.jpg,63Daniel_Van_Pelt.jpg,15Harold_Naughton.jpg,23Scott_Rigell.jpg,53John_Perzel.jpg,47Douglas_Bruce.jpg,38Bob_Ney.jpg,18Brian_Crain.jpg,45Ben_Arredondo.jpg,19Warren_Kampf.jpg,36Neil_D_Breslin.jpg,8Noel_W_Campbell.JPG,13Steven_Sodders.jpg,61Bruce_Weyhrauch.jpg,64Joseph_Coniglio.jpg,50KeithHall.jpg,66James_Boyce_Black.jpg,59Phil_Hamilton.jpg,9Bill_Gwatney.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,32Kevin _Schreiber.jpg,68Jeffrey_Habay.jpg,37_Michael Grimm.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,2Ken_Smith.jpg,46Steve_King.jpg,27Joseph_Lagana.jpg,51Salvatore_Dimasi.jpg,48Thomas_Gaffey.jpg,7Bill_Poole.jpg,42Greg_Wren.jpg,49Kent_Sorenson.jpg,26Dennis_Egan.jpg,10Scheffel_Mark.jpg,70Ward_Crutchfield.jpg,22Sanderson_Bill.jpg,6Brown_KL.jpg,20Jeffrey_Bradley.jpg,65Anthoney_Seminerio.jpg,71Joel_Boniek.jpg,67William_DeWeese.jpg,56Bobby_Harrell.jpg,25Matt_Claman.jpg,14Fitz_Steele.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,62John_Cowdery.jpg,72Vincent_Leibell.jpg,17Michael_Ranzenhofer.jpg,31Tim_Hennessey.jpg,34Niceley_Frank.jpg,57Thad_Viers.jpg,30Stephen_Ross.jpg,12Frantz_Scott.jpg,1John_Katko.jpg,35Frank_Garner.jpg,69Joseph_Loeper.jpg,28Richard_Codey.jpg,11Daniel_Kagan.jpg,16Jon_Sesso.jpg,21Bruce_Bannister.jpg,60Vic_Kohring.jpg,58Joe_Armstrong.jpg,55Rick_Brinkley.jpg,52Art_Wittich.jpg
Attractive_Ratings,2,2,3,2,3,1,3,1,2,2,2,2,3,2,3,3,2,3,3,1,3,2,2,2,3,1,3,2,1,2,2,3,3,2,1,2,2,1,1,1,2,3,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3,2,2,3,2,1,2,2,1,2,2,1,1,1,1,1
Attractive_RT,3625,1828,3328,1570,4746,987,2239,2714,2257,1649,2160,2103,2146,2662,1199,2206,1322,3619,4516,1136,1774,1900,1385,2478,1472,1042,1966,1335,913,2361,1118,1194,1820,3300,1241,1211,2717,1686,1044,1393,3415,5638,1474,1273,1641,1467,2113,2148,2432,1365,1189,1960,1209,2809,1560,3101,1713,1539,1612,3776,3693,947,2433,4041,1594,1817,2412,1777,975,2153,1582,1876
Attractive_ImageOrder,64Joseph_Coniglio.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,54Carl_Kruger.jpg,6Brown_KL.jpg,19Warren_Kampf.jpg,55Rick_Brinkley.jpg,4Louis_Terhar.jpg,70Ward_Crutchfield.jpg,69Joseph_Loeper.jpg,26Dennis_Egan.jpg,50KeithHall.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,7Bill_Poole.jpg,52Art_Wittich.jpg,18Brian_Crain.jpg,41Mike_Hubbard.jpg,13Steven_Sodders.jpg,22Sanderson_Bill.jpg,68Jeffrey_Habay.jpg,53John_Perzel.jpg,29Thomas_Abinanti.jpg,16Jon_Sesso.jpg,42Greg_Wren.jpg,51Salvatore_Dimasi.jpg,10Scheffel_Mark.jpg,9Bill_Gwatney.jpg,20Jeffrey_Bradley.jpg,11Daniel_Kagan.jpg,72Vincent_Leibell.jpg,24Dan_Ortiz.jpg,59Phil_Hamilton.jpg,43Terry_Spicer.jpg,8Noel_W_Campbell.JPG,1John_Katko.jpg,49Kent_Sorenson.jpg,62John_Cowdery.jpg,71Joel_Boniek.jpg,58Joe_Armstrong.jpg,48Thomas_Gaffey.jpg,66James_Boyce_Black.jpg,37_Michael Grimm.jpg,34Niceley_Frank.jpg,5Tuggle_Mark.jpg,15Harold_Naughton.jpg,27Joseph_Lagana.jpg,33Charles_McIlhinney.jpg,21Bruce_Bannister.jpg,2Ken_Smith.jpg,67William_DeWeese.jpg,40James_Traficant.jpg,3Darrell_lssa.jpg,32Kevin _Schreiber.jpg,65Anthoney_Seminerio.jpg,35Frank_Garner.jpg,63Daniel_Van_Pelt.jpg,28Richard_Codey.jpg,17Michael_Ranzenhofer.jpg,46Steve_King.jpg,61Bruce_Weyhrauch.jpg,36Neil_D_Breslin.jpg,12Frantz_Scott.jpg,25Matt_Claman.jpg,47Douglas_Bruce.jpg,23Scott_Rigell.jpg,14Fitz_Steele.jpg,30Stephen_Ross.jpg,44Paul_Bookout.jpg,60Vic_Kohring.jpg,31Tim_Hennessey.jpg,45Ben_Arredondo.jpg
