D912D29B76784BAC8CFD560946EDAE97_2024-11-19T15:14:35.701Z
End_Time,2024-11-19T15:32:12.946Z
Block_Order,genuine,dominant,attractive,corruptible
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,2,4,2,5,3,6,3,6,3,4,4,6,3,3,2,6,4,3,3,6,2,4,4,7,6,6,3,4,5,7,5,6,4,5,3,6,5,3,7,7,5,2,3,3,5,5,6,7,7,6,6,6,4,7,4,2,5,6,7,4,5,7,4,5,7,6,5,3,6,6,6,6
Corruptible_RT,2191,2033,2116,2022,2111,1237,1306,2583,2279,1589,2579,1608,2201,2172,2010,1871,2283,965,1719,1732,1986,2275,1917,1864,1423,2113,1525,1738,1814,1095,1280,1768,1865,1891,1799,1583,1572,1895,1690,1619,2179,2139,1152,1764,2238,2125,1820,1422,1341,1332,1671,1861,1735,1380,2673,2701,2262,1514,1702,1426,1618,1545,1429,1855,2814,1579,1977,1353,1719,1924,2387,1193
Corruptible_ImageOrder,65Anthoney_Seminerio.jpg,72Vincent_Leibell.jpg,6Brown_KL.jpg,19Warren_Kampf.jpg,18Brian_Crain.jpg,34Niceley_Frank.jpg,41Mike_Hubbard.jpg,60Vic_Kohring.jpg,16Jon_Sesso.jpg,61Bruce_Weyhrauch.jpg,21Bruce_Bannister.jpg,47Douglas_Bruce.jpg,14Fitz_Steele.jpg,63Daniel_Van_Pelt.jpg,27Joseph_Lagana.jpg,64Joseph_Coniglio.jpg,53John_Perzel.jpg,71Joel_Boniek.jpg,67William_DeWeese.jpg,59Phil_Hamilton.jpg,50KeithHall.jpg,17Michael_Ranzenhofer.jpg,58Joe_Armstrong.jpg,54Carl_Kruger.jpg,52Art_Wittich.jpg,57Thad_Viers.jpg,28Richard_Codey.jpg,31Tim_Hennessey.jpg,66James_Boyce_Black.jpg,25Matt_Claman.jpg,5Tuggle_Mark.jpg,44Paul_Bookout.jpg,51Salvatore_Dimasi.jpg,70Ward_Crutchfield.jpg,23Scott_Rigell.jpg,42Greg_Wren.jpg,26Dennis_Egan.jpg,62John_Cowdery.jpg,30Stephen_Ross.jpg,35Frank_Garner.jpg,46Steve_King.jpg,45Ben_Arredondo.jpg,1John_Katko.jpg,7Bill_Poole.jpg,29Thomas_Abinanti.jpg,69Joseph_Loeper.jpg,13Steven_Sodders.jpg,68Jeffrey_Habay.jpg,3Darrell_lssa.jpg,38Bob_Ney.jpg,32Kevin _Schreiber.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,15Harold_Naughton.jpg,43Terry_Spicer.jpg,10Scheffel_Mark.jpg,37_Michael Grimm.jpg,40James_Traficant.jpg,9Bill_Gwatney.jpg,56Bobby_Harrell.jpg,24Dan_Ortiz.jpg,49Kent_Sorenson.jpg,33Charles_McIlhinney.jpg,55Rick_Brinkley.jpg,4Louis_Terhar.jpg,20Jeffrey_Bradley.jpg,48Thomas_Gaffey.jpg,36Neil_D_Breslin.jpg,8Noel_W_Campbell.JPG,39Duke_Cunningham.jpg,22Sanderson_Bill.jpg,2Ken_Smith.jpg
Genuine_Ratings,6,2,4,2,5,2,5,2,4,2,2,2,2,3,3,2,6,6,4,3,4,3,3,1,5,3,2,3,3,3,4,1,4,2,4,3,3,4,1,1,2,5,2,5,3,2,5,3,2,2,2,3,2,1,3,4,2,3,1,4,2,2,2,1,1,2,5,2,1,2,1,3
Genuine_RT,1532,1086,2152,1951,1951,2067,1852,1380,2184,895,1947,25445,1506,1252,1309,1994,1477,1384,1634,1085,1318,1783,1414,1029,1384,2294,1301,1397,1209,1272,2024,1681,2485,1933,2018,1829,1638,21542,3952,2975,1465,2617,2666,24354,1451,3048,3668,1774,1721,2278,1309,16975,2848,1368,1540,1800,1532,1678,1228,2238,4755,3009,1126,1360,2736,1536,1260,1136,2004,1181,900,2272
Genuine_ImageOrder,39Duke_Cunningham.jpg,26Dennis_Egan.jpg,62John_Cowdery.jpg,47Douglas_Bruce.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,25Matt_Claman.jpg,67William_DeWeese.jpg,19Warren_Kampf.jpg,28Richard_Codey.jpg,30Stephen_Ross.jpg,40James_Traficant.jpg,43Terry_Spicer.jpg,27Joseph_Lagana.jpg,22Sanderson_Bill.jpg,50KeithHall.jpg,53John_Perzel.jpg,3Darrell_lssa.jpg,15Harold_Naughton.jpg,51Salvatore_Dimasi.jpg,23Scott_Rigell.jpg,69Joseph_Loeper.jpg,68Jeffrey_Habay.jpg,35Frank_Garner.jpg,48Thomas_Gaffey.jpg,61Bruce_Weyhrauch.jpg,14Fitz_Steele.jpg,41Mike_Hubbard.jpg,70Ward_Crutchfield.jpg,56Bobby_Harrell.jpg,45Ben_Arredondo.jpg,36Neil_D_Breslin.jpg,65Anthoney_Seminerio.jpg,13Steven_Sodders.jpg,60Vic_Kohring.jpg,20Jeffrey_Bradley.jpg,8Noel_W_Campbell.JPG,4Louis_Terhar.jpg,66James_Boyce_Black.jpg,64Joseph_Coniglio.jpg,5Tuggle_Mark.jpg,21Bruce_Bannister.jpg,34Niceley_Frank.jpg,33Charles_McIlhinney.jpg,29Thomas_Abinanti.jpg,57Thad_Viers.jpg,32Kevin _Schreiber.jpg,24Dan_Ortiz.jpg,31Tim_Hennessey.jpg,16Jon_Sesso.jpg,54Carl_Kruger.jpg,37_Michael Grimm.jpg,11Daniel_Kagan.jpg,59Phil_Hamilton.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg,63Daniel_Van_Pelt.jpg,10Scheffel_Mark.jpg,7Bill_Poole.jpg,6Brown_KL.jpg,9Bill_Gwatney.jpg,55Rick_Brinkley.jpg,46Steve_King.jpg,2Ken_Smith.jpg,42Greg_Wren.jpg,58Joe_Armstrong.jpg,52Art_Wittich.jpg,12Frantz_Scott.jpg,44Paul_Bookout.jpg,38Bob_Ney.jpg,49Kent_Sorenson.jpg,1John_Katko.jpg
Attractive_Ratings,7,3,4,2,5,1,5,1,3,2,1,1,4,3,4,1,3,5,3,1,4,3,3,1,2,3,2,2,2,2,3,1,4,1,3,2,3,2,1,1,4,4,2,4,1,1,3,1,1,1,2,3,4,1,4,4,2,1,1,3,2,1,1,2,1,1,3,2,2,1,1,2
Attractive_RT,4546,1952,11282,1453,2164,1260,2862,1367,1214,2630,871,1321,2575,4289,1642,1518,1755,1943,1371,770,2048,1140,1370,813,1259,1336,1865,2146,1603,1478,2141,921,2183,979,2016,1879,1522,1743,1399,1920,1869,2325,1163,1046,1166,1900,1247,969,2576,1096,1936,1933,1797,1281,3102,1388,1427,1657,1130,1501,1765,922,897,1532,1865,1807,2009,1162,1483,1432,771,1472
Attractive_ImageOrder,58Joe_Armstrong.jpg,71Joel_Boniek.jpg,51Salvatore_Dimasi.jpg,1John_Katko.jpg,10Scheffel_Mark.jpg,9Bill_Gwatney.jpg,43Terry_Spicer.jpg,54Carl_Kruger.jpg,34Niceley_Frank.jpg,21Bruce_Bannister.jpg,49Kent_Sorenson.jpg,27Joseph_Lagana.jpg,33Charles_McIlhinney.jpg,67William_DeWeese.jpg,69Joseph_Loeper.jpg,31Tim_Hennessey.jpg,4Louis_Terhar.jpg,41Mike_Hubbard.jpg,28Richard_Codey.jpg,7Bill_Poole.jpg,40James_Traficant.jpg,32Kevin _Schreiber.jpg,63Daniel_Van_Pelt.jpg,48Thomas_Gaffey.jpg,23Scott_Rigell.jpg,13Steven_Sodders.jpg,19Warren_Kampf.jpg,64Joseph_Coniglio.jpg,46Steve_King.jpg,53John_Perzel.jpg,16Jon_Sesso.jpg,62John_Cowdery.jpg,50KeithHall.jpg,20Jeffrey_Bradley.jpg,35Frank_Garner.jpg,39Duke_Cunningham.jpg,11Daniel_Kagan.jpg,42Greg_Wren.jpg,61Bruce_Weyhrauch.jpg,60Vic_Kohring.jpg,12Frantz_Scott.jpg,17Michael_Ranzenhofer.jpg,57Thad_Viers.jpg,59Phil_Hamilton.jpg,2Ken_Smith.jpg,36Neil_D_Breslin.jpg,14Fitz_Steele.jpg,8Noel_W_Campbell.JPG,24Dan_Ortiz.jpg,52Art_Wittich.jpg,72Vincent_Leibell.jpg,15Harold_Naughton.jpg,56Bobby_Harrell.jpg,22Sanderson_Bill.jpg,66James_Boyce_Black.jpg,68Jeffrey_Habay.jpg,3Darrell_lssa.jpg,30Stephen_Ross.jpg,18Brian_Crain.jpg,65Anthoney_Seminerio.jpg,29Thomas_Abinanti.jpg,37_Michael Grimm.jpg,55Rick_Brinkley.jpg,26Dennis_Egan.jpg,70Ward_Crutchfield.jpg,38Bob_Ney.jpg,6Brown_KL.jpg,45Ben_Arredondo.jpg,5Tuggle_Mark.jpg,44Paul_Bookout.jpg,47Douglas_Bruce.jpg,25Matt_Claman.jpg
