E77E921E4D2C47ED94BF71DEB4D7E4F7_2024-11-19T19:12:32.117Z
End_Time,2024-11-19T19:28:48.923Z
Block_Order,genuine,corruptible,dominant,attractive
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,4,4,3,4,2,3,2,5,4,5,2,4,2,4,3,2,4,4,4,5,5,4,4,2,5,5,3,5,5,2,5,2,4,2,4,5,5,3,5,2,3,5,2,5,4,3,3,5,2,3,2,4,3,4,5,5,4,3,5,4,5,5,2,3,3,4,5,4,3,2,5,5
Corruptible_RT,1243,3817,1797,1580,2405,1720,2084,2492,1945,3033,3971,1993,2202,2957,2000,2618,1428,2161,3040,1333,1823,4620,1014,4541,2366,1806,2719,1304,1563,2019,1731,1973,2619,2939,1375,1104,1894,3190,4453,4816,1901,1442,2763,1344,4484,2496,2991,1457,2340,2332,2196,3420,2147,1613,2858,4972,2867,2488,2358,2793,1626,1447,1897,2372,2160,1754,1826,1964,3364,2423,1511,1239
Corruptible_ImageOrder,16Jon_Sesso.jpg,18Brian_Crain.jpg,42Greg_Wren.jpg,67William_DeWeese.jpg,27Joseph_Lagana.jpg,57Thad_Viers.jpg,10Scheffel_Mark.jpg,14Fitz_Steele.jpg,65Anthoney_Seminerio.jpg,19Warren_Kampf.jpg,24Dan_Ortiz.jpg,38Bob_Ney.jpg,59Phil_Hamilton.jpg,51Salvatore_Dimasi.jpg,61Bruce_Weyhrauch.jpg,40James_Traficant.jpg,25Matt_Claman.jpg,28Richard_Codey.jpg,45Ben_Arredondo.jpg,21Bruce_Bannister.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,60Vic_Kohring.jpg,29Thomas_Abinanti.jpg,22Sanderson_Bill.jpg,34Niceley_Frank.jpg,55Rick_Brinkley.jpg,37_Michael Grimm.jpg,72Vincent_Leibell.jpg,66James_Boyce_Black.jpg,33Charles_McIlhinney.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,30Stephen_Ross.jpg,58Joe_Armstrong.jpg,39Duke_Cunningham.jpg,35Frank_Garner.jpg,47Douglas_Bruce.jpg,31Tim_Hennessey.jpg,71Joel_Boniek.jpg,32Kevin _Schreiber.jpg,56Bobby_Harrell.jpg,68Jeffrey_Habay.jpg,4Louis_Terhar.jpg,9Bill_Gwatney.jpg,6Brown_KL.jpg,26Dennis_Egan.jpg,2Ken_Smith.jpg,15Harold_Naughton.jpg,53John_Perzel.jpg,1John_Katko.jpg,54Carl_Kruger.jpg,36Neil_D_Breslin.jpg,13Steven_Sodders.jpg,3Darrell_lssa.jpg,17Michael_Ranzenhofer.jpg,52Art_Wittich.jpg,7Bill_Poole.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,23Scott_Rigell.jpg,44Paul_Bookout.jpg,41Mike_Hubbard.jpg,48Thomas_Gaffey.jpg,20Jeffrey_Bradley.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,5Tuggle_Mark.jpg,8Noel_W_Campbell.JPG,46Steve_King.jpg,43Terry_Spicer.jpg,62John_Cowdery.jpg
Genuine_Ratings,3,4,3,2,3,3,3,3,3,2,2,2,3,3,2,5,3,2,3,2,3,4,3,3,2,2,3,2,2,4,3,5,3,4,2,2,3,3,4,2,2,2,3,3,3,2,5,3,4,4,4,2,2,2,2,2,2,4,2,3,4,2,4,5,4,2,3,2,4,2,2,3
Genuine_RT,2116,2269,1193,2089,1844,1735,3177,1623,2957,1633,1086,1063,5860,2829,2883,2501,4611,1956,3584,1661,1733,2871,1658,3590,1816,1558,2326,3323,1854,1693,4017,1424,1882,2118,1601,2040,1906,2040,2649,2246,1590,1712,3095,3266,2204,3102,3712,2017,2649,3952,4427,1527,1572,1439,3213,1068,3686,2490,1741,4033,2470,2950,3939,1910,4865,2602,1289,1965,4413,2626,1223,1145
Genuine_ImageOrder,24Dan_Ortiz.jpg,63Daniel_Van_Pelt.jpg,55Rick_Brinkley.jpg,13Steven_Sodders.jpg,66James_Boyce_Black.jpg,5Tuggle_Mark.jpg,4Louis_Terhar.jpg,60Vic_Kohring.jpg,7Bill_Poole.jpg,54Carl_Kruger.jpg,41Mike_Hubbard.jpg,50KeithHall.jpg,58Joe_Armstrong.jpg,1John_Katko.jpg,18Brian_Crain.jpg,49Kent_Sorenson.jpg,62John_Cowdery.jpg,10Scheffel_Mark.jpg,47Douglas_Bruce.jpg,43Terry_Spicer.jpg,26Dennis_Egan.jpg,65Anthoney_Seminerio.jpg,17Michael_Ranzenhofer.jpg,21Bruce_Bannister.jpg,2Ken_Smith.jpg,69Joseph_Loeper.jpg,64Joseph_Coniglio.jpg,19Warren_Kampf.jpg,39Duke_Cunningham.jpg,44Paul_Bookout.jpg,16Jon_Sesso.jpg,14Fitz_Steele.jpg,68Jeffrey_Habay.jpg,46Steve_King.jpg,9Bill_Gwatney.jpg,61Bruce_Weyhrauch.jpg,31Tim_Hennessey.jpg,6Brown_KL.jpg,30Stephen_Ross.jpg,67William_DeWeese.jpg,29Thomas_Abinanti.jpg,37_Michael Grimm.jpg,42Greg_Wren.jpg,40James_Traficant.jpg,25Matt_Claman.jpg,53John_Perzel.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,23Scott_Rigell.jpg,20Jeffrey_Bradley.jpg,8Noel_W_Campbell.JPG,22Sanderson_Bill.jpg,45Ben_Arredondo.jpg,51Salvatore_Dimasi.jpg,38Bob_Ney.jpg,11Daniel_Kagan.jpg,70Ward_Crutchfield.jpg,57Thad_Viers.jpg,35Frank_Garner.jpg,28Richard_Codey.jpg,27Joseph_Lagana.jpg,52Art_Wittich.jpg,15Harold_Naughton.jpg,48Thomas_Gaffey.jpg,56Bobby_Harrell.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg,12Frantz_Scott.jpg,3Darrell_lssa.jpg,36Neil_D_Breslin.jpg,34Niceley_Frank.jpg,59Phil_Hamilton.jpg
Attractive_Ratings,3,2,4,4,4,2,5,2,3,5,4,2,4,3,2,4,4,4,3,2,2,3,3,4,2,2,4,3,2,4,2,6,4,6,3,2,5,3,2,2,3,2,3,4,5,2,5,4,5,2,3,2,2,2,2,2,5,4,2,4,2,1,4,2,2,2,2,2,2,3,1,2
Attractive_RT,1293,4018,2179,2160,1409,708,2603,1864,2121,1395,1300,1333,1550,1344,916,2724,2800,2771,2537,653,884,1252,1310,2112,1224,2518,2497,2002,1553,1731,896,2699,1719,3207,2076,1828,1500,1349,1438,1488,1130,1422,1367,2091,1494,1236,1193,1420,1174,1431,1786,1221,1175,1250,1788,1698,3692,2039,1382,1456,894,3767,2829,1337,2950,2338,2210,1515,754,1614,1063,797
Attractive_ImageOrder,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,35Frank_Garner.jpg,40James_Traficant.jpg,32Kevin _Schreiber.jpg,18Brian_Crain.jpg,14Fitz_Steele.jpg,66James_Boyce_Black.jpg,28Richard_Codey.jpg,39Duke_Cunningham.jpg,67William_DeWeese.jpg,31Tim_Hennessey.jpg,72Vincent_Leibell.jpg,53John_Perzel.jpg,2Ken_Smith.jpg,22Sanderson_Bill.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,52Art_Wittich.jpg,33Charles_McIlhinney.jpg,70Ward_Crutchfield.jpg,37_Michael Grimm.jpg,11Daniel_Kagan.jpg,23Scott_Rigell.jpg,7Bill_Poole.jpg,50KeithHall.jpg,3Darrell_lssa.jpg,43Terry_Spicer.jpg,5Tuggle_Mark.jpg,48Thomas_Gaffey.jpg,38Bob_Ney.jpg,12Frantz_Scott.jpg,56Bobby_Harrell.jpg,54Carl_Kruger.jpg,65Anthoney_Seminerio.jpg,69Joseph_Loeper.jpg,4Louis_Terhar.jpg,41Mike_Hubbard.jpg,47Douglas_Bruce.jpg,24Dan_Ortiz.jpg,68Jeffrey_Habay.jpg,13Steven_Sodders.jpg,1John_Katko.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,61Bruce_Weyhrauch.jpg,45Ben_Arredondo.jpg,10Scheffel_Mark.jpg,19Warren_Kampf.jpg,25Matt_Claman.jpg,20Jeffrey_Bradley.jpg,42Greg_Wren.jpg,21Bruce_Bannister.jpg,71Joel_Boniek.jpg,34Niceley_Frank.jpg,27Joseph_Lagana.jpg,30Stephen_Ross.jpg,49Kent_Sorenson.jpg,60Vic_Kohring.jpg,55Rick_Brinkley.jpg,64Joseph_Coniglio.jpg,36Neil_D_Breslin.jpg,29Thomas_Abinanti.jpg,46Steve_King.jpg,15Harold_Naughton.jpg,6Brown_KL.jpg,44Paul_Bookout.jpg,51Salvatore_Dimasi.jpg,57Thad_Viers.jpg,26Dennis_Egan.jpg,17Michael_Ranzenhofer.jpg,16Jon_Sesso.jpg
