"image","male_politician_image","convicted","Corruptible","Genuine","Attractive","Dominant","wiki","gov","news","age","glasses","beard","mustache","hair_blond","hair_white","hair_black","hair_brown","pixels","AU06","AU12","clothing_r","clothing_g","clothing_b"
1,"1john_katko.jpg",0,3.90350877192982,4.04545454545455,3.64035087719298,4.06194690265487,1,0,0,62,0,0,0,0,2,3,0,934648,0.83058816,0.9413051,17.45476013,17.52252115,20.4402957
2,"2ken_smith.jpg",0,4,3.89380530973451,2.67826086956522,3.53982300884956,1,0,0,58,1,0,0,0,2,2,0,391460,0.8899826,0.9495555,11.04432042,11.52342489,13.7338066
3,"3darrell_lssa.jpg",0,3.86725663716814,4.04385964912281,3.61946902654867,4.14912280701754,1,0,0,71,0,0,0,0,1,3,0,321409,0.93382853,0.9630643,15.76936128,14.22770324,15.29320843
4,"4louis_terhar.jpg",0,4.14782608695652,3.74107142857143,3.10434782608696,4.54782608695652,1,0,0,75,0,0,0,0,3,0,0,1026344,0.819334,0.91359,10.65127662,13.64132813,14.08460149
5,"5tuggle_mark.jpg",0,4.00869565217391,3.95535714285714,3.78448275862069,4.23684210526316,0,1,0,59,0,0,0,0,0,3,0,550506,0.85651195,0.93888533,11.00061552,12.99131746,15.25221164
6,"6brown_kl.jpg",0,4.26086956521739,3.41592920353982,2.01724137931034,3.33928571428571,0,1,0,65,1,0,0,0,3,0,0,1016436,0.88223726,0.9013153,25.50925551,21.77344314,20.72239158
7,"7bill_poole.jpg",0,4.05405405405405,3.94736842105263,3.76315789473684,4.125,0,0,1,47,0,0,0,0,0,0,3,595276,0.7716275,0.89107645,15.98404818,13.64732635,15.87917089
8,"8noel_w_campbell.jpg",0,4.46491228070175,3.41964285714286,2.16379310344828,3.62280701754386,1,0,0,82,1,0,0,0,3,0,0,1134000,0.9139398,0.9549971,16.42021131,16.15503482,16.18864189
9,"9bill_gwatney.jpg",0,3.86842105263158,4.27678571428571,3.62931034482759,3.79130434782609,0,0,1,65,0,0,0,0,2,1,0,1028400,0.8584516,0.95859027,13.84030982,12.65142942,14.67782667
10,"10scheffel_mark.jpg",0,4.31304347826087,3.41228070175439,3.25,4.4070796460177,1,0,0,65,0,0,0,0,0,0,3,355320,0.88347876,0.9216946,15.21604203,14.52836602,15.18413
11,"11daniel_kagan.jpg",0,3.95614035087719,3.66371681415929,2.84210526315789,3.55263157894737,0,1,0,71,0,0,0,0,0,2,3,422181,0.90400445,0.95867765,16.61243324,16.9462714,17.64709152
12,"12frantz_scott.jpg",0,3.97368421052632,3.58035714285714,3.27826086956522,3.76106194690265,0,1,0,64,0,0,0,0,0,2,2,566040,0.44602385,0.71937746,20.02907102,19.808909,19.70636289
13,"13steven_sodders.jpg",0,3.84070796460177,4.00892857142857,3.95689655172414,3.82608695652174,1,0,0,56,0,0,0,0,0,3,1,375550,0.6687501,0.7467116,16.77588047,16.48216727,15.87009235
14,"14fitz_steele.jpg",0,3.82456140350877,4.07964601769912,2.85840707964602,3.2719298245614,0,0,1,59,0,0,0,0,0,3,0,1425717,0.89607435,0.96571445,28.71129401,26.81241535,21.48044941
15,"15harold_naughton.jpg",0,4.00884955752212,3.69298245614035,3.47826086956522,4.10619469026549,0,0,1,64,0,0,0,0,1,3,0,760584,0.8848257,0.9223434,13.98159154,12.99834444,14.06107806
16,"16jon_sesso.jpg",0,3.03571428571429,4.44736842105263,3.70689655172414,3.35087719298246,0,0,1,70,0,1,1,0,2,2,0,464832,0.9028365,0.9831691,15.23744109,14.57449341,17.61633604
17,"17michael_ranzenhofer.jpg",0,4.19642857142857,3.92920353982301,3.10434782608696,4.23684210526316,0,1,0,70,0,0,0,0,2,2,0,967284,0.9104856,0.9724142,17.17740603,18.05344296,19.54812707
18,"18brian_crain.jpg",0,3.96491228070175,4.07964601769912,3.33620689655172,4.07017543859649,1,0,0,63,0,0,0,0,3,1,0,309260,0.8077734,0.9008081,26.17885161,25.25409082,29.44398872
19,"19warren_kampf.jpg",0,3.63392857142857,4.38053097345133,3.50862068965517,3.75438596491228,0,1,0,57,1,0,0,0,2,2,0,985825,0.90751356,0.96093994,10.02713766,9.831909406,10.92150201
20,"20jeffrey_bradley.jpg",0,4.6140350877193,3.12389380530973,2.17543859649123,3.82608695652174,0,1,0,67,0,0,0,0,2,2,0,229635,0.89713395,0.9424989,14.78146944,13.40037898,14.12072215
21,"21bruce_bannister.jpg",0,4.00877192982456,3.76991150442478,3.28448275862069,3.69911504424779,0,0,1,52,0,0,0,0,0,3,0,645729,0.9191669,0.97421455,10.42672576,11.56211027,14.94750604
22,"22sanderson_bill.jpg",0,3.95614035087719,3.74336283185841,3.04310344827586,3.88288288288288,0,1,0,65,1,0,0,0,1,3,0,626853,0.89918315,0.9450938,13.21434668,12.87236222,14.20869768
23,"23scott_rigell.jpg",0,3.87826086956522,4.14035087719298,3.1140350877193,3.56637168141593,0,0,1,64,0,0,0,0,2,2,0,976115,0.89620125,0.90519357,12.17793703,12.4784549,14.24620665
24,"24dan_ortiz.jpg",0,4.12280701754386,3.63636363636364,2.33913043478261,3.27678571428571,0,1,0,68,0,0,0,0,3,0,0,1487733,0.91463244,0.94726986,10.93604827,12.24522394,13.88217957
25,"25matt_claman.jpg",0,3.92173913043478,3.89380530973451,3.21739130434783,4.07964601769912,0,1,0,65,0,0,0,0,1,3,0,843512,0.9318565,0.9759212,17.64257332,17.54040351,18.62595468
26,"26dennis_egan.jpg",0,4.55652173913044,3.25225225225225,2.29824561403509,4.37719298245614,0,1,0,75,1,0,0,0,3,2,0,630069,0.90245897,0.96277624,11.25390261,10.84248477,10.80400344
27,"27joseph_lagana.jpg",0,3.81578947368421,3.89473684210526,3.95652173913043,3.21929824561404,0,1,0,45,0,0,0,0,0,3,0,849889,0.90379834,0.94514775,18.0742534,14.96167325,19.16279086
28,"28richard_codey.jpg",0,4.25217391304348,3.68421052631579,2.58260869565217,4.04347826086957,0,1,0,77,0,0,0,0,2,0,3,574977,0.90733975,0.95622325,20.9928147,18.44485092,17.63114124
29,"29thomas_abinanti.jpg",0,4.16666666666667,3.74336283185841,2.89565217391304,3.44347826086957,0,1,0,78,0,0,0,0,1,3,0,744309,0.9150334,0.9595761,22.18426184,21.8778847,22.69967399
30,"30stephen_ross.jpg",0,4.09565217391304,3.79824561403509,2.36283185840708,3.75221238938053,1,0,0,73,1,0,0,0,2,1,1,944150,0.81768656,0.9047475,20.82677668,19.88200072,18.79586676
31,"31tim_hennessey.jpg",0,4.42982456140351,3.70175438596491,2.7787610619469,4.32456140350877,0,1,0,77,0,0,0,0,3,0,0,391460,0.8528418,0.9031819,6.144441825,6.070261043,5.894534386
32,"32kevin _schreiber.jpg",0,3.79824561403509,3.96428571428571,4.14655172413793,3.23478260869565,0,1,0,44,0,0,0,3,0,0,1,381582,0.9145877,0.9329342,19.97927148,18.1162218,18.66344931
33,"33charles_mcilhinney.jpg",0,4.0695652173913,3.92857142857143,3.27433628318584,3.7280701754386,0,1,0,57,0,0,0,0,0,3,0,1382654,0.87385976,0.9564368,14.00153875,13.94495753,16.11653256
34,"34niceley_frank.jpg",0,4.30973451327434,3.71428571428571,2.69298245614035,4.20175438596491,0,1,0,77,0,0,0,0,2,2,0,1026344,0.6751234,0.7501845,7.79010584,8.76504968,13.08483901
35,"35frank_garner.jpg",0,4.32743362831858,3.57894736842105,3.08620689655172,4.2719298245614,1,0,0,57,0,0,0,0,2,1,0,549002,0.9122032,0.9061066,14.05298943,14.69607194,16.10104411
36,"36neil_d_breslin.jpg",0,4.15929203539823,3.68421052631579,2.77586206896552,4.31304347826087,1,0,0,82,0,0,0,0,2,3,0,635582,0.8953664,0.9145083,27.98227078,25.90510244,21.4958211
37,"37_michael grimm.jpg",1,4.16521739130435,3.50877192982456,3.6,3.87826086956522,0,1,0,54,0,0,0,0,0,3,0,860832,0.81724626,0.8740976,16.42906641,16.07735407,16.59989215
38,"38bob_ney.jpg",1,4.09734513274336,3.53571428571429,3.02586206896552,3.8141592920354,0,1,0,70,0,0,0,3,0,0,0,948096,0.9107532,0.9206421,11.68505721,12.92501244,13.40540547
39,"39duke_cunningham.jpg",1,4.7304347826087,3.2,2.12068965517241,4.0695652173913,1,0,0,82,0,0,0,0,1,3,0,802420,0.79256773,0.9200669,15.66891691,14.62807199,13.63769283
40,"40james_traficant.jpg",1,5.06086956521739,2.65789473684211,2.19827586206897,4.98260869565217,0,1,0,73,1,0,0,0,2,2,0,632352,0.81674427,0.81982535,12.53109824,11.92155732,12.21511388
41,"41mike_hubbard.jpg",1,4.375,3.57894736842105,3.71929824561404,4.58928571428571,0,1,0,62,0,0,0,0,1,3,0,402000,0.5093616,0.49803686,19.65728048,19.94708881,19.91054685
42,"42greg_wren.jpg",1,4.07826086956522,4.07207207207207,3.47413793103448,4.18918918918919,0,1,0,69,0,0,0,0,2,1,1,458172,0.9122871,0.96114355,19.1468475,15.54779936,11.84295508
43,"43terry_spicer.jpg",1,4.51327433628319,3.42477876106195,2.76521739130435,4.34210526315789,0,0,1,59,1,0,0,0,0,3,0,649674,0.7763604,0.84942615,10.54891339,9.598363566,11.07125932
44,"44paul_bookout.jpg",1,3.95614035087719,4.04464285714286,2.88495575221239,3.88495575221239,0,0,1,62,0,0,0,0,0,3,0,494208,0.92520213,0.9726036,18.08418362,18.56907935,20.03315694
45,"45ben_arredondo.jpg",1,4.5,3.17543859649123,2.13913043478261,4.13274336283186,0,1,0,76,0,0,0,0,3,0,0,1026344,0.7346822,0.76370627,7.707743983,10.1943597,10.21837925
46,"46steve_king.jpg",1,4.01785714285714,3.9646017699115,3.56140350877193,3.99122807017544,1,0,0,75,0,0,1,0,1,3,0,359970,0.8649651,0.94816554,19.33124879,19.06760448,21.31113458
47,"47douglas_bruce.jpg",1,4.28695652173913,3.70175438596491,2.95689655172414,4.39130434782609,0,1,0,75,0,0,0,1,0,3,0,326508,0.88121367,0.92220265,21.23197008,19.7627901,19.66264217
48,"48thomas_gaffey.jpg",1,4.72321428571429,3.5,2.73275862068966,4.48695652173913,0,1,0,66,0,0,0,0,0,3,0,836386,0.9042429,0.9500436,8.028725177,7.201645901,8.199162042
49,"49kent_sorenson.jpg",1,4.18181818181818,3.75,3.02586206896552,4.27826086956522,0,0,1,52,0,1,1,0,0,3,0,467602,0.91111416,0.9338419,20.2110787,18.83015251,20.11176765
50,"50keithhall.jpg",1,4.53508771929825,3.52631578947368,3.00869565217391,3.73684210526316,0,0,1,65,0,0,1,0,0,1,3,778824,0.9048974,0.87218934,14.25501489,15.03803501,16.84355927
51,"51salvatore_dimasi.jpg",1,4.85217391304348,3.15044247787611,2.54782608695652,4.38938053097345,0,1,0,79,0,0,1,0,2,3,0,488757,0.7400312,0.8038337,4.326348383,4.652276343,5.669451178
52,"52art_wittich.jpg",1,4.20353982300885,3.72477064220183,2.81739130434783,4.6283185840708,0,0,1,67,1,1,1,0,0,0,3,440385,0.588215,0.6775364,13.52773918,13.46252981,13.52169965
53,"53john_perzel.jpg",1,4.30088495575221,3.28070175438596,2.78947368421053,4.21238938053097,0,1,0,74,0,0,1,0,3,1,0,674568,0.5456641,0.45347828,16.58318361,15.61628035,16.37032293
54,"54carl_kruger.jpg",1,4.92035398230088,3.04504504504505,2.04385964912281,4.55652173913044,0,1,0,74,1,0,0,0,1,2,0,528040,0.758801,0.84754837,14.62648756,15.75922362,16.5941308
55,"55rick_brinkley.jpg",1,4.39473684210526,3.44247787610619,2.60344827586207,4.10714285714286,0,1,0,57,0,0,0,0,1,2,0,932688,0.88644415,0.9418604,16.54550988,14.7628294,14.76379893
56,"56bobby_harrell.jpg",1,3.95535714285714,4.07894736842105,3.78070175438596,4.07964601769912,0,1,0,58,0,0,0,0,2,3,0,2851146,0.8640852,0.92737687,13.46958181,12.95451904,13.37949777
57,"57thad_viers.jpg",1,3.99130434782609,3.51754385964912,3.2695652173913,3.01754385964912,0,1,0,46,0,0,0,0,0,1,3,420316,0.6935453,0.840719,18.79860867,18.56496686,19.28282846
58,"58joe_armstrong.jpg",1,4.09565217391304,3.68421052631579,2.86086956521739,4.3125,0,1,0,68,0,1,1,0,2,3,0,617520,0.92620724,0.9445889,26.07941024,29.12963627,32.99212616
59,"59phil_hamilton.jpg",1,4.59649122807018,3.30357142857143,2.38260869565217,3.76315789473684,0,0,1,72,0,1,1,0,3,0,0,371315,0.8848704,0.91765696,19.88298841,19.61044663,19.93068241
60,"60vic_kohring.jpg",1,4.2695652173913,3.71681415929204,3.5,4.55263157894737,0,1,0,64,0,0,0,0,2,1,1,533088,0.777654,0.7297221,16.56086826,14.12221554,15.14482094
61,"61bruce_weyhrauch.jpg",1,4.47368421052632,3.43362831858407,2.58260869565217,3.85964912280702,0,1,0,71,0,0,0,0,0,3,0,987600,0.90167004,0.9717656,17.69963789,17.21959193,18.96585902
62,"62john_cowdery.jpg",1,4.55263157894737,3.31578947368421,2.1875,4.07826086956522,0,0,1,83,1,0,0,0,3,0,0,624580,0.9183635,0.9578772,25.21948755,25.1594438,25.77909665
63,"63daniel_van_pelt.jpg",1,4.01769911504425,3.94690265486726,3.35652173913043,3.68695652173913,0,1,0,60,0,0,0,0,1,2,2,964460,0.86312693,0.8919762,14.7196773,13.36760576,15.96794872
64,"64joseph_coniglio.jpg",1,4.48672566371681,3.13274336283186,2.46086956521739,3.54782608695652,0,1,0,81,0,0,0,0,1,3,0,964460,0.7575334,0.89457685,15.3809649,16.02457998,14.39293887
65,"65anthoney_seminerio.jpg",1,4.68421052631579,3.25892857142857,2.06034482758621,3.83333333333333,0,0,1,75,0,0,0,0,3,2,0,1028400,0.8601009,0.91516757,16.53133524,15.81742514,16.59424693
66,"66james_boyce_black.jpg",1,3.90909090909091,3.78947368421053,2.43103448275862,3.36521739130435,0,1,0,89,1,0,0,0,1,3,0,434460,0.8934876,0.9356556,22.93398023,22.14716959,22.77401122
67,"67william_deweese.jpg",1,4.07964601769912,3.97321428571429,3.22413793103448,4.43362831858407,0,1,0,74,0,0,0,0,3,0,1,950896,0.8890299,0.9507054,10.83603787,10.51150131,10.76859928
68,"68jeffrey_habay.jpg",1,4.05217391304348,3.58771929824561,2.95652173913043,2.98260869565217,0,1,0,58,0,0,0,0,0,2,2,54756,0.86576086,0.9591081,9.221952652,8.582768274,9.260661828
69,"69joseph_loeper.jpg",1,5.08928571428571,2.83185840707965,1.89473684210526,3.63478260869565,0,1,0,79,1,0,0,0,2,3,0,606018,0.89108574,0.8608561,22.69386405,22.31867859,21.76031135
70,"70ward_crutchfield.jpg",1,4.24561403508772,3.72566371681416,2.66086956521739,4.2280701754386,0,1,0,87,1,0,0,1,2,2,0,1023435,0.90803224,0.95591074,16.77378339,17.56905617,19.6200384
71,"71joel_boniek.jpg",1,4.72173913043478,3.24561403508772,2.56521739130435,3.87826086956522,0,0,1,63,0,0,1,0,1,2,1,523016,0.7258966,0.8266887,20.85262794,21.10519254,20.48773977
72,"72vincent_leibell.jpg",1,4.32456140350877,3.54867256637168,2.57391304347826,3.8695652173913,0,1,0,78,0,0,0,0,1,3,0,578700,0.7768643,0.8645967,14.18228427,14.37846012,16.18140295
